JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Aurora","1-2346:2352-2355:2358-2361:4097-4103",0,0.0128443,0.0128443,5192.01,0.0128443,0,5192,"0.00:0.74:0.00:0.70:0.00:0.62","None"
2,"COMPLETED","Aurora","Aurora","2347-2351:2356-2357:2362-3227:5082-5098",3600,3600.01,3600.01,11160,0.0114865,0,7560,"0.00:0.70:0.00:0.64:0.54:0.00","None"
3,"COMPLETED","Perlmutter-Phase-2","Aurora","1-763:1025:1104-1105:1110-1111",10800,10800.1,10800.1,16816.1,0.0557994,0,6016,"0.00:0.72:0.00:0.70:0.60:0.64","None"
4,"COMPLETED","Frontier","Aurora","1-1264:2049-2051:2352-2355:2358-2361",24830.1,24830.1,24830.1,29590.1,0.0298433,0,4760,"0.00:0.76:0.00:0.70:0.60:0.00","None"
5,"COMPLETED","Frontier","Frontier","1-832:1025:1110-1111:5248-5282",25979.9,25979.9,25979.9,34218.3,0.0120895,0,8238.38,"0.00:0.65:0.00:0.71:0.52:0.00","None"
6,"COMPLETED","Andes","Aurora","1265-1957",26880.7,26880.7,26880.7,32520.7,0.0214573,0,5640,"0.54:0.72:0.00:0.67:0.61:0.64","None"
7,"COMPLETED","Aurora","Aurora","1958-2048:2052-2333:4097-4103",28048.6,28048.6,28048.6,34640.6,0.00838753,0,6592,"0.00:0.70:0.00:0.69:0.62:0.00","None"
8,"COMPLETED","Perlmutter-Phase-1","Aurora","1-1223:2049-2051:2352-2355:2358-2361",29766.7,29766.7,29766.7,33590.7,0.0174475,0,3824,"0.00:0.72:0.00:0.67:0.59:0.63","None"
9,"COMPLETED","Frontier","Frontier","833-1024:1026-1109:1112-1889:2049-2051:2358-2361",29959.9,29959.9,29959.9,35741.8,0.00545353,0,5781.88,"0.00:0.66:0.00:0.68:0.53:0.00","None"
10,"COMPLETED","Aurora","Aurora","1224-1264:2334-2351:2356-2357:2362-2630:5082-5098",31824.2,31824.2,31824.2,39976.2,0.0141605,0,8152,"0.56:0.69:0.00:0.64:0.62:0.65","None"
11,"COMPLETED","Aurora","Aurora","1265-1957:2631-3041",32992.1,32992.1,32992.1,39888.1,0.0138665,0,6896,"0.00:0.71:0.00:0.57:0.52:0.00","None"
12,"COMPLETED","Perlmutter-Phase-2","Aurora","3042-4023",33017,33017,33017,40129,0.0215584,0,7112,"0.00:0.66:0.00:0.64:0.59:0.64","None"
13,"COMPLETED","Frontier","Aurora","1-1030:1104-1105:1110-1111:2049-2051",33668.3,33668.3,33668.3,39588.3,0.00891135,0,5920,"0.00:0.68:0.00:0.65:0.60:0.00","None"
14,"COMPLETED","Aurora","Frontier","1-832:1025:1110-1111:1890-2048:2052-2357:2362-2412:4097-4103:5088-5096:5248-5282",34426.2,34426.2,34426.2,40111.5,0.0180424,0,5685.34,"0.00:0.64:0.00:0.66:0.59:0.63","None"
15,"COMPLETED","Aurora","Perlmutter-Phase-2","1-776:1025:1110-1111",34516.2,34516.2,34516.2,49283.5,0.0115735,0,14767.3,"0.00:0.64:0.00:0.62:0.59:0.64","None"
16,"COMPLETED","Frontier","Frontier","833-1024:1026-1109:1112-1889:2049-2051:2358-2361:2413-2438",36440.6,36440.6,36440.6,42565.8,0.0315201,0,6125.15,"0.00:0.62:0.00:0.66:0.54:0.00","None"
17,"COMPLETED","Frontier","Aurora","1031-1103:1106-1109:1112-1223:1958-2048:2052-2273:2352-2355:2358-2361:4097-4103",36542.1,36542.2,36542.2,43022.2,0.0210945,0,6480,"0.56:0.64:0.00:0.61:0.59:0.57","None"
18,"COMPLETED","Aurora","Aurora","2274-2333:4024-4096:4104-4754:8193-8206",36994.6,36994.6,36994.6,43082.6,0.0224225,0,6088,"0.00:0.64:0.00:0.64:0.59:0.00","None"
19,"COMPLETED","Frontier","Frontier","2439-2932",37047.6,37047.6,37047.6,44610.2,0.0219791,0,7562.57,"0.00:0.59:0.00:0.63:0.56:0.00","None"
20,"COMPLETED","Frontier","Frontier","2933-4096:4104-5087:5097-5247:5283-5289:8193-8206",37104.5,37104.5,37104.5,44817.3,0.0183321,0,7712.75,"0.00:0.58:0.00:0.60:0.00:0.00","None"
21,"COMPLETED","Frontier","Perlmutter-Phase-1","1-305:542",37703,37703,37703,65581,0.0190535,0,27878,"0.56:0.62:0.00:0.54:0.63:0.57","None"
22,"COMPLETED","Frontier","Aurora","4755-5081:5099-5114:10268-10302",38178.4,38178.4,38178.4,46682.4,0.00692635,0,8504,"0.00:0.62:0.00:0.55:0.56:0.00","None"
23,"COMPLETED","Frontier","Aurora","5115-7050",38745.4,38745.4,38745.4,42657.4,0.0158903,0,3912,"0.00:0.61:0.00:0.53:0.00:0.00","None"
24,"COMPLETED","Frontier","Aurora","1-696:1025:1104-1105:1110-1111",40445.2,40445.2,40445.2,47253.2,0.00534753,0,6808,"0.00:0.60:0.00:0.58:0.46:0.00","None"
25,"COMPLETED","Aurora","Aurora","697-1024:1026-1030:1224-1500:2049-2051",40632.1,40632.1,40632.1,48416.1,0.0126245,0,7784,"0.00:0.63:0.00:0.58:0.55:0.57","None"
26,"COMPLETED","Perlmutter-Phase-1","Aurora","1501-1957:2334-2351:2356-2357:2362-3322:5082-5098",41532,41532.1,41532.1,47628.1,0.0194945,0,6096,"0.00:0.55:0.00:0.52:0.43:0.00","None"
27,"COMPLETED","Frontier","Frontier","1-801:1025:1110-1111:5248-5282",41781.8,41781.8,41781.8,49923.7,0.0181335,0,8141.84,"0.00:0.56:0.00:0.57:0.51:0.56","None"
28,"COMPLETED","Perlmutter-Phase-1","Aurora","3323-3852",41901.7,41901.8,41901.8,49221.8,0.0253965,0,7320,"0.00:0.58:0.00:0.56:0.56:0.00","None"
29,"COMPLETED","Andes","Perlmutter-Phase-2","777-1024:1026-1109:1112-1349:2049-2051:2358-2361",42052.1,42052.1,42052.1,61062.3,0.0105014,0,19010.2,"0.54:0.55:0.00:0.55:0.55:0.57","None"
30,"COMPLETED","Perlmutter-Phase-2","Frontier","802-832:1890-2048:2052-2357:2362-2412:4097-4103:5088-5096:5290-5981",42127.5,42127.5,42127.5,47501.7,0.0236044,0,5374.26,"0.00:0.54:0.00:0.54:0.40:0.48","None"
31,"COMPLETED","Aurora","Aurora","3853-4023:7051-7639",42246.1,42246.1,42246.1,49374.1,0.0181635,0,7128,"0.00:0.57:0.00:0.44:0.49:0.00","None"
32,"COMPLETED","Perlmutter-Phase-1","Aurora","7640-8192:8207-8612",42281.7,42281.7,42281.7,46889.7,0.0188794,0,4608,"0.00:0.53:0.00:0.51:0.53:0.48","None"
