JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Aurora","1-2346:2352-2355:2358-2361:4097-4103",0,0.250876,0.250876,5192.25,0.250876,0,5192,"0.00:0.74:0.00:0.00:0.70:0.62","None"
2,"COMPLETED","Aurora","Aurora","2347-2351:2356-2357:2362-3227:5082-5098",3600,3600.25,3600.25,11160.2,0.249796,0,7560,"0.00:0.70:0.00:0.54:0.64:0.00","None"
3,"COMPLETED","Perlmutter-Phase-2","Aurora","1-763:1025:1104-1105:1110-1111",10800,10800.3,10800.3,16816.3,0.252693,0,6016,"0.00:0.72:0.00:0.60:0.70:0.64","None"
4,"COMPLETED","Frontier","Aurora","1-1264:2049-2051:2352-2355:2358-2361",24830.1,24830.4,24830.4,29590.4,0.251572,0,4760,"0.00:0.76:0.00:0.60:0.70:0.00","None"
5,"COMPLETED","Frontier","Frontier","1-832:1025:1110-1111:5248-5282",25979.9,25980.2,25980.2,34218.5,0.249771,0,8238.38,"0.00:0.65:0.00:0.52:0.71:0.00","None"
6,"COMPLETED","Andes","Aurora","1265-1957",26880.7,26880.9,26880.9,32520.9,0.250224,0,5640,"0.54:0.72:0.00:0.61:0.67:0.64","None"
7,"COMPLETED","Aurora","Aurora","1958-2048:2052-2333:4097-4103",28048.6,28048.9,28048.9,34640.9,0.253192,0,6592,"0.00:0.70:0.00:0.62:0.69:0.00","None"
8,"COMPLETED","Perlmutter-Phase-1","Aurora","1-1223:2049-2051:2352-2355:2358-2361",29766.7,29766.9,29766.9,33590.9,0.251148,0,3824,"0.00:0.72:0.00:0.59:0.67:0.63","None"
9,"COMPLETED","Frontier","Frontier","833-1024:1026-1109:1112-1889:2049-2051:2358-2361",29959.9,29960.1,29960.1,35742,0.251137,0,5781.88,"0.00:0.66:0.00:0.53:0.68:0.00","None"
10,"COMPLETED","Aurora","Aurora","1224-1264:2334-2351:2356-2357:2362-2630:5082-5098",31824.2,31824.5,31824.5,39976.5,0.250986,0,8152,"0.56:0.69:0.00:0.62:0.64:0.65","None"
11,"COMPLETED","Aurora","Aurora","1265-1957:2631-3041",32992.1,32992.3,32992.3,39888.3,0.256425,0,6896,"0.00:0.71:0.00:0.52:0.57:0.00","None"
12,"COMPLETED","Perlmutter-Phase-2","Aurora","3042-4023",33017,33017.2,33017.2,40129.2,0.252842,0,7112,"0.00:0.66:0.00:0.59:0.64:0.64","None"
13,"COMPLETED","Frontier","Aurora","1-1030:1104-1105:1110-1111:2049-2051",33668.3,33668.5,33668.5,39588.5,0.251513,0,5920,"0.00:0.68:0.00:0.60:0.65:0.00","None"
14,"COMPLETED","Aurora","Frontier","1-832:1025:1110-1111:1890-2048:2052-2357:2362-2412:4097-4103:5088-5096:5248-5282",34426.2,34426.4,34426.4,40111.8,0.250977,0,5685.34,"0.00:0.64:0.00:0.59:0.66:0.63","None"
15,"COMPLETED","Aurora","Perlmutter-Phase-2","1-776:1025:1110-1111",34516.2,34516.4,34516.4,49283.8,0.252439,0,14767.3,"0.00:0.64:0.00:0.59:0.62:0.64","None"
16,"COMPLETED","Frontier","Frontier","833-1024:1026-1109:1112-1889:2049-2051:2358-2361:2413-2438",36440.6,36440.9,36440.9,42566,0.249758,0,6125.15,"0.00:0.62:0.00:0.54:0.66:0.00","None"
17,"COMPLETED","Frontier","Aurora","1031-1103:1106-1109:1112-1223:1958-2048:2052-2273:2352-2355:2358-2361:4097-4103",36542.1,36542.4,36542.4,43022.4,0.25127,0,6480,"0.56:0.64:0.00:0.59:0.61:0.57","None"
