JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"REJECTED","Frontier","Crux",0,-1,-1,0.000234737,0.000234737,-1,-1,"0.36:0.47:0.98:0.68:0.01:0.77","Job requires more nodes than the System has"
2,"REJECTED","Aurora","Crux",3600,-1,-1,3600,0.000234889,-1,-1,"0.11:0.15:0.98:0.01:0.90:0.51","Job requires more nodes than the System has"
3,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",10800,10800,10800,11702.4,0.000234696,0,902.4,"0.16:0.22:0.16:0.96:0.99:0.56","None"
4,"COMPLETED","Frontier","Perlmutter-Phase-1",24830.1,24830.1,24830.1,25544.1,0.000234839,0,714,"0.27:0.44:0.10:0.04:0.93:0.32","None"
5,"REJECTED","Frontier","Crux",25979.9,-1,-1,25979.9,0.000234737,-1,-1,"0.19:0.42:0.75:0.05:0.72:0.50","Job requires more nodes than the System has"
6,"COMPLETED","Andes","Andes",26880.7,26880.7,26880.7,27726.7,0.000234889,0,846,"0.95:0.90:0.36:0.62:0.34:0.47","None"
7,"REJECTED","Aurora","Andes",28048.6,-1,-1,28048.6,0.000235244,-1,-1,"0.85:0.56:0.16:0.04:0.09:0.35","Job requires GPU while System has none"
8,"COMPLETED","Perlmutter-Phase-1","Frontier",29766.7,29766.7,29766.7,30279.4,0.000235244,0,512.753,"0.70:0.47:0.64:0.97:0.87:0.02","None"
9,"REJECTED","Frontier","Crux",29959.9,-1,-1,29959.9,0.000234737,-1,-1,"0.40:0.26:0.88:0.44:0.17:0.34","Job requires more nodes than the System has"
10,"COMPLETED","Aurora","Frontier",31824.2,31824.2,31824.2,32917.3,0.000235244,0,1093.09,"0.88:0.57:0.37:0.95:0.29:0.02","None"
11,"REJECTED","Aurora","Perlmutter-Phase-2",32992.1,-1,-1,32992.1,0.000235244,-1,-1,"0.70:0.44:0.46:0.02:0.39:0.73","Job requires GPU while System has none"
12,"COMPLETED","Perlmutter-Phase-2","Frontier",33017,33017,33017,33970.6,0.000235244,0,953.635,"0.32:0.08:0.31:0.48:0.20:0.05","None"
13,"REJECTED","Frontier","Crux",33668.3,-1,-1,33668.3,0.000234737,-1,-1,"0.59:0.68:0.89:0.60:0.13:0.04","Job requires more nodes than the System has"
14,"REJECTED","Aurora","Andes",34426.2,-1,-1,34426.2,0.000235244,-1,-1,"0.70:0.50:0.23:0.43:0.09:0.13","Job requires more nodes than the System has"
15,"COMPLETED","Aurora","Frontier",34516.2,34516.2,34516.2,35378.6,0.000235244,0,862.455,"0.36:0.20:0.18:0.68:0.25:0.50","None"
16,"COMPLETED","Frontier","Perlmutter-Phase-1",36440.6,36440.6,36440.6,37125.8,0.000234839,0,685.2,"0.45:0.42:0.03:0.06:0.59:0.24","None"
17,"COMPLETED","Frontier","Perlmutter-Phase-1",36542.1,36542.1,37125.8,38097.8,0.000234839,583.672,972,"0.53:0.06:0.77:0.42:0.96:0.86","None"
18,"COMPLETED","Aurora","Perlmutter-Phase-1",36994.6,36994.6,37125.8,38039,0.000235244,131.191,913.2,"0.71:0.54:0.79:0.46:0.98:0.40","None"
19,"REJECTED","Frontier","Perlmutter-Phase-2",37047.6,-1,-1,37047.6,0.000234839,-1,-1,"0.22:0.54:0.14:0.33:0.18:0.54","Job requires GPU while System has none"
20,"REJECTED","Frontier","Perlmutter-Phase-1",37104.5,-1,-1,37104.5,0.000234839,-1,-1,"0.31:0.32:0.19:0.41:0.65:0.21","Job requires more nodes than the System has"
21,"COMPLETED","Frontier","Frontier",37703,37703,37703,39065.3,0.000234889,0,1362.34,"0.45:0.12:0.43:0.91:0.91:0.54","None"
22,"REJECTED","Frontier","Crux",38178.4,-1,-1,38178.4,0.000234737,-1,-1,"0.71:0.78:1.00:0.72:0.45:0.51","Job requires more nodes than the System has"
23,"REJECTED","Frontier","Andes",38745.4,-1,-1,38745.4,0.000234889,-1,-1,"0.96:0.09:0.71:0.12:0.87:0.87","Job requires more nodes than the System has"
24,"COMPLETED","Frontier","Frontier",40445.2,40445.2,40445.2,41358.1,0.000234889,0,912.872,"0.03:0.01:0.12:0.97:0.70:0.21","None"
25,"COMPLETED","Aurora","Perlmutter-Phase-1",40632.1,40632.1,40632.1,41799.7,0.000235244,0,1167.6,"0.03:0.66:0.04:0.96:1.00:0.67","None"
26,"COMPLETED","Perlmutter-Phase-1","Aurora",41532,41532,41532,41751.8,0.000235244,0,219.808,"0.08:0.77:0.62:0.63:0.66:0.10","None"
27,"REJECTED","Frontier","Crux",41781.8,-1,-1,41781.8,0.000234737,-1,-1,"0.58:0.27:0.99:0.56:0.61:0.79","Job requires more nodes than the System has"
28,"COMPLETED","Perlmutter-Phase-1","Aurora",41901.7,41901.7,41901.7,42165.7,0.000235244,0,263.942,"0.02:0.97:0.39:0.21:0.02:0.06","None"
29,"COMPLETED","Andes","Perlmutter-Phase-2",42052.1,42052.1,42052.1,43294.1,0.000234839,0,1242,"0.36:0.33:0.16:0.39:0.13:0.74","None"
30,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",42127.5,42127.5,42127.5,42728.7,0.000234696,0,601.2,"0.79:0.91:0.63:0.10:0.35:0.92","None"
31,"REJECTED","Aurora","Perlmutter-Phase-2",42246.1,-1,-1,42246.1,0.000235244,-1,-1,"0.63:0.69:0.61:0.19:0.20:0.90","Job requires GPU while System has none"
32,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",42281.7,42281.7,42281.7,42972.9,0.000234696,0,691.2,"0.94:0.58:0.32:0.76:0.96:0.56","None"
33,"REJECTED","Frontier","Perlmutter-Phase-2",43379.9,-1,-1,43379.9,0.000234839,-1,-1,"0.44:0.32:0.54:0.73:0.06:0.90","Job requires GPU while System has none"
34,"COMPLETED","Aurora","Aurora",44138,44138,44138,44339,0.000234889,0,201.058,"0.55:0.95:0.83:0.37:0.47:0.92","None"
35,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",44416.7,44416.7,44416.7,45397.1,0.000234696,0,980.4,"0.65:0.03:0.67:0.76:0.66:0.99","None"
36,"COMPLETED","Aurora","Frontier",44574.8,44574.8,44574.8,45668.9,0.000235244,0,1094.16,"0.55:0.04:0.05:0.81:0.57:0.20","None"
37,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",44800.2,44800.2,45397.1,46041.5,0.000234696,596.901,644.4,"0.07:0.03:0.59:0.45:0.03:0.69","None"
38,"REJECTED","Frontier","Crux",45250.9,-1,-1,45250.9,0.000234737,-1,-1,"0.23:0.08:0.75:0.55:0.09:0.04","Job requires more nodes than the System has"
