JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Aurora","1-1282:2049-2051:2352-2355:2358-2361",0,0.000578535,0.000578535,3752,0.000578535,0,3752,"0.00:0.73:0.00:0.67:0.73:0.00","None"
2,"COMPLETED","Aurora","Aurora","1283-1476",3600,3600,3600,4184,0.000660535,0,584,"0.00:0.76:0.00:0.64:0.66:0.00","None"
3,"COMPLETED","Perlmutter-Phase-1","Frontier","1-690:1025:1110-1111:5248-5282",10800,10800,10800,19188.6,0.000650535,0,8388.56,"0.00:0.70:0.00:0.64:0.73:0.69","None"
4,"COMPLETED","Andes","Perlmutter-Phase-2","1-192:258",18326.6,18326.6,18326.6,19318.4,0.000628535,0,991.837,"0.72:0.72:0.67:0.69:0.72:0.73","None"
5,"COMPLETED","Aurora","Aurora","1-27",18705.1,18705.1,18705.1,19417.1,0.00643608,0,712,"0.00:0.77:0.00:0.64:0.67:0.00","None"
6,"COMPLETED","Frontier","Perlmutter-Phase-2","193-255",18902.4,18902.4,18902.4,22024.8,0.000609507,0,3122.45,"0.70:0.71:0.68:0.73:0.71:0.76","None"
7,"COMPLETED","Frontier","Frontier","1-480:542:5248-5282",22376.8,22376.8,22376.8,29692.6,0.000633535,0,7315.85,"0.00:0.74:0.00:0.69:0.76:0.00","None"
8,"COMPLETED","Frontier","Frontier","481-541:543-1045:1110-1111:2049-2051",24153.1,24153.1,24153.1,32123.3,0.000623535,0,7970.2,"0.00:0.71:0.00:0.65:0.71:0.70","None"
9,"COMPLETED","Frontier","Frontier","1046-1109:1112-1290:2358-2361",25979.9,25979.9,25979.9,26409,0.000674535,0,429.082,"0.00:0.71:0.00:0.63:0.75:0.00","None"
10,"COMPLETED","Aurora","Aurora","1-1044:1104-1105:1110-1111:2049-2051",28048.6,28048.6,28048.6,32872.6,0.00665353,0,4824,"0.00:0.75:0.00:0.57:0.65:0.00","None"
11,"COMPLETED","Frontier","Aurora","1045-1103:1106-1109:1112-1881:2352-2355:2358-2361",28839.6,28839.6,28839.6,36311.6,0.000573352,0,7472,"0.00:0.73:0.00:0.69:0.73:0.00","None"
12,"COMPLETED","Frontier","Frontier","1046-1109:1112-2048:2052-2329:2358-2361:4097-4103",29519.7,29519.7,29519.7,37725.9,0.000705535,0,8206.2,"0.00:0.67:0.00:0.55:0.72:0.00","None"
13,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-230:258",29766.7,29766.7,29766.7,33293.2,0.00962953,0,3526.53,"0.71:0.71:0.66:0.68:0.72:0.72","None"
14,"COMPLETED","Frontier","Frontier","1-480:542:2330-2357:2362-2785:5088-5096:5248-5282",30161.1,30161.1,30161.1,39633.1,0.000716535,0,9471.99,"0.00:0.70:0.00:0.63:0.72:0.68","None"
15,"COMPLETED","Aurora","Aurora","1882-1911",31824.2,31824.2,31824.2,33552.2,0.000665535,0,1728,"0.00:0.76:0.00:0.63:0.63:0.00","None"
16,"COMPLETED","Aurora","Aurora","1-1044:1104-1105:1110-1111:1912-2351:2356-2357:2362-3257:4097-4103:5082-5098",32992.1,32992.1,32992.1,38672.1,0.000673535,0,5680,"0.00:0.73:0.00:0.00:0.59:0.00","None"
17,"COMPLETED","Perlmutter-Phase-2","Frontier","481-541:543-1045:1110-1111:2049-2051:2786-4096:4104-4413:8193-8206",33017,33017,33017,39667.7,0.000605535,0,6650.77,"0.00:0.67:0.00:0.00:0.67:0.64","None"
18,"COMPLETED","Frontier","Frontier","4414-4904",33668.3,33668.3,33668.3,42550.3,0.000610535,0,8882,"0.00:0.73:0.00:0.69:0.75:0.00","None"
