JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000260535,0.000260535,562.8,0.000260535,0,562.8,"0.00:0.71:0.00:0.71:0.71:0.00","None"
2,"COMPLETED","Aurora","Aurora",3600,3600,3600,3621.06,0.000316535,0,21.0577,"0.00:1.00:0.00:0.90:0.86:0.00","None"
3,"COMPLETED","Perlmutter-Phase-1","Frontier",10800,10800,10800,11638.9,0.000283535,0,838.856,"0.00:0.98:0.00:0.99:0.95:0.88","None"
4,"COMPLETED","Andes","Perlmutter-Phase-1",18326.6,18326.6,18326.6,18391.4,0.000252519,0,64.8,"0.95:0.95:0.95:0.95:0.95:0.95","None"
5,"COMPLETED","Aurora","Aurora",18705.1,18705.1,18705.1,18730.8,0.000317535,0,25.6731,"0.00:1.00:0.00:0.92:0.84:0.00","None"
6,"COMPLETED","Frontier","Perlmutter-Phase-2",18902.4,18902.4,18902.4,19106.4,0.000257519,0,204,"0.95:0.95:0.95:0.95:0.95:0.95","None"
7,"COMPLETED","Frontier","Frontier",22376.8,22376.8,22376.8,23108.4,0.000282535,0,731.585,"0.00:0.99:0.00:1.00:0.95:0.00","None"
8,"COMPLETED","Frontier","Perlmutter-Phase-1",24153.1,24153.1,24153.1,25044.7,0.000255579,0,891.6,"0.00:0.95:0.00:0.95:0.95:0.79","None"
9,"COMPLETED","Frontier","Frontier",25979.9,25979.9,25979.9,26022.8,0.000292535,0,42.9082,"0.00:0.93:0.00:0.99:0.86:0.00","None"
10,"COMPLETED","Aurora","Aurora",28048.6,28048.6,28048.6,28222.6,0.000319535,0,173.942,"0.00:1.00:0.00:0.91:0.86:0.00","None"
11,"COMPLETED","Frontier","Aurora",28839.6,28839.6,28839.6,29109.1,0.000257535,0,269.423,"0.00:0.95:0.00:0.95:0.95:0.00","None"
12,"COMPLETED","Frontier","Frontier",29519.7,29519.7,29519.7,30340.3,0.000290535,0,820.62,"0.00:0.91:0.00:0.99:0.85:0.00","None"
13,"COMPLETED","Perlmutter-Phase-2","Andes",29766.7,29766.7,29766.7,29997.1,0.000256535,0,230.4,"0.95:0.95:0.95:0.91:0.95:0.95","None"
14,"COMPLETED","Frontier","Aurora",30161.1,30161.1,30161.1,30415.8,0.000255535,0,254.712,"0.00:0.99:0.00:0.85:0.95:0.86","None"
15,"COMPLETED","Aurora","Aurora",31824.2,31824.2,31824.2,31886.5,0.000307535,0,62.3077,"0.00:1.00:0.00:0.87:0.83:0.00","None"
16,"COMPLETED","Aurora","Aurora",32992.1,32992.1,32992.1,33196.9,0.000315535,0,204.808,"0.00:1.00:0.00:0.88:0.00:0.00","None"
17,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",33017,33017,33017,33761,0.000267535,0,744,"0.00:0.67:0.00:0.95:0.00:0.95","None"
18,"COMPLETED","Frontier","Frontier",33668.3,33668.3,33668.3,34556.5,0.000290535,0,888.2,"0.00:0.99:0.00:1.00:0.95:0.00","None"
19,"COMPLETED","Aurora","Aurora",34516.2,34516.2,34516.2,34708.6,0.000305535,0,192.404,"0.00:0.98:0.00:0.97:0.95:0.73","None"
20,"COMPLETED","Frontier","Aurora",34644.2,34644.2,34644.2,34755.6,0.000253535,0,111.346,"0.00:0.96:0.00:0.78:0.00:0.74","None"
21,"COMPLETED","Perlmutter-Phase-2","Aurora",35630.1,35630.1,35630.1,35914.3,0.000250712,0,284.135,"0.00:0.95:0.00:0.95:0.95:0.73","None"
22,"COMPLETED","Frontier","Perlmutter-Phase-1",36440.6,36440.6,36440.6,37289,0.000260535,0,848.4,"0.00:0.95:0.00:0.95:0.95:0.75","None"
23,"COMPLETED","Aurora","Frontier",36994.6,36994.6,36994.6,37807.7,0.000253712,0,813.111,"0.00:0.95:0.00:0.95:0.11:0.76","None"
24,"COMPLETED","Frontier","Aurora",37104.5,37104.5,37104.5,37315.7,0.000245535,0,211.154,"0.00:0.91:0.00:0.75:0.00:0.00","None"
25,"COMPLETED","Perlmutter-Phase-1","Aurora",37680.7,37680.7,37680.7,37819.7,0.000311535,0,139.038,"0.00:0.90:0.00:0.88:0.79:0.00","None"
26,"COMPLETED","Frontier","Frontier",37703,37703,37703,38236.1,0.000290535,0,533.135,"0.00:0.75:0.00:0.97:0.79:0.00","None"
27,"COMPLETED","Frontier","Aurora",37754.5,37754.5,37754.5,37911.7,0.000253535,0,157.212,"0.00:0.81:0.00:0.69:0.79:0.79","None"
28,"COMPLETED","Frontier","Aurora",37972,37972,37972,38002,0.000256535,0,30,"0.00:0.95:0.00:0.90:0.95:0.00","None"
29,"COMPLETED","Frontier","Frontier",38069.8,38069.8,38069.8,38859.3,0.000307535,0,789.511,"0.00:0.72:0.00:0.77:0.00:0.00","None"
30,"COMPLETED","Frontier","Aurora",38317.9,38317.9,38317.9,38509.5,0.000258535,0,191.538,"0.00:0.98:0.00:0.72:0.87:0.79","None"
31,"COMPLETED","Frontier","Aurora",38745.4,38745.4,38745.4,38977.3,0.000254535,0,231.923,"0.76:0.98:0.00:0.82:0.90:0.78","None"
32,"COMPLETED","Frontier","Frontier",40241.7,40241.7,40241.7,41114.9,0.000316535,0,873.182,"0.00:0.89:0.00:0.99:0.83:0.00","None"
33,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",40759.9,40759.9,40759.9,41495.5,0.000259535,0,735.6,"0.00:0.95:0.00:0.85:0.95:0.85","None"
34,"COMPLETED","Perlmutter-Phase-2","Aurora",41532,41532,41532,41661.8,0.000258535,0,129.808,"0.00:0.95:0.00:0.91:0.00:0.93","None"
35,"COMPLETED","Frontier","Frontier",41781.8,41781.8,41781.8,42385.7,0.000256535,0,603.933,"0.00:0.88:0.00:0.95:0.76:0.00","None"
36,"COMPLETED","Perlmutter-Phase-1","Aurora",41901.7,41901.7,41901.7,42146.9,0.000252535,0,245.192,"0.77:0.94:0.00:0.70:0.76:0.82","None"
37,"COMPLETED","Frontier","Aurora",42052.1,42052.1,42052.1,42238.7,0.000249535,0,186.635,"0.00:0.88:0.00:0.75:0.00:0.00","None"
38,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",42127.5,42127.5,42127.5,42983.1,0.000259535,0,855.6,"0.78:0.73:0.00:0.77:0.80:0.85","None"
39,"COMPLETED","Aurora","Perlmutter-Phase-1",42246.1,42246.1,42246.1,42439.3,0.000253535,0,193.2,"0.00:0.75:0.00:0.91:0.95:0.00","None"
40,"COMPLETED","Perlmutter-Phase-2","Frontier",42281.7,42281.7,42281.7,42812.7,0.000251535,0,530.989,"0.00:0.77:0.00:0.89:0.71:0.65","None"
41,"COMPLETED","Frontier","Aurora",43379.9,43379.9,43379.9,43393.8,0.000251535,0,13.8462,"0.00:0.95:0.00:0.95:0.95:0.00","None"
42,"COMPLETED","Aurora","Aurora",44138,44138,44138,44404.5,0.000260499,0,266.538,"0.77:0.95:0.00:0.95:0.90:0.73","None"
43,"COMPLETED","Frontier","Frontier",44238.7,44238.7,44238.7,44381.3,0.000305535,0,142.67,"0.00:0.92:0.00:0.99:0.87:0.00","None"
44,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",44416.7,44416.7,44416.7,45417.5,0.000291535,0,1000.8,"0.78:0.76:0.00:0.76:0.95:0.73","None"
45,"COMPLETED","Aurora","Frontier",44574.8,44574.8,44574.8,44615.5,0.000258535,0,40.7628,"0.95:0.98:0.95:0.99:0.81:0.95","None"
46,"COMPLETED","Perlmutter-Phase-2","Aurora",44800.2,44800.2,44800.2,44814.6,0.000258535,0,14.4231,"0.95:0.95:0.95:0.95:0.81:0.95","None"
47,"COMPLETED","Andes","Aurora",45483,45483,45483,45721.2,0.000258579,0,238.269,"0.79:0.95:0.00:0.94:0.72:0.75","None"
48,"COMPLETED","Aurora","Aurora",46081.1,46081.1,46081.1,46267.7,0.000255535,0,186.635,"0.82:0.95:0.00:0.95:0.81:0.76","None"
49,"COMPLETED","Aurora","Frontier",46558.1,46558.1,46558.1,47286.4,0.000251535,0,728.367,"0.00:0.99:0.00:1.00:0.88:0.00","None"
50,"COMPLETED","Frontier","Aurora",46623.4,46623.4,46623.4,46861.7,0.000254476,0,238.269,"0.00:0.95:0.00:0.71:0.86:0.76","None"
51,"COMPLETED","Perlmutter-Phase-1","Aurora",47226.6,47226.6,47226.6,47259.8,0.000289535,0,33.1731,"0.95:0.99:0.95:0.97:0.95:0.95","None"
52,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",47342.1,47342.1,47342.1,48623.7,0.000287535,0,1281.6,"0.00:0.81:0.00:0.77:0.90:0.00","None"
53,"COMPLETED","Aurora","Aurora",47750.8,47750.8,47750.8,47983.6,0.000264535,0,232.788,"0.00:0.95:0.00:0.83:0.25:0.78","None"
54,"COMPLETED","Perlmutter-Phase-1","Frontier",48147.6,48147.6,48147.6,48967.2,0.000311535,0,819.547,"0.00:0.84:0.00:0.88:0.71:0.00","None"
55,"COMPLETED","Aurora","Aurora",48640.9,48640.9,48640.9,48840.8,0.000307535,0,199.904,"0.00:1.00:0.00:0.77:0.60:0.00","None"
56,"COMPLETED","Frontier","Frontier",48956.7,48956.7,48956.7,49588.6,0.000256535,0,631.824,"0.00:0.86:0.00:0.93:0.76:0.83","None"
57,"COMPLETED","Perlmutter-Phase-1","Aurora",48978.4,48978.4,48978.4,49197.3,0.000255535,0,218.942,"0.00:0.85:0.00:0.68:0.75:0.80","None"
