JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,13.917,13.917,5044.91,13.917,0,5030.99,"0.00:0.88:0.00:0.93:0.87:0.00","None"
2,"COMPLETED","Aurora","Aurora",3600,3613.47,3613.47,4197.47,13.4702,0,584,"0.00:0.97:0.00:0.72:0.68:0.00","None"
3,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",10800,10812.7,10812.7,25175.9,12.6535,0,14363.3,"0.00:0.77:0.00:0.85:0.77:0.87","None"
4,"COMPLETED","Andes","Crux",18326.6,18341.3,18341.3,19313.3,14.6887,0,972,"0.92:0.67:0.93:0.67:0.67:0.85","None"
5,"COMPLETED","Aurora","Aurora",18705.1,18717.7,18717.7,19429.7,12.571,0,712,"0.00:0.97:0.00:0.70:0.78:0.00","None"
6,"COMPLETED","Frontier","Perlmutter-Phase-2",18902.4,18915.8,18915.8,22038.2,13.387,0,3122.45,"0.68:0.80:0.65:0.88:0.85:0.90","None"
7,"COMPLETED","Frontier","Frontier",22376.8,22389.2,22389.2,29705.1,12.4556,0,7315.85,"0.00:0.85:0.00:0.95:0.88:0.00","None"
8,"COMPLETED","Frontier","Perlmutter-Phase-2",24153.1,24166.6,24166.6,37813.5,13.4705,0,13646.9,"0.00:0.65:0.00:0.70:0.78:0.90","None"
9,"COMPLETED","Frontier","Frontier",25979.9,25992.3,25992.3,26421.4,12.4033,0,429.082,"0.00:0.80:0.00:0.95:0.78:0.00","None"
10,"COMPLETED","Aurora","Aurora",28048.6,28062.1,28062.1,32886.1,13.4834,0,4824,"0.00:0.93:0.00:0.68:0.62:0.00","None"
11,"COMPLETED","Frontier","Aurora",28839.6,28853,28853,36325,13.3233,0,7472,"0.00:0.92:0.00:0.84:0.88:0.00","None"
12,"COMPLETED","Frontier","Frontier",29519.7,29533.1,29533.1,37739.3,13.4414,0,8206.2,"0.00:0.80:0.00:0.92:0.70:0.00","None"
13,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",29766.7,29782.2,29782.2,33308.7,15.5428,0,3526.53,"0.72:0.67:0.88:0.65:0.75:0.93","None"
14,"COMPLETED","Frontier","Perlmutter-Phase-2",30161.1,30177.7,30177.7,46396.1,16.6221,0,16218.4,"0.00:0.75:0.00:0.85:0.75:0.93","None"
15,"COMPLETED","Aurora","Aurora",31824.2,31838,31838,33566,13.775,0,1728,"0.00:0.96:0.00:0.78:0.78:0.00","None"
16,"COMPLETED","Aurora","Aurora",32992.1,33006.2,33006.2,38686.2,14.0865,0,5680,"0.00:0.90:0.00:0.78:0.00:0.00","None"
17,"COMPLETED","Perlmutter-Phase-2","Frontier",33017,33032.3,33032.3,39683,15.3136,0,6650.77,"0.00:0.60:0.00:0.60:0.00:0.38","None"
18,"COMPLETED","Frontier","Perlmutter-Phase-1",33668.3,33681.6,33681.6,51857.3,13.3798,0,18175.6,"0.00:0.84:0.00:0.93:0.93:0.00","None"
19,"COMPLETED","Aurora","Perlmutter-Phase-2",34516.2,34530.7,34530.7,46781.7,14.5424,0,12251,"0.00:0.77:0.00:0.75:0.85:0.85","None"
20,"COMPLETED","Frontier","Frontier",34644.2,34660.1,34660.1,38800.7,15.8545,0,4140.64,"0.00:0.82:0.00:0.85:0.00:0.27","None"
21,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",35630.1,35645.6,35645.6,53737.4,15.4588,0,18091.8,"0.00:0.77:0.00:0.73:0.83:0.88","None"
22,"COMPLETED","Frontier","Frontier",36440.6,36456.6,36456.6,44040.6,15.9987,0,7584.03,"0.00:0.75:0.00:0.77:0.65:0.40","None"
23,"COMPLETED","Aurora","Perlmutter-Phase-1",36994.6,37010.4,37010.4,53649.4,15.8083,0,16639,"0.00:0.65:0.00:0.63:0.81:0.13","None"
24,"COMPLETED","Frontier","Frontier",37104.5,37119.3,37119.3,44971.5,14.7832,0,7852.21,"0.00:0.81:0.00:0.90:0.00:0.00","None"
25,"COMPLETED","Perlmutter-Phase-1","Aurora",37680.7,37696.6,37696.6,41552.6,15.9301,0,3856,"0.00:0.80:0.00:0.43:0.37:0.00","None"
26,"COMPLETED","Frontier","Aurora",37703,37721,37721,41697,18.0314,0,3976,"0.00:0.85:0.00:0.62:0.58:0.00","None"
27,"COMPLETED","Frontier","Aurora",37754.5,37770.8,37770.8,42130.8,16.3854,0,4360,"0.00:0.80:0.00:0.80:0.50:0.55","None"
28,"COMPLETED","Frontier","Frontier",37972,37988.2,37988.2,39103.8,16.1648,0,1115.61,"0.00:0.84:0.00:0.90:0.88:0.00","None"
29,"COMPLETED","Frontier","Frontier",38069.8,38084.2,38084.2,45979.3,14.3967,0,7895.11,"0.00:0.80:0.00:0.90:0.00:0.00","None"
30,"COMPLETED","Frontier","Aurora",38317.9,38332.9,38332.9,43644.9,14.9307,0,5312,"0.00:0.75:0.00:0.50:0.40:0.67","None"
31,"COMPLETED","Frontier","Andes",38745.4,38761.4,38761.4,78961.4,15.9648,0,40200,"0.78:0.75:0.00:0.57:0.30:0.61","None"
32,"COMPLETED","Frontier","Frontier",40241.7,40256.3,40256.3,48988.1,14.5778,0,8731.82,"0.00:0.77:0.00:0.85:0.13:0.00","None"
33,"COMPLETED","Perlmutter-Phase-2","Frontier",40759.9,40776.3,40776.3,47351.9,16.3694,0,6575.69,"0.00:0.63:0.00:0.65:0.20:0.57","None"
34,"COMPLETED","Perlmutter-Phase-2","Aurora",41532,41549,41549,45149,17.0127,0,3600,"0.00:0.63:0.00:0.60:0.00:0.42","None"
35,"COMPLETED","Frontier","Aurora",41781.8,41797.1,41797.1,46301.1,15.3322,0,4504,"0.00:0.93:0.00:0.93:0.37:0.00","None"
36,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",41901.7,41918.2,41918.2,57530.5,16.4841,0,15612.2,"0.05:0.75:0.00:0.77:0.55:0.87","None"
37,"COMPLETED","Frontier","Frontier",42052.1,42066.9,42066.9,49007.3,14.8846,0,6940.41,"0.00:0.80:0.00:0.88:0.00:0.00","None"
38,"COMPLETED","Perlmutter-Phase-1","Frontier",42127.5,42142,42142,49790.4,14.5193,0,7648.39,"0.38:0.75:0.00:0.85:0.32:0.68","None"
39,"COMPLETED","Aurora","Perlmutter-Phase-1",42246.1,42260.8,42260.8,45794.9,14.6458,0,3534.15,"0.00:0.87:0.00:0.90:0.91:0.00","None"
40,"COMPLETED","Perlmutter-Phase-2","Aurora",42281.7,42300.3,42300.3,46260.3,18.5771,0,3960,"0.00:0.73:0.00:0.40:0.40:0.45","None"
41,"COMPLETED","Frontier","Frontier",43379.9,43394.6,43394.6,43909.5,14.7217,0,514.899,"0.00:0.90:0.00:0.93:0.54:0.00","None"
42,"COMPLETED","Aurora","Aurora",44138,44154,44154,51546,16.0365,0,7392,"0.28:0.80:0.00:0.75:0.30:0.58","None"
43,"COMPLETED","Frontier","Frontier",44238.7,44252.6,44252.6,45679.3,13.8925,0,1426.7,"0.00:0.85:0.00:0.88:0.73:0.00","None"
44,"COMPLETED","Perlmutter-Phase-2","Aurora",44416.7,44431.7,44431.7,51103.7,15.054,0,6672,"0.20:0.80:0.00:0.75:0.37:0.52","None"
45,"COMPLETED","Aurora","Perlmutter-Phase-1",44574.8,44588.3,44588.3,45422.4,13.4849,0,834.146,"0.60:0.77:0.68:0.77:0.93:0.83","None"
46,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",44800.2,44815.3,44815.3,45733.6,15.1152,0,918.367,"0.12:0.77:0.62:0.75:0.65:0.88","None"
47,"COMPLETED","Andes","Aurora",45483,45498.6,45498.6,52106.6,15.6636,0,6608,"0.12:0.75:0.00:0.75:0.45:0.45","None"
48,"COMPLETED","Aurora","Aurora",46081.1,46095.2,46095.2,51271.2,14.1034,0,5176,"0.55:0.67:0.00:0.65:0.40:0.47","None"
49,"COMPLETED","Aurora","Frontier",46558.1,46574.9,46574.9,53858.6,16.8736,0,7283.67,"0.00:0.88:0.00:0.89:0.53:0.00","None"
50,"COMPLETED","Frontier","Frontier",46623.4,46638.8,46638.8,55499.4,15.4391,0,8860.55,"0.00:0.75:0.00:0.85:0.47:0.82","None"
51,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",47226.6,47244.1,47244.1,49356.3,17.4421,0,2112.24,"0.73:0.80:0.60:0.80:0.83:0.93","None"
52,"COMPLETED","Perlmutter-Phase-1","Frontier",47342.1,47359.9,47359.9,58816.4,17.7992,0,11456.5,"0.00:0.85:0.00:0.90:0.30:0.00","None"
53,"COMPLETED","Aurora","Perlmutter-Phase-2",47750.8,47767.6,47767.6,62590,16.757,0,14822.4,"0.00:0.75:0.00:0.70:0.48:0.88","None"
54,"COMPLETED","Perlmutter-Phase-1","Aurora",48147.6,48162.6,48162.6,54274.6,14.974,0,6112,"0.00:0.78:0.00:0.78:0.38:0.00","None"
55,"COMPLETED","Aurora","Aurora",48640.9,48658.4,48658.4,54202.4,17.4497,0,5544,"0.00:0.95:0.00:0.78:0.52:0.00","None"
56,"COMPLETED","Frontier","Frontier",48956.7,48971.3,48971.3,55289.6,14.5906,0,6318.24,"0.00:0.73:0.00:0.87:0.40:0.57","None"
57,"COMPLETED","Perlmutter-Phase-1","Frontier",48978.4,48996.9,48996.9,57138.8,18.5764,0,8141.84,"0.00:0.65:0.00:0.65:0.09:0.64","None"
58,"COMPLETED","Perlmutter-Phase-2","Frontier",49177.7,49192.4,49192.4,54416.4,14.7108,0,5224.08,"0.00:0.73:0.00:0.80:0.00:0.43","None"
59,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",49396.7,49413.7,49413.7,63685.2,17.0076,0,14271.4,"0.18:0.75:0.00:0.85:0.65:0.92","None"
60,"COMPLETED","Frontier","Aurora",49455.7,49471.5,49471.5,54071.5,15.7877,0,4600,"0.00:0.75:0.00:0.73:0.50:0.52","None"
61,"COMPLETED","Frontier","Frontier",49630,49642.9,49642.9,54191.2,12.8801,0,4548.27,"0.00:0.74:0.00:0.87:0.00:0.00","None"
62,"COMPLETED","Frontier","Frontier",49777.6,49792.5,49792.5,56282.3,14.8937,0,6489.87,"0.00:0.81:0.00:0.87:0.38:0.00","None"
63,"COMPLETED","Perlmutter-Phase-1","Frontier",50038,50055.8,50055.8,59281.1,17.8509,0,9225.27,"0.00:0.77:0.00:0.78:0.57:0.00","None"
64,"COMPLETED","Frontier","Aurora",50122.8,50138.9,50138.9,55690.9,16.18,0,5552,"0.00:0.92:0.00:0.70:0.65:0.00","None"
65,"COMPLETED","Andes","Aurora",50212.4,50228.8,50228.8,56644.8,16.4396,0,6416,"0.25:0.80:0.00:0.67:0.40:0.67","None"
66,"COMPLETED","Aurora","Perlmutter-Phase-2",51187.9,51203.9,62590,73775.8,15.9796,11386.1,11185.7,"0.00:0.63:0.00:0.40:0.35:0.65","None"
67,"COMPLETED","Perlmutter-Phase-1","Aurora",51245.2,51261.3,51261.3,57997.3,16.1031,0,6736,"0.00:0.80:0.00:0.72:0.48:0.00","None"
68,"COMPLETED","Aurora","Aurora",52110,52126.5,52126.5,58190.5,16.5257,0,6064,"0.00:0.93:0.00:0.38:0.51:0.00","None"
69,"COMPLETED","Frontier","Perlmutter-Phase-2",52208.5,52224.3,62590,75318.6,15.7612,10365.8,12728.6,"0.24:0.75:0.00:0.60:0.75:0.75","None"
70,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",52359.2,52373.2,52373.2,55665.9,14.0419,0,3292.68,"0.00:0.77:0.00:0.68:0.90:0.00","None"
71,"COMPLETED","Frontier","Aurora",52781.5,52797.1,52797.1,57253.1,15.5557,0,4456,"0.00:0.74:0.00:0.45:0.55:0.00","None"
72,"COMPLETED","Aurora","Aurora",53532.1,53549.1,53549.1,59317.1,16.9655,0,5768,"0.00:0.75:0.00:0.42:0.50:0.54","None"
73,"COMPLETED","Frontier","Aurora",53820.2,53836.3,53836.3,58908.3,16.0523,0,5072,"0.00:0.77:0.00:0.68:0.66:0.00","None"
74,"COMPLETED","Perlmutter-Phase-2","Frontier",54973.1,54986.6,54986.6,61969.9,13.4467,0,6983.31,"0.00:0.82:0.00:0.88:0.82:0.84","None"
75,"COMPLETED","Frontier","Frontier",55300.4,55314.4,55314.4,61525.4,13.998,0,6210.97,"0.00:0.77:0.00:0.93:0.78:0.00","None"
76,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",55680.3,55694.7,55694.7,73760.6,14.4568,0,18065.9,"0.72:0.63:0.00:0.75:0.80:0.78","None"
77,"COMPLETED","Perlmutter-Phase-1","Aurora",56050.9,56065.8,56065.8,60425.8,14.835,0,4360,"0.00:0.77:0.00:0.63:0.58:0.00","None"
78,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",56343.6,56358.4,56358.4,66809.4,14.7603,0,10451,"0.00:0.75:0.00:0.85:0.84:0.88","None"
79,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",57149.1,57166.5,57166.5,69656.7,17.3383,0,12490.2,"0.00:0.78:0.00:0.66:0.82:0.00","None"
80,"COMPLETED","Perlmutter-Phase-2","Frontier",57219.8,57236,57236,63779.5,16.2641,0,6543.5,"0.00:0.73:0.00:0.73:0.00:0.61","None"
81,"COMPLETED","Perlmutter-Phase-2","Frontier",57343.1,57360.1,57360.1,64268.3,16.9946,0,6908.22,"0.10:0.73:0.00:0.85:0.40:0.63","None"
82,"COMPLETED","Aurora","Aurora",57606.5,57623.2,57623.2,67511.2,16.6872,0,9888,"0.00:0.88:0.00:0.87:0.48:0.00","None"
83,"COMPLETED","Aurora","Aurora",58000.2,58014.3,58014.3,62414.3,14.0708,0,4400,"0.00:0.92:0.00:0.63:0.00:0.00","None"
84,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",58163.3,58179.2,58179.2,59703.7,15.9303,0,1524.49,"0.12:0.80:0.70:0.80:0.57:0.86","None"
85,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",59262.4,59278.5,59278.5,59903,16.1378,0,624.49,"0.25:0.75:0.60:0.82:0.45:0.84","None"
86,"COMPLETED","Aurora","Aurora",59463.3,59477.9,59477.9,65309.9,14.5639,0,5832,"0.00:0.92:0.00:0.68:0.23:0.00","None"
87,"COMPLETED","Perlmutter-Phase-1","Aurora",59943.3,59960.1,59960.1,67648.1,16.7608,0,7688,"0.00:0.77:0.00:0.75:0.58:0.67","None"
88,"COMPLETED","Perlmutter-Phase-2","Aurora",60203.8,60219.8,60219.8,66259.8,15.947,0,6040,"0.00:0.73:0.00:0.70:0.35:0.42","None"
89,"COMPLETED","Aurora","Aurora",60344.1,60359,60359,65039,14.9035,0,4680,"0.00:0.90:0.00:0.83:0.00:0.00","None"
90,"COMPLETED","Perlmutter-Phase-1","Frontier",61159.1,61173.1,61173.1,71460.3,13.9521,0,10287.2,"0.00:0.82:0.00:0.85:0.70:0.00","None"
91,"COMPLETED","Perlmutter-Phase-2","Frontier",61665.3,61681.1,61681.1,70842,15.8551,0,9160.91,"0.05:0.73:0.00:0.85:0.50:0.74","None"
92,"COMPLETED","Perlmutter-Phase-1","Frontier",61821.4,61837.6,61837.6,68091.4,16.1347,0,6253.87,"0.00:0.75:0.00:0.93:0.42:0.00","None"
93,"COMPLETED","Frontier","Perlmutter-Phase-2",61908.9,61923.9,68739.6,79502.9,15.0616,6815.66,10763.3,"0.00:0.53:0.00:0.65:0.10:0.74","None"
94,"COMPLETED","Perlmutter-Phase-1","Frontier",62441.6,62457.4,62457.4,68689.8,15.7639,0,6232.42,"0.00:0.73:0.00:0.80:0.40:0.37","None"
95,"COMPLETED","Perlmutter-Phase-1","Aurora",62870.1,62884.6,62884.6,69028.6,14.4798,0,6144,"0.00:0.77:0.00:0.73:0.58:0.00","None"
96,"COMPLETED","Aurora","Aurora",63032.3,63047.3,63047.3,68847.3,14.9839,0,5800,"0.00:0.93:0.00:0.63:0.00:0.00","None"
97,"COMPLETED","Perlmutter-Phase-1","Frontier",63090.6,63107,63107,71549.2,16.4523,0,8442.19,"0.00:0.73:0.00:0.73:0.30:0.54","None"
98,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",63368.5,63385.6,63385.6,63936.6,17.0339,0,551.02,"0.57:0.70:0.88:0.78:0.47:0.90","None"
99,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",63776.4,63791.5,73775.8,93245.1,15.1176,9984.29,19469.4,"0.30:0.73:0.00:0.73:0.57:0.87","None"
100,"COMPLETED","Perlmutter-Phase-1","Aurora",63943,63957.4,63957.4,71509.4,14.4168,0,7552,"0.00:0.78:0.00:0.78:0.48:0.00","None"
101,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",64241.7,64257.2,73775.8,95724.7,15.5329,9518.57,21949,"0.72:0.60:0.00:0.65:0.42:0.74","None"
102,"COMPLETED","Crux","Crux",64404.6,64420.2,64420.2,65554.2,15.5965,0,1134,"0.88:0.68:0.93:0.70:0.82:0.83","None"
103,"COMPLETED","Perlmutter-Phase-1","Aurora",64702.9,64717.9,64717.9,71157.9,14.9991,0,6440,"0.00:0.77:0.00:0.68:0.48:0.00","None"
104,"COMPLETED","Perlmutter-Phase-2","Aurora",65424.2,65442.4,65442.4,70970.4,18.152,0,5528,"0.00:0.78:0.00:0.77:0.18:0.50","None"
105,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",66354.9,66370.2,66370.2,68739.6,15.3632,0,2369.39,"0.38:0.75:0.52:0.85:0.90:0.93","None"
106,"COMPLETED","Perlmutter-Phase-1","Aurora",66548.6,66565.2,66565.2,72917.2,16.5876,0,6352,"0.00:0.63:0.00:0.63:0.28:0.62","None"
107,"COMPLETED","Perlmutter-Phase-1","Frontier",67943.2,67958.2,67958.2,73954.6,15.0015,0,5996.42,"0.00:0.73:0.00:0.85:0.45:0.85","None"
108,"COMPLETED","Perlmutter-Phase-1","Aurora",75527.2,75543.1,75543.1,80607.1,15.9,0,5064,"0.00:0.80:0.00:0.80:0.77:0.52","None"
109,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",84839.7,84854.6,84854.6,85589.3,14.8621,0,734.694,"0.68:0.80:0.75:0.85:0.83:0.93","None"
110,"COMPLETED","Frontier","Frontier",86400,86413.8,86413.8,91916.8,13.8264,0,5502.98,"0.00:0.77:0.00:0.93:0.00:0.00","None"
111,"COMPLETED","Crux","Perlmutter-Phase-2",90000,90013.7,90013.7,92915.8,13.7102,0,2902.04,"0.68:0.80:0.80:0.77:0.90:0.93","None"
112,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",97200,97215.6,97215.6,115786,15.561,0,18570.7,"0.00:0.85:0.00:0.92:0.95:0.00","None"
