JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier","1-1251:2049-2051:2358-2361:5248-5282",0,0.0238355,0.0238355,5031.01,0.0238355,0,5030.99,"0.00:0.71:0.00:0.71:0.71:0.00","None"
2,"COMPLETED","Aurora","Aurora","1-193:258",3600,3600.02,3600.02,4184.02,0.0237145,0,584,"0.00:0.76:0.00:0.63:0.62:0.00","None"
3,"COMPLETED","Perlmutter-Phase-1","Frontier","1-690:1025:1110-1111:5248-5282",10800,10800,10800,19188.6,0.0246925,0,8388.56,"0.00:0.75:0.00:0.71:0.75:0.71","None"
4,"COMPLETED","Andes","Andes","1-192:258",18326.6,18326.6,18326.6,21026.6,0.0251701,0,2700,"0.71:0.71:0.71:0.71:0.69:0.71","None"
5,"COMPLETED","Aurora","Aurora","1-27",18705.1,18705.1,18705.1,19417.1,0.0245825,0,712,"0.00:0.76:0.00:0.61:0.66:0.00","None"
6,"COMPLETED","Frontier","Perlmutter-Phase-1","1-63",18902.4,18902.4,18902.4,22634.1,0.0243484,0,3731.71,"0.63:0.71:0.71:0.71:0.69:0.71","None"
7,"COMPLETED","Frontier","Frontier","1-480:542:5248-5282",22376.8,22376.8,22376.8,29692.6,0.0239585,0,7315.85,"0.00:0.76:0.00:0.70:0.76:0.00","None"
8,"COMPLETED","Frontier","Aurora","1-564:1025:1104-1105:1110-1111",24153.1,24153.1,24153.1,30097.1,0.0239375,0,5944,"0.00:0.71:0.00:0.71:0.70:0.71","None"
9,"COMPLETED","Frontier","Frontier","481-541:543-725:1025:1110-1111",25979.9,25979.9,25979.9,26409,0.0240835,0,429.082,"0.00:0.68:0.00:0.62:0.74:0.00","None"
10,"COMPLETED","Aurora","Aurora","565-1024:1026-1103:1106-1109:1112-1609:2049-2051:2352-2355:2358-2361",28048.6,28048.6,28048.6,32872.6,0.0237335,0,4824,"0.00:0.75:0.00:0.62:0.65:0.00","None"
11,"COMPLETED","Frontier","Perlmutter-Phase-1","1-838:1025:1110-1111",28839.6,28839.7,28839.7,49342.1,0.0237354,0,20502.4,"0.00:0.67:0.00:0.71:0.70:0.00","None"
12,"COMPLETED","Frontier","Frontier","481-541:543-1764:2049-2051:2358-2361",29519.7,29519.7,29519.7,37725.9,0.0238045,0,8206.2,"0.00:0.63:0.00:0.15:0.74:0.00","None"
13,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-230:258",29766.7,29766.7,29766.7,33293.2,0.0257885,0,3526.53,"0.71:0.67:0.71:0.55:0.67:0.71","None"
