JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000606535,0.000606535,582.48,0.000606535,0,582.479,"0.00:0.75:0.00:0.79:0.64:0.72","None"
2,"COMPLETED","Crux","Frontier",3600,3600,3600,3680.45,0.000597392,0,80.4529,"0.73:0.75:0.70:0.80:0.73:0.76","None"
3,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",10800,10800,10800,11570.4,0.000598535,0,770.4,"0.00:0.64:0.00:0.60:0.69:0.00","None"
4,"COMPLETED","Aurora","Aurora",18705.1,18705.1,18705.1,18938.7,0.000710535,0,233.654,"0.00:0.83:0.00:0.60:0.46:0.00","None"
5,"COMPLETED","Frontier","Perlmutter-Phase-2",18966.7,18966.7,18966.7,19879.9,0.00359053,0,913.2,"0.66:0.76:0.00:0.76:0.74:0.81","None"
6,"COMPLETED","Frontier","Aurora",22217,22217,22217,22371,0.000634535,0,154.038,"0.00:0.80:0.00:0.80:0.73:0.00","None"
7,"COMPLETED","Aurora","Aurora",28048.6,28048.6,28048.6,28307.7,0.000597535,0,259.038,"0.00:0.83:0.00:0.60:0.47:0.00","None"
8,"COMPLETED","Andes","Perlmutter-Phase-2",30732,30732,30732,31704,0.000593392,0,972,"0.66:0.76:0.00:0.76:0.73:0.80","None"
9,"COMPLETED","Aurora","Aurora",31824.2,31824.2,31824.2,32088.2,0.00364653,0,263.942,"0.00:0.84:0.00:0.62:0.54:0.00","None"
10,"COMPLETED","Frontier","Frontier",34000.2,34000.2,34000.2,35250.9,0.000642535,0,1250.77,"0.00:0.81:0.00:0.84:0.74:0.00","None"
11,"COMPLETED","Aurora","Aurora",34516.2,34516.2,34516.2,34740.3,0.000589535,0,224.135,"0.00:0.81:0.00:0.57:0.40:0.00","None"
12,"COMPLETED","Frontier","Frontier",36426.6,36426.6,36426.6,37012.3,0.00343908,0,585.697,"0.00:0.65:0.00:0.79:0.44:0.00","None"
