JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier","1-810:1025:1110-1111:5248-5282",0,0.0436645,0.0436645,5824.84,0.0436645,0,5824.79,"0.00:0.97:0.00:0.97:0.78:0.94","None"
2,"COMPLETED","Crux","Perlmutter-Phase-2","1-69",3600,3600.02,3600.02,4977.57,0.0178344,0,1377.55,"0.95:0.97:0.91:0.94:0.97:0.98","None"
3,"COMPLETED","Perlmutter-Phase-1","Aurora","1-855:1025:1104-1105:1110-1111",10800,10800,10800,15936,0.0174325,0,5136,"0.00:0.91:0.00:0.89:0.80:0.00","None"
4,"COMPLETED","Aurora","Aurora","1-816:1025:1104-1105:1110-1111",18705.1,18705.1,18705.1,25185.1,0.0111205,0,6480,"0.00:0.98:0.00:0.86:0.74:0.00","None"
5,"COMPLETED","Frontier","Perlmutter-Phase-2","1-419:542",18966.7,18966.7,18966.7,32944.2,0.0214495,0,13977.6,"0.79:0.95:0.00:0.97:0.93:0.98","None"
6,"COMPLETED","Frontier","Frontier","1-844:1025:1110-1111:5248-5282",22217,22217,22217,27945.2,0.0134271,0,5728.25,"0.00:0.95:0.00:0.97:0.80:0.00","None"
7,"COMPLETED","Aurora","Aurora","1-736:1025:1104-1105:1110-1111",28048.6,28048.6,28048.6,35232.6,0.0259745,0,7184,"0.00:0.98:0.00:0.90:0.78:0.00","None"
8,"COMPLETED","Andes","Frontier","1-371:542:5248-5282",30732,30732.1,30732.1,39421,0.0405695,0,8688.92,"0.78:0.94:0.00:0.97:0.93:0.94","None"
9,"COMPLETED","Aurora","Aurora","737-1024:1026-1102:2049-2051",31824.2,31824.2,31824.2,39144.2,0.00783853,0,7320,"0.00:0.96:0.00:0.90:0.84:0.00","None"
10,"COMPLETED","Frontier","Frontier","372-541:543-860:1025:1110-1111",34000.2,34000.2,34000.2,46507.9,0.00974108,0,12507.7,"0.00:0.95:0.00:0.97:0.90:0.00","None"
11,"COMPLETED","Aurora","Aurora","1103:1106-1109:1112-2048:2052-2620:4097-4103:5082-5098",34516.2,34516.2,34516.2,40732.2,0.0131101,0,6216,"0.00:0.95:0.00:0.84:0.68:0.00","None"
12,"COMPLETED","Frontier","Frontier","861-1024:1026-1109:1112-1877:2049-2051:2358-2361",36426.6,36426.6,36426.6,42283.6,0.0103611,0,5856.97,"0.00:0.84:0.00:0.95:0.69:0.00","None"
13,"COMPLETED","Frontier","Aurora","1-736:1025:1104-1105:1110-1111:2621-2971",36542.1,36542.1,36542.1,40494.1,0.0102255,0,3952,"0.00:0.92:0.00:0.92:0.80:0.00","None"
14,"COMPLETED","Frontier","Frontier","1878-2048:2052-2357:2362-3101:4097-4103:5088-5096",38377.7,38377.7,38377.7,44052.3,0.00648508,0,5674.61,"0.00:0.78:0.00:0.92:0.72:0.00","None"
15,"COMPLETED","Frontier","Perlmutter-Phase-2","1-481:542",38596.7,38596.7,38596.7,53400.8,0.0117284,0,14804.1,"0.78:0.88:0.00:0.87:0.89:0.98","None"
16,"COMPLETED","Frontier","Andes","1-31",39238,39238,39238,40738,0.00763153,0,1500,"0.98:0.89:0.98:0.86:0.96:0.93","None"
17,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","482-541:543-896:1025:1110-1111",40192.1,40192.1,40192.1,55547.2,0.0110775,0,15355.1,"0.77:0.89:0.00:0.88:0.93:0.94","None"
18,"COMPLETED","Frontier","Perlmutter-Phase-1","1-269:542",40445.2,40445.2,40445.2,69684.2,0.00653435,0,29239,"0.00:0.90:0.00:0.89:0.98:0.00","None"
19,"COMPLETED","Perlmutter-Phase-1","Aurora","1-225:258",41901.7,41901.8,41901.8,42309.8,0.0109984,0,408,"0.88:0.97:0.78:0.88:0.92:0.89","None"
20,"COMPLETED","Perlmutter-Phase-1","Andes","1-91",42127.5,42127.5,42127.5,44827.5,0.0154504,0,2700,"0.96:0.96:0.88:0.88:0.92:0.90","None"
21,"COMPLETED","Aurora","Aurora","226-257:259-1692:2049-2051:2352-2355:2358-2361",42246.1,42246.1,42246.1,47542.1,0.0149141,0,5296,"0.00:0.95:0.00:0.88:0.39:0.71","None"
22,"COMPLETED","Perlmutter-Phase-2","Aurora","1693-2048:2052-2351:2356-2357:2362-2888:4097-4103:5082-5098",42281.7,42281.7,42281.7,46473.7,0.00892735,0,4192,"0.00:0.92:0.00:0.89:0.74:0.72","None"
23,"COMPLETED","Andes","Frontier","1-371:542:861-1024:1026-1109:1112-1153:2049-2051:2358-2361:5248-5282",44173.1,44173.2,44173.2,52068.3,0.0114135,0,7895.11,"0.76:0.88:0.00:0.94:0.72:0.85","None"
24,"COMPLETED","Perlmutter-Phase-1","Frontier","1154-1279",44194.6,44194.6,44194.6,45127.9,0.0100135,0,933.254,"0.92:0.90:0.88:0.93:0.92:0.89","None"
25,"COMPLETED","Perlmutter-Phase-1","Frontier","1280-2048:2052-2192:4097-4103",44416.7,44416.7,44416.7,51282,0.0118534,0,6865.32,"0.00:0.89:0.00:0.92:0.72:0.85","None"
26,"COMPLETED","Frontier","Frontier","1154-1279:2193-2357:2362-2801:5088-5096",45543.6,45543.7,45543.7,55380.4,0.00687253,0,9836.71,"0.00:0.89:0.00:0.90:0.74:0.86","None"
27,"COMPLETED","Andes","Aurora","1-225:258:2889-3230",46419.8,46419.8,46419.8,53411.8,0.00484553,0,6992,"0.77:0.89:0.00:0.88:0.84:0.89","None"
28,"COMPLETED","Aurora","Aurora","1693-2048:2052-2351:4097-4103:5082-5084",46558.1,46558.1,46558.1,51454.1,0.00354053,0,4896,"0.00:0.92:0.00:0.91:0.74:0.00","None"
29,"COMPLETED","Frontier","Frontier","372-541:543-860:1025:1110-1111:2802-2930",47363.3,47363.3,47363.3,58723.3,0.00458508,0,11360,"0.00:0.81:0.00:0.90:0.76:0.00","None"
30,"COMPLETED","Aurora","Aurora","226-257:259-715:1025:1104-1105:1110-1111",47750.8,47750.8,47750.8,55214.8,0.00554908,0,7464,"0.00:0.94:0.00:0.88:0.85:0.00","None"
31,"COMPLETED","Perlmutter-Phase-1","Aurora","716-1024:1026-1103:1106-1109:1112-1692:2049-2051:2352-2361:5085-5092",47832.1,47832.1,47832.1,52392.1,0.00567727,0,4560,"0.00:0.92:0.00:0.87:0.74:0.81","None"
32,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","897-1024:1026-1109:1112-1495:2049-2051:2358-2361",48147.6,48147.6,48147.6,59719.1,0.0109735,0,11571.4,"0.80:0.88:0.00:0.87:0.83:0.89","None"
33,"COMPLETED","Perlmutter-Phase-2","Aurora","2362-2888:3231-3999:5093-5098",48929.3,48929.3,48929.3,53561.3,0.00937053,0,4632,"0.00:0.89:0.00:0.87:0.39:0.66","None"
34,"COMPLETED","Aurora","Frontier","2931-4096:4104-4324:8193-8206",51187.9,51187.9,51187.9,56487.1,0.00396253,0,5299.17,"0.00:0.86:0.00:0.89:0.39:0.00","None"
35,"COMPLETED","Perlmutter-Phase-1","Frontier","1280-1960",51338,51338,51338,58160.4,0.00891027,0,6822.41,"0.00:0.86:0.00:0.87:0.75:0.00","None"
36,"COMPLETED","Frontier","Aurora","1693-2048:2052-2181:4097-4103",51641.6,51641.6,51641.6,57049.6,0.00385227,0,5408,"0.00:0.88:0.00:0.85:0.84:0.00","None"
37,"COMPLETED","Frontier","Perlmutter-Phase-1","270-424",52290.6,52290.6,52290.6,53541.8,0.00445335,0,1251.22,"0.00:0.87:0.00:0.87:0.93:0.00","None"
38,"COMPLETED","Perlmutter-Phase-2","Frontier","1-371:542:861-947:5248-5282",52359.2,52359.2,52359.2,60801.4,0.00634153,0,8442.19,"0.00:0.86:0.00:0.86:0.80:0.83","None"
39,"COMPLETED","Frontier","Aurora","716-1024:1026-1085:2049-2051",52976.4,52976.4,52976.4,58664.4,0.0142683,0,5688,"0.00:0.90:0.00:0.86:0.85:0.00","None"
40,"COMPLETED","Perlmutter-Phase-1","Aurora","1086-1103:1106-1109:1112-1692:2182-2361:4000-4066:5082-5092",53281.1,53281.1,53281.1,60385.1,0.00977139,0,7104,"0.00:0.88:0.00:0.84:0.70:0.70","None"
41,"COMPLETED","Andes","Perlmutter-Phase-2","1-481:542:1496-1543",53441.7,53441.7,53441.7,67235.6,0.0101853,0,13793.9,"0.78:0.87:0.00:0.85:0.81:0.88","None"
42,"COMPLETED","Crux","Andes","1-63",53532.1,53532.1,53532.1,56032.1,0.0114804,0,2500,"0.96:0.87:0.92:0.85:0.88:0.83","None"
43,"COMPLETED","Frontier","Aurora","1-130:258",54624.2,54624.2,54624.2,55304.2,0.0104314,0,680,"0.00:0.85:0.00:0.85:0.84:0.00","None"
44,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","270-283",55680.3,55680.3,55680.3,57041.3,0.0350955,0,1360.98,"0.00:0.93:0.00:0.88:0.93:0.00","None"
45,"COMPLETED","Frontier","Aurora","1-696:1025:1104-1105:1110-1111",57143.2,57143.2,57143.2,61991.2,0.0138375,0,4848,"0.00:0.94:0.00:0.91:0.74:0.83","None"
46,"COMPLETED","Perlmutter-Phase-1","Frontier","948-1010",57149.1,57149.1,57149.1,59187.3,0.0150154,0,2038.14,"0.00:0.92:0.00:0.93:0.92:0.00","None"
47,"COMPLETED","Perlmutter-Phase-1","Aurora","697-715:1693-2048:2052-2181:2362-2808:4097-4103:5093-5098",57343.1,57343.1,57343.1,64391.1,0.0138234,0,7048,"0.00:0.91:0.00:0.91:0.74:0.79","None"
48,"COMPLETED","Aurora","Frontier","1011-1024:1026-1109:1112-1279:1961-2489:4097-4103:5088-5096",57606.5,57606.5,57606.5,66038,0.00809953,0,8431.47,"0.00:0.89:0.00:0.93:0.74:0.00","None"
49,"COMPLETED","Aurora","Aurora","2809-3999:4067-4096:4104-4337:8193-8206",58000.2,58000.2,58000.2,63632.2,0.00729853,0,5632,"0.00:0.88:0.00:0.88:0.42:0.69","None"
50,"COMPLETED","Perlmutter-Phase-2","Frontier","372-541:543-860:948-1010:1025:1110-1111:1280-1960:2490-2787",59262.4,59262.4,59262.4,66235,0.00953639,0,6972.59,"0.00:0.86:0.00:0.93:0.41:0.68","None"
51,"COMPLETED","Aurora","Aurora","716-1024:1026-1085:2049-2051:4338-5081:5099-6038:10268-10302",59463.3,59463.3,59463.3,63807.3,0.0145311,0,4344,"0.00:0.86:0.00:0.85:0.00:0.00","None"
52,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","482-541:543-1145:2049-2051:2358-2361",59943.3,59943.4,59943.4,75555.6,0.0179435,0,15612.2,"0.79:0.80:0.00:0.88:0.74:0.89","None"
53,"COMPLETED","Perlmutter-Phase-1","Frontier","2788-3712",60203.8,60203.8,60203.8,68066.8,0.0115534,0,7862.93,"0.00:0.80:0.00:0.89:0.75:0.00","None"
54,"COMPLETED","Perlmutter-Phase-1","Frontier","1-371:542:861-947:3713-4096:4104-4340:5248-5282:8193-8206",61665.3,61665.3,61665.3,69871.5,0.0174663,0,8206.2,"0.00:0.75:0.00:0.76:0.75:0.00","None"
55,"COMPLETED","Perlmutter-Phase-2","Frontier","4341-5087:5097-5117",61821.4,61821.4,61821.4,70596.2,0.0179764,0,8774.73,"0.00:0.82:0.00:0.83:0.74:0.82","None"
56,"COMPLETED","Perlmutter-Phase-1","Aurora","1-696:1025:1086-1159:2352-2355:2358-2361",62870.1,62870.1,62870.1,70134.1,0.0172403,0,7264,"0.00:0.85:0.00:0.81:0.74:0.82","None"
57,"COMPLETED","Aurora","Aurora","1160-1692:2182-2351:2356-2357:4000-4066:5082-5092:6039-6841",63032.3,63032.3,63032.3,68848.3,0.0104205,0,5816,"0.00:0.83:0.00:0.74:0.00:0.00","None"
58,"COMPLETED","Perlmutter-Phase-2","Frontier","5118-5247:5283-6552",63368.5,63368.5,63368.5,70770.2,0.0136754,0,7401.67,"0.00:0.77:0.00:0.80:0.43:0.68","None"
59,"COMPLETED","Perlmutter-Phase-1","Aurora","697-1024:1026-1085:1693-2069:4097-4103",64702.9,64702.9,64702.9,72070.9,0.00718753,0,7368,"0.00:0.91:0.00:0.77:0.75:0.00","None"
60,"COMPLETED","Frontier","Aurora","2070-2181:2362-3356:5093-5098",64727.2,64727.2,64727.2,69599.2,0.00789053,0,4872,"0.00:0.88:0.00:0.76:0.74:0.68","None"
61,"COMPLETED","Perlmutter-Phase-2","Aurora","3357-3999:4067-4096:4104-5081:5099-6038:6842-6912:8193-8206:10268-10302",66649.7,66649.7,66649.7,71241.7,0.0194423,0,4592,"0.00:0.81:0.00:0.70:0.00:0.36","None"
62,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-183:258",70257.2,70257.2,70257.2,72167,0.0252115,0,1909.76,"0.91:0.87:0.77:0.90:0.97:0.91","None"
63,"COMPLETED","Perlmutter-Phase-1","Frontier","1-1120:2049-2051:2358-2361:5248-5282",71604.6,71604.6,71604.6,78856.1,0.00694239,0,7251.49,"0.00:0.95:0.00:0.97:0.75:0.83","None"
64,"COMPLETED","Perlmutter-Phase-1","Aurora","1-1160:2049-2051:2352-2355:2358-2361",84839.7,84839.7,84839.7,90151.7,0.0134044,0,5312,"0.00:0.88:0.00:0.86:0.80:0.00","None"
65,"COMPLETED","Frontier","Frontier","1-198:258:5248-5282",86400,86400,86400,87118.7,0.0102605,0,718.713,"0.00:0.83:0.00:0.98:0.87:0.00","None"
