JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier","1-810:1025:1110-1111:5248-5282",0,14.1765,14.1765,5838.97,14.1765,0,5824.79,"0.00:0.78:0.00:0.04:0.87:0.58","None"
2,"COMPLETED","Crux","Frontier","811-879",3600,3615.21,3615.21,4419.74,15.206,0,804.529,"0.03:0.78:0.03:0.03:0.87:0.03","None"
3,"COMPLETED","Perlmutter-Phase-1","Aurora","1-855:1025:1104-1105:1110-1111",10800,10815,10815,15951,15.0172,0,5136,"0.00:0.88:0.00:0.82:0.05:0.00","None"
4,"COMPLETED","Aurora","Aurora","1-816:1025:1104-1105:1110-1111",18705.1,18717.5,18717.5,25197.5,12.3903,0,6480,"0.00:0.97:0.00:0.04:0.04:0.00","None"
5,"COMPLETED","Frontier","Frontier","1-384:542:5248-5282",18966.7,18981.1,18981.1,27144.4,14.4713,0,8163.29,"0.02:0.74:0.00:0.05:0.88:0.57","None"
6,"COMPLETED","Frontier","Aurora","817-1024:1026-1103:1106-1109:1112-1692:2049-2051:2352-2355:2358-2361",22217,22231.4,22231.4,26503.4,14.4565,0,4272,"0.00:0.92:0.00:0.91:0.87:0.00","None"
7,"COMPLETED","Aurora","Aurora","1-736:1025:1104-1105:1110-1111",28048.6,28065.2,28065.2,35249.2,16.5626,0,7184,"0.00:0.97:0.00:0.82:0.04:0.00","None"
8,"COMPLETED","Andes","Perlmutter-Phase-2","1-406:542",30732,30748.4,30748.4,45625.9,16.3396,0,14877.6,"0.38:0.04:0.00:0.05:0.04:0.95","None"
9,"COMPLETED","Aurora","Aurora","737-1024:1026-1102:2049-2051",31824.2,31837.9,31837.9,39157.9,13.6701,0,7320,"0.00:0.96:0.00:0.05:0.05:0.00","None"
10,"COMPLETED","Frontier","Aurora","1103:1106-1109:1112-1589:2352-2355:2358-2361",34000.2,34015.1,34015.1,43343.1,14.9329,0,9328,"0.00:0.88:0.00:0.87:0.22:0.00","None"
