JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier","1-810:1025:1110-1111:5248-5282",0,5.20843e-05,5.20843e-05,5824.79,5.20843e-05,0,5824.79,"1.00","None"
2,"COMPLETED","Crux","Crux","1-69",3600,3600,3600,4950,5.20843e-05,0,1350,"1.00","None"
3,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-857:1025:1110-1111",10800,10800,10800,24892.7,5.20843e-05,0,14092.7,"1.00","None"
4,"COMPLETED","Aurora","Aurora","1-816:1025:1104-1105:1110-1111",18705.1,18705.1,18705.1,25185.1,5.20843e-05,0,6480,"1.00","None"
5,"COMPLETED","Frontier","Frontier","1-384:542:5248-5282",18966.7,18966.7,18966.7,27130,5.20843e-05,0,8163.29,"1.00","None"
6,"COMPLETED","Frontier","Frontier","385-541:543-1260:2049-2051:2358-2361",22217,22217,22217,27945.2,5.20843e-05,0,5728.25,"1.00","None"
7,"COMPLETED","Aurora","Aurora","1-736:1025:1104-1105:1110-1111",28048.6,28048.6,28048.6,35232.6,5.20843e-05,0,7184,"1.00","None"
8,"COMPLETED","Andes","Andes","1-406:542",30732,30732,30732,71232,5.20843e-05,0,40500,"1.00","None"
9,"COMPLETED","Aurora","Aurora","737-1024:1026-1102:2049-2051",31824.2,31824.2,31824.2,39144.2,5.20843e-05,0,7320,"1.00","None"
10,"COMPLETED","Frontier","Frontier","1-455:542:5248-5282",34000.2,34000.2,34000.2,46507.9,5.20843e-05,0,12507.7,"1.00","None"
11,"COMPLETED","Aurora","Aurora","1103:1106-1109:1112-2048:2052-2620:4097-4103:5082-5098",34516.2,34516.2,34516.2,40732.2,5.20843e-05,0,6216,"1.00","None"
12,"COMPLETED","Frontier","Frontier","456-541:543-1470:2049-2051:2358-2361",36426.6,36426.6,36426.6,42283.6,5.20843e-05,0,5856.97,"1.00","None"
13,"COMPLETED","Frontier","Frontier","1471-2048:2052-2357:2362-2553:4097-4103:5088-5096",36542.1,36542.1,36542.1,41841.3,5.20843e-05,0,5299.17,"1.00","None"
14,"COMPLETED","Frontier","Frontier","2554-3786",38377.7,38377.7,38377.7,44052.3,5.20843e-05,0,5674.61,"1.00","None"
15,"COMPLETED","Frontier","Frontier","3787-4096:4104-4261:8193-8206",38596.7,38596.7,38596.7,47242.7,5.20843e-05,0,8646.01,"1.00","None"
16,"COMPLETED","Frontier","Frontier","4262-4292",39238,39238,39238,39559.8,5.20843e-05,0,321.812,"1.00","None"
17,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-416:542",40192.1,40192.1,40192.1,55547.2,5.20843e-05,0,15355.1,"1.00","None"
18,"COMPLETED","Frontier","Frontier","4262-4531",40445.2,40445.2,40445.2,54733.7,5.20843e-05,0,14288.4,"1.00","None"
19,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-225:258",41901.7,41901.7,41901.7,43021.3,5.20843e-05,0,1119.51,"1.00","None"
20,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","226-257:259-316:542",42127.5,42127.5,42127.5,43312.8,5.20843e-05,0,1185.37,"1.00","None"
21,"COMPLETED","Aurora","Aurora","1-1466:2049-2051:2352-2355:2358-2361",42246.1,42246.1,42246.1,47542.1,5.20843e-05,0,5296,"1.00","None"
22,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","417-541:543-1619:2049-2051:2358-2361",42281.7,42281.7,42281.7,51906.2,5.20843e-05,0,9624.49,"1.00","None"
