JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000234839,0.000234839,651.6,0.000234839,0,651.6,"0.22:0.31:0.60:0.53:0.62:0.94","None"
2,"COMPLETED","Crux","Perlmutter-Phase-2",3600,3600,3600,3690,0.000235212,0,90,"0.80:0.31:0.03:0.48:0.17:0.81","None"
3,"COMPLETED","Perlmutter-Phase-1","Aurora",10800,10800,10800,10985.2,0.000235244,0,185.192,"0.25:0.90:0.13:0.42:0.49:0.59","None"
4,"REJECTED","Aurora","Andes",18705.1,-1,-1,18705.1,0.000235244,-1,-1,"0.96:0.01:0.71:0.02:0.11:0.49","Job requires more nodes than the System has"
5,"COMPLETED","Frontier","Aurora",18966.7,18966.7,18966.7,19186.2,0.000234839,0,219.519,"0.14:0.93:0.12:0.34:0.71:0.35","None"
6,"COMPLETED","Frontier","Frontier",22217,22217,22217,22789.8,0.000234889,0,572.825,"0.25:0.05:0.29:1.00:0.69:0.59","None"
7,"COMPLETED","Aurora","Perlmutter-Phase-1",28048.6,28048.6,28048.6,29126.2,0.000235244,0,1077.6,"0.89:0.51:0.90:0.14:0.93:0.21","None"
8,"COMPLETED","Andes","Frontier",30732,30732,30732,31600.9,0.000234889,0,868.892,"0.79:0.11:0.14:0.94:0.73:0.62","None"
9,"COMPLETED","Aurora","Perlmutter-Phase-1",31824.2,31824.2,31824.2,32922.2,0.000235244,0,1098,"0.47:0.73:0.45:0.87:0.90:0.43","None"
10,"COMPLETED","Frontier","Aurora",34000.2,34000.2,34000.2,34336.5,0.000234839,0,336.346,"0.55:0.78:0.51:0.75:0.31:0.29","None"
11,"COMPLETED","Aurora","Aurora",34516.2,34516.2,34516.2,34740.3,0.000234889,0,224.135,"0.56:0.61:0.41:0.28:0.27:0.13","None"
12,"REJECTED","Frontier","Andes",36426.6,-1,-1,36426.6,0.000234889,-1,-1,"0.76:0.52:0.54:0.66:0.16:0.03","Job requires more nodes than the System has"
13,"REJECTED","Frontier","Perlmutter-Phase-2",36542.1,-1,-1,36542.1,0.000234839,-1,-1,"0.45:0.14:0.49:0.73:0.94:0.98","Job requires GPU while System has none"
14,"REJECTED","Frontier","Andes",38377.7,-1,-1,38377.7,0.000234889,-1,-1,"0.83:0.83:0.07:0.40:0.62:0.74","Job requires more nodes than the System has"
15,"COMPLETED","Frontier","Frontier",38596.7,38596.7,38596.7,39461.3,0.000234889,0,864.601,"0.23:0.19:0.11:0.97:0.54:0.40","None"
16,"COMPLETED","Frontier","Aurora",39238,39238,39238,39246.6,0.000234839,0,8.65385,"0.80:0.94:0.91:0.59:0.44:0.08","None"
17,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",40192.1,40192.1,40192.1,41195.3,0.000234696,0,1003.2,"0.23:0.34:0.10:0.31:0.46:0.97","None"
18,"REJECTED","Frontier","Perlmutter-Phase-2",40445.2,-1,-1,40445.2,0.000234839,-1,-1,"0.13:0.01:0.40:0.36:0.61:0.96","Job requires GPU while System has none"
19,"COMPLETED","Perlmutter-Phase-1","Frontier",41901.7,41901.7,41901.7,41956.5,0.000235244,0,54.708,"0.15:0.77:0.76:0.98:0.87:0.77","None"
20,"COMPLETED","Perlmutter-Phase-1","Crux",42127.5,42127.5,42127.5,42192.3,0.000235244,0,64.8,"0.12:0.02:0.79:0.28:0.32:0.14","None"
21,"COMPLETED","Aurora","Frontier",42246.1,42246.1,42246.1,42956.2,0.000235244,0,710.131,"0.52:0.67:0.25:0.74:0.47:0.48","None"
22,"REJECTED","Perlmutter-Phase-2","Andes",42281.7,-1,-1,42281.7,0.000235244,-1,-1,"0.86:0.84:0.54:0.83:0.84:0.28","Job requires more nodes than the System has"
23,"COMPLETED","Andes","Andes",44173.1,44173.1,44173.1,45056.3,0.000234889,0,883.2,"0.91:0.19:0.86:0.31:0.37:0.75","None"
24,"COMPLETED","Perlmutter-Phase-1","Frontier",44194.6,44194.6,44194.6,44287.9,0.000235244,0,93.3254,"0.86:0.06:0.42:0.87:0.66:0.46","None"
25,"COMPLETED","Perlmutter-Phase-1","Frontier",44416.7,44416.7,44416.7,45103.2,0.000235244,0,686.532,"0.27:0.36:0.16:0.85:0.27:0.37","None"
26,"COMPLETED","Frontier","Aurora",45543.6,45543.6,45543.6,45808.2,0.000234839,0,264.519,"0.29:0.97:0.94:0.62:0.10:0.77","None"
27,"COMPLETED","Andes","Aurora",46419.8,46419.8,46419.8,46671.9,0.000234839,0,252.115,"0.69:1.00:0.34:0.38:0.13:0.99","None"
28,"REJECTED","Aurora","Perlmutter-Phase-2",46558.1,-1,-1,46558.1,0.000235244,-1,-1,"0.11:0.35:0.41:0.31:0.11:0.49","Job requires GPU while System has none"
29,"REJECTED","Frontier","Perlmutter-Phase-2",47363.3,-1,-1,47363.3,0.000234839,-1,-1,"0.66:0.54:0.03:0.03:0.29:0.88","Job requires GPU while System has none"
30,"REJECTED","Aurora","Perlmutter-Phase-2",47750.8,-1,-1,47750.8,0.000235244,-1,-1,"0.81:0.07:0.95:0.53:0.22:0.98","Job requires GPU while System has none"
