JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Andes",0,0.000626712,0.000626712,230.401,0.000626712,0,230.4,"0.81:0.76:0.77:0.77:0.75:0.78","None"
2,"COMPLETED","Frontier","Frontier",0,0.000599712,0.000599712,210.251,0.000599712,0,210.25,"0.00:0.66:0.00:0.81:0.59:0.00","None"
3,"COMPLETED","Frontier","Frontier",1994.13,1994.14,1994.14,2057.43,0.000599535,0,63.2896,"0.00:0.68:0.00:0.81:0.61:0.00","None"
4,"COMPLETED","Frontier","Frontier",3417.47,3417.47,3417.47,3553.71,0.000596535,0,136.234,"0.00:0.67:0.00:0.80:0.61:0.00","None"
5,"COMPLETED","Crux","Frontier",3600,3600,3600,3807.03,0.000710539,0,207.032,"0.70:0.75:0.63:0.80:0.72:0.76","None"
6,"COMPLETED","Aurora","Perlmutter-Phase-1",3600,3600,3600,3674.4,0.000699712,0,74.4,"0.00:0.81:0.00:0.81:0.83:0.00","None"
7,"COMPLETED","Aurora","Perlmutter-Phase-1",4110.78,4110.79,4110.79,4151.59,0.000602535,0,40.8,"0.00:0.81:0.00:0.81:0.83:0.00","None"
8,"COMPLETED","Aurora","Frontier",4599.44,4599.44,4599.44,4680.97,0.000633535,0,81.5256,"0.75:0.76:0.72:0.80:0.74:0.77","None"
9,"COMPLETED","Andes","Frontier",5732.81,5732.81,5732.81,5861.54,0.00361753,0,128.725,"0.72:0.76:0.65:0.81:0.73:0.77","None"
10,"COMPLETED","Frontier","Frontier",8074.81,8074.81,8074.81,8135.95,0.000600535,0,61.1442,"0.74:0.74:0.74:0.79:0.73:0.76","None"
11,"COMPLETED","Aurora","Frontier",8311.18,8311.18,8311.18,8509.64,0.000743535,0,198.451,"0.76:0.76:0.74:0.81:0.75:0.78","None"
