JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,5.21287e-05,5.21287e-05,205.96,5.21287e-05,0,205.959,"1.00","None"
2,"COMPLETED","Frontier","Frontier",0,5.21287e-05,5.21287e-05,210.25,5.21287e-05,0,210.25,"1.00","None"
3,"COMPLETED","Frontier","Frontier",1994.13,1994.14,1994.14,2057.42,5.20843e-05,0,63.2896,"1.00","None"
4,"COMPLETED","Frontier","Frontier",3417.47,3417.47,3417.47,3553.71,5.20843e-05,0,136.234,"1.00","None"
5,"COMPLETED","Crux","Crux",3600,3600,3600,3831.6,5.20843e-05,0,231.6,"1.00","None"
6,"COMPLETED","Aurora","Aurora",3600,3600,3600,3617.88,5.20843e-05,0,17.8846,"1.00","None"
7,"COMPLETED","Aurora","Aurora",4110.78,4110.79,4110.79,4120.59,5.20843e-05,0,9.80769,"1.00","None"
8,"COMPLETED","Aurora","Aurora",4599.44,4599.44,4599.44,4621.36,5.20843e-05,0,21.9231,"1.00","None"
9,"COMPLETED","Andes","Andes",5732.81,5732.81,5732.81,5876.81,5.20843e-05,0,144,"1.00","None"
10,"COMPLETED","Frontier","Frontier",8074.81,8074.81,8074.81,8135.95,5.20843e-05,0,61.1442,"1.00","None"
11,"COMPLETED","Aurora","Aurora",8311.18,8311.18,8311.18,8364.55,5.20843e-05,0,53.3654,"1.00","None"
12,"COMPLETED","Frontier","Frontier",8879.2,8879.2,8879.2,8988.62,5.20843e-05,0,109.416,"1.00","None"
13,"COMPLETED","Frontier","Frontier",8909.75,8909.75,8909.75,8960.17,5.20843e-05,0,50.4172,"1.00","None"
14,"COMPLETED","Frontier","Frontier",8967.02,8967.02,8967.02,9048.54,5.20843e-05,0,81.5256,"1.00","None"
15,"COMPLETED","Frontier","Frontier",9040.38,9040.38,9040.38,9140.15,5.20843e-05,0,99.7616,"1.00","None"
16,"COMPLETED","Frontier","Frontier",9689.76,9689.76,9689.76,9932.19,5.20843e-05,0,242.431,"1.00","None"
17,"COMPLETED","Aurora","Aurora",9840.12,9840.12,9840.12,9881.66,5.20843e-05,0,41.5385,"1.00","None"
18,"COMPLETED","Aurora","Aurora",9867.68,9867.68,9867.68,9880.66,5.20843e-05,0,12.9808,"1.00","None"
19,"COMPLETED","Aurora","Aurora",10775.5,10775.5,10775.5,10795.1,5.20843e-05,0,19.6154,"1.00","None"
20,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",10800,10800,10800,10860,5.21287e-05,0,60,"1.00","None"
21,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",10800,10800,10800,10861.2,5.21287e-05,0,61.2,"1.00","None"
22,"COMPLETED","Frontier","Frontier",10903.3,10903.3,10903.3,11028.8,5.20843e-05,0,125.507,"1.00","None"
23,"COMPLETED","Frontier","Frontier",11239.6,11239.6,11239.6,11382.2,5.20843e-05,0,142.67,"1.00","None"
24,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",11439.1,11439.1,11439.1,11555.5,5.20843e-05,0,116.4,"1.00","None"
25,"COMPLETED","Frontier","Frontier",11627.4,11627.4,11627.4,11835.5,5.20843e-05,0,208.105,"1.00","None"
26,"COMPLETED","Frontier","Frontier",11715.2,11715.2,11715.2,11918,5.20843e-05,0,202.741,"1.00","None"
27,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",11992.9,11992.9,11992.9,12072.1,5.20843e-05,0,79.2,"1.00","None"
28,"COMPLETED","Crux","Crux",12056,12056,12056,12278,5.20843e-05,0,222,"1.00","None"
29,"COMPLETED","Aurora","Aurora",12097.1,12097.1,12097.1,12148.2,5.20843e-05,0,51.0577,"1.00","None"
30,"COMPLETED","Frontier","Frontier",12153.5,12153.5,12153.5,12208.2,5.20843e-05,0,54.708,"1.00","None"
31,"COMPLETED","Aurora","Aurora",12322.7,12322.7,12322.7,12337.4,5.20843e-05,0,14.7115,"1.00","None"
32,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",12714.4,12714.4,12714.4,12791.2,5.20843e-05,0,76.8,"1.00","None"
33,"COMPLETED","Frontier","Frontier",12971.4,12971.4,12971.4,13071.2,5.20843e-05,0,99.7616,"1.00","None"
34,"COMPLETED","Andes","Andes",13175.6,13175.6,13175.6,13232,5.20843e-05,0,56.4,"1.00","None"
35,"COMPLETED","Aurora","Aurora",13195.9,13195.9,13195.9,13212.1,5.20843e-05,0,16.1538,"1.00","None"
36,"COMPLETED","Crux","Crux",13386.9,13386.9,13386.9,13580.1,5.20843e-05,0,193.2,"1.00","None"
37,"COMPLETED","Aurora","Aurora",13534.5,13534.5,13534.5,13546,5.20843e-05,0,11.5385,"1.00","None"
38,"COMPLETED","Frontier","Frontier",13611.4,13611.4,13611.4,13863.5,5.20843e-05,0,252.086,"1.00","None"
39,"COMPLETED","Crux","Crux",13805.4,13805.4,13805.4,13881,5.20843e-05,0,75.6,"1.00","None"
40,"COMPLETED","Andes","Andes",13944.7,13944.7,13944.7,13998.7,5.20843e-05,0,54,"1.00","None"
41,"COMPLETED","Aurora","Aurora",13957.4,13957.4,13957.4,14007.6,5.20843e-05,0,50.1923,"1.00","None"
42,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",13996.9,13996.9,13996.9,14138.5,5.20843e-05,0,141.6,"1.00","None"
43,"COMPLETED","Aurora","Aurora",14374.4,14374.4,14374.4,14393.7,5.20843e-05,0,19.3269,"1.00","None"
44,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",14404.7,14404.7,14404.7,14449.1,5.20843e-05,0,44.4,"1.00","None"
45,"COMPLETED","Aurora","Aurora",14439.3,14439.3,14439.3,14480.3,5.20843e-05,0,40.9615,"1.00","None"
46,"COMPLETED","Andes","Andes",14628.3,14628.3,14628.3,14793.9,5.20843e-05,0,165.6,"1.00","None"
47,"COMPLETED","Frontier","Frontier",14720.4,14720.4,14720.4,14835.2,5.20843e-05,0,114.779,"1.00","None"
48,"COMPLETED","Frontier","Frontier",14963.8,14963.8,14963.8,15065.7,5.20843e-05,0,101.907,"1.00","None"
49,"COMPLETED","Frontier","Frontier",15601,15601,15601,15784.4,5.20843e-05,0,183.433,"1.00","None"
50,"COMPLETED","Andes","Andes",15615.9,15615.9,15615.9,15753.9,5.20843e-05,0,138,"1.00","None"
51,"COMPLETED","Frontier","Frontier",15641.6,15641.6,15641.6,15673.8,5.20843e-05,0,32.1812,"1.00","None"
52,"COMPLETED","Frontier","Frontier",15699.4,15699.4,15699.4,15875.3,5.20843e-05,0,175.924,"1.00","None"
53,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",15815.4,15815.4,15815.4,15876.6,5.20843e-05,0,61.2,"1.00","None"
54,"COMPLETED","Andes","Andes",15871.5,15871.5,15871.5,15975.9,5.20843e-05,0,104.4,"1.00","None"
55,"COMPLETED","Crux","Crux",15879,15879,15879,15929.4,5.20843e-05,0,50.4,"1.00","None"
56,"COMPLETED","Frontier","Frontier",15911.3,15911.3,15911.3,15947.8,5.20843e-05,0,36.472,"1.00","None"
57,"COMPLETED","Frontier","Frontier",15938.3,15938.3,15938.3,16081,5.20843e-05,0,142.67,"1.00","None"
58,"COMPLETED","Aurora","Aurora",16098.5,16098.5,16098.5,16116.1,5.20843e-05,0,17.5962,"1.00","None"
59,"COMPLETED","Aurora","Aurora",16320.2,16320.2,16320.2,16333.7,5.20843e-05,0,13.5577,"1.00","None"
60,"COMPLETED","Frontier","Frontier",16380.2,16380.2,16380.2,16489.6,5.20843e-05,0,109.416,"1.00","None"
61,"COMPLETED","Frontier","Frontier",16398.8,16398.8,16398.8,16434.2,5.20843e-05,0,35.3993,"1.00","None"
62,"COMPLETED","Frontier","Frontier",16461.9,16461.9,16461.9,16500.5,5.20843e-05,0,38.6174,"1.00","None"
63,"COMPLETED","Frontier","Frontier",16469.1,16469.1,16469.1,16528.1,5.20843e-05,0,58.9988,"1.00","None"
64,"COMPLETED","Frontier","Frontier",16612.7,16612.7,16612.7,16829.4,5.20843e-05,0,216.687,"1.00","None"
65,"COMPLETED","Frontier","Frontier",16652.9,16652.9,16652.9,16801,5.20843e-05,0,148.033,"1.00","None"
66,"COMPLETED","Andes","Andes",16669.7,16669.7,16669.7,16774.1,5.20843e-05,0,104.4,"1.00","None"
67,"COMPLETED","Aurora","Aurora",16949,16949,16949,16968.4,5.20843e-05,0,19.3269,"1.00","None"
68,"COMPLETED","Frontier","Frontier",16972.6,16972.6,16972.6,17056.2,5.20843e-05,0,83.671,"1.00","None"
69,"COMPLETED","Crux","Crux",17089.4,17089.4,17089.4,17318.6,5.20843e-05,0,229.2,"1.00","None"
70,"COMPLETED","Frontier","Frontier",17132.9,17132.9,17132.9,17171.5,5.20843e-05,0,38.6174,"1.00","None"
71,"COMPLETED","Frontier","Frontier",17141.5,17141.5,17141.5,17197.3,5.20843e-05,0,55.7807,"1.00","None"
72,"COMPLETED","Andes","Andes",17162.7,17162.7,17162.7,17264.7,5.20843e-05,0,102,"1.00","None"
73,"COMPLETED","Frontier","Frontier",17238.9,17238.9,17238.9,17308.6,5.20843e-05,0,69.7259,"1.00","None"
74,"COMPLETED","Frontier","Frontier",17273.1,17273.1,17273.1,17431.9,5.20843e-05,0,158.76,"1.00","None"
75,"COMPLETED","Aurora","Aurora",17277.5,17277.5,17277.5,17341.8,5.20843e-05,0,64.3269,"1.00","None"
76,"COMPLETED","Frontier","Frontier",17619.9,17619.9,17619.9,17682.1,5.20843e-05,0,62.2169,"1.00","None"
77,"COMPLETED","Frontier","Frontier",17620.3,17620.3,17620.3,17675,5.20843e-05,0,54.708,"1.00","None"
78,"COMPLETED","Frontier","Frontier",17662.8,17662.8,17662.8,17875.2,5.20843e-05,0,212.396,"1.00","None"
79,"COMPLETED","Frontier","Frontier",17906.7,17906.7,17906.7,18077.3,5.20843e-05,0,170.56,"1.00","None"
80,"COMPLETED","Aurora","Aurora",17949.3,17949.3,17949.3,17970,5.20843e-05,0,20.7692,"1.00","None"
81,"COMPLETED","Aurora","Aurora",18099.9,18099.9,18099.9,18129.6,5.20843e-05,0,29.7115,"1.00","None"
82,"COMPLETED","Aurora","Aurora",18132.3,18132.3,18132.3,18143.6,5.20843e-05,0,11.25,"1.00","None"
83,"COMPLETED","Frontier","Frontier",18136.8,18136.8,18136.8,18196.8,5.20843e-05,0,60.0715,"1.00","None"
84,"COMPLETED","Frontier","Frontier",18216.3,18216.3,18216.3,18456.6,5.20843e-05,0,240.286,"1.00","None"
85,"COMPLETED","Frontier","Frontier",18221.6,18221.6,18221.6,18393.2,5.20843e-05,0,171.633,"1.00","None"
86,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",18277.8,18277.8,18277.8,18525,5.20843e-05,0,247.2,"1.00","None"
87,"COMPLETED","Frontier","Frontier",18511.4,18511.4,18511.4,18581.1,5.20843e-05,0,69.7259,"1.00","None"
88,"COMPLETED","Frontier","Frontier",18554.8,18554.8,18554.8,18604.1,5.20843e-05,0,49.3445,"1.00","None"
89,"COMPLETED","Frontier","Frontier",18587.1,18587.1,18587.1,18622.5,5.20843e-05,0,35.3993,"1.00","None"
