JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Andes",0,0.000235599,0.000235599,230.4,0.000235599,0,230.4,"0.94:0.66:0.31:0.87:0.66:0.42","None"
2,"REJECTED","Frontier","Crux",0,-1,-1,0.000235295,0.000235295,-1,-1,"0.54:0.26:0.78:0.68:0.36:0.73","Job requires GPU while System has none"
3,"REJECTED","Frontier","Crux",1994.13,-1,-1,1994.14,0.000234737,-1,-1,"0.85:0.49:0.95:0.93:0.02:0.35","Job requires GPU while System has none"
4,"REJECTED","Frontier","Perlmutter-Phase-2",3417.47,-1,-1,3417.47,0.000234839,-1,-1,"0.76:0.20:0.94:0.59:0.24:0.98","Job requires GPU while System has none"
5,"COMPLETED","Crux","Aurora",3600,3600,3600,3655.67,0.000235599,0,55.6731,"0.09:1.00:0.54:0.83:0.98:0.85","None"
6,"REJECTED","Aurora","Andes",3600,-1,-1,3600,0.00023541,-1,-1,"0.79:0.74:0.28:0.05:0.45:0.00","Job requires GPU while System has none"
7,"REJECTED","Aurora","Crux",4110.78,-1,-1,4110.79,0.000234889,-1,-1,"0.59:0.32:0.96:0.55:0.09:0.93","Job requires GPU while System has none"
8,"COMPLETED","Aurora","Perlmutter-Phase-2",4599.44,4599.44,4599.44,4690.64,0.000235244,0,91.2,"0.89:0.22:0.69:0.79:0.19:0.98","None"
9,"COMPLETED","Andes","Andes",5732.81,5732.81,5732.81,5876.81,0.000234889,0,144,"0.91:0.47:0.13:0.77:0.83:0.46","None"
10,"COMPLETED","Frontier","Andes",8074.81,8074.81,8074.81,8143.21,0.000234889,0,68.4,"0.92:0.25:0.28:0.56:0.79:0.47","None"
11,"COMPLETED","Aurora","Andes",8311.18,8311.18,8311.18,8533.18,0.000235244,0,222,"0.87:0.10:0.07:0.13:0.29:0.07","None"
12,"COMPLETED","Frontier","Aurora",8879.2,8879.2,8879.2,8908.63,0.000234839,0,29.4231,"0.12:0.97:0.92:0.76:0.95:0.82","None"
13,"REJECTED","Frontier","Andes",8909.75,-1,-1,8909.75,0.000234889,-1,-1,"0.96:0.61:0.01:0.75:0.32:0.33","Job requires GPU while System has none"
14,"COMPLETED","Frontier","Frontier",8967.02,8967.02,8967.02,9048.54,0.000234889,0,81.5256,"0.42:0.01:0.34:0.82:0.18:0.20","None"
15,"REJECTED","Frontier","Crux",9040.38,-1,-1,9040.38,0.000234737,-1,-1,"0.56:0.48:0.60:0.09:0.20:0.11","Job requires GPU while System has none"
16,"COMPLETED","Frontier","Frontier",9689.76,9689.76,9689.76,9932.19,0.000234889,0,242.431,"0.31:0.49:0.35:0.79:0.26:0.02","None"
