JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Frontier","1-139:258:5248-5282",0,0.000619067,0.000619067,1276.52,0.000619067,0,1276.52,"0.72:0.77:0.65:0.81:0.73:0.78","None"
2,"COMPLETED","Frontier","Frontier","140-161",0,0.000716864,0.000716864,1308.7,0.000716864,0,1308.7,"0.00:0.80:0.00:0.81:0.76:0.00","None"
3,"COMPLETED","Frontier","Perlmutter-Phase-2","1-129:258",0,0.000594051,0.000594051,1083.67,0.000594051,0,1083.67,"0.72:0.75:0.66:0.76:0.77:0.82","None"
4,"COMPLETED","Frontier","Perlmutter-Phase-2","130-257:259-308:542",0,0.000631525,0.000631525,3489.8,0.000631525,0,3489.8,"0.78:0.77:0.71:0.77:0.73:0.78","None"
5,"COMPLETED","Frontier","Crux","1-5",2702.2,2702.21,2702.21,3404.21,0.00961639,0,702,"0.83:0.75:0.84:0.76:0.75:0.77","None"
6,"COMPLETED","Aurora","Aurora","1-12",3600,3600,3600,4208,0.00344308,0,608,"0.00:0.83:0.00:0.76:0.75:0.00","None"
7,"COMPLETED","Crux","Andes","1-15",3600,3600,3600,5800,0.000607507,0,2200,"0.83:0.76:0.83:0.77:0.75:0.78","None"
8,"COMPLETED","Frontier","Andes","16-137:258",3608.13,3608.15,3608.15,6258.15,0.0187155,0,2650,"0.79:0.77:0.74:0.77:0.74:0.78","None"
9,"COMPLETED","Frontier","Perlmutter-Phase-2","1-181:258",3663.16,3663.16,3663.16,5591.73,0.000601535,0,1928.57,"0.76:0.77:0.71:0.77:0.73:0.78","None"
10,"COMPLETED","Aurora","Perlmutter-Phase-2","182-257:259-307:542",4110.78,4110.79,4110.79,8427.12,0.00683839,0,4316.33,"0.77:0.76:0.73:0.77:0.74:0.78","None"
11,"COMPLETED","Aurora","Perlmutter-Phase-1","1-187:258",4239.09,4239.09,4239.09,6346.41,0.000610535,0,2107.32,"0.00:0.80:0.00:0.80:0.81:0.00","None"
12,"COMPLETED","Andes","Frontier","5248-5261",4265.02,4265.03,4265.03,4715.56,0.000594535,0,450.536,"0.74:0.74:0.74:0.79:0.73:0.76","None"
13,"COMPLETED","Frontier","Frontier","5262-5281",4406.36,4406.36,4406.36,5017.8,0.000607535,0,611.442,"0.00:0.80:0.00:0.81:0.76:0.00","None"
14,"COMPLETED","Aurora","Frontier","1-198:258:5282",4599.44,4599.44,4599.44,5586.33,0.000618535,0,986.889,"0.69:0.76:0.63:0.81:0.71:0.77","None"
15,"COMPLETED","Andes","Frontier","199-236:5248-5281",5036.78,5036.78,5036.78,5380.05,0.000619535,0,343.266,"0.73:0.75:0.70:0.80:0.73:0.77","None"
16,"COMPLETED","Andes","Perlmutter-Phase-2","308-541:543-561:1025:1110-1111",5397.89,5397.89,5397.89,6059.11,0.000600519,0,661.224,"0.68:0.76:0.62:0.77:0.75:0.82","None"
17,"COMPLETED","Aurora","Aurora","1-169:258",5514.41,5514.41,5514.41,6890.41,0.000622535,0,1376,"0.00:0.84:0.00:0.76:0.73:0.00","None"
18,"COMPLETED","Frontier","Perlmutter-Phase-1","188-207",5584.38,5584.38,5584.38,8240.48,0.000642535,0,2656.1,"0.00:0.79:0.00:0.80:0.83:0.00","None"
19,"COMPLETED","Andes","Perlmutter-Phase-2","1-181:258:308-338",6325.38,6325.38,6325.38,10017.2,0.000601507,0,3691.84,"0.77:0.77:0.69:0.77:0.72:0.78","None"
20,"COMPLETED","Frontier","Frontier","1-28:5248-5282",6635.41,6635.41,6635.41,7289.76,0.000670535,0,654.35,"0.76:0.76:0.72:0.81:0.75:0.78","None"
21,"COMPLETED","Crux","Frontier","29-37",6796.88,6796.89,6796.89,8631.22,0.00968752,0,1834.33,"0.77:0.75:0.77:0.80:0.75:0.77","None"
22,"COMPLETED","Crux","Frontier","38-164:258",7204.66,7204.67,7204.67,8266.64,0.000625392,0,1061.98,"0.74:0.77:0.68:0.81:0.74:0.78","None"
23,"COMPLETED","Frontier","Frontier","1-7:5248-5282",8087.94,8087.95,8087.95,8774.49,0.0126375,0,686.532,"0.00:0.80:0.00:0.81:0.76:0.00","None"
24,"COMPLETED","Aurora","Perlmutter-Phase-2","339-474",8311.18,8311.18,8311.18,9082.61,0.000606535,0,771.429,"0.73:0.76:0.67:0.77:0.78:0.83","None"
25,"COMPLETED","Frontier","Frontier","8-28:38-152:258",8371.95,8371.96,8371.96,9369.58,0.00953408,0,997.616,"0.00:0.80:0.00:0.81:0.75:0.00","None"
26,"COMPLETED","Aurora","Frontier","153-214",8615.4,8615.4,8615.4,9001.58,0.00350927,0,386.174,"0.74:0.75:0.71:0.80:0.74:0.77","None"
