JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Frontier","96-269:542",0,0.000277067,0.000277067,1276.52,0.000277067,0,1276.52,"0.71:0.75:0.71:0.75:0.71:0.71","None"
2,"COMPLETED","Frontier","Frontier","270-291",0,0.000298067,0.000298067,1308.7,0.000298067,0,1308.7,"0.00:0.70:0.00:0.76:0.63:0.00","None"
3,"COMPLETED","Frontier","Frontier","1-95:5248-5282",0,0.000256067,0.000256067,632.897,0.000256067,0,632.896,"0.71:0.71:0.71:0.71:0.71:0.71","None"
4,"COMPLETED","Frontier","Perlmutter-Phase-2","1-178:258",0,0.000255219,0.000255219,3489.8,0.000255219,0,3489.8,"0.71:0.71:0.71:0.71:0.71:0.71","None"
5,"COMPLETED","Frontier","Perlmutter-Phase-1","1-5",2702.2,2702.2,2702.2,3558.3,0.000258535,0,856.098,"0.71:0.71:0.71:0.71:0.71:0.70","None"
6,"COMPLETED","Aurora","Aurora","16-27",3600,3600,3600,4208,0.000294712,0,608,"0.00:0.76:0.00:0.64:0.64:0.00","None"
7,"COMPLETED","Crux","Aurora","1-15",3600,3600,3600,3952,0.000257712,0,352,"0.71:0.71:0.71:0.71:0.71:0.71","None"
8,"COMPLETED","Frontier","Perlmutter-Phase-1","1-123",3608.13,3608.13,3608.13,4771.54,0.000257488,0,1163.41,"0.71:0.71:0.71:0.71:0.71:0.71","None"
9,"COMPLETED","Frontier","Andes","1-181:258",3663.16,3663.16,3663.16,8913.16,0.000258535,0,5250,"0.71:0.71:0.71:0.71:0.69:0.71","None"
10,"COMPLETED","Aurora","Perlmutter-Phase-2","1-126",4110.78,4110.79,4110.79,8427.11,0.000252535,0,4316.33,"0.64:0.71:0.71:0.71:0.69:0.71","None"
11,"COMPLETED","Aurora","Frontier","1-152:258:5248-5282",4239.09,4239.09,4239.09,5268.89,0.000252535,0,1029.8,"0.00:0.71:0.00:0.71:0.69:0.00","None"
12,"COMPLETED","Andes","Frontier","153-166",4265.02,4265.03,4265.03,4715.56,0.000276535,0,450.536,"0.64:0.74:0.71:0.75:0.69:0.70","None"
13,"COMPLETED","Frontier","Frontier","167-186",4406.36,4406.36,4406.36,5017.8,0.000295535,0,611.442,"0.00:0.68:0.00:0.75:0.60:0.00","None"
14,"COMPLETED","Aurora","Aurora","1-199:258",4599.44,4599.44,4599.44,5335.44,0.000291535,0,736,"0.64:0.75:0.71:0.74:0.69:0.70","None"
15,"COMPLETED","Andes","Frontier","153-224",5036.78,5036.78,5036.78,5380.05,0.000285535,0,343.266,"0.64:0.74:0.71:0.74:0.71:0.70","None"
16,"COMPLETED","Andes","Frontier","1-220:258:5248-5282",5397.89,5397.89,5397.89,5784.06,0.000254561,0,386.174,"0.64:0.71:0.71:0.71:0.71:0.70","None"
17,"COMPLETED","Aurora","Aurora","1-169:258",5514.41,5514.41,5514.41,6890.41,0.000315535,0,1376,"0.00:0.76:0.00:0.66:0.61:0.00","None"
18,"COMPLETED","Frontier","Perlmutter-Phase-1","1-20",5584.38,5584.38,5584.38,8240.48,0.000251535,0,2656.1,"0.00:0.71:0.00:0.71:0.71:0.00","None"
19,"COMPLETED","Andes","Frontier","1-177:258:5248-5282",6325.38,6325.38,6325.38,8481.52,0.000255535,0,2156.14,"0.64:0.71:0.71:0.71:0.71:0.70","None"
20,"COMPLETED","Frontier","Aurora","170-232",6635.41,6635.41,6635.41,7123.41,0.000251476,0,488,"0.64:0.74:0.71:0.74:0.71:0.70","None"
21,"COMPLETED","Crux","Frontier","178-186",6796.88,6796.88,6796.88,8631.21,0.000264392,0,1834.33,"0.64:0.75:0.71:0.75:0.71:0.70","None"
22,"COMPLETED","Crux","Aurora","1-127:258",7204.66,7204.67,7204.67,7996.67,0.000281535,0,792,"0.64:0.75:0.71:0.74:0.71:0.70","None"
23,"COMPLETED","Frontier","Frontier","187-228",8087.94,8087.94,8087.94,8774.47,0.000305535,0,686.532,"0.00:0.67:0.00:0.75:0.61:0.00","None"
24,"COMPLETED","Aurora","Crux","1-136",8311.18,8311.18,8311.18,9067.18,0.000256476,0,756,"0.64:0.71:0.71:0.71:0.71:0.70","None"
25,"COMPLETED","Frontier","Frontier","229-257:259-365:542",8371.95,8371.95,8371.95,9369.57,0.000290535,0,997.616,"0.00:0.67:0.00:0.75:0.64:0.00","None"
