JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Frontier","1-139:258:5248-5282",0,15.4203,15.4203,1291.94,15.4203,0,1276.52,"0.74:0.07:0.02:0.93:0.03:0.58","None"
2,"COMPLETED","Frontier","Frontier","140-161",0,18.0965,18.0965,1326.8,18.0965,0,1308.7,"0.00:0.88:0.00:0.97:0.88:0.00","None"
3,"COMPLETED","Frontier","Aurora","1-129:258",0,13.4531,13.4531,485.453,13.4531,0,472,"0.03:0.08:0.03:0.04:0.04:0.02","None"
4,"COMPLETED","Frontier","Aurora","130-257:259-307:536:542",0,15.8378,15.8378,1535.84,15.8378,0,1520,"0.05:0.72:0.05:0.04:0.04:0.62","None"
5,"COMPLETED","Frontier","Perlmutter-Phase-1","1-5",2702.2,2715.84,2715.84,3571.93,13.6331,0,856.098,"0.72:0.72:0.82:0.88:0.88:0.88","None"
6,"COMPLETED","Aurora","Aurora","1-12",3600,3614.61,3614.61,4222.61,14.6115,0,608,"0.00:0.97:0.00:0.82:0.03:0.00","None"
7,"COMPLETED","Crux","Frontier","5248-5262",3600,3617.52,3617.52,4089.51,17.5202,0,471.99,"0.62:0.72:0.05:0.72:0.05:0.12","None"
8,"COMPLETED","Frontier","Perlmutter-Phase-2","1-123",3608.13,3623.24,3623.24,4596.71,15.1119,0,973.469,"0.72:0.05:0.05:0.05:0.04:0.88","None"
9,"COMPLETED","Frontier","Aurora","13-193:258",3663.16,3676.78,3676.78,4516.78,13.6245,0,840,"0.04:0.78:0.05:0.08:0.05:0.05","None"
10,"COMPLETED","Aurora","Aurora","194-257:259-318:536:542",4110.78,4123.86,4123.86,6003.86,13.076,0,1880,"0.04:0.87:0.05:0.03:0.04:0.87","None"
11,"COMPLETED","Aurora","Aurora","1-12:319-494",4239.09,4252.34,4252.34,5020.34,13.255,0,768,"0.00:0.95:0.00:0.88:0.04:0.00","None"
