JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Aurora",0,0.000596476,0.000596476,27.116,0.000596476,0,27.1154,"0.00:0.00:0.92:0.00:0.00:0.89","None"
2,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000597712,0.000597712,153.601,0.000597712,0,153.6,"0.84:0.82:0.76:0.75:0.91:0.81","None"
3,"COMPLETED","Frontier","Perlmutter-Phase-1",999.441,999.442,999.442,1401.44,0.000588535,0,402,"0.00:0.92:0.84:0.00:0.00:0.88","None"
4,"COMPLETED","Aurora","Frontier",3600,3600,3600,3758.76,0.000595535,0,158.76,"0.00:0.72:0.79:0.00:0.78:0.84","None"
5,"COMPLETED","Frontier","Aurora",4711.18,4711.18,4711.18,4839.55,0.000536352,0,128.365,"0.00:0.00:0.92:0.00:0.00:0.89","None"
6,"COMPLETED","Frontier","Frontier",6267.68,6267.68,6267.68,6640.98,0.000582535,0,373.302,"0.00:0.00:0.85:0.00:0.00:0.89","None"
7,"COMPLETED","Frontier","Frontier",7175.52,7175.52,7175.52,7504.84,0.000593535,0,329.321,"0.00:0.00:0.85:0.00:0.00:0.89","None"
8,"COMPLETED","Frontier","Frontier",9786.87,9786.87,9786.87,10051.8,0.000585535,0,264.958,"0.00:0.00:0.85:0.00:0.00:0.89","None"
9,"COMPLETED","Crux","Perlmutter-Phase-2",9840.12,9840.12,9840.12,10381.3,0.000640392,0,541.2,"0.77:0.81:0.80:0.77:0.90:0.77","None"
10,"COMPLETED","Frontier","Aurora",10357.4,10357.4,10357.4,10379.6,0.000586352,0,22.2115,"0.00:0.00:0.92:0.00:0.00:0.89","None"
11,"COMPLETED","Frontier","Frontier",10774.4,10774.4,10774.4,11047.9,0.000594535,0,273.54,"0.00:0.00:0.76:0.00:0.00:0.81","None"
12,"COMPLETED","Perlmutter-Phase-2","Andes",10800,10800,10800,10923.6,0.000605535,0,123.6,"0.87:0.77:0.76:0.83:0.85:0.77","None"
13,"COMPLETED","Frontier","Frontier",10839.3,10839.3,10839.3,10857.6,0.000595535,0,18.236,"0.00:0.00:0.74:0.00:0.78:0.80","None"
14,"COMPLETED","Perlmutter-Phase-2","Andes",11310.8,11310.8,11310.8,11469.2,0.000591535,0,158.4,"0.90:0.78:0.75:0.88:0.85:0.76","None"
15,"COMPLETED","Frontier","Aurora",12720.2,12720.2,12720.2,12755.7,0.000604535,0,35.4808,"0.00:0.85:0.92:0.00:0.00:0.89","None"
16,"COMPLETED","Andes","Andes",14996.3,14996.3,14996.3,15105.5,0.000601535,0,109.2,"0.96:0.74:0.75:0.88:0.80:0.80","None"
17,"COMPLETED","Frontier","Frontier",15307.7,15307.7,15307.7,15460,0.000597535,0,152.324,"0.00:0.00:0.85:0.00:0.00:0.89","None"
18,"COMPLETED","Crux","Frontier",15879,15879,15879,16046.4,0.000586519,0,167.342,"0.77:0.73:0.80:0.79:0.80:0.85","None"
19,"COMPLETED","Frontier","Frontier",15956,15956,15956,15976.4,0.000632535,0,20.3814,"0.00:0.83:0.84:0.00:0.00:0.96","None"
20,"COMPLETED","Aurora","Perlmutter-Phase-1",16098.5,16098.5,16098.5,16247.3,0.000564352,0,148.8,"0.00:0.93:0.89:0.00:0.00:0.85","None"
21,"COMPLETED","Andes","Frontier",16116.5,16116.5,16116.5,16349.3,0.000595579,0,232.777,"0.82:0.73:0.76:0.72:0.80:0.89","None"
22,"COMPLETED","Andes","Andes",16389.4,16389.4,16389.4,16498.6,0.000601535,0,109.2,"0.93:0.73:0.76:0.83:0.80:0.81","None"
