JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000282712,0.000282712,100.835,0.000282712,0,100.834,"0.00:0.00:0.00:0.92:0.00:0.97","None"
2,"COMPLETED","Andes","Andes",0,0.000249712,0.000249712,153.6,0.000249712,0,153.6,"0.92:0.92:0.92:0.92:0.92:0.92","None"
3,"COMPLETED","Frontier","Perlmutter-Phase-1",999.441,999.441,999.441,1401.44,0.000250535,0,402,"0.00:0.00:0.95:0.95:0.00:0.95","None"
4,"COMPLETED","Aurora","Aurora",3600,3600,3600,3642.69,0.000274535,0,42.6923,"0.00:0.95:0.95:0.98:0.00:0.98","None"
5,"COMPLETED","Frontier","Frontier",4711.18,4711.18,4711.18,5188.54,0.000286535,0,477.354,"0.00:0.00:0.00:0.94:0.00:0.99","None"
6,"COMPLETED","Frontier","Frontier",6267.68,6267.68,6267.68,6640.98,0.000250569,0,373.302,"0.00:0.00:0.00:0.95:0.00:0.95","None"
7,"COMPLETED","Frontier","Frontier",7175.52,7175.52,7175.52,7504.84,0.000247535,0,329.321,"0.00:0.00:0.00:0.95:0.00:0.95","None"
8,"COMPLETED","Frontier","Aurora",9786.87,9786.87,9786.87,9858.12,0.000241476,0,71.25,"0.00:0.00:0.00:0.95:0.00:0.95","None"
9,"COMPLETED","Crux","Perlmutter-Phase-1",9840.12,9840.12,9840.12,10381.3,0.000247709,0,541.2,"0.93:0.95:0.95:0.92:0.00:0.95","None"
10,"COMPLETED","Frontier","Frontier",10357.4,10357.4,10357.4,10440,0.000280535,0,82.5983,"0.00:0.00:0.00:0.95:0.00:0.99","None"
11,"COMPLETED","Frontier","Frontier",10774.4,10774.4,10774.4,11047.9,0.000247569,0,273.54,"0.00:0.00:0.00:0.95:0.00:0.95","None"
12,"COMPLETED","Perlmutter-Phase-2","Crux",10800,10800,10800,10923.6,0.000249712,0,123.6,"0.95:0.95:0.95:0.95:0.95:0.91","None"
13,"COMPLETED","Frontier","Aurora",10839.3,10839.3,10839.3,10844.2,0.000250535,0,4.90385,"0.00:0.95:0.00:0.95:0.00:0.94","None"
14,"COMPLETED","Perlmutter-Phase-2","Andes",11310.8,11310.8,11310.8,11469.2,0.000255535,0,158.4,"0.95:0.95:0.95:0.95:0.93:0.95","None"
15,"COMPLETED","Frontier","Frontier",12720.2,12720.2,12720.2,12852.1,0.000284535,0,131.943,"0.00:0.00:0.89:0.96:0.00:0.99","None"
