JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,5.20843e-05,5.20843e-05,100.834,5.20843e-05,0,100.834,"1.00","None"
2,"COMPLETED","Andes","Andes",0,5.20843e-05,5.20843e-05,153.6,5.20843e-05,0,153.6,"1.00","None"
3,"COMPLETED","Frontier","Frontier",999.441,999.441,999.441,1358.8,5.20843e-05,0,359.356,"1.00","None"
4,"COMPLETED","Aurora","Aurora",3600,3600,3600,3642.69,5.20843e-05,0,42.6923,"1.00","None"
5,"COMPLETED","Frontier","Frontier",4711.18,4711.18,4711.18,5188.54,5.20843e-05,0,477.354,"1.00","None"
6,"COMPLETED","Frontier","Frontier",6267.68,6267.68,6267.68,6640.98,5.20843e-05,0,373.302,"1.00","None"
7,"COMPLETED","Frontier","Frontier",7175.52,7175.52,7175.52,7504.84,5.20843e-05,0,329.321,"1.00","None"
8,"COMPLETED","Frontier","Frontier",9786.87,9786.87,9786.87,10051.8,5.20843e-05,0,264.958,"1.00","None"
9,"REJECTED","Crux","Crux",9840.12,-1,-1,9840.12,5.20843e-05,-1,-1,"1.00","Job requires more nodes than the System has"
10,"COMPLETED","Frontier","Frontier",10357.4,10357.4,10357.4,10440,5.20843e-05,0,82.5983,"1.00","None"
11,"COMPLETED","Frontier","Frontier",10774.4,10774.4,10774.4,11047.9,5.20843e-05,0,273.54,"1.00","None"
12,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",10800,10800,10800,10923.6,5.20843e-05,0,123.6,"1.00","None"
13,"COMPLETED","Frontier","Frontier",10839.3,10839.3,10839.3,10857.6,5.20843e-05,0,18.236,"1.00","None"
14,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",11310.8,11310.8,11310.8,11469.2,5.20843e-05,0,158.4,"1.00","None"
15,"COMPLETED","Frontier","Frontier",12720.2,12720.2,12720.2,12852.1,5.20843e-05,0,131.943,"1.00","None"
16,"COMPLETED","Andes","Andes",14996.3,14996.3,14996.3,15105.5,5.20843e-05,0,109.2,"1.00","None"
17,"COMPLETED","Frontier","Frontier",15307.7,15307.7,15307.7,15460,5.20843e-05,0,152.324,"1.00","None"
18,"COMPLETED","Crux","Crux",15879,15879,15879,16066.2,5.20843e-05,0,187.2,"1.00","None"
19,"COMPLETED","Frontier","Frontier",15956,15956,15956,15976.4,5.20843e-05,0,20.3814,"1.00","None"
20,"COMPLETED","Aurora","Aurora",16098.5,16098.5,16098.5,16134.3,5.20843e-05,0,35.7692,"1.00","None"
21,"COMPLETED","Andes","Andes",16116.5,16116.5,16116.5,16376.9,5.20843e-05,0,260.4,"1.00","None"
22,"COMPLETED","Andes","Andes",16389.4,16389.4,16389.4,16498.6,5.20843e-05,0,109.2,"1.00","None"
23,"COMPLETED","Frontier","Frontier",16418.4,16418.4,16418.4,16693,5.20843e-05,0,274.613,"1.00","None"
24,"COMPLETED","Aurora","Aurora",17277.5,17277.5,17277.5,17325.7,5.20843e-05,0,48.1731,"1.00","None"
25,"COMPLETED","Frontier","Frontier",17471.4,17471.4,17471.4,17746,5.20843e-05,0,274.613,"1.00","None"
26,"COMPLETED","Andes","Andes",17516,17516,17516,17595.2,5.20843e-05,0,79.2,"1.00","None"
27,"COMPLETED","Andes","Andes",18382.1,18382.1,18382.1,18460.1,5.20843e-05,0,78,"1.00","None"
28,"COMPLETED","Frontier","Frontier",18638.6,18638.6,18638.6,19142.8,5.20843e-05,0,504.172,"1.00","None"
29,"COMPLETED","Frontier","Frontier",18662.5,18662.5,18662.5,18778.4,5.20843e-05,0,115.852,"1.00","None"
30,"COMPLETED","Aurora","Aurora",18705.1,18705.1,18705.1,18719.5,5.20843e-05,0,14.4231,"1.00","None"
31,"COMPLETED","Andes","Andes",18835.7,18835.7,18835.7,18937.7,5.20843e-05,0,102,"1.00","None"
32,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",19256,19256,19256,19606.4,5.20843e-05,0,350.4,"1.00","None"
33,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",19297.1,19297.1,19297.1,19385.9,5.20843e-05,0,88.8,"1.00","None"
34,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",19522.7,19522.7,19522.7,19623.5,5.20843e-05,0,100.8,"1.00","None"
35,"COMPLETED","Andes","Andes",19873.8,19873.8,19873.8,19893,5.20843e-05,0,19.2,"1.00","None"
36,"COMPLETED","Frontier","Frontier",19934.5,19934.5,19934.5,19959.2,5.20843e-05,0,24.6722,"1.00","None"
37,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",20395.9,20395.9,20395.9,20515.9,5.20843e-05,0,120,"1.00","None"
