JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000235189,0.000235189,-1,-1,"0.78:0.39:0.83:0.65:0.48:0.63","Job requires more nodes than the System has"
2,"COMPLETED","Andes","Aurora",0,0.000234653,0.000234653,36.9233,0.000234653,0,36.9231,"0.75:0.38:0.20:0.84:0.27:0.29","None"
3,"COMPLETED","Frontier","Aurora",999.441,999.441,999.441,1096.08,0.000234839,0,96.6346,"0.30:0.23:0.35:0.51:0.45:0.08","None"
4,"COMPLETED","Aurora","Perlmutter-Phase-1",3600,3600,3600,3777.6,0.000235244,0,177.6,"0.22:0.10:0.88:0.37:0.79:0.50","None"
5,"REJECTED","Frontier","Perlmutter-Phase-1",4711.18,-1,-1,4711.18,0.000234839,-1,-1,"0.40:0.84:0.93:0.58:0.43:0.59","Job requires more nodes than the System has"
6,"REJECTED","Frontier","Crux",6267.68,-1,-1,6267.68,0.000234737,-1,-1,"0.51:0.06:0.33:0.80:0.97:0.78","Job requires more nodes than the System has"
7,"REJECTED","Frontier","Crux",7175.52,-1,-1,7175.52,0.000234737,-1,-1,"0.80:0.39:0.47:0.75:0.98:0.98","Job requires more nodes than the System has"
8,"REJECTED","Frontier","Perlmutter-Phase-2",9786.87,-1,-1,9786.87,0.000234839,-1,-1,"0.01:0.61:0.46:0.24:0.29:0.54","Job requires more nodes than the System has"
9,"COMPLETED","Crux","Perlmutter-Phase-2",9840.12,9840.12,9840.12,10381.3,0.000235212,0,541.2,"0.09:0.94:0.73:0.55:0.02:0.09","None"
10,"COMPLETED","Frontier","Frontier",10357.4,10357.4,10357.4,10440,0.000234889,0,82.5983,"0.20:0.05:0.19:0.33:0.23:0.92","None"
11,"REJECTED","Frontier","Andes",10774.4,-1,-1,10774.4,0.000234889,-1,-1,"0.78:0.09:0.02:0.20:0.49:0.25","Job requires more nodes than the System has"
12,"COMPLETED","Perlmutter-Phase-2","Frontier",10800,10800,10800,10910.5,0.000235244,0,110.489,"0.63:0.60:0.14:0.96:0.29:0.98","None"
13,"COMPLETED","Frontier","Frontier",10839.3,10839.3,10839.3,10857.6,0.000234889,0,18.236,"0.47:0.19:0.71:0.66:0.35:0.93","None"
14,"COMPLETED","Perlmutter-Phase-2","Frontier",11310.8,11310.8,11310.8,11452.4,0.000235244,0,141.597,"0.30:0.51:0.29:0.02:0.43:0.77","None"
15,"COMPLETED","Frontier","Aurora",12720.2,12720.2,12720.2,12755.7,0.000234839,0,35.4808,"0.55:0.08:0.53:0.94:0.69:0.66","None"
16,"COMPLETED","Andes","Perlmutter-Phase-2",14996.3,14996.3,14996.3,15105.5,0.000234839,0,109.2,"0.02:0.64:0.10:0.35:0.44:0.61","None"
17,"COMPLETED","Frontier","Aurora",15307.7,15307.7,15307.7,15348.6,0.000234839,0,40.9615,"0.66:0.42:0.47:0.98:0.41:0.04","None"
18,"COMPLETED","Crux","Aurora",15879,15879,15879,15924,0.000234889,0,45,"0.39:0.50:0.21:0.72:0.15:0.48","None"
19,"REJECTED","Frontier","Andes",15956,-1,-1,15956,0.000234889,-1,-1,"0.84:0.83:0.79:0.27:0.54:0.50","Job requires more nodes than the System has"
20,"REJECTED","Aurora","Perlmutter-Phase-2",16098.5,-1,-1,16098.5,0.000235244,-1,-1,"0.04:0.83:0.03:0.22:0.25:0.59","Job requires GPU while System has none"
21,"COMPLETED","Andes","Frontier",16116.5,16116.5,16116.5,16349.3,0.000234889,0,232.777,"0.61:0.37:0.16:0.54:0.96:0.97","None"
22,"COMPLETED","Andes","Perlmutter-Phase-2",16389.4,16389.4,16389.4,16498.6,0.000234839,0,109.2,"0.17:0.57:0.17:0.53:0.15:0.22","None"
23,"REJECTED","Frontier","Perlmutter-Phase-2",16418.4,-1,-1,16418.4,0.000234839,-1,-1,"0.37:0.61:0.28:0.02:0.50:0.25","Job requires more nodes than the System has"
24,"COMPLETED","Aurora","Perlmutter-Phase-2",17277.5,17277.5,17277.5,17477.9,0.000235244,0,200.4,"0.11:0.92:0.45:0.50:0.10:0.90","None"
25,"REJECTED","Frontier","Perlmutter-Phase-2",17471.4,-1,-1,17471.4,0.000234839,-1,-1,"0.58:0.85:0.11:0.31:0.52:0.04","Job requires more nodes than the System has"
26,"COMPLETED","Andes","Crux",17516,17516,17516,17595.2,0.000234737,0,79.2,"0.54:0.69:0.40:0.51:0.89:0.05","None"
27,"COMPLETED","Andes","Perlmutter-Phase-2",18382.1,18382.1,18382.1,18460.1,0.000234839,0,78,"0.27:0.94:0.67:0.32:0.83:0.67","None"
28,"REJECTED","Frontier","Crux",18638.6,-1,-1,18638.6,0.000234737,-1,-1,"0.93:0.24:0.04:0.12:0.94:0.58","Job requires more nodes than the System has"
29,"REJECTED","Frontier","Perlmutter-Phase-1",18662.5,-1,-1,18662.5,0.000234839,-1,-1,"0.12:0.63:0.84:0.59:0.26:0.30","Job requires more nodes than the System has"
30,"COMPLETED","Aurora","Perlmutter-Phase-1",18705.1,18705.1,18705.1,18765.1,0.000235244,0,60,"0.03:0.52:0.99:0.08:0.15:0.56","None"
31,"COMPLETED","Andes","Aurora",18835.7,18835.7,18835.7,18860.3,0.000234839,0,24.5192,"0.59:0.65:0.71:0.82:0.65:0.01","None"
32,"REJECTED","Perlmutter-Phase-1","Crux",19256,-1,-1,19256,0.000235244,-1,-1,"0.84:0.58:0.16:0.71:0.87:0.06","Job requires GPU while System has none"
33,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",19297.1,19297.1,19297.1,19385.9,0.000234696,0,88.8,"0.38:0.99:0.41:0.41:0.31:0.95","None"
34,"REJECTED","Perlmutter-Phase-1","Perlmutter-Phase-2",19522.7,-1,-1,19522.7,0.000234696,-1,-1,"0.43:0.94:0.79:0.56:0.64:0.27","Job requires GPU while System has none"
35,"COMPLETED","Andes","Crux",19873.8,19873.8,19873.8,19893,0.000234737,0,19.2,"0.46:0.73:0.53:0.11:0.94:0.74","None"
36,"COMPLETED","Frontier","Frontier",19934.5,19934.5,19934.5,19959.2,0.000234889,0,24.6722,"0.14:0.04:0.33:0.25:0.62:0.83","None"
37,"COMPLETED","Perlmutter-Phase-1","Aurora",20395.9,20395.9,20395.9,20424.8,0.000235244,0,28.8462,"0.36:0.37:0.38:0.67:0.39:0.01","None"
38,"REJECTED","Frontier","Crux",20685.9,-1,-1,20685.9,0.000234737,-1,-1,"0.50:0.06:0.71:0.10:0.84:0.82","Job requires more nodes than the System has"
39,"COMPLETED","Perlmutter-Phase-2","Frontier",20734.5,20734.5,20734.5,20934,0.000235244,0,199.523,"0.21:0.01:0.42:0.36:0.33:0.46","None"
40,"COMPLETED","Perlmutter-Phase-1","Andes",21005.4,21005.4,21005.4,21087,0.000235244,0,81.6,"0.86:0.51:0.69:0.40:0.23:0.11","None"
41,"COMPLETED","Andes","Crux",21086.8,21086.8,21086.8,21356.8,0.000234737,0,270,"0.39:0.26:0.55:0.58:0.98:0.80","None"
42,"REJECTED","Frontier","Perlmutter-Phase-2",21157.7,-1,-1,21157.7,0.000234839,-1,-1,"0.68:0.97:0.79:0.38:0.44:0.37","Job requires GPU while System has none"
43,"COMPLETED","Crux","Perlmutter-Phase-2",21488.7,21488.7,21488.7,21609.9,0.000235212,0,121.2,"0.43:0.96:0.18:0.20:0.07:0.28","None"
44,"COMPLETED","Aurora","Aurora",21503.2,21503.2,21503.2,21538.4,0.000234889,0,35.1923,"0.09:0.59:0.30:0.92:0.31:0.62","None"
45,"REJECTED","Frontier","Andes",21648.4,-1,-1,21648.4,0.000234889,-1,-1,"0.82:0.47:0.49:0.43:0.61:0.34","Job requires more nodes than the System has"
46,"COMPLETED","Aurora","Perlmutter-Phase-1",21678,21678,21678,21699.6,0.000235244,0,21.6,"0.07:0.70:0.95:0.45:0.72:0.41","None"
