JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Aurora",2.733,2.73359,2.73359,3.46435,0.000585535,0,0.730769,"0.00:0.91:0.00:0.85:0.86:0.00","None"
2,"COMPLETED","Perlmutter-Phase-1","Frontier",3.142,3.14259,3.14259,5.18074,0.000594535,0,2.03814,"0.00:0.82:0.00:0.90:0.85:0.00","None"
3,"COMPLETED","Frontier","Aurora",3.472,3.47259,3.47259,3.89566,0.000587535,0,0.423077,"0.00:0.89:0.00:0.87:0.81:0.00","None"
4,"COMPLETED","Perlmutter-Phase-1","Crux",3.666,3.66665,3.66665,4.02665,0.000647535,0,0.36,"0.69:0.67:0.75:0.68:0.72:0.67","None"
5,"COMPLETED","Frontier","Aurora",3.76,3.76059,3.76059,5.04424,0.000589535,0,1.28365,"0.00:0.90:0.00:0.87:0.82:0.00","None"
6,"COMPLETED","Aurora","Perlmutter-Phase-1",3.799,3.7996,3.7996,5.0596,0.000602535,0,1.26,"0.61:0.78:0.71:0.74:0.80:0.76","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",3.835,3.8356,3.8356,13.3356,0.000595535,0,9.5,"0.62:0.77:0.67:0.77:0.87:0.84","None"
8,"COMPLETED","Aurora","Perlmutter-Phase-1",4.196,4.19659,4.19659,6.07659,0.000591535,0,1.88,"0.00:0.86:0.00:0.83:0.89:0.00","None"
9,"COMPLETED","Frontier","Frontier",4.411,4.4116,4.4116,5.03735,0.000600579,0,0.625745,"0.00:0.81:0.00:0.92:0.78:0.00","None"
10,"COMPLETED","Perlmutter-Phase-2","Frontier",4.708,4.7086,4.7086,5.60252,0.000597535,0,0.893921,"0.58:0.70:0.64:0.80:0.73:0.68","None"
11,"COMPLETED","Perlmutter-Phase-1","Frontier",4.741,4.7416,4.7416,6.20763,0.000599535,0,1.46603,"0.00:0.83:0.00:0.91:0.85:0.00","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",4.747,4.7476,4.7476,7.2276,0.000602535,0,2.48,"0.00:0.84:0.00:0.84:0.93:0.00","None"
13,"COMPLETED","Aurora","Perlmutter-Phase-1",4.986,4.9866,4.9866,8.7066,0.000603352,0,3.72,"0.00:0.87:0.00:0.83:0.89:0.00","None"
14,"COMPLETED","Frontier","Perlmutter-Phase-1",5.028,5.02865,5.02865,7.00865,0.000647535,0,1.98,"0.00:0.81:0.00:0.85:0.87:0.00","None"
15,"COMPLETED","Perlmutter-Phase-2","Frontier",5.091,5.09164,5.09164,6.48616,0.000643535,0,1.39452,"0.56:0.68:0.62:0.79:0.71:0.67","None"
16,"COMPLETED","Aurora","Perlmutter-Phase-1",5.251,5.25158,5.25158,10.6916,0.000580535,0,5.44,"0.00:0.86:0.00:0.82:0.89:0.00","None"
17,"COMPLETED","Frontier","Aurora",5.269,5.26959,5.26959,5.61094,0.000592535,0,0.341346,"0.00:0.87:0.00:0.85:0.79:0.00","None"
18,"COMPLETED","Andes","Perlmutter-Phase-1",5.301,5.3016,5.3016,18.5216,0.000598519,0,13.22,"0.68:0.76:0.69:0.81:0.82:0.78","None"
19,"COMPLETED","Andes","Perlmutter-Phase-1",5.349,5.34959,5.34959,7.90959,0.000592535,0,2.56,"0.65:0.72:0.65:0.77:0.79:0.75","None"
20,"COMPLETED","Aurora","Aurora",5.36,5.36065,5.36065,6.94239,0.000654535,0,1.58173,"0.00:0.95:0.00:0.85:0.83:0.00","None"
21,"COMPLETED","Perlmutter-Phase-1","Crux",5.423,5.42359,5.42359,5.86359,0.000589535,0,0.44,"0.70:0.68:0.75:0.70:0.71:0.69","None"
22,"COMPLETED","Perlmutter-Phase-1","Aurora",5.676,5.67659,5.67659,5.98909,0.000589535,0,0.3125,"0.00:0.89:0.00:0.82:0.84:0.00","None"
23,"COMPLETED","Andes","Perlmutter-Phase-1",5.719,5.7196,5.7196,7.9996,0.000596535,0,2.28,"0.66:0.72:0.66:0.78:0.79:0.76","None"
24,"COMPLETED","Aurora","Perlmutter-Phase-1",5.969,5.96959,5.96959,8.56959,0.000591535,0,2.6,"0.00:0.87:0.00:0.84:0.89:0.00","None"
25,"COMPLETED","Perlmutter-Phase-2","Crux",5.973,5.97359,5.97359,7.67359,0.000593535,0,1.7,"0.71:0.71:0.77:0.72:0.74:0.69","None"
26,"COMPLETED","Andes","Frontier",5.993,5.9936,5.9936,126.011,0.000596535,0,120.018,"0.61:0.80:0.00:0.83:0.78:0.77","None"
27,"COMPLETED","Perlmutter-Phase-2","Frontier",6.022,6.02259,6.02259,9.65192,0.000594535,0,3.62932,"0.60:0.72:0.66:0.81:0.74:0.69","None"
28,"COMPLETED","Perlmutter-Phase-2","Frontier",6.117,6.11758,6.11758,7.52998,0.000579535,0,1.4124,"0.61:0.74:0.66:0.83:0.75:0.72","None"
29,"COMPLETED","Perlmutter-Phase-1","Aurora",6.146,6.1466,6.1466,6.50717,0.000595535,0,0.360577,"0.00:0.87:0.00:0.80:0.83:0.00","None"
30,"COMPLETED","Frontier","Aurora",6.171,6.17159,6.17159,6.49371,0.000592352,0,0.322115,"0.00:0.87:0.00:0.85:0.79:0.00","None"
31,"COMPLETED","Frontier","Frontier",6.212,6.21265,6.21265,6.9993,0.000650535,0,0.786651,"0.00:0.78:0.00:0.90:0.77:0.00","None"
32,"COMPLETED","Andes","Frontier",6.216,6.21659,6.21659,8.88048,0.000589535,0,2.66389,"0.66:0.72:0.66:0.86:0.69:0.64","None"
33,"COMPLETED","Perlmutter-Phase-1","Aurora",6.493,6.49359,6.49359,7.07533,0.000594535,0,0.581731,"0.00:0.88:0.00:0.81:0.83:0.00","None"
34,"COMPLETED","Frontier","Aurora",6.527,6.52759,6.52759,6.93624,0.000586535,0,0.408654,"0.00:0.88:0.00:0.86:0.80:0.00","None"
35,"COMPLETED","Perlmutter-Phase-1","Aurora",6.591,6.59159,6.59159,6.93774,0.000588535,0,0.346154,"0.00:0.87:0.00:0.80:0.83:0.00","None"
36,"COMPLETED","Perlmutter-Phase-2","Frontier",6.595,6.5956,6.5956,8.88404,0.000596535,0,2.28844,"0.60:0.74:0.65:0.84:0.76:0.72","None"
37,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",6.642,6.6426,6.6426,7.8626,0.000596519,0,1.22,"0.61:0.73:0.65:0.74:0.83:0.82","None"
38,"COMPLETED","Frontier","Frontier",6.674,6.6746,6.6746,8.56971,0.000596535,0,1.89511,"0.00:0.81:0.00:0.93:0.80:0.00","None"
