JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",2.733,2.73329,2.73329,5.77329,0.000294535,0,3.04,"0.00:0.70:0.00:0.69:0.98:0.00","None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",3.142,3.14229,3.14229,5.42229,0.000290535,0,2.28,"0.00:0.88:0.00:0.89:0.97:0.00","None"
3,"COMPLETED","Frontier","Frontier",3.472,3.4723,3.4723,5.0456,0.000299535,0,1.5733,"0.00:0.88:0.00:0.99:0.85:0.00","None"
4,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",3.666,3.66629,3.66629,4.02629,0.000291535,0,0.36,"0.70:0.67:0.70:0.68:0.92:0.91","None"
5,"COMPLETED","Frontier","Frontier",3.76,3.76029,3.76029,8.53383,0.000293535,0,4.77354,"0.00:0.74:0.00:0.98:0.72:0.00","None"
6,"COMPLETED","Aurora","Aurora",3.799,3.79929,3.79929,4.10218,0.000291535,0,0.302885,"0.68:0.98:0.90:0.68:0.67:0.70","None"
7,"COMPLETED","Perlmutter-Phase-2","Frontier",3.835,3.83529,3.83529,12.3275,0.000291535,0,8.49225,"0.81:0.97:0.89:0.97:0.97:0.92","None"
8,"COMPLETED","Aurora","Aurora",4.196,4.19629,4.19629,4.64821,0.000288535,0,0.451923,"0.00:0.98:0.00:0.93:0.93:0.00","None"
9,"COMPLETED","Frontier","Frontier",4.411,4.41129,4.41129,5.03703,0.000289579,0,0.625745,"0.00:0.79:0.00:0.97:0.78:0.00","None"
10,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",4.708,4.70829,4.70829,5.70829,0.000291519,0,1,"0.77:0.89:0.84:0.88:0.94:0.91","None"
11,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",4.741,4.74129,4.74129,6.38129,0.000293535,0,1.64,"0.00:0.95:0.00:0.95:0.96:0.00","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",4.747,4.74729,4.74729,7.22729,0.000293535,0,2.48,"0.00:0.91:0.00:0.91:0.96:0.00","None"
13,"COMPLETED","Aurora","Aurora",4.986,4.98629,4.98629,5.88052,0.000291535,0,0.894231,"0.00:0.99:0.00:0.76:0.74:0.00","None"
14,"COMPLETED","Frontier","Frontier",5.028,5.02829,5.02829,6.79826,0.000294535,0,1.76996,"0.00:0.84:0.00:0.97:0.81:0.00","None"
15,"COMPLETED","Perlmutter-Phase-2","Aurora",5.091,5.09129,5.09129,5.46629,0.000294535,0,0.375,"0.79:0.94:0.88:0.93:0.94:0.92","None"
