JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",2.733,2.73305,2.73305,5.77305,5.20843e-05,0,3.04,"1.00","None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",3.142,3.14205,3.14205,5.42205,5.20843e-05,0,2.28,"1.00","None"
3,"COMPLETED","Frontier","Frontier",3.472,3.47205,3.47205,5.04535,5.20843e-05,0,1.5733,"1.00","None"
4,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",3.666,3.66605,3.66605,4.02605,5.20843e-05,0,0.36,"1.00","None"
5,"COMPLETED","Frontier","Frontier",3.76,3.76005,3.76005,8.53359,5.20843e-05,0,4.77354,"1.00","None"
6,"COMPLETED","Aurora","Aurora",3.799,3.79905,3.79905,4.10194,5.20843e-05,0,0.302885,"1.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",3.835,3.83505,3.83505,13.3351,5.20843e-05,0,9.5,"1.00","None"
8,"COMPLETED","Aurora","Aurora",4.196,4.19605,4.19605,4.64798,5.20843e-05,0,0.451923,"1.00","None"
9,"COMPLETED","Frontier","Frontier",4.411,4.41105,4.41105,5.0368,5.20843e-05,0,0.625745,"1.00","None"
10,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",4.708,4.70805,4.70805,5.70805,5.20843e-05,0,1,"1.00","None"
11,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",4.741,4.74105,4.74105,6.38105,5.20843e-05,0,1.64,"1.00","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",4.747,4.74705,4.74705,7.22705,5.20843e-05,0,2.48,"1.00","None"
13,"COMPLETED","Aurora","Aurora",4.986,4.98605,4.98605,5.88028,5.20843e-05,0,0.894231,"1.00","None"
14,"COMPLETED","Frontier","Frontier",5.028,5.02805,5.02805,6.79802,5.20843e-05,0,1.76996,"1.00","None"
15,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",5.091,5.09105,5.09105,6.65105,5.20843e-05,0,1.56,"1.00","None"
16,"COMPLETED","Aurora","Aurora",5.251,5.25105,5.25105,6.55874,5.20843e-05,0,1.30769,"1.00","None"
17,"COMPLETED","Frontier","Frontier",5.269,5.26905,5.26905,6.53842,5.20843e-05,0,1.26937,"1.00","None"
18,"COMPLETED","Andes","Andes",5.301,5.30105,5.30105,18.5211,5.20843e-05,0,13.22,"1.00","None"
19,"COMPLETED","Andes","Andes",5.349,5.34905,5.34905,7.90905,5.20843e-05,0,2.56,"1.00","None"
20,"COMPLETED","Aurora","Aurora",5.36,5.36005,5.36005,6.94178,5.20843e-05,0,1.58173,"1.00","None"
21,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",5.423,5.42305,5.42305,5.86305,5.20843e-05,0,0.44,"1.00","None"
22,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",5.676,5.67605,5.67605,6.97605,5.20843e-05,0,1.3,"1.00","None"
23,"COMPLETED","Andes","Andes",5.719,5.71905,5.71905,7.99905,5.20843e-05,0,2.28,"1.00","None"
24,"COMPLETED","Aurora","Aurora",5.969,5.96905,5.96905,6.59405,5.20843e-05,0,0.625,"1.00","None"
25,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",5.973,5.97305,5.97305,7.67305,5.20843e-05,0,1.7,"1.00","None"
26,"COMPLETED","Andes","Andes",5.993,5.99305,28.0751,162.335,5.20843e-05,22.082,134.26,"1.00","None"
27,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",6.022,6.02205,6.02205,10.0821,5.20843e-05,0,4.06,"1.00","None"
28,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",6.117,6.11705,6.11705,7.69705,5.20843e-05,0,1.58,"1.00","None"
29,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",6.146,6.14605,6.14605,7.64605,5.20843e-05,0,1.5,"1.00","None"
30,"COMPLETED","Frontier","Frontier",6.171,6.17105,6.17105,7.36891,5.20843e-05,0,1.19785,"1.00","None"
31,"COMPLETED","Frontier","Frontier",6.212,6.21205,6.21205,6.9987,5.20843e-05,0,0.786651,"1.00","None"
32,"COMPLETED","Andes","Andes",6.216,6.21605,6.21605,9.19605,5.20843e-05,0,2.98,"1.00","None"
33,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",6.493,6.49305,6.49305,8.91305,5.20843e-05,0,2.42,"1.00","None"
34,"COMPLETED","Frontier","Frontier",6.527,6.52705,6.52705,8.04672,5.20843e-05,0,1.51967,"1.00","None"
35,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",6.591,6.59105,6.59105,8.03105,5.20843e-05,0,1.44,"1.00","None"
36,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",6.595,6.59505,6.59505,9.15505,5.20843e-05,0,2.56,"1.00","None"
37,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",6.642,6.64205,6.64205,7.86205,5.20843e-05,0,1.22,"1.00","None"
38,"COMPLETED","Frontier","Frontier",6.674,6.67405,6.67405,8.56917,5.20843e-05,0,1.89511,"1.00","None"
39,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",6.694,6.69405,6.69405,10.1741,5.20843e-05,0,3.48,"1.00","None"
40,"COMPLETED","Crux","Crux",6.709,6.70905,6.70905,7.64905,5.20843e-05,0,0.94,"1.00","None"
41,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",6.712,6.71205,6.71205,16.9521,5.20843e-05,0,10.24,"1.00","None"
42,"COMPLETED","Frontier","Frontier",6.791,6.79105,6.79105,9.2404,5.20843e-05,0,2.44934,"1.00","None"
43,"COMPLETED","Frontier","Frontier",6.865,6.86505,6.86505,9.18925,5.20843e-05,0,2.3242,"1.00","None"
44,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",6.888,6.88805,6.88805,14.2481,5.20843e-05,0,7.36,"1.00","None"
45,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",6.897,6.89705,6.89705,17.7771,5.20843e-05,0,10.88,"1.00","None"
46,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",7.037,7.03705,7.03705,15.5371,5.20843e-05,0,8.5,"1.00","None"
