JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Frontier",2.733,2.73324,2.73324,5.45076,0.000235244,0,2.71752,"0.09:0.29:0.90:0.99:0.56:0.01","None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",3.142,3.14223,3.14223,5.42223,0.000234696,0,2.28,"0.12:0.27:0.89:0.07:0.92:0.66","None"
3,"REJECTED","Frontier","Andes",3.472,-1,-1,3.47223,0.000234889,-1,-1,"0.89:0.55:0.85:0.84:0.74:0.77","Job requires GPU while System has none"
4,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",3.666,3.66623,3.66623,4.02623,0.000234696,0,0.36,"0.74:0.70:0.86:0.15:0.12:0.90","None"
5,"COMPLETED","Frontier","Frontier",3.76,3.76023,3.76023,8.53377,0.000234889,0,4.77354,"0.56:0.85:0.14:0.97:0.87:0.11","None"
6,"COMPLETED","Aurora","Perlmutter-Phase-2",3.799,3.79924,3.79924,5.05924,0.000235244,0,1.26,"0.76:0.31:0.16:0.09:0.39:0.81","None"
7,"COMPLETED","Perlmutter-Phase-2","Crux",3.835,3.83524,3.83524,13.3352,0.000235244,0,9.5,"0.08:0.60:0.89:0.78:0.52:0.88","None"
8,"REJECTED","Aurora","Perlmutter-Phase-2",4.196,-1,-1,4.19624,0.000235244,-1,-1,"0.62:0.06:0.69:0.33:0.31:0.73","Job requires GPU while System has none"
9,"COMPLETED","Frontier","Frontier",4.411,4.41123,4.41123,5.03698,0.000234889,0,0.625745,"0.39:0.53:0.82:0.86:0.66:0.60","None"
10,"COMPLETED","Perlmutter-Phase-2","Aurora",4.708,4.70824,4.70824,4.94862,0.000235244,0,0.240385,"0.74:0.99:0.10:0.34:0.68:0.42","None"
11,"REJECTED","Perlmutter-Phase-1","Perlmutter-Phase-2",4.741,-1,-1,4.74123,0.000234696,-1,-1,"0.51:0.11:0.69:0.49:0.17:0.98","Job requires GPU while System has none"
12,"REJECTED","Perlmutter-Phase-1","Crux",4.747,-1,-1,4.74724,0.000235244,-1,-1,"0.25:0.41:0.86:0.49:0.57:0.46","Job requires GPU while System has none"
13,"REJECTED","Aurora","Perlmutter-Phase-2",4.986,-1,-1,4.98624,0.000235244,-1,-1,"0.55:0.72:0.56:0.49:0.67:0.75","Job requires GPU while System has none"
14,"COMPLETED","Frontier","Perlmutter-Phase-1",5.028,5.02823,5.02823,7.00823,0.000234839,0,1.98,"0.10:0.21:0.25:0.30:0.31:0.05","None"
15,"COMPLETED","Perlmutter-Phase-2","Crux",5.091,5.09124,5.09124,6.65124,0.000235244,0,1.56,"0.05:0.50:0.78:0.38:0.04:0.42","None"
16,"COMPLETED","Aurora","Aurora",5.251,5.25123,5.25123,6.55893,0.000234889,0,1.30769,"0.46:0.93:0.25:0.85:0.21:0.42","None"
17,"COMPLETED","Frontier","Frontier",5.269,5.26923,5.26923,6.5386,0.000234889,0,1.26937,"0.68:0.29:0.50:0.93:0.73:0.60","None"
18,"COMPLETED","Andes","Aurora",5.301,5.30123,5.30123,8.47912,0.000234839,0,3.17788,"0.04:0.97:0.85:0.58:0.13:0.86","None"
19,"COMPLETED","Andes","Crux",5.349,5.34923,5.34923,7.90923,0.000234737,0,2.56,"0.01:0.12:0.93:0.29:0.12:0.53","None"
20,"REJECTED","Aurora","Andes",5.36,-1,-1,5.36024,0.000235244,-1,-1,"0.98:0.65:0.80:0.67:0.07:0.84","Job requires GPU while System has none"
21,"COMPLETED","Perlmutter-Phase-1","Crux",5.423,5.42324,5.42324,5.86324,0.000235244,0,0.44,"0.74:0.85:0.97:0.43:0.02:0.14","None"
22,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",5.676,5.67623,5.67623,6.97623,0.000234696,0,1.3,"0.85:0.24:0.56:0.50:0.92:0.18","None"
23,"COMPLETED","Andes","Andes",5.719,5.71923,5.71923,7.99923,0.000234889,0,2.28,"0.97:0.51:0.50:0.71:0.78:0.02","None"
24,"REJECTED","Aurora","Perlmutter-Phase-2",5.969,-1,-1,5.96924,0.000235244,-1,-1,"0.37:0.43:0.36:0.16:0.55:0.58","Job requires GPU while System has none"
25,"COMPLETED","Perlmutter-Phase-2","Andes",5.973,5.97324,5.97324,7.67324,0.000235244,0,1.7,"0.96:0.39:0.07:0.52:0.34:0.22","None"
26,"REJECTED","Andes","Crux",5.993,-1,-1,5.99323,0.000234737,-1,-1,"0.08:0.51:0.63:0.20:0.18:0.17","Job requires more nodes than the System has"
