JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000455124,0.000455124,2186.17,0.000455124,0,2186.17,"0.00:0.00:0.00:0.00:0.00:0.84","None"
2,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000596712,0.000596712,1748.4,0.000596712,0,1748.4,"0.77:0.78:0.76:0.00:0.88:0.81","None"
3,"COMPLETED","Frontier","Frontier",999.441,999.441,999.441,4801.11,0.000415084,0,3801.67,"0.00:0.00:0.00:0.00:0.00:0.88","None"
4,"COMPLETED","Aurora","Frontier",3600,3600,3600,4556.85,0.000588352,0,956.853,"0.00:0.00:0.86:0.00:0.00:0.89","None"
5,"COMPLETED","Frontier","Aurora",4711.18,4711.18,4711.18,6041.57,0.000520352,0,1330.38,"0.00:0.00:0.92:0.00:0.00:0.89","None"
6,"COMPLETED","Andes","Perlmutter-Phase-2",6267.68,6267.68,6267.68,10666.9,0.000596535,0,4399.2,"0.77:0.78:0.76:0.00:0.88:0.81","None"
7,"COMPLETED","Frontier","Frontier",7175.52,7175.52,7175.52,10679,0.000410084,0,3503.46,"0.00:0.00:0.00:0.00:0.00:0.88","None"
8,"COMPLETED","Andes","Perlmutter-Phase-2",9786.87,9786.87,9786.87,12996.9,0.000582535,0,3210,"0.77:0.78:0.76:0.00:0.88:0.81","None"
9,"COMPLETED","Aurora","Aurora",9840.12,9840.12,9840.12,11600,0.000666535,0,1759.9,"0.00:0.86:0.89:0.00:0.00:0.85","None"
10,"COMPLETED","Frontier","Aurora",10357.4,10357.4,10357.4,10379.6,0.000543352,0,22.2115,"0.00:0.00:0.92:0.00:0.00:0.89","None"
11,"COMPLETED","Frontier","Frontier",10774.4,10774.4,10774.4,12104.6,0.000411084,0,1330.15,"0.00:0.00:0.00:0.00:0.00:0.79","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",10800,10800,10800,10880.4,0.000603535,0,80.4,"0.77:0.87:0.75:0.74:0.96:0.76","None"
13,"COMPLETED","Frontier","Frontier",10839.3,10839.3,10839.3,11249.1,0.000406084,0,409.774,"0.00:0.00:0.00:0.00:0.00:0.79","None"
14,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",11310.8,11310.8,11310.8,17444,0.000664535,0,6133.2,"0.00:0.00:0.75:0.00:0.88:0.75","None"
15,"COMPLETED","Frontier","Frontier",12720.2,12720.2,12720.2,14222,0.000414084,0,1501.79,"0.00:0.00:0.00:0.00:0.00:0.86","None"
16,"COMPLETED","Andes","Andes",14996.3,14996.3,14996.3,15945.5,0.000603535,0,949.2,"0.87:0.70:0.76:0.00:0.75:0.81","None"
17,"COMPLETED","Andes","Perlmutter-Phase-2",15307.7,15307.7,15307.7,17224.1,0.000606535,0,1916.4,"0.66:0.78:0.76:0.00:0.85:0.81","None"
18,"COMPLETED","Crux","Frontier",15879,15879,15879,19384.6,0.000593519,0,3505.6,"0.61:0.73:0.80:0.77:0.75:0.85","None"
19,"COMPLETED","Andes","Frontier",15956,15956,15956,16860.3,0.000656535,0,904.291,"0.78:0.70:0.76:0.00:0.63:0.89","None"
20,"COMPLETED","Aurora","Frontier",16098.5,16098.5,16098.5,16969.6,0.000607535,0,871.037,"0.00:0.70:0.80:0.00:0.62:0.85","None"
21,"COMPLETED","Frontier","Frontier",16116.5,16116.5,16116.5,20452.4,0.000421084,0,4335.88,"0.00:0.00:0.00:0.00:0.00:0.95","None"
22,"COMPLETED","Andes","Andes",16389.4,16389.4,16389.4,17336.2,0.000600535,0,946.8,"0.87:0.70:0.76:0.00:0.62:0.81","None"
23,"COMPLETED","Frontier","Aurora",16418.4,16418.4,16418.4,17216,0.000544352,0,797.596,"0.00:0.00:0.91:0.00:0.00:0.88","None"
24,"COMPLETED","Aurora","Frontier",17277.5,17277.5,17277.5,20939.7,0.000598535,0,3662.22,"0.00:0.71:0.80:0.00:0.76:0.85","None"
25,"COMPLETED","Frontier","Frontier",17471.4,17471.4,17471.4,20431,0.000413084,0,2959.59,"0.00:0.00:0.00:0.00:0.00:0.88","None"
26,"COMPLETED","Frontier","Frontier",17516,17516,17516,17586.8,0.000607535,0,70.7986,"0.00:0.00:0.85:0.00:0.00:0.89","None"
27,"COMPLETED","Andes","Frontier",18382.1,18382.1,18382.1,20367.7,0.000602535,0,1985.58,"0.77:0.70:0.76:0.00:0.78:0.88","None"
28,"COMPLETED","Frontier","Frontier",18638.6,18638.6,18638.6,23845.5,0.000418084,0,5206.91,"0.00:0.00:0.00:0.00:0.00:0.87","None"
29,"COMPLETED","Frontier","Frontier",18662.5,18662.5,18662.5,19992.7,0.000422084,0,1330.15,"0.00:0.00:0.00:0.00:0.00:0.75","None"
