JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000243712,0.000243712,2186.17,0.000243712,0,2186.17,"0.00:0.00:0.00:0.00:0.00:0.96","None"
2,"COMPLETED","Andes","Frontier",0,0.000250712,0.000250712,1562.93,0.000250712,0,1562.93,"0.92:0.92:0.92:0.00:0.92:0.92","None"
3,"COMPLETED","Frontier","Frontier",999.441,999.441,999.441,4801.11,0.000244535,0,3801.67,"0.00:0.00:0.00:0.00:0.00:0.70","None"
4,"COMPLETED","Aurora","Aurora",3600,3600,3600,3857.31,0.000271535,0,257.308,"0.00:0.00:0.99:0.00:0.00:0.94","None"
5,"COMPLETED","Frontier","Aurora",4711.18,4711.18,4711.18,6041.57,0.000244535,0,1330.38,"0.00:0.00:0.93:0.00:0.00:0.92","None"
6,"COMPLETED","Andes","Perlmutter-Phase-1",6267.68,6267.68,6267.68,10666.9,0.000246579,0,4399.2,"0.92:0.94:0.93:0.00:0.92:0.93","None"
7,"COMPLETED","Frontier","Frontier",7175.52,7175.52,7175.52,10679,0.000243535,0,3503.46,"0.00:0.00:0.00:0.00:0.00:0.94","None"
8,"COMPLETED","Andes","Aurora",9786.87,9786.87,9786.87,10558.5,0.000250535,0,771.635,"0.92:0.66:0.95:0.00:0.93:0.87","None"
9,"COMPLETED","Aurora","Aurora",9840.12,9840.12,9840.12,11600,0.000249535,0,1759.9,"0.00:0.43:0.88:0.00:0.00:0.85","None"
10,"COMPLETED","Frontier","Frontier",10357.4,10357.4,10357.4,10440,0.000288535,0,82.5983,"0.00:0.00:0.86:0.00:0.00:0.91","None"
11,"COMPLETED","Frontier","Frontier",10774.4,10774.4,10774.4,12104.6,0.000244535,0,1330.15,"0.00:0.00:0.00:0.00:0.00:0.92","None"
12,"COMPLETED","Perlmutter-Phase-1","Crux",10800,10800,10800,10880.4,0.000248535,0,80.4,"0.95:0.95:0.90:0.95:0.95:0.82","None"
13,"COMPLETED","Frontier","Frontier",10839.3,10839.3,10839.3,11249.1,0.000244712,0,409.774,"0.00:0.00:0.00:0.00:0.00:0.81","None"
14,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",11310.8,11310.8,11310.8,17444,0.000247569,0,6133.2,"0.00:0.00:0.89:0.00:0.92:0.81","None"
15,"COMPLETED","Frontier","Frontier",12720.2,12720.2,12720.2,14222,0.000244535,0,1501.79,"0.00:0.00:0.00:0.00:0.00:0.97","None"
16,"COMPLETED","Andes","Perlmutter-Phase-1",14996.3,14996.3,14996.3,15945.5,0.000249535,0,949.2,"0.93:0.95:0.95:0.00:0.57:0.95","None"
17,"COMPLETED","Andes","Aurora",15307.7,15307.7,15307.7,15768.3,0.000249535,0,460.673,"0.93:0.65:0.95:0.00:0.56:0.94","None"
18,"COMPLETED","Crux","Frontier",15879,15879,15879,19384.6,0.000258392,0,3505.6,"0.92:0.65:0.96:0.92:0.56:0.97","None"
19,"COMPLETED","Andes","Aurora",15956,15956,15956,16199.1,0.000256392,0,243.173,"0.93:0.92:0.98:0.00:0.57:0.94","None"
20,"COMPLETED","Aurora","Frontier",16098.5,16098.5,16098.5,16969.6,0.000249535,0,871.037,"0.00:0.92:0.94:0.00:0.57:0.94","None"
21,"COMPLETED","Frontier","Frontier",16116.5,16116.5,16116.5,20452.4,0.000244535,0,4335.88,"0.00:0.00:0.00:0.00:0.00:0.91","None"
22,"COMPLETED","Andes","Aurora",16389.4,16389.4,16389.4,16617,0.000250535,0,227.596,"0.93:0.93:0.95:0.00:0.57:0.81","None"
23,"COMPLETED","Frontier","Aurora",16418.4,16418.4,16418.4,17216,0.000241535,0,797.596,"0.00:0.00:0.89:0.00:0.00:0.85","None"
24,"COMPLETED","Aurora","Aurora",17277.5,17277.5,17277.5,18262.3,0.000270535,0,984.808,"0.00:0.93:0.96:0.00:0.56:0.88","None"
25,"COMPLETED","Frontier","Frontier",17471.4,17471.4,17471.4,20431,0.000244535,0,2959.59,"0.00:0.00:0.00:0.00:0.00:0.90","None"
26,"COMPLETED","Frontier","Aurora",17516,17516,17516,17535,0.000240535,0,19.0385,"0.00:0.00:0.92:0.00:0.00:0.81","None"
27,"COMPLETED","Andes","Aurora",18382.1,18382.1,18382.1,18916.1,0.000256392,0,533.942,"0.93:0.94:0.96:0.00:0.92:0.84","None"
28,"COMPLETED","Frontier","Frontier",18638.6,18638.6,18638.6,23845.5,0.000241712,0,5206.91,"0.00:0.00:0.00:0.00:0.00:0.80","None"
29,"COMPLETED","Frontier","Frontier",18662.5,18662.5,18662.5,19992.7,0.000243535,0,1330.15,"0.00:0.00:0.00:0.00:0.00:0.71","None"
30,"COMPLETED","Aurora","Aurora",18705.1,18705.1,18705.1,19155.4,0.000271535,0,450.288,"0.00:0.00:0.93:0.00:0.00:0.57","None"
31,"COMPLETED","Andes","Perlmutter-Phase-1",18835.7,18835.7,18835.7,19757.3,0.000249579,0,921.6,"0.94:0.95:0.78:0.00:0.92:0.54","None"
32,"COMPLETED","Perlmutter-Phase-1","Aurora",19256,19256,19256,20064.5,0.000247712,0,808.558,"0.00:0.50:0.92:0.00:0.00:0.54","None"
33,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",19297.1,19297.1,19297.1,20429.9,0.000250535,0,1132.8,"0.00:0.41:0.84:0.00:0.92:0.55","None"
34,"COMPLETED","Perlmutter-Phase-2","Aurora",19522.7,19522.7,19522.7,20156.7,0.000271535,0,634.038,"0.00:0.48:0.89:0.00:0.73:0.59","None"
35,"COMPLETED","Andes","Andes",19873.8,19873.8,19873.8,20757,0.000271535,0,883.2,"0.94:0.92:0.85:0.00:0.73:0.61","None"
36,"COMPLETED","Frontier","Aurora",19934.5,19934.5,19934.5,20060.9,0.000244476,0,126.346,"0.00:0.00:0.82:0.00:0.00:0.58","None"
37,"COMPLETED","Perlmutter-Phase-1","Aurora",20395.9,20395.9,20395.9,21024.8,0.000272535,0,628.846,"0.00:0.93:0.97:0.00:0.00:0.78","None"
38,"COMPLETED","Frontier","Frontier",20685.9,20685.9,20685.9,22618.9,0.000245535,0,1933.02,"0.00:0.00:0.00:0.00:0.00:0.89","None"
39,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",20734.5,20734.5,20734.5,23247.3,0.000285499,0,2512.8,"0.00:0.93:0.90:0.00:0.00:0.74","None"
40,"COMPLETED","Perlmutter-Phase-1","Aurora",21005.4,21005.4,21005.4,21170.7,0.000282535,0,165.288,"0.00:0.05:0.90:0.00:0.00:0.76","None"
41,"COMPLETED","Frontier","Frontier",21086.8,21086.8,21086.8,25535.3,0.000241535,0,4448.51,"0.00:0.00:0.00:0.00:0.00:0.80","None"
42,"COMPLETED","Frontier","Frontier",21157.7,21157.7,21157.7,22718.5,0.000244569,0,1560.79,"0.00:0.00:0.00:0.00:0.00:0.64","None"
43,"COMPLETED","Crux","Aurora",21488.7,21488.7,21488.7,22203.2,0.000271535,0,714.519,"0.92:0.08:0.97:0.93:0.92:0.54","None"
44,"COMPLETED","Aurora","Perlmutter-Phase-2",21503.2,21503.2,21503.2,26418.4,0.000249535,0,4915.2,"0.00:0.12:0.91:0.00:0.92:0.50","None"
45,"COMPLETED","Frontier","Frontier",21648.4,21648.4,21648.4,24530.8,0.000245535,0,2882.36,"0.00:0.00:0.00:0.00:0.00:0.54","None"
