JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Aurora",2.733,2.73365,2.73365,3.46442,0.000646535,0,0.730769,"0.00:0.92:0.00:0.85:0.88:0.00","None"
2,"COMPLETED","Perlmutter-Phase-1","Frontier",3.142,3.1426,3.1426,50.9316,0.000599535,0,47.789,"0.00:0.88:0.00:0.94:0.86:0.00","None"
3,"COMPLETED","Frontier","Aurora",3.472,3.47259,3.47259,3.89567,0.000589535,0,0.423077,"0.00:0.89:0.00:0.87:0.83:0.00","None"
4,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",3.666,3.6666,3.6666,11.4666,0.000595535,0,7.8,"0.00:0.78:0.00:0.80:0.77:0.80","None"
5,"COMPLETED","Frontier","Aurora",3.76,3.76053,3.76053,17.5778,0.000528352,0,13.8173,"0.00:0.93:0.00:0.91:0.00:0.00","None"
6,"COMPLETED","Aurora","Perlmutter-Phase-2",3.799,3.79959,3.79959,5.05959,0.000591535,0,1.26,"0.68:0.78:0.79:0.75:0.82:0.83","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",3.835,3.83564,3.83564,13.3356,0.000643535,0,9.5,"0.70:0.77:0.75:0.78:0.88:0.91","None"
8,"COMPLETED","Aurora","Perlmutter-Phase-1",4.196,4.1966,4.1966,6.0766,0.000596535,0,1.88,"0.00:0.86:0.00:0.83:0.91:0.00","None"
9,"COMPLETED","Frontier","Frontier",4.411,4.41142,4.41142,26.6164,0.000422084,0,22.205,"0.00:0.00:0.00:0.96:0.00:0.00","None"
10,"COMPLETED","Perlmutter-Phase-2","Frontier",4.708,4.70861,4.70861,32.6168,0.000612535,0,27.9082,"0.00:0.79:0.00:0.87:0.77:0.81","None"
11,"COMPLETED","Perlmutter-Phase-1","Frontier",4.741,4.7416,4.7416,6.20763,0.000596535,0,1.46603,"0.00:0.83:0.00:0.91:0.86:0.00","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",4.747,4.7476,4.7476,32.9676,0.000599535,0,28.22,"0.00:0.87:0.00:0.87:0.89:0.00","None"
13,"COMPLETED","Aurora","Aurora",4.986,4.9866,4.9866,14.8808,0.000603535,0,9.89423,"0.00:0.91:0.00:0.88:0.86:0.00","None"
14,"COMPLETED","Frontier","Perlmutter-Phase-1",5.028,5.02861,5.02861,7.00861,0.000612535,0,1.98,"0.00:0.81:0.00:0.86:0.89:0.00","None"
15,"COMPLETED","Perlmutter-Phase-2","Frontier",5.091,5.09161,5.09161,42.2966,0.000611535,0,37.205,"0.67:0.80:0.00:0.87:0.76:0.82","None"
16,"COMPLETED","Aurora","Perlmutter-Phase-1",5.251,5.2516,5.2516,10.6916,0.000602535,0,5.44,"0.00:0.86:0.00:0.83:0.90:0.00","None"
17,"COMPLETED","Frontier","Aurora",5.269,5.26954,5.26954,9.28877,0.000538352,0,4.01923,"0.00:0.93:0.00:0.90:0.00:0.00","None"
18,"COMPLETED","Andes","Perlmutter-Phase-2",5.301,5.3016,5.3016,138.342,0.000598535,0,133.04,"0.69:0.80:0.00:0.84:0.76:0.85","None"
19,"COMPLETED","Andes","Perlmutter-Phase-2",5.349,5.3497,5.3497,7.9097,0.000700535,0,2.56,"0.73:0.72:0.73:0.78:0.81:0.82","None"
20,"COMPLETED","Aurora","Aurora",5.36,5.36061,5.36061,22.0914,0.000608535,0,16.7308,"0.00:0.95:0.00:0.87:0.69:0.00","None"
21,"COMPLETED","Perlmutter-Phase-1","Crux",5.423,5.4236,5.4236,5.8636,0.000600535,0,0.44,"0.77:0.69:0.83:0.70:0.72:0.74","None"
22,"COMPLETED","Perlmutter-Phase-1","Aurora",5.676,5.67662,5.67662,9.42181,0.000619535,0,3.74519,"0.00:0.92:0.00:0.87:0.64:0.00","None"
23,"COMPLETED","Andes","Perlmutter-Phase-2",5.719,5.71967,5.71967,7.99967,0.000667535,0,2.28,"0.74:0.73:0.73:0.78:0.81:0.82","None"
24,"COMPLETED","Aurora","Aurora",5.969,5.96961,5.96961,13.0658,0.000608535,0,7.09615,"0.00:0.89:0.00:0.87:0.71:0.00","None"
25,"COMPLETED","Perlmutter-Phase-2","Crux",5.973,5.97362,5.97362,7.67362,0.000622535,0,1.7,"0.78:0.72:0.84:0.73:0.75:0.76","None"
26,"COMPLETED","Andes","Frontier",5.993,5.9936,5.9936,126.011,0.000600535,0,120.018,"0.68:0.80:0.00:0.84:0.72:0.83","None"
27,"COMPLETED","Perlmutter-Phase-2","Frontier",6.022,6.02259,6.02259,9.65191,0.000588392,0,3.62932,"0.67:0.72:0.73:0.82:0.76:0.76","None"
28,"COMPLETED","Perlmutter-Phase-2","Frontier",6.117,6.11758,6.11758,7.52998,0.000582535,0,1.4124,"0.69:0.74:0.73:0.84:0.76:0.78","None"
29,"COMPLETED","Perlmutter-Phase-1","Aurora",6.146,6.1466,6.1466,10.3918,0.000595535,0,4.24519,"0.00:0.93:0.00:0.88:0.84:0.00","None"
30,"COMPLETED","Frontier","Aurora",6.171,6.17154,6.17154,10.0129,0.000539352,0,3.84135,"0.00:0.92:0.00:0.90:0.00:0.00","None"
31,"COMPLETED","Frontier","Frontier",6.212,6.21261,6.21261,32.0469,0.000609535,0,25.8343,"0.00:0.86:0.00:0.97:0.00:0.00","None"
32,"COMPLETED","Andes","Frontier",6.216,6.2166,6.2166,63.0342,0.000597579,0,56.8176,"0.71:0.80:0.00:0.91:0.72:0.77","None"
33,"COMPLETED","Perlmutter-Phase-1","Aurora",6.493,6.49359,6.49359,13.1042,0.000591535,0,6.61058,"0.00:0.93:0.00:0.88:0.85:0.00","None"
34,"COMPLETED","Frontier","Aurora",6.527,6.5276,6.5276,6.93626,0.000601535,0,0.408654,"0.00:0.89:0.00:0.86:0.81:0.00","None"
35,"COMPLETED","Perlmutter-Phase-1","Aurora",6.591,6.5916,6.5916,10.7022,0.000599535,0,4.11058,"0.00:0.93:0.00:0.88:0.83:0.00","None"
36,"COMPLETED","Perlmutter-Phase-2","Frontier",6.595,6.5956,6.5956,57.9424,0.000604535,0,51.3468,"0.00:0.77:0.00:0.85:0.61:0.76","None"
37,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",6.642,6.64261,6.64261,21.2226,0.000613535,0,14.58,"0.00:0.77:0.00:0.78:0.60:0.85","None"
38,"COMPLETED","Frontier","Frontier",6.674,6.67467,6.67467,52.3541,0.000671535,0,45.6794,"0.00:0.86:0.00:0.95:0.00:0.00","None"
39,"COMPLETED","Perlmutter-Phase-2","Frontier",6.694,6.69464,6.69464,25.4491,0.000644392,0,18.7545,"0.00:0.78:0.00:0.79:0.72:0.77","None"
40,"COMPLETED","Crux","Aurora",6.709,6.7096,6.7096,9.55575,0.000599535,0,2.84615,"0.76:0.82:0.80:0.79:0.71:0.74","None"
41,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",6.712,6.71261,6.71261,111.773,0.000608535,0,105.06,"0.00:0.78:0.00:0.78:0.72:0.83","None"
42,"COMPLETED","Frontier","Aurora",6.791,6.79154,6.79154,14.2098,0.000544352,0,7.41827,"0.00:0.92:0.00:0.90:0.00:0.00","None"
43,"COMPLETED","Frontier","Aurora",6.865,6.8656,6.8656,7.4906,0.000603535,0,0.625,"0.00:0.90:0.00:0.87:0.82:0.00","None"
44,"COMPLETED","Perlmutter-Phase-1","Aurora",6.888,6.8886,6.8886,25.4607,0.000600535,0,18.5721,"0.00:0.93:0.00:0.87:0.83:0.00","None"
45,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",6.897,6.89761,6.89761,117.958,0.000606535,0,111.06,"0.68:0.79:0.00:0.80:0.84:0.78","None"
46,"COMPLETED","Perlmutter-Phase-1","Frontier",7.037,7.03761,7.03761,14.6359,0.000614535,0,7.59833,"0.00:0.76:0.00:0.77:0.49:0.54","None"
47,"COMPLETED","Aurora","Aurora",7.071,7.07161,7.07161,27.0283,0.000607535,0,19.9567,"0.00:0.95:0.00:0.86:0.70:0.00","None"
48,"COMPLETED","Aurora","Aurora",7.078,7.07859,7.07859,27.5065,0.000589535,0,20.4279,"0.00:0.90:0.00:0.87:0.85:0.00","None"
49,"COMPLETED","Perlmutter-Phase-2","Frontier",7.093,7.09365,7.09365,49.984,0.000647535,0,42.8903,"0.00:0.76:0.00:0.77:0.66:0.71","None"
50,"COMPLETED","Aurora","Aurora",7.098,7.09864,7.09864,10.7669,0.000643535,0,3.66827,"0.00:0.94:0.00:0.84:0.59:0.00","None"
51,"COMPLETED","Aurora","Aurora",7.102,7.10261,7.10261,10.8238,0.000612535,0,3.72115,"0.00:0.94:0.00:0.84:0.59:0.00","None"
