JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,5.20843e-05,5.20843e-05,80.453,5.20843e-05,0,80.4529,"1.00","None"
2,"COMPLETED","Andes","Andes",0,5.20843e-05,5.20843e-05,171.6,5.20843e-05,0,171.6,"1.00","None"
3,"COMPLETED","Frontier","Frontier",999.441,999.441,999.441,1073.46,5.20843e-05,0,74.0167,"1.00","None"
4,"COMPLETED","Crux","Crux",3600,3600,3600,3622.8,5.20843e-05,0,22.8,"1.00","None"
5,"COMPLETED","Frontier","Frontier",4711.18,4711.18,4711.18,5188.54,5.20843e-05,0,477.354,"1.00","None"
6,"COMPLETED","Andes","Andes",6267.68,6267.68,6267.68,6476.48,5.20843e-05,0,208.8,"1.00","None"
7,"COMPLETED","Andes","Andes",7175.52,7175.52,7175.52,7350.72,5.20843e-05,0,175.2,"1.00","None"
8,"COMPLETED","Andes","Andes",9786.87,9786.87,9786.87,10896.9,5.20843e-05,0,1110,"1.00","None"
9,"COMPLETED","Aurora","Aurora",9840.12,9840.12,9840.12,10790,5.20843e-05,0,949.904,"1.00","None"
10,"COMPLETED","Frontier","Frontier",10357.4,10357.4,10357.4,10480.7,5.20843e-05,0,123.361,"1.00","None"
11,"COMPLETED","Frontier","Frontier",10774.4,10774.4,10774.4,10908.5,5.20843e-05,0,134.088,"1.00","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",10800,10800,10800,10828.8,5.20843e-05,0,28.8,"1.00","None"
13,"COMPLETED","Frontier","Frontier",10839.3,10839.3,10839.3,10916.6,5.20843e-05,0,77.2348,"1.00","None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",11310.8,11310.8,11310.8,11450,5.20843e-05,0,139.2,"1.00","None"
15,"COMPLETED","Frontier","Frontier",12720.2,12720.2,12720.2,12852.1,5.20843e-05,0,131.943,"1.00","None"
16,"COMPLETED","Andes","Andes",14996.3,14996.3,14996.3,15019.1,5.20843e-05,0,22.8,"1.00","None"
17,"COMPLETED","Frontier","Frontier",15307.7,15307.7,15307.7,15328.1,5.20843e-05,0,20.3814,"1.00","None"
18,"COMPLETED","Aurora","Aurora",15879,15879,15879,15929.5,5.20843e-05,0,50.4808,"1.00","None"
19,"COMPLETED","Frontier","Frontier",15956,15956,15956,16100.8,5.20843e-05,0,144.815,"1.00","None"
20,"COMPLETED","Aurora","Aurora",16098.5,16098.5,16098.5,16103.7,5.20843e-05,0,5.19231,"1.00","None"
21,"COMPLETED","Frontier","Frontier",16116.5,16116.5,16116.5,20069.4,5.20843e-05,0,3952.92,"1.00","None"
22,"COMPLETED","Andes","Andes",16389.4,16389.4,16389.4,16498.6,5.20843e-05,0,109.2,"1.00","None"
23,"COMPLETED","Frontier","Frontier",16418.4,16418.4,16418.4,16642.6,5.20843e-05,0,224.195,"1.00","None"
24,"COMPLETED","Crux","Crux",17277.5,17277.5,17277.5,17399.9,5.20843e-05,0,122.4,"1.00","None"
25,"COMPLETED","Frontier","Frontier",17471.4,17471.4,17471.4,24077.1,5.20843e-05,0,6605.72,"1.00","None"
26,"COMPLETED","Frontier","Frontier",17516,17516,17516,17745.6,5.20843e-05,0,229.559,"1.00","None"
27,"COMPLETED","Andes","Andes",18382.1,18382.1,18382.1,18535.7,5.20843e-05,0,153.6,"1.00","None"
28,"COMPLETED","Frontier","Frontier",18638.6,18638.6,18638.6,18663.3,5.20843e-05,0,24.6722,"1.00","None"
29,"COMPLETED","Andes","Andes",18662.5,18662.5,18662.5,19030.9,5.20843e-05,0,368.4,"1.00","None"
30,"COMPLETED","Aurora","Aurora",18705.1,18705.1,18705.1,18719.5,5.20843e-05,0,14.4231,"1.00","None"
31,"COMPLETED","Frontier","Frontier",18835.7,18835.7,18835.7,19053.5,5.20843e-05,0,217.759,"1.00","None"
32,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",19256,19256,19256,20505.2,5.20843e-05,0,1249.2,"1.00","None"
33,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",19297.1,19297.1,19297.1,19330.7,5.20843e-05,0,33.6,"1.00","None"
34,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",19522.7,19522.7,19522.7,19713.5,5.20843e-05,0,190.8,"1.00","None"
35,"COMPLETED","Frontier","Frontier",19873.8,19873.8,19873.8,19892.1,5.20843e-05,0,18.236,"1.00","None"
36,"COMPLETED","Frontier","Frontier",19934.5,19934.5,19934.5,20011.8,5.20843e-05,0,77.2348,"1.00","None"
37,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",20395.9,20395.9,20395.9,20592.7,5.20843e-05,0,196.8,"1.00","None"
38,"COMPLETED","Frontier","Frontier",20685.9,20685.9,20685.9,20998.1,5.20843e-05,0,312.157,"1.00","None"
39,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",20734.5,20734.5,20734.5,22430.1,5.20843e-05,0,1695.6,"1.00","None"
40,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",21005.4,21005.4,21005.4,21269.4,5.20843e-05,0,264,"1.00","None"
41,"COMPLETED","Andes","Andes",21086.8,21086.8,21086.8,21210.4,5.20843e-05,0,123.6,"1.00","None"
42,"COMPLETED","Frontier","Frontier",21157.7,21157.7,21157.7,21194.2,5.20843e-05,0,36.472,"1.00","None"
43,"COMPLETED","Aurora","Aurora",21488.7,21488.7,21488.7,21508,5.20843e-05,0,19.3269,"1.00","None"
44,"COMPLETED","Aurora","Aurora",21503.2,21503.2,21503.2,21629.3,5.20843e-05,0,126.058,"1.00","None"
45,"COMPLETED","Frontier","Frontier",21648.4,21648.4,21648.4,22219.1,5.20843e-05,0,570.679,"1.00","None"
46,"COMPLETED","Crux","Crux",21678,21678,21678,22210.8,5.20843e-05,0,532.8,"1.00","None"
47,"COMPLETED","Aurora","Aurora",21926.6,21926.6,21926.6,22189.1,5.20843e-05,0,262.5,"1.00","None"
48,"COMPLETED","Andes","Andes",22430.9,22430.9,22430.9,22506.5,5.20843e-05,0,75.6,"1.00","None"
49,"COMPLETED","Aurora","Aurora",22502.4,22502.4,22502.4,23684.2,5.20843e-05,0,1181.83,"1.00","None"
50,"COMPLETED","Aurora","Aurora",22566.7,22566.7,22566.7,22585.1,5.20843e-05,0,18.4615,"1.00","None"
51,"COMPLETED","Aurora","Aurora",22684.6,22684.6,22684.6,22836.3,5.20843e-05,0,151.731,"1.00","None"
52,"COMPLETED","Andes","Andes",22797.5,22797.5,22797.5,22817.9,5.20843e-05,0,20.4,"1.00","None"
53,"COMPLETED","Andes","Andes",22978.5,22978.5,22978.5,23094.9,5.20843e-05,0,116.4,"1.00","None"
54,"COMPLETED","Frontier","Frontier",23547.7,23547.7,23547.7,23750.5,5.20843e-05,0,202.741,"1.00","None"
55,"COMPLETED","Frontier","Frontier",23872.7,23872.7,23872.7,24506.6,5.20843e-05,0,633.969,"1.00","None"
56,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",24149,24149,24149,24168.2,5.20843e-05,0,19.2,"1.00","None"
57,"COMPLETED","Frontier","Frontier",24237.6,24237.6,24237.6,25742.7,5.20843e-05,0,1505.01,"1.00","None"
58,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",24289.4,24289.4,24289.4,24338.6,5.20843e-05,0,49.2,"1.00","None"
59,"COMPLETED","Frontier","Frontier",24441.8,24441.8,24441.8,24533,5.20843e-05,0,91.18,"1.00","None"
60,"COMPLETED","Aurora","Aurora",24712.4,24712.4,24712.4,24764,5.20843e-05,0,51.6346,"1.00","None"
61,"COMPLETED","Andes","Andes",24770.3,24770.3,24770.3,24889.1,5.20843e-05,0,118.8,"1.00","None"
62,"COMPLETED","Frontier","Frontier",24811,24811,24811,28026.9,5.20843e-05,0,3215.97,"1.00","None"
63,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",25149.3,25149.3,25149.3,25373.7,5.20843e-05,0,224.4,"1.00","None"
64,"COMPLETED","Frontier","Frontier",25195.5,25195.5,25195.5,25315.6,5.20843e-05,0,120.143,"1.00","None"
65,"COMPLETED","Frontier","Frontier",25283.4,25283.4,25283.4,25520.5,5.20843e-05,0,237.068,"1.00","None"
66,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",25299.9,25299.9,25299.9,25980.3,5.20843e-05,0,680.4,"1.00","None"
67,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",25332.3,25332.3,25332.3,26081.1,5.20843e-05,0,748.8,"1.00","None"
68,"COMPLETED","Aurora","Aurora",25620.4,25620.4,25620.4,25640.3,5.20843e-05,0,19.9038,"1.00","None"
69,"COMPLETED","Aurora","Aurora",25674.5,25674.5,25674.5,25759.4,5.20843e-05,0,84.8077,"1.00","None"
70,"COMPLETED","Frontier","Frontier",25691.2,25691.2,25691.2,25864.9,5.20843e-05,0,173.778,"1.00","None"
71,"COMPLETED","Crux","Crux",25726.4,25726.4,25726.4,30065.6,5.20843e-05,0,4339.2,"1.00","None"
72,"COMPLETED","Aurora","Aurora",25817,25817,25817,26922.3,5.20843e-05,0,1105.38,"1.00","None"
73,"COMPLETED","Aurora","Aurora",25961.6,25961.6,25961.6,25978.6,5.20843e-05,0,17.0192,"1.00","None"
74,"COMPLETED","Aurora","Aurora",25976.8,25976.8,25976.8,26108.6,5.20843e-05,0,131.827,"1.00","None"
75,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",26109.5,26109.5,26109.5,26164.7,5.20843e-05,0,55.2,"1.00","None"
76,"COMPLETED","Frontier","Frontier",26323.6,26323.6,26323.6,26350.4,5.20843e-05,0,26.8176,"1.00","None"
77,"COMPLETED","Frontier","Frontier",26461,26461,26461,28190.2,5.20843e-05,0,1729.2,"1.00","None"
78,"COMPLETED","Frontier","Frontier",26466.1,26466.1,26466.1,26498.2,5.20843e-05,0,32.1812,"1.00","None"
79,"COMPLETED","Frontier","Frontier",26627.6,26627.6,26627.6,27386,5.20843e-05,0,758.403,"1.00","None"
80,"COMPLETED","Frontier","Frontier",26781.7,26781.7,26781.7,27465,5.20843e-05,0,683.313,"1.00","None"
81,"COMPLETED","Frontier","Frontier",26792.2,26792.2,26792.2,26917.7,5.20843e-05,0,125.507,"1.00","None"
82,"COMPLETED","Andes","Andes",26960,26960,26960,27059.6,5.20843e-05,0,99.6,"1.00","None"
83,"COMPLETED","Aurora","Aurora",26975.7,26975.7,26975.7,27025.3,5.20843e-05,0,49.6154,"1.00","None"
84,"COMPLETED","Aurora","Aurora",27001.5,27001.5,27001.5,27020,5.20843e-05,0,18.4615,"1.00","None"
85,"COMPLETED","Andes","Andes",27078.7,27078.7,27078.7,27181.9,5.20843e-05,0,103.2,"1.00","None"
86,"COMPLETED","Aurora","Aurora",27098.5,27098.5,27098.5,27338.8,5.20843e-05,0,240.288,"1.00","None"
87,"COMPLETED","Frontier","Frontier",27200.1,27200.1,27200.1,27762.2,5.20843e-05,0,562.098,"1.00","None"
88,"COMPLETED","Frontier","Frontier",27306.1,27306.1,27306.1,27597.9,5.20843e-05,0,291.776,"1.00","None"
89,"COMPLETED","Frontier","Frontier",27454,27454,27454,30469.4,5.20843e-05,0,3015.38,"1.00","None"
90,"COMPLETED","Andes","Andes",27456.1,27456.1,27456.1,27540.1,5.20843e-05,0,84,"1.00","None"
91,"COMPLETED","Andes","Andes",27594.7,27594.7,27594.7,29457.1,5.20843e-05,0,1862.4,"1.00","None"
92,"COMPLETED","Frontier","Frontier",27613,27613,27613,27763.2,5.20843e-05,0,150.179,"1.00","None"
93,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",27627.8,27627.8,27627.8,27648.2,5.20843e-05,0,20.4,"1.00","None"
94,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",27635,27635,27635,27660.2,5.20843e-05,0,25.2,"1.00","None"
95,"COMPLETED","Aurora","Aurora",27699.9,27699.9,27699.9,27737.4,5.20843e-05,0,37.5,"1.00","None"
96,"COMPLETED","Frontier","Frontier",27702.1,27702.1,27702.1,30254,5.20843e-05,0,2551.97,"1.00","None"
97,"COMPLETED","Aurora","Aurora",27753.1,27753.1,27753.1,27812,5.20843e-05,0,58.8462,"1.00","None"
98,"COMPLETED","Aurora","Aurora",28048.6,28048.6,28048.6,28084.4,5.20843e-05,0,35.7692,"1.00","None"
99,"COMPLETED","Frontier","Frontier",28201.1,28201.1,28201.1,28289.1,5.20843e-05,0,87.9619,"1.00","None"
