JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Aurora",0,0.000234653,0.000234653,21.6349,0.000234653,0,21.6346,"0.12:0.85:0.87:0.62:0.71:0.49","None"
2,"COMPLETED","Andes","Andes",0,0.000235599,0.000235599,171.6,0.000235599,0,171.6,"0.93:0.26:0.20:0.68:0.33:0.11","None"
3,"REJECTED","Frontier","Crux",999.441,-1,-1,999.441,0.000234737,-1,-1,"0.51:0.05:0.33:0.70:0.13:0.23","Job requires more nodes than the System has"
4,"COMPLETED","Crux","Andes",3600,3600,3600,3622.8,0.00023518,0,22.8,"0.64:0.35:0.03:0.32:0.11:0.62","None"
5,"REJECTED","Frontier","Andes",4711.18,-1,-1,4711.18,0.000234889,-1,-1,"0.73:0.32:0.67:0.19:0.43:0.70","Job requires more nodes than the System has"
6,"COMPLETED","Andes","Perlmutter-Phase-2",6267.68,6267.68,6267.68,6476.48,0.000234839,0,208.8,"0.86:0.13:0.84:0.85:0.92:0.67","None"
7,"COMPLETED","Andes","Perlmutter-Phase-1",7175.52,7175.52,7175.52,7350.72,0.000234839,0,175.2,"0.35:0.93:0.48:0.62:0.26:0.02","None"
8,"COMPLETED","Andes","Perlmutter-Phase-1",9786.87,9786.87,9786.87,10896.9,0.000234839,0,1110,"0.85:0.98:0.13:0.39:0.79:0.07","None"
9,"REJECTED","Aurora","Perlmutter-Phase-2",9840.12,-1,-1,9840.12,0.000235244,-1,-1,"0.61:0.77:0.17:0.75:0.98:0.50","Job requires GPU while System has none"
10,"REJECTED","Frontier","Perlmutter-Phase-1",10357.4,-1,-1,10357.4,0.000234839,-1,-1,"0.48:0.94:0.45:0.47:0.61:0.02","Job requires more nodes than the System has"
11,"REJECTED","Frontier","Andes",10774.4,-1,-1,10774.4,0.000234889,-1,-1,"0.79:0.14:0.04:0.36:0.54:0.20","Job requires more nodes than the System has"
