JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Aurora",2.733,2.73324,2.73324,3.464,0.000235244,0,0.730769,"0.48:0.72:0.02:0.63:0.57:0.45","None"
2,"REJECTED","Perlmutter-Phase-1","Andes",3.142,-1,-1,3.14224,0.000235244,-1,-1,"0.96:0.28:0.75:0.53:0.71:0.10","Job requires more nodes than the System has"
3,"COMPLETED","Frontier","Perlmutter-Phase-1",3.472,3.47223,3.47223,5.23223,0.000234839,0,1.76,"0.29:0.26:0.22:0.74:0.85:0.71","None"
4,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",3.666,3.66623,3.66623,4.02623,0.000234696,0,0.36,"0.14:0.28:0.28:0.26:0.06:0.70","None"
5,"REJECTED","Frontier","Perlmutter-Phase-2",3.76,-1,-1,3.76023,0.000234839,-1,-1,"0.54:0.42:0.09:0.02:0.92:0.95","Job requires GPU while System has none"
6,"COMPLETED","Aurora","Crux",3.799,3.79923,3.79923,5.05923,0.000234889,0,1.26,"0.27:0.37:0.97:0.12:0.19:0.53","None"
7,"COMPLETED","Perlmutter-Phase-2","Frontier",3.835,3.83524,3.83524,12.3275,0.000235244,0,8.49225,"0.54:0.12:0.54:0.78:0.06:0.06","None"
8,"REJECTED","Aurora","Crux",4.196,-1,-1,4.19623,0.000234889,-1,-1,"0.17:0.27:0.53:0.34:0.15:0.34","Job requires GPU while System has none"
9,"COMPLETED","Frontier","Aurora",4.411,4.41123,4.41123,4.5795,0.000234839,0,0.168269,"0.49:0.57:0.56:0.56:0.22:0.19","None"
10,"REJECTED","Perlmutter-Phase-2","Andes",4.708,-1,-1,4.70824,0.000235244,-1,-1,"0.89:0.24:0.82:0.58:0.14:0.81","Job requires more nodes than the System has"
11,"COMPLETED","Perlmutter-Phase-1","Aurora",4.741,4.74124,4.74124,5.13547,0.000235244,0,0.394231,"0.92:0.94:0.78:0.38:0.43:0.88","None"
12,"COMPLETED","Perlmutter-Phase-1","Frontier",4.747,4.74724,4.74724,29.9737,0.000235244,0,25.2265,"0.81:0.52:0.69:0.87:0.68:0.12","None"
13,"REJECTED","Aurora","Crux",4.986,-1,-1,4.98623,0.000234889,-1,-1,"0.01:0.77:0.92:0.01:0.46:0.12","Job requires GPU while System has none"
14,"REJECTED","Frontier","Crux",5.028,-1,-1,5.02823,0.000234737,-1,-1,"0.33:0.84:0.85:0.36:0.05:0.54","Job requires GPU while System has none"
15,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",5.091,5.09123,5.09123,6.65123,0.000234696,0,1.56,"0.48:0.17:0.17:0.42:0.05:0.59","None"
16,"REJECTED","Aurora","Perlmutter-Phase-2",5.251,-1,-1,5.25124,0.000235244,-1,-1,"0.04:0.37:0.50:0.13:0.33:0.98","Job requires GPU while System has none"
17,"COMPLETED","Frontier","Aurora",5.269,5.26923,5.26923,5.61058,0.000234839,0,0.341346,"0.17:0.67:0.12:0.23:0.46:0.60","None"
18,"COMPLETED","Andes","Andes",5.301,5.30123,5.30123,18.5212,0.000234889,0,13.22,"0.78:0.10:0.13:0.32:0.57:0.45","None"
19,"COMPLETED","Andes","Aurora",5.349,5.34923,5.34923,5.96462,0.000234839,0,0.615385,"0.44:0.94:0.47:0.63:0.37:0.50","None"
20,"REJECTED","Aurora","Andes",5.36,-1,-1,5.36024,0.000235244,-1,-1,"0.91:0.23:0.86:0.70:0.52:0.66","Job requires more nodes than the System has"
21,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",5.423,5.42323,5.42323,5.86323,0.000234696,0,0.44,"0.02:0.80:0.68:0.55:0.61:0.87","None"
22,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",5.676,5.67623,5.67623,21.2562,0.000234696,0,15.58,"0.66:0.35:0.60:0.03:0.97:0.76","None"
23,"COMPLETED","Andes","Andes",5.719,5.71923,5.71923,7.99923,0.000234889,0,2.28,"0.96:0.42:0.38:0.27:0.59:0.00","None"
24,"REJECTED","Aurora","Crux",5.969,-1,-1,5.96923,0.000234889,-1,-1,"0.12:0.80:0.85:0.53:0.37:0.76","Job requires more nodes than the System has"
25,"COMPLETED","Perlmutter-Phase-2","Frontier",5.973,5.97324,5.97324,7.4929,0.000235244,0,1.51967,"0.07:0.05:0.69:0.86:0.73:0.36","None"
26,"REJECTED","Andes","Crux",5.993,-1,-1,5.99323,0.000234737,-1,-1,"0.58:0.70:0.96:0.33:0.64:0.92","Job requires more nodes than the System has"
