JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Aurora",0,0.000246496,0.000246496,225.866,0.000246496,0,225.865,"0.92:0.92:0.92:0.00:0.92:0.92","None"
2,"COMPLETED","Frontier","Frontier",0,0.000241712,0.000241712,1562.93,0.000241712,0,1562.93,"0.00:0.00:0.00:0.00:0.00:0.92","None"
3,"COMPLETED","Frontier","Aurora",999.441,999.441,999.441,2021.75,0.000244535,0,1022.31,"0.00:0.00:0.94:0.00:0.00:0.79","None"
4,"COMPLETED","Crux","Aurora",3600,3600,3600,4426.73,0.000269535,0,826.731,"0.92:0.94:0.98:0.92:0.92:0.97","None"
5,"COMPLETED","Frontier","Frontier",4711.18,4711.18,4711.18,5996.29,0.000241712,0,1285.1,"0.00:0.00:0.00:0.00:0.00:0.95","None"
6,"COMPLETED","Frontier","Frontier",6267.68,6267.68,6267.68,9286.27,0.000244561,0,3018.59,"0.00:0.00:0.00:0.00:0.00:0.96","None"
7,"COMPLETED","Frontier","Frontier",7175.52,7175.52,7175.52,10679,0.000244535,0,3503.46,"0.00:0.00:0.00:0.00:0.00:0.82","None"
8,"COMPLETED","Andes","Perlmutter-Phase-1",9786.87,9786.87,9786.87,11244.9,0.000246535,0,1458,"0.93:0.95:0.95:0.00:0.93:0.75","None"
9,"COMPLETED","Aurora","Aurora",9840.12,9840.12,9840.12,11600,0.000249535,0,1759.9,"0.00:0.00:0.95:0.00:0.00:0.74","None"
10,"COMPLETED","Frontier","Frontier",10357.4,10357.4,10357.4,10928.1,0.000244535,0,570.679,"0.00:0.00:0.00:0.00:0.00:0.77","None"
11,"COMPLETED","Andes","Perlmutter-Phase-2",10774.4,10774.4,10774.4,12356,0.000246677,0,1581.6,"0.93:0.66:0.87:0.00:0.93:0.67","None"
