JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"REJECTED","Andes","Andes",0,-1,-1,5.20843e-05,5.20843e-05,-1,-1,"1.00","Job requires more nodes than the System has"
2,"COMPLETED","Frontier","Frontier",0,5.20843e-05,5.20843e-05,1562.93,5.20843e-05,0,1562.93,"1.00","None"
3,"COMPLETED","Frontier","Frontier",999.441,999.441,999.441,4801.11,5.20843e-05,0,3801.67,"1.00","None"
4,"REJECTED","Crux","Crux",3600,-1,-1,3600,5.20843e-05,-1,-1,"1.00","Job requires more nodes than the System has"
5,"COMPLETED","Frontier","Frontier",4711.18,4711.18,4711.18,5996.29,5.20843e-05,0,1285.1,"1.00","None"
6,"COMPLETED","Frontier","Frontier",6267.68,6267.68,6267.68,9286.27,5.20843e-05,0,3018.59,"1.00","None"
7,"COMPLETED","Frontier","Frontier",7175.52,7175.52,7175.52,10679,5.20843e-05,0,3503.46,"1.00","None"
8,"REJECTED","Andes","Andes",9786.87,-1,-1,9786.87,5.20843e-05,-1,-1,"1.00","Job requires more nodes than the System has"
9,"COMPLETED","Aurora","Aurora",9840.12,9840.12,9840.12,11600,5.20843e-05,0,1759.9,"1.00","None"
10,"COMPLETED","Frontier","Frontier",10357.4,10357.4,10357.4,10928.1,5.20843e-05,0,570.679,"1.00","None"
11,"COMPLETED","Andes","Andes",10774.4,10774.4,10774.4,12356,5.20843e-05,0,1581.6,"1.00","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",10800,10800,10800,12408,5.20843e-05,0,1608,"1.00","None"
13,"REJECTED","Andes","Andes",10839.3,-1,-1,10839.3,5.20843e-05,-1,-1,"1.00","Job requires more nodes than the System has"
14,"REJECTED","Perlmutter-Phase-1","Perlmutter-Phase-1",11310.8,-1,-1,11310.8,5.20843e-05,-1,-1,"1.00","Job requires more nodes than the System has"
15,"COMPLETED","Frontier","Frontier",12720.2,12720.2,12720.2,15760.2,5.20843e-05,0,3040.05,"1.00","None"
16,"REJECTED","Andes","Andes",14996.3,-1,-1,14996.3,5.20843e-05,-1,-1,"1.00","Job requires more nodes than the System has"
17,"REJECTED","Andes","Andes",15307.7,-1,-1,15307.7,5.20843e-05,-1,-1,"1.00","Job requires more nodes than the System has"
18,"COMPLETED","Aurora","Aurora",15879,15879,15879,16783.9,5.20843e-05,0,904.904,"1.00","None"
19,"REJECTED","Andes","Andes",15956,-1,-1,15956,5.20843e-05,-1,-1,"1.00","Job requires more nodes than the System has"
20,"REJECTED","Crux","Crux",16098.5,-1,-1,16098.5,5.20843e-05,-1,-1,"1.00","Job requires more nodes than the System has"
21,"COMPLETED","Andes","Andes",16116.5,16116.5,16116.5,20966.9,5.20843e-05,0,4850.4,"1.00","None"
22,"COMPLETED","Frontier","Frontier",16389.4,16389.4,16389.4,18811.6,5.20843e-05,0,2422.17,"1.00","None"
23,"COMPLETED","Frontier","Frontier",16418.4,16418.4,16418.4,17688.5,5.20843e-05,0,1270.08,"1.00","None"
24,"COMPLETED","Aurora","Aurora",17277.5,17277.5,17277.5,17518.4,5.20843e-05,0,240.865,"1.00","None"
25,"COMPLETED","Frontier","Frontier",17471.4,17471.4,17471.4,21407.2,5.20843e-05,0,3935.76,"1.00","None"
26,"COMPLETED","Frontier","Frontier",17516,17516,17516,19522,5.20843e-05,0,2005.96,"1.00","None"
