JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Aurora",0,0.000234653,0.000234653,225.866,0.000234653,0,225.865,"0.14:0.40:0.33:0.82:0.20:0.29","None"
2,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000235189,0.000235189,-1,-1,"0.49:0.33:0.93:0.88:0.11:0.51","Job requires more nodes than the System has"
3,"COMPLETED","Frontier","Aurora",999.441,999.441,999.441,2021.75,0.000234839,0,1022.31,"0.42:0.22:0.31:0.64:0.11:0.08","None"
4,"COMPLETED","Crux","Frontier",3600,3600,3600,6674.37,0.00023518,0,3074.37,"0.58:0.27:0.36:0.62:0.15:0.65","None"
5,"REJECTED","Frontier","Aurora",4711.18,-1,-1,4711.18,0.000234839,-1,-1,"0.54:0.19:0.05:0.80:0.09:0.27","Job requires more nodes than the System has"
6,"REJECTED","Frontier","Perlmutter-Phase-2",6267.68,-1,-1,6267.68,0.000234839,-1,-1,"0.65:0.99:0.66:0.13:0.68:0.98","Job requires more nodes than the System has"
7,"REJECTED","Frontier","Perlmutter-Phase-1",7175.52,-1,-1,7175.52,0.000234839,-1,-1,"0.38:0.62:0.83:0.27:0.45:0.68","Job requires more nodes than the System has"
8,"COMPLETED","Andes","Perlmutter-Phase-2",9786.87,9786.87,9786.87,11244.9,0.000234839,0,1458,"0.60:0.66:0.61:0.58:0.04:0.35","None"
9,"COMPLETED","Aurora","Frontier",9840.12,9840.12,9840.12,16384.7,0.000235244,0,6544.58,"0.79:0.22:0.64:0.39:0.29:0.86","None"
10,"REJECTED","Frontier","Crux",10357.4,-1,-1,10357.4,0.000234737,-1,-1,"0.00:0.01:0.85:0.57:0.97:0.19","Job requires more nodes than the System has"
11,"COMPLETED","Andes","Aurora",10774.4,10774.4,10774.4,11154.6,0.000234839,0,380.192,"0.50:0.73:0.53:0.84:0.66:0.58","None"
12,"COMPLETED","Perlmutter-Phase-1","Frontier",10800,10800,10800,12237.4,0.000235244,0,1437.43,"0.95:0.68:0.49:0.47:0.71:0.97","None"
13,"COMPLETED","Andes","Aurora",10839.3,10839.3,10839.3,12774.6,0.000234839,0,1935.29,"0.55:0.89:0.31:1.00:0.81:0.26","None"
14,"REJECTED","Perlmutter-Phase-1","Perlmutter-Phase-1",11310.8,-1,-1,11310.8,0.000234696,-1,-1,"0.01:0.37:0.99:0.17:0.75:0.65","Job requires more nodes than the System has"
15,"REJECTED","Frontier","Aurora",12720.2,-1,-1,12720.2,0.000234839,-1,-1,"0.68:0.90:0.30:0.95:0.39:0.49","Job requires more nodes than the System has"
16,"REJECTED","Andes","Crux",14996.3,-1,-1,14996.3,0.000234737,-1,-1,"0.23:0.11:0.58:0.59:0.92:0.68","Job requires more nodes than the System has"
17,"COMPLETED","Andes","Aurora",15307.7,15307.7,15307.7,15768.3,0.000234839,0,460.673,"0.15:0.46:0.47:0.68:0.13:0.57","None"
18,"COMPLETED","Aurora","Frontier",15879,15879,15879,19244.1,0.000235244,0,3365.08,"0.14:0.07:0.32:0.72:0.22:0.89","None"
19,"COMPLETED","Andes","Perlmutter-Phase-2",15956,15956,15956,16967.6,0.000234839,0,1011.6,"0.83:1.00:0.29:0.53:0.08:0.54","None"
20,"COMPLETED","Crux","Perlmutter-Phase-1",16098.5,16098.5,16098.5,17473.7,0.000235212,0,1375.2,"0.68:0.22:0.80:0.33:0.19:0.12","None"
