JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Aurora",2.733,2.7336,2.7336,3.46437,0.000599535,0,0.730769,"0.00:0.91:0.00:0.85:0.86:0.00","None"
2,"COMPLETED","Perlmutter-Phase-1","Frontier",3.142,3.1426,3.1426,50.9316,0.000600535,0,47.789,"0.00:0.88:0.00:0.94:0.85:0.00","None"
3,"COMPLETED","Frontier","Frontier",3.472,3.47243,3.47243,21.9051,0.000425084,0,18.4327,"0.00:0.00:0.00:0.89:0.00:0.00","None"
4,"COMPLETED","Perlmutter-Phase-1","Frontier",3.666,3.66661,3.66661,10.6392,0.000610535,0,6.97259,"0.00:0.78:0.00:0.79:0.75:0.73","None"
5,"COMPLETED","Frontier","Aurora",3.76,3.76055,3.76055,17.5779,0.000545352,0,13.8173,"0.00:0.93:0.00:0.90:0.00:0.00","None"
6,"COMPLETED","Aurora","Aurora",3.799,3.7996,3.7996,7.42941,0.000604535,0,3.62981,"0.00:0.82:0.00:0.78:0.76:0.76","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",3.835,3.8356,3.8356,101.736,0.000604535,0,97.9,"0.00:0.79:0.00:0.79:0.80:0.80","None"
8,"COMPLETED","Aurora","Aurora",4.196,4.19659,4.19659,9.4562,0.000589535,0,5.25962,"0.00:0.90:0.00:0.87:0.87:0.00","None"
9,"COMPLETED","Frontier","Frontier",4.411,4.41142,4.41142,26.6164,0.000417084,0,22.205,"0.00:0.00:0.00:0.95:0.00:0.00","None"
10,"COMPLETED","Perlmutter-Phase-2","Frontier",4.708,4.70859,4.70859,32.6168,0.000586535,0,27.9082,"0.00:0.79:0.00:0.86:0.76:0.73","None"
11,"COMPLETED","Perlmutter-Phase-1","Frontier",4.741,4.74159,4.74159,43.2696,0.000587535,0,38.528,"0.00:0.86:0.00:0.91:0.79:0.00","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",4.747,4.74761,4.74761,32.9676,0.000605535,0,28.22,"0.00:0.86:0.00:0.85:0.88:0.00","None"
13,"COMPLETED","Aurora","Aurora",4.986,4.98659,4.98659,14.8808,0.000594535,0,9.89423,"0.00:0.90:0.00:0.87:0.84:0.00","None"
14,"COMPLETED","Frontier","Frontier",5.028,5.02859,5.02859,25.41,0.000592535,0,20.3814,"0.00:0.86:0.00:0.90:0.00:0.00","None"
15,"COMPLETED","Perlmutter-Phase-2","Frontier",5.091,5.09164,5.09164,42.2966,0.000637392,0,37.205,"0.60:0.79:0.00:0.86:0.74:0.74","None"
16,"COMPLETED","Aurora","Aurora",5.251,5.2516,5.2516,19.2756,0.000602535,0,14.024,"0.00:0.90:0.00:0.87:0.85:0.00","None"
17,"COMPLETED","Frontier","Aurora",5.269,5.26955,5.26955,9.28878,0.000548352,0,4.01923,"0.00:0.92:0.00:0.89:0.00:0.00","None"
18,"COMPLETED","Andes","Frontier",5.301,5.30162,5.30162,124.229,0.000618535,0,118.927,"0.61:0.80:0.00:0.82:0.75:0.77","None"
19,"COMPLETED","Andes","Frontier",5.349,5.34961,5.34961,31.3091,0.000614535,0,25.9595,"0.63:0.79:0.00:0.82:0.77:0.78","None"
20,"COMPLETED","Aurora","Aurora",5.36,5.3606,5.3606,22.0914,0.000599535,0,16.7308,"0.00:0.95:0.00:0.84:0.68:0.00","None"
21,"COMPLETED","Perlmutter-Phase-1","Aurora",5.423,5.42361,5.42361,7.47168,0.000606535,0,2.04808,"0.00:0.77:0.00:0.76:0.51:0.70","None"
22,"COMPLETED","Perlmutter-Phase-1","Aurora",5.676,5.67661,5.67661,9.42181,0.000613535,0,3.74519,"0.00:0.92:0.00:0.85:0.63:0.00","None"
23,"COMPLETED","Andes","Frontier",5.719,5.71961,5.71961,29.0867,0.000607535,0,23.3671,"0.62:0.78:0.00:0.82:0.76:0.77","None"
24,"COMPLETED","Aurora","Aurora",5.969,5.96961,5.96961,13.0658,0.000611535,0,7.09615,"0.00:0.88:0.00:0.84:0.70:0.00","None"
25,"COMPLETED","Perlmutter-Phase-2","Aurora",5.973,5.9736,5.9736,9.66591,0.000599535,0,3.69231,"0.00:0.78:0.00:0.77:0.72:0.72","None"
26,"COMPLETED","Andes","Frontier",5.993,5.9936,5.9936,126.011,0.000603535,0,120.018,"0.61:0.78:0.00:0.81:0.71:0.76","None"
27,"COMPLETED","Perlmutter-Phase-2","Frontier",6.022,6.0226,6.0226,9.65192,0.000603712,0,3.62932,"0.60:0.72:0.66:0.81:0.74:0.69","None"
28,"COMPLETED","Perlmutter-Phase-2","Frontier",6.117,6.1176,6.1176,7.53,0.000604535,0,1.4124,"0.61:0.74:0.66:0.83:0.75:0.71","None"
29,"COMPLETED","Perlmutter-Phase-1","Aurora",6.146,6.1466,6.1466,10.3918,0.000596535,0,4.24519,"0.00:0.92:0.00:0.86:0.83:0.00","None"
30,"COMPLETED","Frontier","Aurora",6.171,6.17154,6.17154,10.0129,0.000540352,0,3.84135,"0.00:0.90:0.00:0.86:0.00:0.00","None"
31,"COMPLETED","Frontier","Frontier",6.212,6.2126,6.2126,32.0469,0.000603535,0,25.8343,"0.00:0.85:0.00:0.94:0.00:0.00","None"
32,"COMPLETED","Andes","Frontier",6.216,6.21667,6.21667,63.0343,0.000671535,0,56.8176,"0.64:0.78:0.00:0.88:0.70:0.70","None"
33,"COMPLETED","Perlmutter-Phase-1","Aurora",6.493,6.49359,6.49359,13.1042,0.000591535,0,6.61058,"0.00:0.92:0.00:0.85:0.83:0.00","None"
34,"COMPLETED","Frontier","Aurora",6.527,6.5276,6.5276,6.93625,0.000596535,0,0.408654,"0.00:0.88:0.00:0.86:0.80:0.00","None"
35,"COMPLETED","Perlmutter-Phase-1","Aurora",6.591,6.5916,6.5916,10.7022,0.000600535,0,4.11058,"0.00:0.91:0.00:0.84:0.82:0.00","None"
36,"COMPLETED","Perlmutter-Phase-2","Frontier",6.595,6.59561,6.59561,57.9425,0.000614535,0,51.3468,"0.00:0.73:0.00:0.78:0.60:0.69","None"
37,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",6.642,6.6426,6.6426,21.2226,0.000596535,0,14.58,"0.00:0.74:0.00:0.47:0.60:0.78","None"
38,"COMPLETED","Frontier","Aurora",6.674,6.67455,6.67455,18.9582,0.000551352,0,12.2837,"0.00:0.84:0.00:0.72:0.00:0.00","None"
39,"COMPLETED","Perlmutter-Phase-2","Aurora",6.694,6.69459,6.69459,11.7379,0.000589535,0,5.04327,"0.00:0.75:0.00:0.50:0.71:0.70","None"
40,"COMPLETED","Crux","Aurora",6.709,6.70959,6.70959,9.55575,0.000594519,0,2.84615,"0.68:0.79:0.75:0.53:0.70:0.67","None"
41,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",6.712,6.7126,6.7126,111.773,0.000597535,0,105.06,"0.00:0.68:0.00:0.59:0.71:0.76","None"
42,"COMPLETED","Frontier","Aurora",6.791,6.79153,6.79153,14.2098,0.000525352,0,7.41827,"0.00:0.88:0.00:0.69:0.00:0.00","None"
43,"COMPLETED","Frontier","Frontier",6.865,6.86552,43.2696,69.6045,0.000517084,36.4041,26.3349,"0.00:0.00:0.00:0.63:0.00:0.00","None"
44,"COMPLETED","Perlmutter-Phase-1","Aurora",6.888,6.8886,6.8886,25.4607,0.000597535,0,18.5721,"0.00:0.85:0.00:0.69:0.82:0.00","None"
45,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",6.897,6.89765,6.89765,117.958,0.000645535,0,111.06,"0.60:0.63:0.00:0.62:0.82:0.73","None"
46,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",7.037,7.03765,21.2226,29.7226,0.000647535,14.1849,8.5,"0.00:0.49:0.00:0.44:0.49:0.54","None"
47,"COMPLETED","Aurora","Aurora",7.071,7.0716,7.42941,27.3861,0.000604535,0.357808,19.9567,"0.00:0.78:0.00:0.65:0.69:0.00","None"
48,"COMPLETED","Aurora","Perlmutter-Phase-1",7.078,7.0786,7.0786,92.0586,0.000598535,0,84.98,"0.00:0.74:0.00:0.69:0.84:0.00","None"
49,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",7.093,7.09361,101.736,149.716,0.000606535,94.642,47.98,"0.00:0.57:0.00:0.54:0.61:0.66","None"
50,"COMPLETED","Aurora","Aurora",7.098,7.0986,7.47168,11.14,0.000597535,0.373086,3.66827,"0.00:0.69:0.00:0.55:0.53:0.00","None"
51,"COMPLETED","Aurora","Aurora",7.102,7.1026,7.47168,11.1928,0.000597535,0.369086,3.72115,"0.00:0.68:0.00:0.55:0.53:0.00","None"
52,"COMPLETED","Aurora","Frontier",7.125,7.12555,252.685,275.301,0.000545352,245.559,22.6162,"0.00:0.63:0.00:0.63:0.00:0.00","None"
53,"COMPLETED","Andes","Frontier",7.132,7.13261,124.229,189.682,0.000608535,117.096,65.4529,"0.60:0.59:0.00:0.66:0.54:0.53","None"
54,"COMPLETED","Perlmutter-Phase-2","Frontier",7.217,7.2176,57.9425,84.7959,0.000601535,50.7249,26.8534,"0.00:0.54:0.00:0.54:0.45:0.52","None"
55,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",7.245,7.2456,21.2226,31.1026,0.000598499,13.977,9.88,"0.00:0.48:0.00:0.51:0.46:0.55","None"
56,"COMPLETED","Perlmutter-Phase-1","Aurora",7.253,7.2536,17.5779,24.323,0.000604712,10.3242,6.74519,"0.00:0.68:0.00:0.55:0.60:0.00","None"
57,"COMPLETED","Aurora","Aurora",7.26,7.26061,18.9582,48.4005,0.000606535,11.6976,29.4423,"0.00:0.64:0.00:0.57:0.63:0.62","None"
58,"COMPLETED","Aurora","Aurora",7.349,7.3496,19.2756,34.1603,0.000603535,11.926,14.8846,"0.00:0.77:0.00:0.61:0.63:0.00","None"
59,"COMPLETED","Aurora","Aurora",7.467,7.4676,9.42181,24.0324,0.000604535,1.9542,14.6106,"0.00:0.63:0.00:0.59:0.00:0.49","None"
60,"COMPLETED","Perlmutter-Phase-1","Aurora",7.471,7.47161,162.098,179.232,0.000606535,154.626,17.1346,"0.00:0.67:0.00:0.67:0.56:0.00","None"
61,"COMPLETED","Aurora","Aurora",7.5,7.5006,32.936,55.1523,0.000602535,25.4354,22.2163,"0.00:0.78:0.00:0.63:0.64:0.00","None"
62,"COMPLETED","Perlmutter-Phase-1","Aurora",7.572,7.57261,9.55575,16.7529,0.000609535,1.98314,7.19712,"0.00:0.68:0.00:0.56:0.61:0.00","None"
63,"COMPLETED","Frontier","Aurora",7.662,7.66254,10.7022,16.5531,0.000544352,3.03963,5.85096,"0.00:0.64:0.00:0.57:0.00:0.00","None"
64,"COMPLETED","Perlmutter-Phase-2","Frontier",7.674,7.6746,43.583,99.328,0.000603535,35.9084,55.7449,"0.00:0.56:0.00:0.60:0.57:0.57","None"
65,"COMPLETED","Frontier","Frontier",7.814,7.81461,10.6392,23.7262,0.000608535,2.82459,13.087,"0.00:0.62:0.00:0.66:0.00:0.00","None"
66,"COMPLETED","Perlmutter-Phase-2","Frontier",7.84,7.8406,69.6045,96.7976,0.000598535,61.7639,27.1931,"0.00:0.49:0.00:0.54:0.51:0.53","None"
67,"COMPLETED","Frontier","Frontier",7.85,7.85042,26.6164,43.583,0.000423084,18.766,16.9666,"0.00:0.00:0.00:0.55:0.00:0.00","None"
68,"COMPLETED","Aurora","Aurora",7.857,7.8576,39.5057,69.8567,0.000595535,31.6481,30.351,"0.00:0.79:0.00:0.65:0.66:0.00","None"
69,"COMPLETED","Aurora","Aurora",7.9,7.9006,11.14,22.5726,0.000601535,3.23935,11.4327,"0.00:0.70:0.00:0.58:0.60:0.00","None"
70,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",7.906,7.90661,32.9676,66.2276,0.000606535,25.061,33.26,"0.00:0.57:0.00:0.55:0.67:0.00","None"
71,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",7.938,7.93861,66.2276,198.308,0.000611535,58.289,132.08,"0.00:0.71:0.00:0.66:0.74:0.00","None"
72,"COMPLETED","Crux","Crux",7.993,7.9936,7.9936,43.0936,0.000595712,0,35.1,"0.60:0.57:0.66:0.57:0.47:0.54","None"
73,"COMPLETED","Crux","Andes",8.011,8.0116,8.0116,31.9916,0.000599519,0,23.98,"0.60:0.55:0.50:0.54:0.45:0.53","None"
74,"COMPLETED","Frontier","Aurora",8.042,8.04252,11.1928,25.2794,0.000519352,3.15032,14.0865,"0.00:0.64:0.00:0.63:0.00:0.00","None"
75,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",8.077,8.07765,778.443,794.243,0.000654535,770.365,15.8,"0.00:0.43:0.00:0.50:0.43:0.51","None"
76,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",8.134,8.1346,534.643,651.223,0.000599535,526.508,116.58,"0.00:0.58:0.00:0.56:0.63:0.66","None"
77,"COMPLETED","Aurora","Aurora",8.14,8.14061,11.7379,16.5696,0.000610535,3.59725,4.83173,"0.00:0.57:0.00:0.53:0.57:0.00","None"
78,"COMPLETED","Andes","Andes",8.164,8.16462,8.16462,36.4046,0.000619535,0,28.24,"0.71:0.52:0.00:0.52:0.45:0.53","None"
79,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",8.177,8.1776,111.773,130.053,0.000601535,103.595,18.28,"0.00:0.47:0.00:0.45:0.46:0.55","None"
80,"COMPLETED","Frontier","Aurora",8.2,8.20053,13.0658,19.0465,0.000534352,4.86523,5.98077,"0.00:0.61:0.00:0.57:0.00:0.00","None"
81,"COMPLETED","Frontier","Aurora",8.232,8.23254,13.1042,21.1763,0.000537352,4.87163,8.07212,"0.00:0.66:0.00:0.60:0.00:0.00","None"
82,"COMPLETED","Perlmutter-Phase-2","Frontier",8.254,8.25461,31.3091,71.3568,0.000608535,23.0545,40.0477,"0.00:0.53:0.00:0.57:0.51:0.57","None"
83,"COMPLETED","Aurora","Aurora",8.258,8.25861,16.7529,21.0125,0.000608535,8.49426,4.25962,"0.00:0.61:0.00:0.52:0.49:0.00","None"
84,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",8.266,8.2666,29.7226,40.9626,0.000603535,21.456,11.24,"0.00:0.50:0.00:0.46:0.46:0.56","None"
85,"COMPLETED","Frontier","Frontier",8.287,8.28761,21.9051,36.0469,0.000608535,13.6175,14.1418,"0.00:0.54:0.00:0.57:0.00:0.00","None"
86,"COMPLETED","Frontier","Frontier",8.294,8.29442,263.863,325.133,0.000419084,255.569,61.2694,"0.00:0.00:0.00:0.63:0.00:0.00","None"
87,"COMPLETED","Frontier","Aurora",8.312,8.31253,22.0914,33.3462,0.000533352,13.7788,11.2548,"0.00:0.63:0.00:0.60:0.00:0.00","None"
88,"COMPLETED","Frontier","Frontier",8.314,8.3146,21.9051,37.656,0.000600535,13.5905,15.7509,"0.00:0.49:0.00:0.51:0.00:0.00","None"
89,"COMPLETED","Perlmutter-Phase-1","Aurora",8.322,8.3226,24.0324,41.0228,0.000595535,15.7098,16.9904,"0.00:0.66:0.00:0.60:0.61:0.00","None"
90,"COMPLETED","Frontier","Aurora",8.378,8.37854,129.958,159.881,0.000537352,121.58,29.9231,"0.00:0.70:0.00:0.67:0.00:0.00","None"
91,"COMPLETED","Aurora","Perlmutter-Phase-1",8.388,8.3886,66.2276,97.8076,0.000596535,57.839,31.58,"0.00:0.60:0.00:0.55:0.60:0.00","None"
92,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",8.393,8.39365,92.0586,213.139,0.000648535,83.665,121.08,"0.00:0.70:0.00:0.66:0.72:0.00","None"
93,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",8.421,8.42162,111.773,137.853,0.000621535,103.351,26.08,"0.00:0.48:0.00:0.47:0.54:0.64","None"
94,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",8.487,8.48759,259.693,354.233,0.000594535,251.205,94.54,"0.00:0.57:0.00:0.55:0.60:0.67","None"
95,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",8.53,8.53059,130.053,178.813,0.000590535,121.522,48.76,"0.00:0.52:0.00:0.51:0.56:0.65","None"
96,"COMPLETED","Frontier","Frontier",8.537,8.53759,32.0469,47.9945,0.000594712,23.5093,15.9476,"0.00:0.52:0.00:0.54:0.00:0.00","None"
97,"COMPLETED","Aurora","Aurora",8.537,8.5376,149.07,176.594,0.000595499,140.533,27.524,"0.00:0.71:0.00:0.63:0.57:0.00","None"
98,"COMPLETED","Aurora","Aurora",8.55,8.55059,17.4246,24.9822,0.000591535,8.87396,7.55769,"0.00:0.58:0.00:0.55:0.58:0.00","None"
99,"COMPLETED","Frontier","Aurora",8.558,8.55854,25.4607,43.879,0.000536352,16.9022,18.4183,"0.00:0.67:0.00:0.64:0.00:0.00","None"
100,"COMPLETED","Perlmutter-Phase-1","Aurora",8.563,8.56359,43.879,70.5713,0.000587535,35.3154,26.6923,"0.00:0.71:0.00:0.64:0.62:0.00","None"
101,"COMPLETED","Frontier","Aurora",8.587,8.58754,24.323,39.5057,0.000537352,15.7355,15.1827,"0.00:0.64:0.00:0.62:0.00:0.00","None"
102,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",8.588,8.5886,989.943,1009.18,0.000601535,981.354,19.24,"0.00:0.43:0.00:0.50:0.00:0.51","None"
103,"COMPLETED","Perlmutter-Phase-2","Frontier",8.613,8.61365,225.711,263.863,0.000654535,217.097,38.1526,"0.00:0.47:0.00:0.55:0.44:0.53","None"
104,"COMPLETED","Andes","Andes",8.627,8.62761,31.9916,40.2716,0.000609535,23.364,8.28,"0.63:0.48:0.00:0.48:0.42:0.52","None"
105,"COMPLETED","Aurora","Aurora",8.639,8.63964,19.0465,22.5465,0.000643535,10.4069,3.5,"0.00:0.61:0.00:0.51:0.49:0.00","None"
106,"COMPLETED","Frontier","Frontier",8.702,8.70243,84.7959,119.212,0.000428084,76.0934,34.416,"0.00:0.00:0.00:0.63:0.00:0.00","None"
107,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",8.714,8.7146,138.643,184.963,0.000600535,129.928,46.32,"0.00:0.50:0.00:0.56:0.48:0.56","None"
108,"COMPLETED","Perlmutter-Phase-2","Frontier",8.721,8.7216,47.9945,94.1029,0.000598535,39.2729,46.1085,"0.00:0.49:0.00:0.56:0.48:0.55","None"
109,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",8.737,8.7376,149.716,180.176,0.000604535,140.978,30.46,"0.00:0.47:0.00:0.46:0.53:0.63","None"
110,"COMPLETED","Crux","Frontier",8.745,8.74561,32.6168,73.8445,0.000612519,23.8712,41.2277,"0.52:0.56:0.52:0.56:0.46:0.54","None"
111,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",8.748,8.7486,80.7826,146.243,0.000598535,72.034,65.46,"0.51:0.53:0.00:0.51:0.59:0.67","None"
112,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",8.75,8.75065,137.853,155.713,0.000652535,129.102,17.86,"0.00:0.49:0.00:0.46:0.54:0.66","None"
113,"COMPLETED","Aurora","Perlmutter-Phase-2",8.756,8.7566,305.223,315.623,0.000596535,296.466,10.4,"0.00:0.47:0.00:0.43:0.40:0.48","None"
114,"COMPLETED","Frontier","Frontier",8.766,8.76661,230.038,303.626,0.000608535,221.271,73.5876,"0.00:0.60:0.00:0.68:0.00:0.00","None"
115,"COMPLETED","Perlmutter-Phase-1","Aurora",8.788,8.78861,51.8879,78.8831,0.000612535,43.0993,26.9952,"0.00:0.68:0.00:0.61:0.60:0.00","None"
