JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",2.733,2.73329,2.73329,5.77329,0.000292535,0,3.04,"0.00:0.70:0.00:0.69:0.98:0.00","None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",3.142,3.14229,3.14229,56.6023,0.000291535,0,53.46,"0.00:0.92:0.00:0.92:0.97:0.00","None"
3,"COMPLETED","Frontier","Frontier",3.472,3.47224,3.47224,21.9049,0.000241535,0,18.4327,"0.00:0.00:0.00:0.99:0.00:0.00","None"
4,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",3.666,3.66629,3.66629,11.4663,0.000290535,0,7.8,"0.00:0.67:0.00:0.62:0.80:0.91","None"
5,"COMPLETED","Frontier","Frontier",3.76,3.7603,3.7603,55.1429,0.000296535,0,51.3826,"0.00:0.79:0.00:0.93:0.00:0.00","None"
6,"COMPLETED","Aurora","Aurora",3.799,3.79929,3.79929,7.4291,0.000287535,0,3.62981,"0.00:0.98:0.00:0.58:0.52:0.62","None"
7,"COMPLETED","Perlmutter-Phase-2","Aurora",3.835,3.83529,3.83529,27.3689,0.000288535,0,23.5337,"0.00:0.91:0.00:0.86:0.81:0.84","None"
8,"COMPLETED","Aurora","Aurora",4.196,4.19629,4.19629,9.45591,0.000294535,0,5.25962,"0.00:0.89:0.00:0.80:0.74:0.00","None"
9,"COMPLETED","Frontier","Frontier",4.411,4.41124,4.41124,26.6162,0.000243712,0,22.205,"0.00:0.00:0.00:0.89:0.00:0.00","None"
10,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",4.708,4.70829,4.70829,35.9283,0.000290535,0,31.22,"0.00:0.78:0.00:0.74:0.80:0.84","None"
11,"COMPLETED","Perlmutter-Phase-1","Aurora",4.741,4.74129,4.74129,15.1019,0.000290535,0,10.3606,"0.00:0.83:0.00:0.79:0.61:0.00","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",4.747,4.74729,4.74729,32.9673,0.000290535,0,28.22,"0.00:0.67:0.00:0.72:0.82:0.00","None"
13,"COMPLETED","Aurora","Aurora",4.986,4.9863,4.9863,14.8805,0.000295535,0,9.89423,"0.00:0.78:0.00:0.63:0.23:0.00","None"
14,"COMPLETED","Frontier","Frontier",5.028,5.02829,5.02829,25.4097,0.000291535,0,20.3814,"0.00:0.59:0.00:0.82:0.00:0.00","None"
15,"COMPLETED","Perlmutter-Phase-2","Andes",5.091,5.09129,5.09129,46.7113,0.000290535,0,41.62,"0.79:0.71:0.00:0.76:0.32:0.75","None"
16,"COMPLETED","Aurora","Frontier",5.251,5.25129,5.25129,57.4027,0.000290535,0,52.1514,"0.00:0.75:0.00:0.77:0.34:0.00","None"
17,"COMPLETED","Frontier","Frontier",5.269,5.26929,5.26929,20.2157,0.000288535,0,14.9464,"0.00:0.46:0.00:0.78:0.00:0.00","None"
18,"COMPLETED","Andes","Frontier",5.301,5.30129,5.30129,124.229,0.000291535,0,118.927,"0.53:0.66:0.00:0.74:0.34:0.69","None"
19,"COMPLETED","Andes","Perlmutter-Phase-2",5.349,5.34929,5.34929,34.3893,0.000290535,0,29.04,"0.57:0.70:0.00:0.70:0.25:0.72","None"
