JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",2.733,2.73305,2.73305,5.77305,5.20843e-05,0,3.04,"1.00","None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",3.142,3.14205,3.14205,56.6021,5.20843e-05,0,53.46,"1.00","None"
3,"COMPLETED","Frontier","Frontier",3.472,3.47205,3.47205,21.9047,5.20843e-05,0,18.4327,"1.00","None"
4,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",3.666,3.66605,3.66605,11.4661,5.20843e-05,0,7.8,"1.00","None"
5,"COMPLETED","Frontier","Frontier",3.76,3.76005,3.76005,55.1427,5.20843e-05,0,51.3826,"1.00","None"
6,"COMPLETED","Aurora","Aurora",3.799,3.79905,3.79905,7.42886,5.20843e-05,0,3.62981,"1.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",3.835,3.83505,3.83505,101.735,5.20843e-05,0,97.9,"1.00","None"
8,"COMPLETED","Aurora","Aurora",4.196,4.19605,4.19605,9.45567,5.20843e-05,0,5.25962,"1.00","None"
9,"COMPLETED","Frontier","Frontier",4.411,4.41105,4.41105,26.6161,5.20843e-05,0,22.205,"1.00","None"
10,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",4.708,4.70805,4.70805,35.9281,5.20843e-05,0,31.22,"1.00","None"
11,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",4.741,4.74105,1600.5,1643.6,5.20843e-05,1595.76,43.1,"1.00","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",4.747,4.74705,11.4661,39.6861,5.20843e-05,6.719,28.22,"1.00","None"
13,"COMPLETED","Aurora","Aurora",4.986,4.98605,4.98605,14.8803,5.20843e-05,0,9.89423,"1.00","None"
14,"COMPLETED","Frontier","Frontier",5.028,5.02805,5.02805,25.4095,5.20843e-05,0,20.3814,"1.00","None"
15,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",5.091,5.09105,5.09105,46.7111,5.20843e-05,0,41.62,"1.00","None"
16,"COMPLETED","Aurora","Aurora",5.251,5.25105,5.25105,19.2751,5.20843e-05,0,14.024,"1.00","None"
17,"COMPLETED","Frontier","Frontier",5.269,5.26905,5.26905,20.2154,5.20843e-05,0,14.9464,"1.00","None"
18,"COMPLETED","Andes","Andes",5.301,5.30105,5.30105,138.341,5.20843e-05,0,133.04,"1.00","None"
19,"COMPLETED","Andes","Andes",5.349,5.34905,138.341,167.381,5.20843e-05,132.992,29.04,"1.00","None"
20,"COMPLETED","Aurora","Aurora",5.36,5.36005,5.36005,22.0908,5.20843e-05,0,16.7308,"1.00","None"
21,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",5.423,5.42305,39.6861,48.2061,5.20843e-05,34.263,8.52,"1.00","None"
22,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",5.676,5.67605,48.2061,63.7861,5.20843e-05,42.53,15.58,"1.00","None"
23,"COMPLETED","Andes","Andes",5.719,5.71905,206.421,232.561,5.20843e-05,200.702,26.14,"1.00","None"
24,"COMPLETED","Aurora","Aurora",5.969,5.96905,5.96905,13.0652,5.20843e-05,0,7.09615,"1.00","None"
25,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",5.973,5.97305,5.97305,21.3331,5.20843e-05,0,15.36,"1.00","None"
26,"COMPLETED","Andes","Andes",5.993,5.99305,1782.9,1917.16,5.20843e-05,1776.91,134.26,"1.00","None"
27,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",6.022,6.02205,6.02205,10.0821,5.20843e-05,0,4.06,"1.00","None"
28,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",6.117,6.11705,6.11705,7.69705,5.20843e-05,0,1.58,"1.00","None"
