JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Frontier",2.733,2.73324,2.73324,5.45076,0.000235244,0,2.71752,"0.13:0.08:0.02:0.57:0.10:0.23","None"
2,"REJECTED","Perlmutter-Phase-1","Perlmutter-Phase-2",3.142,-1,-1,3.14223,0.000234696,-1,-1,"0.96:0.81:0.52:0.07:0.16:0.98","Job requires GPU while System has none"
3,"REJECTED","Frontier","Perlmutter-Phase-2",3.472,-1,-1,3.47223,0.000234839,-1,-1,"0.62:0.28:0.05:0.82:0.10:0.90","Job requires more nodes than the System has"
4,"COMPLETED","Perlmutter-Phase-1","Aurora",3.666,3.66624,3.66624,5.54124,0.000235244,0,1.875,"0.11:0.68:0.51:0.43:0.23:0.68","None"
5,"REJECTED","Frontier","Andes",3.76,-1,-1,3.76023,0.000234889,-1,-1,"0.59:0.49:0.26:0.32:0.29:0.37","Job requires more nodes than the System has"
6,"COMPLETED","Aurora","Aurora",3.799,3.79923,3.79923,7.42904,0.000234889,0,3.62981,"0.79:0.95:0.62:0.17:0.79:0.91","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",3.835,3.83523,3.83523,101.735,0.000234696,0,97.9,"0.26:0.64:0.95:0.50:0.79:1.00","None"
8,"REJECTED","Aurora","Andes",4.196,-1,-1,4.19624,0.000235244,-1,-1,"0.85:0.16:0.70:0.26:0.07:0.77","Job requires more nodes than the System has"
9,"COMPLETED","Frontier","Frontier",4.411,4.41123,4.41123,26.6162,0.000234889,0,22.205,"0.70:0.19:0.39:0.97:0.89:0.66","None"
10,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",4.708,4.70823,4.70823,35.9282,0.000234696,0,31.22,"0.96:0.94:0.46:0.37:0.97:0.26","None"
11,"COMPLETED","Perlmutter-Phase-1","Aurora",4.741,4.74124,4.74124,15.1018,0.000235244,0,10.3606,"0.28:0.61:0.15:0.13:0.05:0.29","None"
12,"COMPLETED","Perlmutter-Phase-1","Frontier",4.747,4.74724,4.74724,29.9737,0.000235244,0,25.2265,"0.51:0.30:0.35:0.93:0.43:0.45","None"
13,"REJECTED","Aurora","Andes",4.986,-1,-1,4.98624,0.000235244,-1,-1,"1.00:0.09:0.50:0.82:0.77:0.26","Job requires more nodes than the System has"
14,"COMPLETED","Frontier","Frontier",5.028,5.02823,5.02823,25.4096,0.000234889,0,20.3814,"0.10:0.38:0.47:0.77:0.60:0.13","None"
15,"COMPLETED","Perlmutter-Phase-2","Frontier",5.091,5.09124,5.09124,42.2962,0.000235244,0,37.205,"0.19:0.03:0.21:0.97:0.37:0.22","None"
16,"COMPLETED","Aurora","Perlmutter-Phase-1",5.251,5.25124,5.25124,63.5912,0.000235244,0,58.34,"0.80:0.49:0.09:0.42:1.00:0.76","None"
17,"COMPLETED","Frontier","Frontier",5.269,5.26923,5.26923,20.2156,0.000234889,0,14.9464,"0.78:0.01:0.62:0.88:0.48:0.08","None"
18,"COMPLETED","Andes","Aurora",5.301,5.30123,5.30123,37.282,0.000234839,0,31.9808,"0.10:0.91:0.71:0.46:0.88:0.42","None"
19,"COMPLETED","Andes","Frontier",5.349,5.34923,5.34923,31.3087,0.000234889,0,25.9595,"0.20:0.49:0.10:0.74:0.33:0.01","None"
20,"REJECTED","Aurora","Crux",5.36,-1,-1,5.36023,0.000234889,-1,-1,"0.94:0.00:0.99:0.06:0.40:0.50","Job requires more nodes than the System has"
21,"REJECTED","Perlmutter-Phase-1","Crux",5.423,-1,-1,5.42324,0.000235244,-1,-1,"0.16:0.25:0.71:0.01:0.30:0.70","Job requires more nodes than the System has"
22,"REJECTED","Perlmutter-Phase-1","Andes",5.676,-1,-1,5.67624,0.000235244,-1,-1,"0.84:0.59:0.51:0.51:0.50:0.24","Job requires more nodes than the System has"
23,"COMPLETED","Andes","Perlmutter-Phase-2",5.719,5.71923,5.71923,31.8592,0.000234839,0,26.14,"0.73:0.05:0.61:0.54:0.38:0.96","None"
24,"REJECTED","Aurora","Crux",5.969,-1,-1,5.96923,0.000234889,-1,-1,"0.43:0.92:0.98:0.68:0.11:0.22","Job requires more nodes than the System has"
25,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",5.973,5.97323,5.97323,21.3332,0.000234696,0,15.36,"0.20:0.23:0.07:0.87:0.87:0.85","None"
26,"COMPLETED","Andes","Frontier",5.993,5.99323,5.99323,126.011,0.000234889,0,120.018,"0.80:0.04:0.75:0.99:0.74:0.97","None"
27,"COMPLETED","Perlmutter-Phase-2","Aurora",6.022,6.02224,6.02224,6.9982,0.000235244,0,0.975962,"0.76:0.95:0.78:0.91:0.12:0.83","None"
28,"COMPLETED","Perlmutter-Phase-2","Andes",6.117,6.11724,6.11724,7.69724,0.000235244,0,1.58,"0.51:0.38:0.07:0.41:0.37:0.20","None"
29,"REJECTED","Perlmutter-Phase-1","Andes",6.146,-1,-1,6.14624,0.000235244,-1,-1,"0.94:0.91:0.67:0.94:0.22:0.38","Job requires more nodes than the System has"
30,"COMPLETED","Frontier","Frontier",6.171,6.17123,6.17123,20.4561,0.000234889,0,14.2849,"0.67:0.79:0.39:0.96:0.07:0.71","None"
31,"COMPLETED","Frontier","Aurora",6.212,6.21223,6.21223,13.1594,0.000234839,0,6.94712,"0.44:0.96:0.47:0.90:0.54:0.44","None"
32,"REJECTED","Andes","Crux",6.216,-1,-1,6.21623,0.000234737,-1,-1,"0.26:0.31:0.91:0.81:0.58:0.43","Job requires more nodes than the System has"
33,"REJECTED","Perlmutter-Phase-1","Andes",6.493,-1,-1,6.49324,0.000235244,-1,-1,"0.77:0.18:0.29:0.32:0.58:0.15","Job requires GPU while System has none"
34,"COMPLETED","Frontier","Aurora",6.527,6.52723,6.52723,6.93589,0.000234839,0,0.408654,"0.03:0.91:0.81:0.25:0.46:0.69","None"
35,"COMPLETED","Perlmutter-Phase-1","Frontier",6.591,6.59124,6.59124,21.8773,0.000235244,0,15.2861,"0.06:0.13:0.21:0.62:0.22:0.58","None"
36,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",6.595,6.59523,1252.67,1310.11,0.000234696,1246.07,57.44,"0.72:0.45:0.65:0.06:0.74:0.35","None"
37,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",6.642,6.64223,191.145,205.725,0.000234696,184.503,14.58,"0.41:0.91:0.25:0.90:0.94:0.53","None"
38,"REJECTED","Frontier","Andes",6.674,-1,-1,6.67423,0.000234889,-1,-1,"1.00:0.20:0.95:0.54:0.35:0.18","Job requires more nodes than the System has"
