JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Aurora","Aurora","1-480:536:542",77.794,77.7941,77.7941,6525.79,0.000138104,0,6448,"0.54:0.75:0.00:0.70:0.60:0.65","None"
2,"COMPLETED","Frontier","Aurora","481-535:537-541:543-1141:2049-2051:2352-2355:2358-2361",120.976,120.976,120.976,5664.98,0.000138104,0,5544,"0.54:0.73:0.00:0.70:0.61:0.64","None"
3,"COMPLETED","Frontier","Frontier","1-1073:1110-1111:2049-2051:5248-5282",128.233,128.233,128.233,8366.61,0.000153104,0,8238.38,"0.00:0.68:0.00:0.71:0.53:0.00","None"
4,"COMPLETED","Perlmutter-Phase-2","Aurora","1142-2048:2052-2351:2356-2357:2362-2971:4097-4103:5082-5098",214.137,214.137,214.137,4046.14,0.000136104,0,3832,"0.00:0.71:0.00:0.67:0.00:0.62","None"
5,"COMPLETED","Aurora","Aurora","2972-4096:4104-5081:5099-5131:8193-8206:10268-10302",251.815,251.815,251.815,4107.82,0.000140104,0,3856,"0.00:0.66:0.00:0.66:0.00:0.61","None"
6,"COMPLETED","Frontier","Frontier","1074-1109:1112-1937:2358-2361",259.905,259.905,259.905,10236.1,0.000151104,0,9976.16,"0.00:0.54:0.00:0.67:0.54:0.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-406:542",267.252,267.252,267.252,18359.1,0.000147104,0,18091.8,"0.54:0.60:0.00:0.64:0.61:0.65","None"
8,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-1018:1025:1110-1111",289.72,289.72,289.72,12275.1,0.000167104,0,11985.4,"0.00:0.55:0.00:0.57:0.59:0.00","None"
9,"COMPLETED","Perlmutter-Phase-2","Frontier","1938-2048:2052-2357:2362-3090:4097-4103:5088-5096",309.45,309.45,309.45,7560.94,0.000145104,0,7251.49,"0.00:0.61:0.00:0.64:0.31:0.59","None"
10,"COMPLETED","Perlmutter-Phase-1","Frontier","3091-3759",414.98,414.98,414.98,9951.33,0.000137104,0,9536.35,"0.00:0.61:0.00:0.61:0.33:0.00","None"
11,"COMPLETED","Perlmutter-Phase-2","Aurora","5132-6872",577.401,577.401,577.401,6273.4,0.000131104,0,5696,"0.00:0.60:0.00:0.57:0.00:0.58","None"
12,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","407-541:543-1393:2049-2051:2358-2361",637.642,637.642,637.642,11107,0.000140104,0,10469.4,"0.00:0.55:0.00:0.58:0.30:0.59","None"
13,"COMPLETED","Frontier","Frontier","3760-4096:4104-4605:8193-8206",677.713,677.713,677.713,10085.3,0.000137104,0,9407.63,"0.00:0.56:0.00:0.59:0.33:0.00","None"
14,"COMPLETED","Andes","Andes","1-592",738.964,738.964,738.964,47489,0.000140104,0,46750,"0.56:0.55:0.00:0.54:0.32:0.51","None"
