JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Aurora","Perlmutter-Phase-2","1-481:542",77.794,92.5456,92.5456,14896.6,14.7516,0,14804.1,"0.02:0.05:0.00:0.04:0.91:0.93","None"
2,"COMPLETED","Frontier","Perlmutter-Phase-2","482-541:543-1145:2049-2051:2358-2361",120.976,136.641,136.641,12865.2,15.6651,0,12728.6,"0.02:0.78:0.00:0.05:0.82:0.88","None"
3,"COMPLETED","Frontier","Aurora","1-1105:1110-1111:2049-2051:2352-2354",128.233,152.935,152.935,6296.93,24.7015,0,6144,"0.00:0.88:0.00:0.72:0.04:0.00","None"
4,"COMPLETED","Perlmutter-Phase-2","Aurora","1106-1109:1112-2048:2052-2351:2355-2932:4097-4103:5082-5098",214.137,229.937,229.937,4061.94,15.7996,0,3832,"0.00:0.82:0.00:0.08:0.00:0.52","None"
5,"COMPLETED","Aurora","Aurora","2933-4096:4104-5081:8193-8206:10268-10296",251.815,269.016,269.016,4125.02,17.201,0,3856,"0.00:0.78:0.00:0.03:0.00:0.02","None"
6,"COMPLETED","Frontier","Frontier","1-828:1025:1110-1111:5248-5282",259.905,285.44,285.44,10261.6,25.5353,0,9976.16,"0.00:0.78:0.00:0.93:0.78:0.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1","1-406:542",267.252,300.951,300.951,21922.9,33.6993,0,21622,"0.03:0.04:0.00:0.18:0.88:0.88","None"
8,"COMPLETED","Perlmutter-Phase-1","Aurora","5099-6113:10297-10302",289.72,317.139,317.139,4685.14,27.4188,0,4368,"0.00:0.82:0.00:0.05:0.78:0.00","None"
9,"COMPLETED","Perlmutter-Phase-2","Aurora","6114-7275",309.45,334.077,334.077,5742.08,24.6273,0,5408,"0.00:0.74:0.00:0.04:0.52:0.03","None"
10,"COMPLETED","Perlmutter-Phase-1","Aurora","7276-7944",414.98,429.805,429.805,7541.81,14.8251,0,7112,"0.00:0.04:0.00:0.04:0.02:0.00","None"
11,"COMPLETED","Perlmutter-Phase-2","Aurora","7945-8192:8207-9699",577.401,592.295,592.295,6288.3,14.8941,0,5696,"0.00:0.72:0.00:0.04:0.00:0.03","None"
12,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1146-2048:2052-2141",637.642,653.443,653.443,11122.8,15.8011,0,10469.4,"0.00:0.52:0.00:0.04:0.04:0.82","None"
