JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Aurora","1-475:536:542",19.026,19.0261,19.0261,6651.03,7.81043e-05,0,6632,,"None"
2,"COMPLETED","Frontier","Frontier","1-1019:1025:1110-1111:5248-5282",41.257,41.2571,41.2571,6241.5,7.81043e-05,0,6200.24,,"None"
3,"COMPLETED","Aurora","Frontier","1020-1024:1026-1109:1112-1579:2049-2051:2358-2361",63.393,63.3931,63.3931,6681.99,7.81043e-05,0,6618.59,,"None"
4,"COMPLETED","Frontier","Aurora","476-535:537-541:543-2389:4097-4103:5082-5098",63.502,63.5021,63.5021,3975.5,7.81043e-05,0,3912,,"None"
5,"COMPLETED","Aurora","Aurora","2390-3493",71.365,71.3651,71.3651,6967.37,7.81043e-05,0,6896,,"None"
6,"COMPLETED","Aurora","Frontier","1580-2048:2052-2241:4097-4103",77.794,77.7941,77.7941,7747.64,7.81043e-05,0,7669.85,,"None"
7,"COMPLETED","Frontier","Frontier","2242-2357:2362-2614:5088-5096",111.387,111.387,111.387,11514.2,7.81043e-05,0,11402.9,,"None"
8,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-645:1025:1110-1111",116.67,116.67,116.67,12422.8,7.81043e-05,0,12306.1,,"None"
9,"COMPLETED","Perlmutter-Phase-2","Frontier","2615-2871",149.162,149.162,149.162,9470.97,7.81043e-05,0,9321.81,,"None"
10,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","646-1024:1026-1109:1112-1623:2049-2051:2358-2361",150.621,150.621,150.621,16479.2,7.81043e-05,0,16328.6,,"None"
11,"COMPLETED","Aurora","Frontier","2872-3218",251.815,251.815,251.815,11182.7,7.81043e-05,0,10930.9,,"None"
12,"COMPLETED","Perlmutter-Phase-2","Frontier","3219-4096:4104-5087:5097-5247:5283-6314:8193-8206",252.044,252.044,252.044,6012.47,7.81043e-05,0,5760.43,,"None"
13,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1624-2048:2052-2119",255.636,255.636,255.636,14251.6,7.81043e-05,0,13995.9,,"None"
14,"COMPLETED","Frontier","Aurora","3494-4096:4104-4523:8193-8206",264.87,264.87,264.87,6184.87,7.81043e-05,0,5920,,"None"
15,"COMPLETED","Perlmutter-Phase-1","Frontier","6315-7162",288.843,288.843,288.843,6371.08,7.81043e-05,0,6082.24,,"None"
16,"COMPLETED","Frontier","Aurora","4524-5081:5099-6825:10268-10302",317.515,317.515,317.515,6069.52,7.81043e-05,0,5752,,"None"
17,"COMPLETED","Perlmutter-Phase-1","Aurora","6826-7504",318.927,318.927,318.927,5886.93,7.81043e-05,0,5568,,"None"
18,"COMPLETED","Perlmutter-Phase-1","Frontier","7163-7678",325.208,325.208,325.208,10633.9,7.81043e-05,0,10308.7,,"None"
19,"COMPLETED","Perlmutter-Phase-2","Frontier","7679-8187",357.981,357.981,357.981,9132.71,7.81043e-05,0,8774.73,,"None"
20,"COMPLETED","Frontier","Aurora","7505-8192:8207-8258",359.483,359.483,359.483,7343.48,7.81043e-05,0,6984,,"None"
21,"COMPLETED","Frontier","Frontier","8188-8192:8207-8507",409.03,409.03,409.03,14032.4,7.81043e-05,0,13623.4,,"None"
22,"COMPLETED","Perlmutter-Phase-2","Aurora","8259-8732",507.184,507.184,507.184,7411.18,7.81043e-05,0,6904,,"None"
