JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Aurora","1-475:536:542",19.026,31.8639,31.8639,6663.86,12.8379,0,6632,"0.00:0.91:0.00:0.08:0.87:0.00","None"
2,"COMPLETED","Frontier","Frontier","1-1019:1025:1110-1111:5248-5282",41.257,56.0319,56.0319,6256.27,14.7749,0,6200.24,"0.00:0.88:0.00:0.91:0.74:0.00","None"
3,"COMPLETED","Aurora","Aurora","476-535:537-541:543-1034:1104-1105:1110-1111:2049-2051",63.393,78.9994,78.9994,5015,15.6064,0,4936,"0.03:0.82:0.00:0.82:0.04:0.03","None"
4,"COMPLETED","Frontier","Aurora","1035-1103:1106-1109:1112-2048:2052-2953:4097-4103:5082-5098",63.502,93.2076,93.2076,4005.21,29.7056,0,3912,"0.00:0.91:0.00:0.03:0.00:0.00","None"
5,"COMPLETED","Aurora","Aurora","2954-4057",71.365,108.502,108.502,7004.5,37.1375,0,6896,"0.00:0.95:0.00:0.74:0.68:0.00","None"
6,"COMPLETED","Aurora","Aurora","4058-4096:4104-4716:8193-8206",77.794,122.029,122.029,5842.03,44.2352,0,5720,"0.00:0.88:0.00:0.04:0.82:0.00","None"
7,"COMPLETED","Frontier","Frontier","1020-1024:1026-1109:1112-1393:2049-2051:2358-2361",111.387,135.745,135.745,11538.6,24.3577,0,11402.9,"0.00:0.04:0.00:0.93:0.88:0.00","None"
8,"COMPLETED","Perlmutter-Phase-2","Aurora","4717-5081:5099-5346:10268-10302",116.67,151.726,151.726,5511.73,35.0557,0,5360,"0.00:0.82:0.00:0.04:0.03:0.62","None"
9,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1","1-256:258",149.162,167.442,167.442,19243.1,18.2797,0,19075.6,"0.03:0.04:0.00:0.07:0.82:0.65","None"
10,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1","257:259-1239",150.621,183.792,183.792,19698.4,33.1708,0,19514.6,"0.00:0.87:0.00:0.05:0.88:0.74","None"
11,"COMPLETED","Aurora","Aurora","5347-5693",251.815,267.135,267.135,8419.13,15.3198,0,8152,"0.03:0.82:0.00:0.03:0.04:0.04","None"
12,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-3059",252.044,283.07,283.07,10146.3,31.0255,0,9863.27,"0.00:0.04:0.00:0.04:0.00:0.62","None"
13,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-492:542",255.636,298.639,10146.3,24142.3,43.0033,9847.7,13995.9,"0.18:0.82:0.00:0.04:0.38:0.93","None"
14,"COMPLETED","Frontier","Aurora","5694-6730",264.87,313.367,313.367,6233.37,48.497,0,5920,"0.00:0.87:0.00:0.05:0.03:0.00","None"
15,"COMPLETED","Perlmutter-Phase-1","Aurora","6731-7578",288.843,328.701,328.701,4864.7,39.8583,0,4536,"0.00:0.78:0.00:0.12:0.42:0.08","None"
16,"COMPLETED","Frontier","Aurora","7579-8192:8207-9912",317.515,344.1,344.1,6096.1,26.5849,0,5752,"0.00:0.80:0.00:0.05:0.00:0.00","None"
17,"COMPLETED","Perlmutter-Phase-1","Aurora","1870-2048:2052-2351:2356-2357:2362-2535:4097-4103:5082-5098",318.927,359.733,4005.21,9573.21,40.8057,3645.47,5568,"0.38:0.82:0.00:0.04:0.28:0.08","None"
18,"COMPLETED","Perlmutter-Phase-1","Aurora","9913-10267:10303-10463",325.208,376.846,376.846,8064.85,51.6384,0,7688,"0.00:0.82:0.00:0.05:0.08:0.00","None"
19,"COMPLETED","Perlmutter-Phase-2","Aurora","2536-2953:10464-10554",357.981,393.342,4005.21,10549.2,35.3611,3611.87,6544,"0.04:0.78:0.00:0.08:0.38:0.02","None"
20,"COMPLETED","Frontier","Frontier","1394-2048:2052-2129:4097-4103",359.483,409.143,409.143,9773.86,49.6597,0,9364.72,"0.00:0.52:0.00:0.88:0.04:0.00","None"
21,"COMPLETED","Frontier","Frontier","2130-2357:2362-2430:5088-5096",409.03,424.562,424.562,14047.9,15.5319,0,13623.4,"0.03:0.32:0.00:0.88:0.03:0.02","None"
22,"COMPLETED","Perlmutter-Phase-2","Frontier","2431-2904",507.184,522.934,522.934,9780.38,15.7495,0,9257.45,"0.03:0.28:0.00:0.88:0.04:0.22","None"
23,"COMPLETED","Frontier","Frontier","2905-3305",727.019,740.798,740.798,8475.01,13.7786,0,7734.21,"0.02:0.03:0.00:0.04:0.04:0.02","None"
24,"COMPLETED","Frontier","Aurora","1035-1103:1106-1109:1112-1869:2352-2355:2358-2361",823.577,839.197,4005.21,10077.2,15.6201,3166.01,6072,"0.00:0.15:0.00:0.05:0.02:0.08","None"
25,"COMPLETED","Frontier","Aurora","6731-7511",874.509,889.918,4864.7,11024.7,15.4087,3974.78,6160,"0.00:0.52:0.00:0.05:0.52:0.00","None"
26,"COMPLETED","Aurora","Aurora","476-535:537-541:543-1034:1104-1105:1110-1111:2049-2051:7512-7578:10555-10609",941.905,957.153,5015,13175,15.248,4057.85,8160,"0.00:0.62:0.00:0.04:0.03:0.00","None"
27,"COMPLETED","Perlmutter-Phase-2","Aurora","4717-5081:5099-5165:10268-10302",974.993,989.058,5511.73,10671.7,14.0653,4522.67,5160,"0.03:0.52:0.00:0.12:0.04:0.03","None"
28,"COMPLETED","Frontier","Perlmutter-Phase-1","1-1275",1070.48,1084.28,19698.4,32759.4,13.7966,18614.2,13061,"0.00:0.38:0.00:0.04:0.42:0.00","None"
29,"COMPLETED","Perlmutter-Phase-1","Frontier","3306-3720",1183.55,1198.04,1198.04,9168.24,14.4912,0,7970.2,"0.00:0.38:0.00:0.87:0.42:0.00","None"
30,"COMPLETED","Perlmutter-Phase-2","Aurora","4431-4716:5166-5346:7579-8192:8207-8380",1238.26,1252.62,6096.1,10104.1,14.3571,4843.48,4008,"0.00:0.18:0.00:0.04:0.15:0.18","None"
31,"COMPLETED","Aurora","Aurora","4058-4096:4104-4430:8193-8206",1268.96,1283.87,5842.03,12434,14.9065,4558.16,6592,"0.00:0.38:0.00:0.04:0.03:0.00","None"
32,"COMPLETED","Aurora","Aurora","5694-6730:8381-9153",1307.39,1322.2,6233.37,11809.4,14.8023,4911.17,5576,"0.00:0.22:0.00:0.04:0.00:0.00","None"
33,"COMPLETED","Frontier","Frontier","3721-4096:4104-4207:8193-8206",1339.27,1356.4,1356.4,8918.97,17.1296,0,7562.57,"0.00:0.62:0.00:0.88:0.28:0.00","None"
34,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-956:1025:1110-1111",1357.03,1373.21,32759.4,45403.3,16.1796,31386.2,12643.9,"0.00:0.18:0.00:0.08:0.28:0.12","None"
35,"COMPLETED","Aurora","Perlmutter-Phase-1","611-1024:1026-1109:1112-1411",2102.57,2117.78,53854.5,70559.4,15.2139,51736.7,16704.9,"0.00:0.28:0.00:0.04:0.28:0.00","None"
36,"COMPLETED","Aurora","Perlmutter-Phase-1","1-610:1025:1110-1111",2146.28,2163.2,45403.3,66761.8,16.9173,43240.1,21358.5,"0.00:0.04:0.00:0.05:0.52:0.20","None"
37,"COMPLETED","Aurora","Aurora","1-475:536:542:2954-3737",2163.79,2177.16,7004.5,13308.5,13.375,4827.34,6304,"0.00:0.52:0.00:0.04:0.04:0.00","None"
38,"COMPLETED","Frontier","Frontier","4208-4746",2456.38,2471.31,2471.31,11439.1,14.9357,0,8967.82,"0.00:0.52:0.00:0.88:0.22:0.00","None"
39,"COMPLETED","Aurora","Aurora","1035-1103:1106-1109:1112-2048:2052-2535:4097-4103:5082-5098:5347-5558",2811.87,2827.13,10077.2,15117.2,15.2653,7250.08,5040,"0.00:0.32:0.00:0.04:0.00:0.05","None"
40,"COMPLETED","Perlmutter-Phase-1","Andes","1-576",3596.18,3610.49,3610.49,33610.5,14.3107,0,30000,"0.62:0.12:0.00:0.05:0.28:0.18","None"
41,"COMPLETED","Perlmutter-Phase-1","Aurora","3738-4057:9154-9925",4778.9,4794.4,8064.85,14600.8,15.5049,3270.45,6536,"0.00:0.22:0.00:0.05:0.18:0.18","None"
42,"COMPLETED","Frontier","Frontier","1-875:1025:1110-1111:5248-5282",9788.06,9801.81,9801.81,15691,13.7455,0,5889.15,"0.00:0.82:0.00:0.91:0.04:0.00","None"
43,"COMPLETED","Aurora","Aurora","4431-4716:5166-5346:5559-5693:7579-7690",10313.8,10329.3,10329.3,16457.3,15.4804,0,6128,"0.00:0.91:0.00:0.08:0.18:0.00","None"
44,"COMPLETED","Aurora","Aurora","2536-2953:4717-5081:5099-5165:6731-7236:10268-10302",11649.7,11663.8,11663.8,16159.8,14.089,0,4496,"0.00:0.62:0.00:0.04:0.05:0.38","None"
45,"COMPLETED","Aurora","Aurora","4058-4096:4104-4430:5694-5807:8193-8206",13008,13024.8,13024.8,18432.8,16.7515,0,5408,"0.00:0.88:0.00:0.82:0.35:0.00","None"
46,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","493-541:543-1892:2049-2051:2358-2361",13055.7,13077,13077,25732.1,21.3479,0,12655.1,"0.00:0.04:0.00:0.05:0.12:0.40","None"
47,"COMPLETED","Andes","Andes","1-597",13262.1,13278.6,33610.5,80260.5,16.4326,20331.9,46650,"0.42:0.04:0.00:0.04:0.03:0.38","None"
48,"COMPLETED","Perlmutter-Phase-1","Aurora","1-1034:1104-1105:1110-1111:2049-2051:2954-3146",13391.5,13407.7,13407.7,17231.7,16.1416,0,3824,"0.00:0.82:0.00:0.05:0.22:0.32","None"
