JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier","1-198:258:5248-5282",68.165,68.1651,68.1651,786.878,7.81043e-05,0,718.713,,"None"
2,"COMPLETED","Aurora","Aurora","1-736:1025:1104-1105:1110-1111",77.794,77.7941,77.7941,7261.79,7.81043e-05,0,7184,,"None"
3,"COMPLETED","Frontier","Frontier","199-257:259-353:542",168.541,168.541,168.541,779.983,7.81043e-05,0,611.442,,"None"
4,"COMPLETED","Andes","Frontier","354-541:543-1053:1110-1111:2049-2051",180.533,180.533,180.533,8075.65,7.81043e-05,0,7895.11,,"None"
5,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-416:542",214.137,214.137,214.137,15569.2,7.81043e-05,0,15355.1,,"None"
6,"COMPLETED","Aurora","Aurora","737-1024:1026-1103:1106-1109:1112-2261:2352-2355:2358-2361:4097-4103",251.815,251.815,251.815,6467.82,7.81043e-05,0,6216,,"None"
7,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","417-541:543-1271:2049-2051:2358-2361",267.252,267.252,267.252,16577.5,7.81043e-05,0,16310.2,,"None"
8,"COMPLETED","Frontier","Frontier","1054-1109:1112-2048:2052-2139:2358-2361:4097-4103",274.348,274.348,274.348,5573.51,7.81043e-05,0,5299.17,,"None"
9,"COMPLETED","Perlmutter-Phase-1","Frontier","2140-2357:2362-3127:5088-5096",289.72,289.72,289.72,6404.14,7.81043e-05,0,6114.42,,"None"
10,"COMPLETED","Andes","Frontier","3128-3695",296.318,296.318,296.318,9671.77,7.81043e-05,0,9375.45,,"None"
11,"COMPLETED","Perlmutter-Phase-2","Frontier","3696-4096:4104-5087:5097:8193-8206",309.45,309.45,309.45,7711.12,7.81043e-05,0,7401.67,,"None"
12,"COMPLETED","Frontier","Perlmutter-Phase-2","1272-1753",347.518,347.518,347.518,15151.6,7.81043e-05,0,14804.1,,"None"
13,"COMPLETED","Perlmutter-Phase-1","Frontier","5098-5247:5283-5358",349.812,349.812,349.812,896.892,7.81043e-05,0,547.08,,"None"
14,"COMPLETED","Frontier","Andes","1-31",403.753,403.753,403.753,1903.75,7.81043e-05,0,1500,,"None"
15,"COMPLETED","Perlmutter-Phase-2","Aurora","2262-2351:2356-2357:2362-3461:5082-5098",414.98,414.98,414.98,4606.98,7.81043e-05,0,4192,,"None"
16,"COMPLETED","Frontier","Frontier","5359-5849",477.918,477.918,477.918,12985.7,7.81043e-05,0,12507.7,,"None"
17,"COMPLETED","Perlmutter-Phase-1","Frontier","5850-7011",577.401,577.401,577.401,7828.89,7.81043e-05,0,7251.49,,"None"
18,"COMPLETED","Perlmutter-Phase-2","Aurora","3462-4096:4104-5081:5099-6147:8193-8206:10268-10302",616.788,616.788,616.788,5208.79,7.81043e-05,0,4592,,"None"
19,"COMPLETED","Perlmutter-Phase-1","Aurora","6148-7007",637.642,637.642,637.642,5773.64,7.81043e-05,0,5136,,"None"
20,"COMPLETED","Perlmutter-Phase-1","Frontier","1-148:258:5248-5282",791.023,791.023,791.023,1724.28,7.81043e-05,0,933.254,,"None"
21,"COMPLETED","Frontier","Frontier","149-257:259-353:542:7012-7654",841.463,841.463,841.463,6666.25,7.81043e-05,0,5824.79,,"None"
22,"COMPLETED","Perlmutter-Phase-2","Aurora","7008-8192:8207-9991",1137.79,1137.79,1137.79,5297.79,7.81043e-05,0,4160,,"None"
23,"COMPLETED","Frontier","Frontier","5098-5247:5283-5358:7655-8048",1162.76,1162.76,1162.76,12522.7,7.81043e-05,0,11360,,"None"
24,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-1129",1200.33,1200.33,1200.33,17993,7.81043e-05,0,16792.7,,"None"
25,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","1754-2048:2052-2357:2362-2677",1251.78,1251.78,1251.78,13006.9,7.81043e-05,0,11755.1,,"None"
26,"COMPLETED","Aurora","Frontier","8049-8192:8207-8873",1268.96,1268.97,1268.97,9700.43,7.81043e-05,0,8431.47,,"None"
27,"COMPLETED","Aurora","Frontier","1-148:258:1054-1109:1112-2048:2052-2949:4097-4103:5088-5096:5248-5282",1307.39,1307.39,6404.14,12228.9,7.81043e-05,5096.75,5824.79,,"None"
28,"COMPLETED","Frontier","Frontier","149-257:259-353:542:2950-3127:7012-7510",1726.46,1726.46,6666.25,12394.5,7.81043e-05,4939.79,5728.25,,"None"
29,"COMPLETED","Aurora","Aurora","2262-2351:2356-2357:2362-3073:5082-5098",2102.57,2102.57,4606.98,11087,7.81043e-05,2504.41,6480,,"None"
30,"COMPLETED","Aurora","Aurora","9992-10267:10303-10394",2146.28,2146.29,2146.29,9466.29,7.81043e-05,0,7320,,"None"
31,"COMPLETED","Aurora","Frontier","3696-4096:4104-5087:5097:7511-7654:8193-8206:8874-8915",2163.79,2163.79,7711.12,15509.7,7.81043e-05,5547.33,7798.57,,"None"
32,"COMPLETED","Crux","Perlmutter-Phase-2","2678-2740",6203.04,6203.04,6203.04,7121.4,7.81043e-05,0,918.367,,"None"
33,"COMPLETED","Andes","Aurora","1-405:536:542",9729.08,9729.08,9729.08,16209.1,7.81043e-05,0,6480,,"None"
34,"COMPLETED","Andes","Frontier","354-541:543-881:1025:1110-1111",10587.1,10587.1,10587.1,18643.1,7.81043e-05,0,8056.02,,"None"
35,"COMPLETED","Perlmutter-Phase-2","Aurora","406-535:537-541:543-1005:1025:1104-1105:1110-1111",11548.4,11548.4,11548.4,16588.4,7.81043e-05,0,5040,,"None"
36,"COMPLETED","Perlmutter-Phase-2","Frontier","882-1024:1026-1053:2049-2051:3128-3695:5850-5875",11831.8,11831.8,11831.8,20606.5,7.81043e-05,0,8774.73,,"None"
37,"COMPLETED","Aurora","Aurora","1006-1024:1026-1103:1106-1109:1112-1156:2049-2051:2352-2355:2358-2361",12008.3,12008.3,12008.3,12408.3,7.81043e-05,0,400,,"None"
38,"COMPLETED","Perlmutter-Phase-1","Aurora","1006-1024:1026-1103:1106-1109:1112-1669:2049-2051:2352-2355:2358-2361",12674.7,12674.7,12674.7,19474.7,7.81043e-05,0,6800,,"None"
39,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1130-1143",13962.9,13962.9,13962.9,15323.8,7.81043e-05,0,1360.98,,"None"
40,"COMPLETED","Perlmutter-Phase-2","Frontier","1-353:542:1054-1109:1112-2048:2052-2191:2358-2361:4097-4103:5248-5282",14005.9,14005.9,14005.9,20978.5,7.81043e-05,0,6972.59,,"None"
41,"COMPLETED","Frontier","Frontier","2192-2357:2362-3127:5088-5096:5098-5247:5283-5304",14119.9,14119.9,14119.9,20652.7,7.81043e-05,0,6532.78,,"None"
42,"COMPLETED","Aurora","Aurora","1670-2048:2052-2159:4097-4103",14204.6,14204.6,14204.6,21668.6,7.81043e-05,0,7464,,"None"
43,"COMPLETED","Frontier","Frontier","5305-5435",14212,14212,14212,15123.8,7.81043e-05,0,911.8,,"None"
44,"COMPLETED","Frontier","Perlmutter-Phase-2","1754-2048:2052-2176",14338.4,14338.4,14338.4,28315.9,7.81043e-05,0,13977.6,,"None"
45,"COMPLETED","Perlmutter-Phase-2","Aurora","2160-2351:2356-2357:2362-3452:5082-5098",14524.1,14524.1,14524.1,19156.1,7.81043e-05,0,4632,,"None"
46,"COMPLETED","Perlmutter-Phase-1","Frontier","5436-5561",14589.4,14589.4,14589.4,15522.6,7.81043e-05,0,933.254,,"None"
47,"COMPLETED","Perlmutter-Phase-1","Aurora","3453-4096:4104-4616:8193-8206",14627.1,14627.1,14627.1,19939.1,7.81043e-05,0,5312,,"None"
48,"COMPLETED","Perlmutter-Phase-1","Frontier","5562-5849:5876-6366",14698.9,14698.9,14698.9,24439,7.81043e-05,0,9740.17,,"None"
49,"COMPLETED","Aurora","Frontier","6367-7032",14738.2,14738.2,14738.2,21303.1,7.81043e-05,0,6564.96,,"None"
50,"COMPLETED","Frontier","Aurora","4617-5081:5099-5619:10268-10302",14803.8,14803.8,14803.8,19171.8,7.81043e-05,0,4368,,"None"
51,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","2177-2267",14847.4,14847.4,14847.4,15839.3,7.81043e-05,0,991.837,,"None"
52,"COMPLETED","Crux","Frontier","7033-7101",15051.9,15051.9,15051.9,15856.5,7.81043e-05,0,804.529,,"None"
53,"COMPLETED","Perlmutter-Phase-1","Aurora","5620-6300",15103.5,15103.5,15103.5,20191.5,7.81043e-05,0,5088,,"None"
54,"COMPLETED","Aurora","Aurora","6301-7769",15337.5,15337.5,15337.5,20969.5,7.81043e-05,0,5632,,"None"
55,"COMPLETED","Aurora","Frontier","3696-4096:4104-5087:5097:5305:8193-8206",16667.2,16667.2,16667.2,21966.4,7.81043e-05,0,5299.17,,"None"
56,"COMPLETED","Perlmutter-Phase-2","Frontier","5306-5561:7033-7270",17104.4,17104.4,17104.4,25546.6,7.81043e-05,0,8442.19,,"None"
57,"COMPLETED","Frontier","Frontier","7271-7763",17182.3,17182.3,17182.3,24433.8,7.81043e-05,0,7251.49,,"None"
58,"COMPLETED","Frontier","Perlmutter-Phase-2","1-698:1025:1110-1111",17325.4,17325.4,17325.4,28456,7.81043e-05,0,11130.6,,"None"
59,"COMPLETED","Frontier","Frontier","7764-8135",17564.1,17564.1,17564.1,25191,7.81043e-05,0,7626.94,,"None"
60,"COMPLETED","Frontier","Aurora","1-1005:1025:1104-1105:1110-1111:7770-7992",18596.4,18596.4,18596.4,22828.4,7.81043e-05,0,4232,,"None"
61,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","699-1024:1026-1109:1112-1659:2049-2051:2358-2361",18755.9,18755.9,18755.9,34937.5,7.81043e-05,0,16181.6,,"None"
62,"COMPLETED","Aurora","Aurora","1006-1024:1026-1103:1106-1109:1112-2463:4097-4103:5082-5098",22646.7,22646.7,22646.7,27942.7,7.81043e-05,0,5296,,"None"
63,"COMPLETED","Frontier","Aurora","1-735:1025:1104-1105:1110-1111",24408.1,24408.1,24408.1,31744.1,7.81043e-05,0,7336,,"None"
64,"COMPLETED","Perlmutter-Phase-1","Frontier","1-887:1025:1110-1111:5248-5282",29544,29544,29544,37406.9,7.81043e-05,0,7862.93,,"None"
65,"COMPLETED","Perlmutter-Phase-1","Frontier","1-28:5248-5282",53807.9,53807.9,53807.9,55846.1,7.81043e-05,0,2038.14,,"None"
66,"COMPLETED","Perlmutter-Phase-1","Aurora","1-767:1025:1104-1105:1110-1111",54354.9,54354.9,54354.9,61722.9,7.81043e-05,0,7368,,"None"
67,"COMPLETED","Frontier","Frontier","1-234:258:5248-5282",56300.1,56300.1,56300.1,70588.6,7.81043e-05,0,14288.4,,"None"
