JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1","1-126",7.316,21.1277,21.1277,1052.83,13.8117,0,1031.71,"0.62:0.72:0.04:0.82:0.87:0.68","None"
2,"COMPLETED","Aurora","Frontier","5248-5261",63.393,78.2907,78.2907,689.733,14.8977,0,611.442,"0.00:0.95:0.00:0.97:0.08:0.00","None"
3,"COMPLETED","Crux","Perlmutter-Phase-1","127-372:542",69.369,92.0601,92.0601,3670.11,22.6911,0,3578.05,"0.03:0.04:0.02:0.05:0.82:0.52","None"
4,"COMPLETED","Aurora","Aurora","1-69",71.365,106.197,106.197,634.197,34.8318,0,528,"0.00:0.97:0.00:0.87:0.05:0.00","None"
5,"COMPLETED","Aurora","Aurora","70-164:258",77.794,123.087,123.087,571.087,45.2935,0,448,"0.00:0.82:0.00:0.78:0.04:0.00","None"
6,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","373-541:543-621:1025:1110-1111",81.67,139.468,139.468,1829.71,57.7977,0,1690.24,"0.00:0.18:0.00:0.78:0.91:0.00","None"
7,"COMPLETED","Crux","Aurora","165-226",82.42,156.499,156.499,468.499,74.0794,0,312,"0.04:0.52:0.08:0.04:0.04:0.04","None"
8,"COMPLETED","Perlmutter-Phase-1","Aurora","227-257:259-1073:1104-1105:1110-1111:2049-2051",95.929,171.007,171.007,5515.01,75.0784,0,5344,"0.00:0.91:0.00:0.88:0.04:0.00","None"
9,"COMPLETED","Frontier","Frontier","5262-5268",103.515,185.519,185.519,614.601,82.0035,0,429.082,"0.00:0.88:0.00:0.97:0.78:0.00","None"
10,"COMPLETED","Perlmutter-Phase-1","Aurora","1074-1103:1106-1109:1112-2048:2052-2128:2352-2355:2358-2361:4097-4103",103.623,199.455,199.455,4351.45,95.8316,0,4152,"0.00:0.82:0.00:0.08:0.03:0.42","None"
11,"COMPLETED","Frontier","Frontier","1-453:542:5269-5282",120.474,214.52,214.52,10147.8,94.0461,0,9933.25,"0.03:0.78:0.00:0.88:0.82:0.55","None"
12,"COMPLETED","Perlmutter-Phase-1","Aurora","2129-2306",126.243,228.8,228.8,956.8,102.557,0,728,"0.00:0.93:0.00:0.82:0.88:0.00","None"
13,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","622-735",135.564,243.818,243.818,3053.57,108.254,0,2809.76,"0.00:0.91:0.00:0.87:0.91:0.00","None"
14,"COMPLETED","Crux","Aurora","2307-2351:2356-2357:2362-2459:5082-5098",138.396,257.575,257.575,561.575,119.179,0,304,"0.68:0.82:0.05:0.04:0.05:0.04","None"
15,"COMPLETED","Aurora","Aurora","2460-2626",161.669,272.41,272.41,1520.41,110.741,0,1248,"0.00:0.93:0.00:0.74:0.07:0.00","None"
16,"COMPLETED","Frontier","Frontier","454-480",162.076,286.23,286.23,1401.84,124.154,0,1115.61,"0.00:0.08:0.00:0.93:0.05:0.00","None"
17,"COMPLETED","Perlmutter-Phase-1","Aurora","2627-2836",177.935,301.558,301.558,1213.56,123.623,0,912,"0.00:0.87:0.00:0.08:0.03:0.00","None"
18,"COMPLETED","Frontier","Frontier","481-541:543-592:1025:1110-1111",185.35,317.602,317.602,725.23,132.252,0,407.628,"0.04:0.05:0.02:0.88:0.05:0.05","None"
19,"COMPLETED","Aurora","Perlmutter-Phase-1","736-974",201.219,332.81,332.81,1452.32,131.591,0,1119.51,"0.05:0.72:0.04:0.05:0.78:0.04","None"
20,"COMPLETED","Frontier","Perlmutter-Phase-1","975-1024:1026-1030",206.013,346.275,346.275,1180.42,140.262,0,834.146,"0.00:0.91:0.00:0.05:0.93:0.00","None"
21,"COMPLETED","Aurora","Aurora","2837-3791",214.137,358.876,358.876,7126.88,144.739,0,6768,"0.00:0.91:0.00:0.07:0.03:0.00","None"
22,"COMPLETED","Perlmutter-Phase-1","Aurora","3792-4096:4104-5081:5099-5221:8193-8206:10268-10302",232.282,374.082,374.082,4494.08,141.8,0,4120,"0.00:0.72:0.00:0.05:0.18:0.03","None"
23,"COMPLETED","Perlmutter-Phase-1","Frontier","593-623",246.465,393.237,393.237,800.865,146.772,0,407.628,"0.00:0.82:0.00:0.82:0.07:0.00","None"
24,"COMPLETED","Aurora","Frontier","624-633",251.815,407.591,407.591,1437.39,155.776,0,1029.8,"0.00:0.91:0.00:0.92:0.05:0.00","None"
25,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","1-65",261.43,422.505,422.505,1120.46,161.075,0,697.959,"0.62:0.82:0.05:0.78:0.82:0.88","None"
26,"COMPLETED","Andes","Andes","1-122",264.612,437.162,437.162,2287.16,172.55,0,1850,"0.82:0.72:0.02:0.12:0.03:0.03","None"
27,"COMPLETED","Crux","Frontier","634-663",283.661,453.5,453.5,957.672,169.839,0,504.172,"0.03:0.82:0.03:0.91:0.04:0.02","None"
28,"COMPLETED","Frontier","Perlmutter-Phase-2","66-259:542",289.037,467.432,467.432,4526.62,178.395,0,4059.18,"0.04:0.12:0.03:0.82:0.05:0.91","None"
29,"COMPLETED","Aurora","Aurora","165-226:5222-5412",289.72,484.619,484.619,1084.62,194.899,0,600,"0.00:0.91:0.00:0.05:0.04:0.00","None"
30,"COMPLETED","Frontier","Frontier","664-806",291.141,499.909,499.909,1969.52,208.768,0,1469.61,"0.00:0.82:0.00:0.91:0.78:0.00","None"
31,"COMPLETED","Frontier","Frontier","807-835",291.662,518.137,518.137,1515.75,226.475,0,997.616,"0.03:0.78:0.02:0.88:0.05:0.82","None"
32,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","260-541:543-705:1025:1110-1111",299.492,533.496,533.496,13555.9,234.004,0,13022.4,"0.02:0.04:0.00:0.05:0.62:0.68","None"
33,"COMPLETED","Aurora","Frontier","836-981",309.45,546.257,546.257,889.523,236.807,0,343.266,"0.04:0.82:0.02:0.87:0.03:0.04","None"
34,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","706-1024:1026-1101:2049-2051",322.317,560.581,560.581,15676.9,238.264,0,15116.3,"0.38:0.72:0.00:0.12:0.62:0.82","None"
35,"COMPLETED","Crux","Andes","123-246:258",348.205,574.334,574.334,10274.3,226.129,0,9700,"0.91:0.58:0.78:0.04:0.04:0.88","None"
36,"COMPLETED","Aurora","Perlmutter-Phase-1","1031-1068",349.812,591.468,591.468,1535.37,241.656,0,943.902,"0.03:0.82:0.04:0.74:0.91:0.91","None"
37,"COMPLETED","Perlmutter-Phase-2","Andes","247-257:259-407:542",362.635,606.833,606.833,8156.83,244.198,0,7550,"0.88:0.72:0.05:0.07:0.78:0.88","None"
38,"COMPLETED","Aurora","Frontier","982-991:5262-5268",371.687,618.769,618.769,1552.02,247.082,0,933.254,"0.03:0.03:0.04:0.91:0.04:0.03","None"
39,"COMPLETED","Aurora","Aurora","70-130:258",375.378,632.692,632.692,1024.69,257.314,0,392,"0.00:0.88:0.00:0.82:0.04:0.00","None"
40,"COMPLETED","Perlmutter-Phase-1","Frontier","992-1024",394.221,648.716,648.716,1152.89,254.495,0,504.172,"0.48:0.78:0.18:0.82:0.82:0.82","None"
41,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1","1069-1109:1112-1264",399.695,662.775,662.775,2001.8,263.08,0,1339.02,"0.22:0.03:0.04:0.05:0.78:0.52","None"
42,"COMPLETED","Crux","Aurora","1-69:131-164:2307-2351:2356-2357:2362-2450:5082-5098",407.988,680.643,680.643,1648.64,272.655,0,968,"0.02:0.80:0.03:0.05:0.78:0.02","None"
43,"COMPLETED","Aurora","Aurora","2451-2459:5413-5538",414.98,693.405,693.405,1365.4,278.425,0,672,"0.00:0.93:0.00:0.03:0.04:0.00","None"
44,"COMPLETED","Frontier","Frontier","1026-1109:1112-1848:2049-2051:2358-2361:5248-5261",437.475,708.243,708.243,6704.67,270.768,0,5996.42,"0.00:0.82:0.00:0.88:0.02:0.00","None"
45,"COMPLETED","Frontier","Frontier","1849-2041",442.945,721.952,721.952,1741.02,279.007,0,1019.07,"0.00:0.87:0.00:0.91:0.04:0.00","None"
46,"COMPLETED","Andes","Frontier","481-541:543-556:1025:1110-1111",464.393,738.079,738.079,3076.58,273.686,0,2338.5,"0.78:0.82:0.03:0.82:0.02:0.62","None"
47,"COMPLETED","Frontier","Frontier","557-592:2042-2048:2052-2214:4097-4103",489.498,751.766,751.766,1910.29,262.268,0,1158.52,"0.00:0.82:0.00:0.85:0.05:0.00","None"
48,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1","1265-1287",515.2,766.606,766.606,2171.48,251.406,0,1404.88,"0.04:0.72:0.02:0.72:0.87:0.52","None"
49,"COMPLETED","Frontier","Aurora","5539-7341",529.963,779.576,779.576,6923.58,249.613,0,6144,"0.00:0.82:0.00:0.02:0.00:0.00","None"
50,"COMPLETED","Crux","Perlmutter-Phase-2","1102-1109:1112-1340:2358-2361",577.401,796.204,796.204,3147.22,218.803,0,2351.02,"0.04:0.72:0.04:0.04:0.03:0.82","None"
51,"COMPLETED","Aurora","Perlmutter-Phase-2","1341-1373",590.217,809.884,809.884,2848.66,219.667,0,2038.78,"0.03:0.78:0.04:0.91:0.04:0.93","None"
52,"COMPLETED","Frontier","Frontier","593-616",596.018,822.421,822.421,1519.68,226.403,0,697.259,"0.00:0.08:0.00:0.91:0.04:0.00","None"
53,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","1374-1412",596.122,837.454,837.454,4363.98,241.332,0,3526.53,"0.38:0.72:0.05:0.38:0.72:0.88","None"
54,"COMPLETED","Frontier","Frontier","617-623:2215-2276",597.638,850.117,850.117,2030.09,252.479,0,1179.98,"0.00:0.07:0.00:0.93:0.05:0.00","None"
55,"COMPLETED","Andes","Andes","408-541:543-626",604.958,865.626,865.626,9165.63,260.668,0,8300,"0.62:0.03:0.03:0.08:0.62:0.58","None"
56,"COMPLETED","Perlmutter-Phase-2","Frontier","2277-2278",615.818,879.106,879.106,1823.09,263.288,0,943.981,"0.03:0.82:0.03:0.88:0.87:0.05","None"
57,"COMPLETED","Aurora","Aurora","7342-7569",616.788,891.903,891.903,2739.9,275.115,0,1848,"0.00:0.93:0.00:0.05:0.04:0.00","None"
58,"COMPLETED","Aurora","Aurora","7570-7583",637.642,907.804,907.804,2491.8,270.162,0,1584,"0.00:0.91:0.00:0.88:0.03:0.00","None"
59,"COMPLETED","Frontier","Frontier","836-981:2279-2357:5088-5089",675.74,926.988,926.988,1463.34,251.248,0,536.353,"0.00:0.72:0.00:0.82:0.07:0.00","None"
60,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1413-1638",687.302,944.432,944.432,1752.6,257.13,0,808.163,"0.02:0.82:0.02:0.04:0.72:0.91","None"
61,"COMPLETED","Perlmutter-Phase-1","Aurora","2129-2306:7584-7656",761.574,959.228,959.228,1319.23,197.654,0,360,"0.00:0.82:0.00:0.04:0.52:0.00","None"
62,"COMPLETED","Aurora","Aurora","7657-7904",791.023,975.635,975.635,2175.64,184.612,0,1200,"0.00:0.93:0.00:0.05:0.03:0.00","None"
63,"COMPLETED","Aurora","Aurora","7905-8045",811.079,990.031,990.031,1726.03,178.952,0,736,"0.00:0.88:0.00:0.04:0.82:0.00","None"
64,"COMPLETED","Andes","Perlmutter-Phase-2","1639-1973",850.992,1004.1,1004.1,14742.9,153.106,0,13738.8,"0.52:0.04:0.00:0.04:0.03:0.52","None"
65,"COMPLETED","Frontier","Aurora","8046-8139",854.421,1020.85,1020.85,2444.85,166.431,0,1424,"0.00:0.91:0.00:0.91:0.28:0.00","None"
66,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","1974-2048:2052-2085",855.798,1036.58,1036.58,1679.44,180.785,0,642.857,"0.03:0.82:0.03:0.88:0.78:0.88","None"
67,"COMPLETED","Perlmutter-Phase-2","Aurora","70-130:258:8140-8192:8207-9561",915.775,1051.56,1051.56,5747.56,135.79,0,4696,"0.00:0.78:0.00:0.04:0.18:0.42","None"
68,"COMPLETED","Perlmutter-Phase-2","Frontier","634-663:2362-2395:5090-5096",916.967,1067.84,1067.84,1861.65,150.877,0,793.802,"0.02:0.05:0.03:0.87:0.04:0.82","None"
69,"COMPLETED","Perlmutter-Phase-1","Aurora","9562-9612",940.026,1082.74,1082.74,2130.74,142.717,0,1048,"0.00:0.78:0.00:0.04:0.04:0.00","None"
70,"COMPLETED","Aurora","Frontier","2396-2456",941.905,1098.39,1098.39,1978.01,156.487,0,879.619,"0.04:0.82:0.04:0.88:0.08:0.08","None"
71,"COMPLETED","Perlmutter-Phase-2","Aurora","165-226:5222-5412:9613-9616",944.287,1114.4,1114.4,8962.4,170.11,0,7848,"0.03:0.72:0.00:0.62:0.72:0.62","None"
72,"COMPLETED","Andes","Frontier","2457-2466",974.789,1128.89,1128.89,1708.15,154.102,0,579.261,"0.62:0.76:0.75:0.87:0.82:0.58","None"
73,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","1-65:2086-2357:2362-2865",979.953,1144.19,1144.19,12605.4,164.233,0,11461.2,"0.00:0.62:0.00:0.04:0.22:0.68","None"
74,"COMPLETED","Crux","Perlmutter-Phase-2","2866-2885",980.121,1157.86,1157.86,2149.7,177.742,0,991.837,"0.03:0.85:0.04:0.82:0.04:0.93","None"
75,"COMPLETED","Perlmutter-Phase-2","Frontier","992-1019",982.76,1173.25,1173.25,1741.79,190.493,0,568.534,"0.52:0.67:0.04:0.82:0.08:0.62","None"
76,"COMPLETED","Andes","Frontier","1020-1024:2467-2683",985.963,1187.55,1187.55,1766.81,201.59,0,579.261,"0.22:0.03:0.03:0.72:0.04:0.42","None"
77,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1","1-126",1028.17,1201.33,1201.33,2320.84,173.161,0,1119.51,"0.02:0.04:0.03:0.82:0.82:0.03","None"
78,"COMPLETED","Perlmutter-Phase-2","Aurora","2627-2836:9617-9812",1068.62,1217.18,1217.18,10121.2,148.567,0,8904,"0.02:0.82:0.00:0.18:0.03:0.08","None"
79,"COMPLETED","Aurora","Aurora","9813-10267:10303-10573",1104.38,1231.41,1231.41,8311.41,127.033,0,7080,"0.00:0.91:0.00:0.04:0.03:0.00","None"
80,"COMPLETED","Aurora","Aurora","2129-2258",1108.43,1244.58,1319.23,1631.23,136.154,74.6469,312,"0.00:0.91:0.00:0.78:0.04:0.00","None"
81,"COMPLETED","Aurora","Crux","1-232",1122.65,1258.6,1258.6,2032.6,135.956,0,774,"0.04:0.04:0.18:0.04:0.04:0.03","None"
82,"COMPLETED","Aurora","Aurora","2259-2306:2451-2459:5413-5538:7584-7630",1137.79,1273.3,1365.4,2253.4,135.517,92.1014,888,"0.00:0.52:0.00:0.04:0.04:0.00","None"
83,"COMPLETED","Frontier","Frontier","2684-2787",1146.69,1286.93,1286.93,1780.38,140.244,0,493.445,"0.02:0.03:0.02:0.12:0.04:0.03","None"
84,"COMPLETED","Frontier","Aurora","2250-2258:2307-2351:2356-2357:2362-2450:5082-5098:7650-7656:10574-10620",1209.74,1301.01,1648.64,2032.64,91.2626,347.638,384,"0.00:0.32:0.00:0.04:0.03:0.00","None"
85,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1","975-1024:1026-1030:1288-1393",1263.36,1315.97,1315.97,4433.05,52.6113,0,3117.07,"0.02:0.03:0.01:0.04:0.74:0.72","None"
86,"COMPLETED","Aurora","Perlmutter-Phase-1","1394-1488",1268.96,1330.84,1330.84,2757.67,61.8757,0,1426.83,"0.02:0.04:0.02:0.02:0.82:0.74","None"
87,"COMPLETED","Perlmutter-Phase-1","Aurora","2460-2626:7631-7649",1275.71,1347.71,1520.41,1808.41,72.0008,172.701,288,"0.00:0.72:0.00:0.18:0.52:0.00","None"
88,"COMPLETED","Aurora","Aurora","1-69:131-164:2129-2249",1307.39,1364.89,1648.64,2432.64,57.4938,283.756,784,"0.03:0.42:0.03:0.04:0.03:0.03","None"
89,"COMPLETED","Andes","Frontier","454-480:2788-2895",1416.88,1431.55,1431.55,2107.36,14.6668,0,675.805,"0.12:0.42:0.02:0.93:0.03:0.05","None"
90,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-65:260-541:543-705:1025:1110-1111:1251-1638:1974-2048:2052-2357:2362-2668",1557.02,1570.88,13555.9,26321.3,13.8632,11985.1,12765.3,"0.00:0.18:0.00:0.05:0.00:0.18","None"
91,"COMPLETED","Aurora","Aurora","2460-2626:7631-7649:7905-7924",1558.19,1588.31,1808.41,2336.41,30.1186,220.096,528,"0.00:0.52:0.00:0.04:0.04:0.00","None"
92,"COMPLETED","Perlmutter-Phase-2","Frontier","593-616:624-633:807-852:5262-5268",1562.2,1604.36,1604.36,2001.26,42.1614,0,396.901,"0.03:0.03:0.03:0.93:0.78:0.82","None"
93,"COMPLETED","Aurora","Frontier","853-874",1654.17,1669.65,1669.65,2334.72,15.4726,0,665.077,"0.03:0.05:0.03:0.93:0.87:0.05","None"
94,"COMPLETED","Andes","Frontier","875-1003",1774.68,1791.49,1791.49,2756.92,16.8067,0,965.435,"0.12:0.05:0.02:0.88:0.04:0.82","None"
95,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","373-448",1860.62,1875.99,1875.99,2754.04,15.3716,0,878.049,"0.00:0.78:0.00:0.82:0.88:0.00","None"
96,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","449-541:543-621:736-814:1025:1110-1111",1860.72,1890.43,1890.43,3163.6,29.7135,0,1273.17,"0.00:0.52:0.00:0.05:0.78:0.00","None"
97,"COMPLETED","Frontier","Frontier","634-663:1004-1024:1849-2041:2277-2357:2362-2395:2457-2787:2896-3282:5088-5096",1878.76,1906.86,1906.86,11121.4,28.0993,0,9214.54,"0.00:0.28:0.00:0.88:0.03:0.00","None"
98,"COMPLETED","Andes","Perlmutter-Phase-1","815-974:1031-1066",1950.56,1965.96,1965.96,6048.89,15.4019,0,4082.93,"0.32:0.52:0.02:0.18:0.62:0.42","None"
99,"COMPLETED","Perlmutter-Phase-2","Frontier","5262-5265",2029.21,2044.67,2044.67,3771.72,15.4515,0,1727.06,"0.03:0.72:0.04:0.93:0.04:0.88","None"
100,"COMPLETED","Frontier","Perlmutter-Phase-2","1413-1523",2045.53,2061.07,2061.07,2759.03,15.5411,0,697.959,"0.03:0.62:0.04:0.18:0.03:0.82","None"
101,"COMPLETED","Frontier","Frontier","557-633:664-750:5266-5268",2048.16,2077.92,2077.92,2421.19,29.7586,0,343.266,"0.00:0.82:0.00:0.88:0.82:0.00","None"
102,"COMPLETED","Aurora","Aurora","2250-2258:2307-2351:2356-2357:2362-2425:5082-5098",2102.57,2116.29,2116.29,3268.29,13.7159,0,1152,"0.00:0.88:0.00:0.82:0.04:0.00","None"
103,"COMPLETED","Aurora","Aurora","2426-2450:7650-7656:7925",2146.28,2160.8,2160.8,2440.8,14.5105,0,280,"0.00:0.82:0.00:0.78:0.04:0.00","None"
104,"COMPLETED","Frontier","Aurora","1-69:131-164:2129-2249:2259-2306:2426-2626:5413-5538:7584-8139:9562-9612:10574-10589",2160.88,2175.54,2444.85,7172.85,14.6587,269.311,4728,"0.00:0.42:0.00:0.04:0.18:0.02","None"
105,"COMPLETED","Aurora","Frontier","454-480:751-759",2163.79,2190.91,2190.91,2888.17,27.1269,0,697.259,"0.00:0.18:0.00:0.91:0.05:0.00","None"
106,"COMPLETED","Perlmutter-Phase-1","Frontier","760-806",2196.42,2212.93,2212.93,3146.18,16.507,0,933.254,"0.00:0.91:0.00:0.95:0.78:0.00","None"
