JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Crux","Aurora","1-242:258",19.026,19.0261,19.0261,1507.03,0.000133104,0,1488,"0.56:0.75:0.59:0.70:0.62:0.64","None"
2,"COMPLETED","Frontier","Aurora","243-257:259-291:536:542",26.518,26.5182,26.5182,794.518,0.000152104,0,768,"0.00:0.72:0.00:0.71:0.57:0.00","None"
3,"COMPLETED","Perlmutter-Phase-1","Aurora","292-504",34.542,34.5421,34.5421,434.542,0.000138104,0,400,"0.56:0.74:0.60:0.70:0.62:0.65","None"
4,"COMPLETED","Frontier","Aurora","505-535:537-541:543-1350:2049-2051:2352-2355:2358-2361",42.895,42.8951,42.8951,6778.9,0.000145104,0,6736,"0.00:0.72:0.00:0.69:0.58:0.64","None"
5,"COMPLETED","Frontier","Aurora","1351-1382",48.225,48.2251,48.2251,792.225,0.000148104,0,744,"0.60:0.70:0.65:0.69:0.61:0.65","None"
6,"COMPLETED","Perlmutter-Phase-2","Aurora","1383-1527",54.941,54.9411,54.9411,950.941,0.000136104,0,896,"0.57:0.71:0.60:0.70:0.62:0.65","None"
7,"COMPLETED","Aurora","Aurora","1528-1773",63.393,63.3932,63.3932,543.393,0.000154104,0,480,"0.00:0.72:0.00:0.65:0.55:0.00","None"
8,"COMPLETED","Crux","Aurora","1774-1934",65.726,65.7262,65.7262,353.726,0.000175104,0,288,"0.56:0.70:0.59:0.70:0.62:0.65","None"
9,"COMPLETED","Crux","Frontier","1-91:5248-5282",69.369,69.3691,69.3691,616.449,0.000132104,0,547.08,"0.58:0.69:0.62:0.70:0.62:0.65","None"
10,"COMPLETED","Aurora","Aurora","1935-2048:2052-2351:2356-2357:2362-3094:4097-4103:5082-5098",71.365,71.3651,71.3651,4007.37,0.000149104,0,3936,"0.00:0.71:0.00:0.65:0.53:0.00","None"
11,"COMPLETED","Aurora","Frontier","92-121",77.794,77.7941,77.7941,442.514,0.000139104,0,364.72,"0.00:0.67:0.00:0.71:0.63:0.00","None"
12,"COMPLETED","Perlmutter-Phase-1","Frontier","122-139:258",77.921,77.9211,77.9211,1837.16,0.000141104,0,1759.24,"0.60:0.66:0.65:0.68:0.61:0.65","None"
13,"COMPLETED","Crux","Frontier","140-257:259-284:542",82.42,82.4201,82.4201,672.408,0.000138104,0,589.988,"0.59:0.65:0.62:0.68:0.62:0.64","None"
14,"COMPLETED","Perlmutter-Phase-2","Frontier","285-293",86.785,86.7851,86.7851,548.049,0.000134104,0,461.263,"0.60:0.65:0.65:0.68:0.62:0.65","None"
15,"COMPLETED","Frontier","Frontier","294-312",87.355,87.3551,87.3551,1471.15,0.000140104,0,1383.79,"0.00:0.67:0.00:0.70:0.63:0.00","None"
16,"COMPLETED","Andes","Frontier","313-482",100.842,100.842,100.842,680.103,0.000136104,0,579.261,"0.59:0.65:0.62:0.68:0.62:0.64","None"
17,"COMPLETED","Perlmutter-Phase-1","Frontier","483-519:1025",101.182,101.182,101.182,2654.22,0.000136104,0,2553.04,"0.00:0.67:0.00:0.69:0.64:0.00","None"
18,"COMPLETED","Aurora","Aurora","3095-3230",116.67,116.67,116.67,1372.67,0.000148104,0,1256,"0.00:0.68:0.00:0.65:0.58:0.00","None"
19,"COMPLETED","Frontier","Frontier","520-541:543-597:1110-1111",129.811,129.811,129.811,1223.97,0.000170104,0,1094.16,"0.00:0.63:0.00:0.69:0.58:0.00","None"
20,"COMPLETED","Perlmutter-Phase-1","Frontier","598-786",133.173,133.173,133.173,1946.05,0.000150104,0,1812.87,"0.56:0.66:0.59:0.67:0.63:0.65","None"
21,"COMPLETED","Aurora","Frontier","787-807",138.396,138.396,138.396,546.024,0.000138104,0,407.628,"0.60:0.65:0.65:0.67:0.62:0.65","None"
22,"COMPLETED","Frontier","Frontier","808-942",144.014,144.014,144.014,841.273,0.000136104,0,697.259,"0.57:0.66:0.60:0.68:0.62:0.64","None"
23,"COMPLETED","Aurora","Aurora","3231-3436",149.162,149.162,149.162,2029.16,0.000154104,0,1880,"0.00:0.67:0.00:0.61:0.56:0.00","None"
24,"COMPLETED","Perlmutter-Phase-2","Frontier","943-1024:1026-1106:2049-2051",150.192,150.192,150.192,547.093,0.000138104,0,396.901,"0.56:0.66:0.59:0.67:0.63:0.64","None"
25,"COMPLETED","Aurora","Aurora","3437-3467",150.621,150.621,150.621,982.621,0.000152104,0,832,"0.00:0.67:0.00:0.62:0.58:0.00","None"
26,"COMPLETED","Andes","Frontier","1107-1109:1112-1301:2358-2361",161.421,161.421,161.421,558.322,0.000136104,0,396.901,"0.59:0.65:0.62:0.66:0.62:0.65","None"
27,"COMPLETED","Aurora","Frontier","1302-1514",161.669,161.669,161.669,515.662,0.000138104,0,353.993,"0.55:0.65:0.59:0.65:0.62:0.65","None"
28,"COMPLETED","Perlmutter-Phase-1","Frontier","1515-2048:2052-2357:2362-2657:4097-4103:5088-5096",162.968,162.968,162.968,5590.86,0.000134104,0,5427.89,"0.00:0.65:0.00:0.65:0.59:0.63","None"
29,"COMPLETED","Frontier","Frontier","2658-2929",170.775,170.775,170.775,9138.59,0.000152104,0,8967.82,"0.00:0.60:0.00:0.62:0.57:0.00","None"
30,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-249:258",173.283,173.283,173.283,4958.65,0.000147104,0,4785.37,"0.00:0.60:0.00:0.55:0.63:0.00","None"
31,"COMPLETED","Crux","Aurora","3468-3622",201.219,201.219,201.219,785.219,0.000140104,0,584,"0.57:0.65:0.60:0.60:0.57:0.64","None"
32,"COMPLETED","Frontier","Aurora","3623-3671",206.704,206.704,206.704,630.704,0.000137104,0,424,"0.00:0.66:0.00:0.62:0.58:0.00","None"
33,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-3",208.545,208.545,208.545,1255.48,0.000135104,0,1046.94,"0.57:0.65:0.62:0.61:0.57:0.65","None"
34,"COMPLETED","Perlmutter-Phase-2","Aurora","3672-3850",213.044,213.044,213.044,685.044,0.000137104,0,472,"0.57:0.65:0.60:0.61:0.58:0.64","None"
35,"COMPLETED","Aurora","Aurora","3851-4096:4104-4701:8193-8206",214.137,214.137,214.137,8102.14,0.000155104,0,7888,"0.00:0.66:0.00:0.56:0.49:0.00","None"
36,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","4-232:258",220.574,220.574,220.574,1194.04,0.000132104,0,973.469,"0.55:0.62:0.59:0.60:0.57:0.64","None"
37,"COMPLETED","Frontier","Crux","1-103",223.277,223.277,223.277,2113.28,0.000141104,0,1890,"0.60:0.61:0.64:0.59:0.56:0.62","None"
38,"COMPLETED","Crux","Perlmutter-Phase-2","233-257:259-428:542",251.815,251.815,251.815,986.509,0.000141104,0,734.694,"0.59:0.60:0.38:0.60:0.57:0.62","None"
39,"COMPLETED","Aurora","Aurora","4702-4822",252.044,252.044,252.044,836.044,0.000130104,0,584,"0.00:0.63:0.00:0.62:0.58:0.00","None"
40,"COMPLETED","Aurora","Aurora","4823-5081:5099-6469:10268-10302",255.636,255.636,255.636,3999.64,0.000150104,0,3744,"0.00:0.63:0.00:0.56:0.00:0.00","None"
41,"COMPLETED","Perlmutter-Phase-1","Frontier","2930-3168",260.681,260.681,260.681,1344.11,0.000149104,0,1083.43,"0.00:0.57:0.00:0.62:0.58:0.00","None"
42,"COMPLETED","Frontier","Frontier","3169-3214",262.919,262.919,262.919,734.91,0.000151104,0,471.99,"0.00:0.50:0.00:0.60:0.53:0.00","None"
43,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","429-541:543-618:1025:1110-1111",265.355,265.355,265.355,1900.05,0.000136104,0,1634.69,"0.56:0.57:0.37:0.60:0.57:0.60","None"
44,"COMPLETED","Crux","Frontier","3215-3304",267.252,267.252,267.252,1962.13,0.000135104,0,1694.87,"0.57:0.56:0.47:0.60:0.58:0.59","None"
45,"COMPLETED","Frontier","Frontier","3305-3450",267.864,267.864,267.864,1168.94,0.000141104,0,901.073,"0.57:0.57:0.48:0.59:0.58:0.59","None"
46,"COMPLETED","Aurora","Aurora","6470-7036",283.661,283.661,283.661,5667.66,0.000148104,0,5384,"0.00:0.58:0.00:0.53:0.50:0.00","None"
47,"COMPLETED","Aurora","Aurora","7037-7243",288.843,288.843,288.843,1000.84,0.000173104,0,712,"0.00:0.57:0.00:0.54:0.53:0.00","None"
48,"COMPLETED","Aurora","Frontier","3451-3580",289.72,289.72,289.72,2199.14,0.000138104,0,1909.42,"0.00:0.55:0.00:0.60:0.59:0.00","None"
49,"COMPLETED","Crux","Perlmutter-Phase-2","619-677",309.45,309.45,309.45,860.471,0.000137104,0,551.02,"0.58:0.55:0.51:0.58:0.57:0.59","None"
50,"COMPLETED","Aurora","Andes","1-8",318.927,318.927,318.927,2518.93,0.000148104,0,2200,"0.60:0.54:0.53:0.58:0.56:0.58","None"
51,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","250-257:259-428:542",321.808,321.808,321.808,4734,0.000158104,0,4412.2,"0.00:0.49:0.00:0.52:0.58:0.00","None"
52,"COMPLETED","Aurora","Frontier","3581-3689",325.208,325.208,325.208,1258.46,0.000148104,0,933.254,"0.00:0.55:0.00:0.60:0.55:0.00","None"
53,"COMPLETED","Aurora","Perlmutter-Phase-2","678-1024:1026-1109:1112-1312:2049-2051:2358-2361",348.205,348.205,348.205,17393.1,0.000132104,0,17044.9,"0.00:0.53:0.00:0.57:0.50:0.57","None"
54,"COMPLETED","Crux","Andes","9-217:258",349.812,349.812,349.812,1899.81,0.000134104,0,1550,"0.59:0.53:0.38:0.57:0.53:0.51","None"
55,"COMPLETED","Aurora","Aurora","1774-1803",357.981,357.981,357.981,661.981,0.000148104,0,304,"0.00:0.56:0.00:0.51:0.47:0.00","None"
56,"COMPLETED","Perlmutter-Phase-1","Frontier","3690-3742",358.073,358.073,358.073,1162.6,0.000142104,0,804.529,"0.00:0.56:0.00:0.60:0.55:0.00","None"
57,"COMPLETED","Perlmutter-Phase-1","Frontier","3743-3751",365.618,365.618,365.618,1577.78,0.000137104,0,1212.16,"0.00:0.55:0.00:0.59:0.55:0.00","None"
58,"COMPLETED","Aurora","Frontier","3752-3806",371.687,371.687,371.687,714.953,0.000133104,0,343.266,"0.49:0.55:0.51:0.58:0.54:0.52","None"
59,"COMPLETED","Aurora","Aurora","1804-1809",375.378,375.378,375.378,2071.38,0.000156104,0,1696,"0.00:0.56:0.00:0.52:0.47:0.00","None"
60,"COMPLETED","Perlmutter-Phase-1","Frontier","3807-3828",376.275,376.275,376.275,1749.34,0.000139104,0,1373.06,"0.00:0.56:0.00:0.59:0.55:0.00","None"
61,"COMPLETED","Perlmutter-Phase-2","Frontier","3829-4070",380.455,380.455,380.455,1217.17,0.000130104,0,836.71,"0.49:0.54:0.39:0.57:0.53:0.51","None"
62,"COMPLETED","Andes","Frontier","4071-4096:4104-4311:8193-8206",394.262,394.262,394.262,1756.6,0.000136104,0,1362.34,"0.47:0.53:0.41:0.56:0.53:0.51","None"
63,"COMPLETED","Aurora","Frontier","4312-4535",407.988,407.988,407.988,751.254,0.000140104,0,343.266,"0.47:0.55:0.36:0.57:0.54:0.52","None"
64,"COMPLETED","Crux","Aurora","1810-1878",414.98,414.98,414.98,1358.98,0.000139104,0,944,"0.49:0.55:0.51:0.55:0.54:0.52","None"
65,"COMPLETED","Perlmutter-Phase-2","Frontier","4536-5087:5097-5247:5283-5897",417.153,417.153,417.153,9567.33,0.000132104,0,9150.18,"0.00:0.53:0.00:0.54:0.46:0.48","None"
66,"COMPLETED","Frontier","Aurora","292-387",444.457,444.457,444.457,908.457,0.000140104,0,464,"0.50:0.54:0.50:0.51:0.53:0.52","None"
67,"COMPLETED","Andes","Aurora","388-471",447.969,447.969,447.969,1263.97,0.000146104,0,816,"0.48:0.55:0.47:0.52:0.54:0.52","None"
68,"COMPLETED","Andes","Aurora","472-504:1879-1934:7244-7690",463.621,463.621,463.621,7039.62,0.000138104,0,6576,"0.45:0.55:0.00:0.52:0.52:0.52","None"
69,"COMPLETED","Frontier","Perlmutter-Phase-1","429-541:543-558:1025:1110-1111",484.261,484.261,484.261,1208.65,0.000137104,0,724.39,"0.48:0.53:0.47:0.52:0.54:0.52","None"
70,"COMPLETED","Aurora","Aurora","7691-7928",507.184,507.184,507.184,1523.18,0.000131104,0,1016,"0.47:0.53:0.39:0.51:0.51:0.51","None"
