JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Aurora","1-117",4.502,4.50249,4.50249,1652.5,0.000487104,0,1648,"0.61:0.84:0.72:0.82:0.68:0.72","None"
2,"COMPLETED","Perlmutter-Phase-2","Aurora","118-324:536:542",4.883,4.89851,4.89851,1116.9,0.0155081,0,1112,"0.60:0.84:0.71:0.79:0.71:0.75","None"
3,"COMPLETED","Frontier","Aurora","325-423",5.489,5.48951,5.48951,717.49,0.000510104,0,712,"0.00:0.87:0.00:0.82:0.69:0.00","None"
4,"COMPLETED","Crux","Aurora","424-469",7.316,7.31651,7.31651,295.317,0.000511104,0,288,"0.61:0.83:0.72:0.82:0.68:0.72","None"
5,"COMPLETED","Aurora","Aurora","470-535:537-541:543-645:1025:1104-1105:1110-1111",8.041,8.04151,8.04151,904.042,0.000512104,0,896,"0.00:0.89:0.00:0.80:0.69:0.00","None"
6,"COMPLETED","Perlmutter-Phase-2","Aurora","646-835",8.61,8.6105,8.6105,480.611,0.000501104,0,472,"0.65:0.83:0.76:0.80:0.69:0.73","None"
7,"COMPLETED","Frontier","Aurora","836-892",8.739,8.73948,8.73948,1872.74,0.000484104,0,1864,"0.00:0.85:0.00:0.84:0.71:0.00","None"
8,"COMPLETED","Aurora","Aurora","893-1024:1026-1031:2049-2051",10.036,10.0365,10.0365,1698.04,0.000533104,0,1688,"0.00:0.87:0.00:0.79:0.70:0.00","None"
9,"COMPLETED","Perlmutter-Phase-2","Aurora","1032-1103:1106-1109:1112-1179:2352-2355:2358-2361",10.667,10.6675,10.6675,714.668,0.000513104,0,704,"0.60:0.82:0.71:0.79:0.71:0.75","None"
10,"COMPLETED","Crux","Aurora","1180-1274",11.464,11.4645,11.4645,1051.46,0.000501104,0,1040,"0.65:0.82:0.76:0.80:0.69:0.73","None"
11,"COMPLETED","Perlmutter-Phase-1","Aurora","1275-1508",11.769,11.7695,11.7695,339.77,0.000543104,0,328,"0.65:0.82:0.76:0.80:0.68:0.73","None"
12,"COMPLETED","Frontier","Aurora","1509-1645",12.004,12.0045,12.0045,692.005,0.000527104,0,680,"0.00:0.84:0.00:0.82:0.69:0.00","None"
13,"COMPLETED","Perlmutter-Phase-1","Aurora","1646-1869",13.125,13.1255,13.1255,1333.13,0.000532104,0,1320,"0.61:0.80:0.71:0.79:0.71:0.75","None"
14,"COMPLETED","Frontier","Frontier","5248-5281",14.068,14.0685,14.0685,1215.5,0.000526104,0,1201.43,"0.00:0.82:0.00:0.83:0.71:0.00","None"
15,"COMPLETED","Frontier","Aurora","1870-2039",14.155,14.1555,14.1555,1542.16,0.000474104,0,1528,"0.61:0.80:0.72:0.79:0.71:0.76","None"
16,"COMPLETED","Aurora","Aurora","2040-2048:2052-2216:4097-4103",15.816,15.8165,15.8165,943.816,0.000469104,0,928,"0.00:0.82:0.00:0.81:0.73:0.00","None"
