JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier","",0.396,0.396078,0.396078,143.066,7.81043e-05,0,142.67,,"None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","",0.604,0.604078,0.604078,135.004,7.81043e-05,0,134.4,,"None"
3,"COMPLETED","Frontier","Frontier","",0.964,0.964078,0.964078,80.3443,7.81043e-05,0,79.3802,,"None"
4,"COMPLETED","Perlmutter-Phase-1","Aurora","",1.047,1.04708,1.04708,52.6817,7.81043e-05,0,51.6346,,"None"
5,"COMPLETED","Frontier","Frontier","",1.604,1.60408,1.60408,103.511,7.81043e-05,0,101.907,,"None"
6,"COMPLETED","Perlmutter-Phase-2","Andes","",1.78,1.78008,1.78008,96.5801,7.81043e-05,0,94.8,,"None"
7,"COMPLETED","Frontier","Frontier","",2.143,2.14308,2.14308,77.2325,7.81043e-05,0,75.0894,,"None"
8,"COMPLETED","Perlmutter-Phase-2","Crux","",2.212,2.21208,2.21208,46.6121,7.81043e-05,0,44.4,,"None"
9,"COMPLETED","Aurora","Perlmutter-Phase-1","",2.814,2.81408,2.81408,192.414,7.81043e-05,0,189.6,,"None"
10,"COMPLETED","Frontier","Aurora","",3.134,3.13408,3.13408,27.3648,7.81043e-05,0,24.2308,,"None"
11,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","",3.506,3.50608,3.50608,58.7061,7.81043e-05,0,55.2,,"None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","",4.43,4.43008,4.43008,47.6301,7.81043e-05,0,43.2,,"None"
13,"COMPLETED","Andes","Perlmutter-Phase-1","",5.24,5.24008,5.24008,66.4401,7.81043e-05,0,61.2,,"None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","",6.268,6.26808,6.26808,221.068,7.81043e-05,0,214.8,,"None"
15,"COMPLETED","Frontier","Frontier","",6.707,6.70708,6.70708,171.904,7.81043e-05,0,165.197,,"None"
16,"COMPLETED","Aurora","Aurora","",7.316,7.31608,7.31608,15.9699,7.81043e-05,0,8.65385,,"None"
17,"COMPLETED","Andes","Aurora","",7.45,7.45008,7.45008,18.1232,7.81043e-05,0,10.6731,,"None"
18,"COMPLETED","Aurora","Aurora","",8.041,8.04108,8.04108,18.1372,7.81043e-05,0,10.0962,,"None"
19,"COMPLETED","Perlmutter-Phase-2","Frontier","",9.461,9.46108,9.46108,82.4051,7.81043e-05,0,72.944,,"None"
20,"COMPLETED","Aurora","Aurora","",10.036,10.0361,10.0361,41.4784,7.81043e-05,0,31.4423,,"None"
21,"COMPLETED","Aurora","Aurora","",11.249,11.2491,11.2491,59.9991,7.81043e-05,0,48.75,,"None"
22,"COMPLETED","Aurora","Aurora","",11.464,11.4641,11.4641,34.2525,7.81043e-05,0,22.7885,,"None"
23,"COMPLETED","Andes","Andes","",12.466,12.4661,12.4661,56.8661,7.81043e-05,0,44.4,,"None"
24,"COMPLETED","Frontier","Frontier","",12.519,12.5191,12.5191,133.735,7.81043e-05,0,121.216,,"None"
25,"COMPLETED","Aurora","Frontier","",12.604,12.6041,12.6041,51.2215,7.81043e-05,0,38.6174,,"None"
26,"COMPLETED","Aurora","Crux","",13.156,13.1561,13.1561,59.9561,7.81043e-05,0,46.8,,"None"
27,"COMPLETED","Frontier","Frontier","",13.849,13.8491,13.8491,155.446,7.81043e-05,0,141.597,,"None"
28,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","",14.071,14.0711,14.0711,208.471,7.81043e-05,0,194.4,,"None"
29,"COMPLETED","Frontier","Frontier","",14.102,14.1021,14.1021,169.644,7.81043e-05,0,155.542,,"None"
30,"COMPLETED","Perlmutter-Phase-1","Aurora","",14.163,14.1631,14.1631,23.6823,7.81043e-05,0,9.51923,,"None"
31,"COMPLETED","Frontier","Frontier","",15.466,15.4661,15.4661,86.2646,7.81043e-05,0,70.7986,,"None"
32,"COMPLETED","Aurora","Aurora","",15.816,15.8161,15.8161,29.9507,7.81043e-05,0,14.1346,,"None"
33,"COMPLETED","Frontier","Frontier","",16.179,16.1791,16.1791,257.538,7.81043e-05,0,241.359,,"None"
34,"COMPLETED","Perlmutter-Phase-1","Aurora","",16.184,16.1841,16.1841,82.5302,7.81043e-05,0,66.3462,,"None"
35,"COMPLETED","Frontier","Aurora","",16.288,16.2881,16.2881,26.0958,7.81043e-05,0,9.80769,,"None"
36,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","",17.025,17.0251,17.0251,138.225,7.81043e-05,0,121.2,,"None"
37,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","",17.106,17.1061,17.1061,98.7061,7.81043e-05,0,81.6,,"None"
38,"COMPLETED","Aurora","Aurora","",17.673,17.6731,17.6731,81.1346,7.81043e-05,0,63.4615,,"None"
39,"COMPLETED","Perlmutter-Phase-1","Aurora","",17.772,17.7721,17.7721,29.3105,7.81043e-05,0,11.5385,,"None"
40,"COMPLETED","Aurora","Aurora","",18.817,18.8171,18.8171,47.9517,7.81043e-05,0,29.1346,,"None"
41,"COMPLETED","Aurora","Aurora","",19.026,19.0261,19.0261,52.4876,7.81043e-05,0,33.4615,,"None"
