JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Aurora","Perlmutter-Phase-2","1-481:542",155.587,156.446,156.446,14960.5,0.859255,0,14804.1,"0.63:0.71:0.00:0.71:0.68:0.73","None"
2,"COMPLETED","Frontier","Perlmutter-Phase-2","482-541:543-1145:2049-2051:2358-2361",241.951,243.185,243.185,12971.8,1.23439,0,12728.6,"0.62:0.71:0.00:0.71:0.67:0.72","None"
3,"COMPLETED","Frontier","Frontier","1-1073:1110-1111:2049-2051:5248-5282",256.465,257.571,257.571,8495.95,1.1064,0,8238.38,"0.00:0.69:0.00:0.73:0.56:0.00","None"
4,"COMPLETED","Perlmutter-Phase-2","Aurora","1-1832:2049-2051:2352-2355:2358-2361",428.274,429.446,429.446,4261.45,1.17202,0,3832,"0.00:0.69:0.00:0.68:0.00:0.66","None"
5,"COMPLETED","Aurora","Frontier","1074-1109:1112-2048:2052-3247:4097-4103:5088-5096",503.63,504.834,504.834,5675.27,1.2038,0,5170.44,"0.00:0.68:0.00:0.70:0.00:0.31","None"
6,"COMPLETED","Frontier","Frontier","3248-4096:4104-4106:8193-8206",519.809,520.948,520.948,10497.1,1.13894,0,9976.16,"0.00:0.65:0.00:0.72:0.60:0.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Frontier","4107-4513",534.505,535.843,535.843,11102,1.33849,0,10566.2,"0.65:0.71:0.00:0.74:0.67:0.70","None"
8,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-1018:1025:1110-1111",579.44,580.738,580.738,12566.1,1.29771,0,11985.4,"0.00:0.65:0.00:0.61:0.66:0.00","None"
9,"COMPLETED","Perlmutter-Phase-2","Frontier","4514-5087:5097-5247:5283-5719",618.9,620.124,620.124,7871.61,1.22448,0,7251.49,"0.00:0.69:0.00:0.70:0.21:0.64","None"
10,"COMPLETED","Perlmutter-Phase-1","Frontier","5720-6388",829.959,831.211,831.211,10367.6,1.25157,0,9536.35,"0.00:0.73:0.00:0.73:0.42:0.00","None"
11,"COMPLETED","Perlmutter-Phase-2","Aurora","1833-2048:2052-2351:2356-2357:2362-3560:4097-4103:5082-5098",1154.8,1156.03,1156.03,6852.03,1.22743,0,5696,"0.00:0.69:0.00:0.64:0.00:0.66","None"
12,"COMPLETED","Perlmutter-Phase-2","Aurora","3561-4096:4104-4546:8193-8206",1275.28,1276.25,1276.25,5836.25,0.964303,0,4560,"0.00:0.69:0.00:0.69:0.22:0.66","None"
13,"COMPLETED","Frontier","Aurora","4547-5081:5099-5381:10268-10302",1355.43,1356.5,1356.5,8372.5,1.07007,0,7016,"0.00:0.72:0.00:0.70:0.44:0.00","None"
14,"COMPLETED","Andes","Aurora","5382-5973",1477.93,1478.7,1478.7,8958.7,0.773898,0,7480,"0.66:0.70:0.00:0.69:0.25:0.68","None"
