JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Aurora","Perlmutter-Phase-1","1-481:542",155.587,171.753,171.753,17864.4,16.1662,0,17692.7,"0.02:0.88:0.00:0.04:0.91:0.45","None"
2,"COMPLETED","Frontier","Frontier","1-632:1025:1110-1111:5248-5282",241.951,258.508,258.508,7692.36,16.5565,0,7433.85,"0.28:0.05:0.00:0.88:0.04:0.57","None"
3,"COMPLETED","Frontier","Aurora","1-1105:1110-1111:2049-2051:2352-2354",256.465,275.835,275.835,6419.83,19.3696,0,6144,"0.00:0.88:0.00:0.88:0.02:0.00","None"
4,"COMPLETED","Perlmutter-Phase-2","Aurora","1106-1109:1112-2048:2052-2351:2355-2932:4097-4103:5082-5098",428.274,447.438,447.438,4279.44,19.1643,0,3832,"0.00:0.78:0.00:0.04:0.00:0.52","None"
5,"COMPLETED","Aurora","Perlmutter-Phase-2","1-2181:2358-2361",503.63,519.531,519.531,9372.59,15.9012,0,8853.06,"0.00:0.78:0.00:0.03:0.00:0.82","None"
6,"COMPLETED","Frontier","Aurora","2933-3798",519.809,534.7,534.7,7974.7,14.8915,0,7440,"0.00:0.87:0.00:0.82:0.04:0.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1","482-541:543-886:1025:1110-1111",534.505,552.998,552.998,22174.9,18.4931,0,21622,"0.03:0.85:0.00:0.18:0.87:0.87","None"
8,"COMPLETED","Perlmutter-Phase-1","Aurora","3799-4096:4104-4812:8193-8206",579.44,595.439,595.439,4963.44,15.9985,0,4368,"0.00:0.82:0.00:0.05:0.03:0.00","None"
9,"COMPLETED","Perlmutter-Phase-2","Aurora","4813-5081:5099-5956:10268-10302",618.9,632.256,632.256,6040.26,13.3559,0,5408,"0.00:0.78:0.00:0.03:0.02:0.02","None"
10,"COMPLETED","Perlmutter-Phase-1","Aurora","5957-6625",829.959,846.092,846.092,7958.09,16.1326,0,7112,"0.00:0.82:0.00:0.04:0.03:0.00","None"
