JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Aurora","1-475:536:542",38.052,53.3313,53.3313,6685.33,15.2793,0,6632,"0.00:0.88:0.00:0.04:0.87:0.00","None"
2,"COMPLETED","Frontier","Frontier","1-1019:1025:1110-1111:5248-5282",82.515,97.4597,97.4597,6297.7,14.9447,0,6200.24,"0.00:0.87:0.00:0.88:0.76:0.00","None"
3,"COMPLETED","Aurora","Perlmutter-Phase-2","1-561:1025:1110-1111",126.785,142.627,142.627,11475.3,15.8424,0,11332.7,"0.02:0.04:0.00:0.04:0.05:0.87","None"
4,"COMPLETED","Frontier","Aurora","476-535:537-541:543-2389:4097-4103:5082-5098",127.003,157.714,157.714,4069.71,30.7108,0,3912,"0.00:0.88:0.00:0.05:0.00:0.00","None"
5,"COMPLETED","Aurora","Aurora","2390-3493",142.73,173.871,173.871,7069.87,31.1408,0,6896,"0.00:0.93:0.00:0.18:0.04:0.00","None"
6,"COMPLETED","Aurora","Perlmutter-Phase-1","1-663:1025:1110-1111",155.587,188.701,188.701,15883.8,33.114,0,15695.1,"0.00:0.08:0.00:0.05:0.72:0.00","None"
7,"COMPLETED","Frontier","Frontier","1020-1024:1026-1109:1112-1393:2049-2051:2358-2361",222.774,236.717,236.717,11639.6,13.9426,0,11402.9,"0.00:0.87:0.00:0.92:0.88:0.00","None"
8,"COMPLETED","Perlmutter-Phase-2","Aurora","3494-4096:4104-4134:8193-8206",233.34,253.207,253.207,5613.21,19.8666,0,5360,"0.00:0.87:0.00:0.04:0.74:0.58","None"
9,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","562-818",298.325,313.991,313.991,16275.2,15.6662,0,15961.2,"0.03:0.05:0.00:0.03:0.82:0.91","None"
10,"COMPLETED","Perlmutter-Phase-2","Aurora","4135-5081:10268-10302",301.242,329.574,329.574,7441.57,28.3322,0,7112,"0.00:0.82:0.00:0.72:0.52:0.72","None"
11,"COMPLETED","Aurora","Aurora","5099-5445",503.63,516.595,516.595,8668.59,12.9646,0,8152,"0.02:0.82:0.00:0.04:0.04:0.04","None"
12,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-3059",504.088,532.538,16275.2,26138.5,28.4503,15742.7,9863.27,"0.00:0.03:0.00:0.04:0.00:0.15","None"
13,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","819-1024:1026-1109:1112-1307:2049-2051:2358-2361",511.271,548.161,548.161,14544.1,36.89,0,13995.9,"0.03:0.82:0.00:0.04:0.78:0.91","None"
14,"COMPLETED","Frontier","Aurora","5446-6482",529.74,564.759,564.759,6484.76,35.0195,0,5920,"0.00:0.87:0.00:0.15:0.04:0.00","None"
15,"COMPLETED","Perlmutter-Phase-1","Aurora","6483-7330",577.685,591.304,591.304,5127.3,13.6188,0,4536,"0.00:0.72:0.00:0.03:0.72:0.03","None"
16,"COMPLETED","Frontier","Frontier","1394-2048:2052-2357:2362-3704:4097-4103:5088-5096",635.031,650.86,650.86,8363.61,15.8285,0,7712.75,"0.00:0.82:0.00:0.82:0.00:0.00","None"
17,"COMPLETED","Perlmutter-Phase-1","Aurora","7331-8009",637.854,668.341,668.341,6236.34,30.4874,0,5568,"0.52:0.68:0.00:0.04:0.02:0.52","None"
18,"COMPLETED","Perlmutter-Phase-1","Aurora","8010-8192:8207-8539",650.416,686.778,686.778,8374.78,36.3619,0,7688,"0.00:0.82:0.00:0.05:0.04:0.00","None"
19,"COMPLETED","Perlmutter-Phase-2","Aurora","8540-9048",715.961,732.166,732.166,7276.17,16.2054,0,6544,"0.02:0.78:0.00:0.05:0.74:0.62","None"
