JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier","1-198:258:5248-5282",136.33,137.05,137.05,855.763,0.719884,0,718.713,"0.00:0.67:0.00:0.75:0.66:0.00","None"
2,"COMPLETED","Aurora","Aurora","1-736:1025:1104-1105:1110-1111",155.587,156.441,156.441,7340.44,0.854319,0,7184,"0.00:0.76:0.00:0.65:0.59:0.00","None"
3,"COMPLETED","Frontier","Frontier","199-257:259-353:542",337.081,337.777,337.777,949.22,0.696464,0,611.442,"0.00:0.73:0.00:0.76:0.72:0.00","None"
4,"COMPLETED","Andes","Frontier","354-541:543-1053:1110-1111:2049-2051",361.065,362.007,362.007,8257.12,0.942333,0,7895.11,"0.65:0.71:0.00:0.71:0.64:0.70","None"
5,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-416:542",428.274,428.968,428.968,15784.1,0.694491,0,15355.1,"0.65:0.71:0.00:0.71:0.69:0.74","None"
6,"COMPLETED","Aurora","Aurora","737-1024:1026-1103:1106-1109:1112-2261:2352-2355:2358-2361:4097-4103",503.63,504.479,504.479,6720.48,0.849369,0,6216,"0.00:0.74:0.00:0.61:0.57:0.00","None"
7,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","417-541:543-1271:2049-2051:2358-2361",534.505,535.17,535.17,16845.4,0.665224,0,16310.2,"0.00:0.70:0.00:0.70:0.66:0.72","None"
8,"COMPLETED","Frontier","Frontier","1054-1109:1112-2048:2052-2139:2358-2361:4097-4103",548.696,549.725,549.725,5848.89,1.02947,0,5299.17,"0.00:0.73:0.00:0.73:0.68:0.00","None"
9,"COMPLETED","Perlmutter-Phase-1","Frontier","2140-2357:2362-3127:5088-5096",579.44,580.533,580.533,6694.96,1.09334,0,6114.42,"0.00:0.70:0.00:0.72:0.62:0.65","None"
10,"COMPLETED","Andes","Frontier","3128-3695",592.636,593.644,593.644,9969.09,1.00792,0,9375.45,"0.63:0.71:0.00:0.73:0.65:0.68","None"
11,"COMPLETED","Perlmutter-Phase-2","Frontier","3696-4096:4104-5087:5097:8193-8206",618.9,620.067,620.067,8021.74,1.16703,0,7401.67,"0.00:0.69:0.00:0.71:0.61:0.64","None"
12,"COMPLETED","Frontier","Perlmutter-Phase-2","1272-1753",695.036,696.38,696.38,15500.5,1.3436,0,14804.1,"0.63:0.71:0.00:0.70:0.68:0.72","None"
13,"COMPLETED","Perlmutter-Phase-1","Frontier","5098-5247:5283-5358",699.624,700.805,700.805,1247.88,1.18071,0,547.08,"0.67:0.71:0.62:0.74:0.68:0.70","None"
14,"COMPLETED","Frontier","Andes","1-31",807.507,808.721,808.721,2308.72,1.2138,0,1500,"0.75:0.71:0.74:0.72:0.70:0.72","None"
15,"COMPLETED","Perlmutter-Phase-2","Aurora","2262-2351:2356-2357:2362-3461:5082-5098",829.959,831.25,831.25,5023.25,1.29112,0,4192,"0.00:0.69:0.00:0.67:0.64:0.66","None"
16,"COMPLETED","Frontier","Frontier","1-353:542:5248-5282:5359-5460",955.835,957.11,957.11,13464.9,1.27539,0,12507.7,"0.00:0.74:0.00:0.75:0.69:0.00","None"
17,"COMPLETED","Perlmutter-Phase-1","Frontier","5461-6622",1154.8,1156.09,1156.09,8407.58,1.29068,0,7251.49,"0.00:0.69:0.00:0.69:0.61:0.62","None"
18,"COMPLETED","Perlmutter-Phase-2","Aurora","3462-4096:4104-5081:5099-6147:8193-8206:10268-10302",1233.58,1234.73,1234.73,5826.73,1.15519,0,4592,"0.00:0.65:0.00:0.63:0.00:0.26","None"
19,"COMPLETED","Perlmutter-Phase-1","Aurora","6148-7007",1275.28,1276.45,1276.45,6412.45,1.16953,0,5136,"0.00:0.67:0.00:0.61:0.66:0.00","None"
20,"COMPLETED","Perlmutter-Phase-1","Frontier","5098-5247:5283-5316",1582.05,1583.31,1583.31,2516.56,1.2593,0,933.254,"0.67:0.70:0.63:0.73:0.69:0.70","None"
21,"COMPLETED","Frontier","Frontier","5317-5358:6623-7428",1682.93,1684.16,1684.16,7508.96,1.23697,0,5824.79,"0.00:0.68:0.00:0.70:0.63:0.64","None"
22,"COMPLETED","Perlmutter-Phase-2","Aurora","7008-8192:8207-9991",2275.57,2276.41,2276.41,6436.41,0.834289,0,4160,"0.00:0.62:0.00:0.25:0.00:0.29","None"
23,"COMPLETED","Frontier","Frontier","7429-8048",2325.52,2326.52,2326.52,13686.5,1.00062,0,11360,"0.00:0.31:0.00:0.70:0.59:0.00","None"
24,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-1129",2400.66,2401.8,2401.8,19194.5,1.13151,0,16792.7,"0.00:0.28:0.00:0.55:0.65:0.00","None"
25,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","1754-2048:2052-2357:2362-2677",2503.55,2504.54,2504.54,14259.6,0.987515,0,11755.1,"0.00:0.24:0.00:0.63:0.21:0.64","None"
26,"COMPLETED","Aurora","Frontier","5098-5247:5283-5316:8049-8192:8207-8689",2537.93,2539.14,2539.14,10970.6,1.21586,0,8431.47,"0.00:0.31:0.00:0.70:0.34:0.00","None"
27,"COMPLETED","Aurora","Frontier","1054-1109:1112-2048:2052-3127:4097-4103:5088-5096:8690-8695",2614.79,2615.85,6694.96,12519.7,1.05702,4079.11,5824.79,"0.00:0.24:0.00:0.29:0.00:0.00","None"
28,"COMPLETED","Frontier","Perlmutter-Phase-1","1-879:1025:1110-1111",3452.93,3454.08,19194.5,30916.4,1.15175,15740.4,11722,"0.00:0.28:0.00:0.31:0.32:0.00","None"
29,"COMPLETED","Aurora","Aurora","2262-2351:2356-2357:2362-3073:5082-5098",4205.14,4206.25,5023.25,11503.3,1.10555,817.004,6480,"0.00:0.33:0.00:0.29:0.25:0.00","None"
30,"COMPLETED","Aurora","Aurora","9992-10267:10303-10394",4292.57,4293.57,4293.57,11613.6,0.997266,0,7320,"0.00:0.68:0.00:0.59:0.53:0.00","None"
31,"COMPLETED","Aurora","Frontier","5317-5358:6623-7428:8696-9433",4327.57,4328.88,7508.96,15307.5,1.30985,3180.07,7798.57,"0.00:0.25:0.00:0.25:0.00:0.00","None"
32,"COMPLETED","Crux","Perlmutter-Phase-2","2678-2740",6203.04,6203.96,6203.96,7122.33,0.926377,0,918.367,"0.69:0.70:0.67:0.70:0.70:0.72","None"
33,"COMPLETED","Frontier","Frontier","1-457:542:5248-5282",17182.3,17183.2,17183.2,24434.7,0.906863,0,7251.49,"0.00:0.74:0.00:0.76:0.39:0.00","None"
34,"COMPLETED","Perlmutter-Phase-1","Frontier","1-887:1025:1110-1111:5248-5282",29544,29544.6,29544.6,37407.6,0.681609,0,7862.93,"0.00:0.73:0.00:0.73:0.47:0.00","None"
35,"COMPLETED","Andes","Perlmutter-Phase-2","1-406:542",38529.1,38530.2,38530.2,53407.8,1.15168,0,14877.6,"0.64:0.71:0.00:0.71:0.69:0.74","None"
36,"COMPLETED","Andes","Frontier","1-494:542:5248-5282",39387.1,39388.2,39388.2,47444.3,1.16227,0,8056.02,"0.63:0.71:0.00:0.74:0.65:0.70","None"
37,"COMPLETED","Perlmutter-Phase-2","Frontier","495-541:543-1093:1110-1111:2049-2051",40348.4,40349.6,40349.6,47107.6,1.16158,0,6758.05,"0.66:0.71:0.00:0.71:0.65:0.70","None"
