JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier","1-198:258:5248-5282",136.33,136.33,136.33,855.043,7.81043e-05,0,718.713,,"None"
2,"COMPLETED","Aurora","Aurora","1-736:1025:1104-1105:1110-1111",155.587,155.587,155.587,7339.59,7.81043e-05,0,7184,,"None"
3,"COMPLETED","Frontier","Perlmutter-Phase-1","1-154:258",337.081,337.081,337.081,1588.3,7.81043e-05,0,1251.22,,"None"
4,"COMPLETED","Andes","Frontier","199-257:259-900:1025:1110-1111",361.065,361.065,361.065,8256.18,7.81043e-05,0,7895.11,,"None"
5,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-416:542",428.274,428.274,428.274,15783.4,7.81043e-05,0,15355.1,,"None"
6,"COMPLETED","Aurora","Aurora","737-1024:1026-1103:1106-1109:1112-2261:2352-2355:2358-2361:4097-4103",503.63,503.63,503.63,6719.63,7.81043e-05,0,6216,,"None"
7,"COMPLETED","Perlmutter-Phase-1","Frontier","901-1024:1026-1109:1112-1757:2049-2051:2358-2361",534.505,534.505,534.505,10060.1,7.81043e-05,0,9525.63,,"None"
8,"COMPLETED","Frontier","Frontier","1758-2048:2052-2357:2362-2840:4097-4103:5088-5096",548.696,548.696,548.696,5847.86,7.81043e-05,0,5299.17,,"None"
9,"COMPLETED","Perlmutter-Phase-1","Aurora","2262-2351:2356-2357:2362-3245:5082-5098",579.44,579.44,579.44,5139.44,7.81043e-05,0,4560,,"None"
10,"COMPLETED","Andes","Perlmutter-Phase-2","417-541:543-982:1025:1110-1111",592.636,592.636,592.636,16645.7,7.81043e-05,0,16053.1,,"None"
11,"COMPLETED","Perlmutter-Phase-2","Frontier","2841-4096:4104-4233:8193-8206",618.9,618.9,618.9,8020.57,7.81043e-05,0,7401.67,,"None"
12,"COMPLETED","Frontier","Perlmutter-Phase-2","983-1024:1026-1109:1112-1460:2049-2051:2358-2361",695.036,695.036,695.036,15499.1,7.81043e-05,0,14804.1,,"None"
