JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Crux","Aurora","1-242:258",38.052,54.6832,54.6832,1542.68,16.6312,0,1488,"0.02:0.82:0.02:0.05:0.04:0.62","None"
2,"COMPLETED","Frontier","Frontier","1-15:5248-5282",53.035,66.741,66.741,1096.54,13.706,0,1029.8,"0.00:0.92:0.00:0.96:0.88:0.00","None"
3,"COMPLETED","Perlmutter-Phase-1","Aurora","243-257:259-454:536:542",69.083,82.6929,82.6929,482.693,13.6099,0,400,"0.02:0.82:0.02:0.04:0.04:0.68","None"
4,"COMPLETED","Frontier","Perlmutter-Phase-1","1-852:1025:1110-1111",85.79,98.7726,98.7726,18581.7,12.9826,0,18482.9,"0.00:0.04:0.00:0.04:0.04:0.04","None"
5,"COMPLETED","Frontier","Frontier","16-47",96.45,116.921,116.921,1114.54,20.471,0,997.616,"0.08:0.78:0.08:0.88:0.12:0.45","None"
6,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1","853-997",109.883,133.988,133.988,2592.52,24.1049,0,2458.54,"0.03:0.82:0.03:0.62:0.88:0.67","None"
7,"COMPLETED","Aurora","Aurora","455-535:537-541:543-697:1025:1104-1105:1110-1111",126.785,150.051,150.051,630.051,23.2661,0,480,"0.00:0.92:0.00:0.62:0.03:0.00","None"
8,"COMPLETED","Crux","Aurora","698-858",131.451,166.19,166.19,454.19,34.739,0,288,"0.03:0.82:0.03:0.04:0.03:0.52","None"
9,"COMPLETED","Crux","Aurora","859-984",138.739,181.016,181.016,589.016,42.2775,0,408,"0.03:0.82:0.04:0.03:0.04:0.62","None"
10,"COMPLETED","Aurora","Aurora","985-1024:1026-1103:1106-1109:1112-2147:2352-2355:2358-2361:4097-4103",142.73,194.659,194.659,4130.66,51.9293,0,3936,"0.00:0.95:0.00:0.04:0.04:0.00","None"
11,"COMPLETED","Aurora","Frontier","48-77",155.587,208.911,208.911,573.631,53.3244,0,364.72,"0.00:0.18:0.00:0.95:0.04:0.00","None"
12,"COMPLETED","Perlmutter-Phase-1","Frontier","78-96",155.843,225.031,225.031,1984.27,69.1884,0,1759.24,"0.72:0.82:0.05:0.82:0.82:0.68","None"
13,"COMPLETED","Andes","Andes","1-196:258",161.421,239.528,239.528,2089.53,78.1069,0,1850,"0.62:0.04:0.08:0.05:0.04:0.57","None"
14,"COMPLETED","Crux","Aurora","2148-2292",164.839,254.502,254.502,694.502,89.6633,0,440,"0.03:0.82:0.04:0.04:0.04:0.52","None"
15,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-9",173.57,270.449,270.449,1060.24,96.8786,0,789.796,"0.91:0.74:0.05:0.91:0.82:0.93","None"
16,"COMPLETED","Frontier","Frontier","97-115",174.711,286.926,286.926,1670.72,112.215,0,1383.79,"0.00:0.88:0.00:0.93:0.04:0.00","None"
17,"COMPLETED","Andes","Andes","197-257:259-366:542",201.684,302.974,302.974,3002.97,101.29,0,2700,"0.88:0.72:0.04:0.78:0.05:0.62","None"
18,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","998-1024:1026-1036",202.364,315.846,315.846,5540.24,113.482,0,5224.39,"0.00:0.91:0.00:0.91:0.92:0.00","None"
19,"COMPLETED","Aurora","Aurora","2293-2351:2356-2357:2362-2419:5082-5098",233.34,329.524,329.524,1585.52,96.184,0,1256,"0.00:0.93:0.00:0.78:0.04:0.00","None"
20,"COMPLETED","Frontier","Aurora","2420-2498",259.623,345.228,345.228,1161.23,85.6046,0,816,"0.00:0.91:0.00:0.87:0.78:0.00","None"
21,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1037-1109:1112-1227",266.346,364.549,364.549,4074.31,98.2035,0,3709.76,"0.03:0.78:0.02:0.03:0.87:0.03","None"
22,"COMPLETED","Aurora","Frontier","116-135:258",276.792,377.878,377.878,785.506,101.086,0,407.628,"0.82:0.05:0.05:0.88:0.05:0.78","None"
23,"COMPLETED","Frontier","Frontier","136-257:259-270:542",288.029,391.896,391.896,1089.15,103.867,0,697.259,"0.03:0.12:0.03:0.12:0.03:0.03","None"
24,"COMPLETED","Aurora","Aurora","2499-2704",298.325,404.882,404.882,2284.88,106.557,0,1880,"0.00:0.95:0.00:0.04:0.03:0.00","None"
25,"COMPLETED","Perlmutter-Phase-2","Frontier","271-436",300.385,420.369,420.369,817.27,119.984,0,396.901,"0.03:0.82:0.03:0.91:0.03:0.72","None"
26,"COMPLETED","Aurora","Aurora","2705-2735",301.242,436.011,436.011,1268.01,134.769,0,832,"0.00:0.93:0.00:0.82:0.04:0.00","None"
27,"COMPLETED","Aurora","Aurora","2736-2948",323.338,452.787,452.787,716.787,129.449,0,264,"0.03:0.87:0.02:0.04:0.82:0.04","None"
28,"COMPLETED","Perlmutter-Phase-1","Aurora","698-858:2949-3939",325.935,467.099,467.099,4515.1,141.164,0,4048,"0.00:0.74:0.00:0.04:0.22:0.02","None"
29,"COMPLETED","Frontier","Aurora","243-257:259-454:536:542:3940-3998",341.55,484.561,484.561,7172.56,143.011,0,6688,"0.00:0.87:0.00:0.72:0.62:0.00","None"
30,"COMPLETED","Perlmutter-Phase-1","Aurora","3999-4096:4104-4241:8193-8206",346.566,500.195,500.195,2244.2,153.629,0,1744,"0.00:0.82:0.00:0.05:0.75:0.00","None"
31,"COMPLETED","Crux","Perlmutter-Phase-1","1228-1382",402.437,514.285,514.285,2116.72,111.848,0,1602.44,"0.03:0.04:0.03:0.82:0.82:0.03","None"
32,"COMPLETED","Frontier","Frontier","437-485",413.408,528.407,528.407,1096.94,114.999,0,568.534,"0.00:0.82:0.00:0.91:0.05:0.00","None"
