JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Aurora","1-48",0.791,0.791458,0.791458,1064.79,0.000458104,0,1064,"0.00:0.87:0.00:0.84:0.71:0.00","None"
2,"COMPLETED","Perlmutter-Phase-1","Aurora","49-52",1.209,1.20955,1.20955,897.21,0.000545104,0,896,"0.00:0.88:0.00:0.79:0.72:0.00","None"
3,"COMPLETED","Frontier","Aurora","53-258:536:542",1.928,1.92852,1.92852,593.929,0.000524104,0,592,"0.00:0.87:0.00:0.82:0.69:0.00","None"
4,"COMPLETED","Perlmutter-Phase-1","Aurora","259-295",2.093,2.0935,2.0935,1434.09,0.000502104,0,1432,"0.00:0.87:0.00:0.82:0.74:0.00","None"
5,"COMPLETED","Frontier","Aurora","296-315",3.209,3.22157,3.22157,763.222,0.0125651,0,760,"0.00:0.86:0.00:0.82:0.69:0.00","None"
6,"COMPLETED","Perlmutter-Phase-2","Aurora","316-342",3.559,3.55947,3.55947,635.559,0.000468104,0,632,"0.61:0.83:0.72:0.79:0.71:0.75","None"
7,"COMPLETED","Frontier","Aurora","343-507",4.286,4.28653,4.28653,564.287,0.000531104,0,560,"0.00:0.86:0.00:0.82:0.68:0.00","None"
8,"COMPLETED","Perlmutter-Phase-2","Aurora","508-517:1025",4.423,4.42947,4.42947,300.429,0.0064661,0,296,"0.66:0.84:0.76:0.80:0.69:0.73","None"
9,"COMPLETED","Aurora","Aurora","518-520",5.628,5.62854,5.62854,1269.63,0.000542104,0,1264,"0.00:0.86:0.00:0.82:0.75:0.00","None"
10,"COMPLETED","Frontier","Aurora","521-535:537-541:543-702:1104-1105:1110-1111",6.269,6.26966,6.26966,678.27,0.000655104,0,672,"0.00:0.86:0.00:0.84:0.71:0.00","None"
11,"COMPLETED","Perlmutter-Phase-1","Aurora","703-940",7.012,7.01249,7.01249,375.012,0.000488104,0,368,"0.65:0.83:0.76:0.80:0.68:0.73","None"
12,"COMPLETED","Perlmutter-Phase-1","Aurora","941-948",8.86,8.86049,8.86049,296.86,0.000491104,0,288,"0.62:0.83:0.73:0.80:0.72:0.76","None"
13,"COMPLETED","Andes","Aurora","949-1024:1026-1103:1106-1109:1112:2049-2051:2352-2355:2358-2361",10.48,10.4805,10.4805,418.481,0.000518104,0,408,"0.61:0.82:0.72:0.79:0.71:0.76","None"
14,"COMPLETED","Perlmutter-Phase-1","Aurora","1113-1272",12.537,12.5375,12.5375,1444.54,0.000529104,0,1432,"0.00:0.84:0.00:0.80:0.71:0.00","None"
15,"COMPLETED","Frontier","Aurora","1273-1506",13.415,13.4155,13.4155,1245.42,0.000536104,0,1232,"0.00:0.84:0.00:0.81:0.68:0.00","None"
