JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Aurora","1-48",0.791,0.791134,0.791134,1064.79,0.000134104,0,1064,"0.00:0.76:0.00:0.71:0.63:0.00","None"
2,"COMPLETED","Perlmutter-Phase-1","Aurora","49-52",1.209,1.20917,1.20917,897.209,0.000170104,0,896,"0.00:0.72:0.00:0.64:0.63:0.00","None"
3,"COMPLETED","Frontier","Aurora","53-258:536:542",1.928,1.92815,1.92815,593.928,0.000151104,0,592,"0.00:0.71:0.00:0.71:0.56:0.00","None"
4,"COMPLETED","Perlmutter-Phase-1","Aurora","259-295",2.093,2.09314,2.09314,1434.09,0.000136104,0,1432,"0.00:0.75:0.00:0.70:0.64:0.00","None"
5,"COMPLETED","Frontier","Frontier","5248-5267",3.209,3.20916,3.20916,1022.28,0.000163104,0,1019.07,"0.00:0.68:0.00:0.71:0.56:0.00","None"
6,"COMPLETED","Perlmutter-Phase-2","Aurora","296-322",3.559,3.55914,3.55914,635.559,0.000138104,0,632,"0.58:0.75:0.64:0.70:0.62:0.65","None"
7,"COMPLETED","Frontier","Frontier","1-149:258:5268-5282",4.286,4.28616,4.28616,755.18,0.000156104,0,750.894,"0.00:0.68:0.00:0.71:0.55:0.00","None"
8,"COMPLETED","Perlmutter-Phase-2","Aurora","323-333",4.423,4.42314,4.42314,300.423,0.000136104,0,296,"0.60:0.73:0.65:0.68:0.61:0.64","None"
9,"COMPLETED","Aurora","Aurora","334-336",5.628,5.62814,5.62814,1269.63,0.000135104,0,1264,"0.00:0.75:0.00:0.70:0.64:0.00","None"
10,"COMPLETED","Frontier","Aurora","337-519:1025",6.269,6.26914,6.26914,678.269,0.000135104,0,672,"0.00:0.75:0.00:0.71:0.63:0.00","None"
11,"COMPLETED","Perlmutter-Phase-1","Aurora","520-535:537-541:543-755:1104-1105:1110-1111",7.012,7.01216,7.01216,375.012,0.000164104,0,368,"0.58:0.72:0.62:0.68:0.61:0.64","None"
12,"COMPLETED","Perlmutter-Phase-1","Aurora","756-763",8.86,8.86014,8.86014,296.86,0.000137104,0,288,"0.57:0.73:0.63:0.70:0.63:0.65","None"
13,"COMPLETED","Andes","Aurora","764-933",10.48,10.4801,10.4801,418.48,0.000137104,0,408,"0.57:0.72:0.60:0.69:0.63:0.65","None"
14,"COMPLETED","Perlmutter-Phase-1","Aurora","934-1024:1026-1091:2049-2051",12.537,12.5371,12.5371,1444.54,0.000149104,0,1432,"0.00:0.66:0.00:0.66:0.63:0.00","None"
15,"COMPLETED","Frontier","Frontier","150-257:259-383:542",13.415,13.4152,13.4152,1665.38,0.000153104,0,1651.97,"0.00:0.69:0.00:0.70:0.55:0.00","None"
16,"COMPLETED","Aurora","Aurora","1092-1103:1106-1109:1112-1297:2352-2355:2358-2361",14.633,14.6331,14.6331,254.633,0.000130104,0,240,"0.00:0.73:0.00:0.70:0.63:0.00","None"
17,"COMPLETED","Andes","Aurora","1298-1481",14.9,14.9001,14.9001,310.9,0.000138104,0,296,"0.56:0.72:0.59:0.69:0.62:0.65","None"
18,"COMPLETED","Aurora","Aurora","1482-1595",16.082,16.0821,16.0821,296.082,0.000144104,0,280,"0.58:0.71:0.62:0.68:0.62:0.65","None"
