JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Perlmutter-Phase-2","1-554:1025:1110-1111",0,7.81043e-05,7.81043e-05,12434.7,7.81043e-05,0,12434.7,,"None"
2,"COMPLETED","Aurora","Frontier","1-972:1025:1110-1111:5248-5282",3600,3600,3600,11430.8,7.81043e-05,0,7830.75,,"None"
3,"COMPLETED","Perlmutter-Phase-2","Aurora","1-771:1025:1104-1105:1110-1111",10800,10800,10800,16272,7.81043e-05,0,5472,,"None"
4,"COMPLETED","Aurora","Aurora","1-612:1025:1104-1105:1110-1111",18705.1,18705.1,18705.1,25161.1,7.81043e-05,0,6456,,"None"
5,"COMPLETED","Frontier","Frontier","1-815:1025:1110-1111:5248-5282",22217,22217,22217,31624.6,7.81043e-05,0,9407.63,,"None"
6,"COMPLETED","Aurora","Aurora","1-2316:2352-2355:2358-2361:4097-4103",28048.6,28048.6,28048.6,33640.6,7.81043e-05,0,5592,,"None"
7,"COMPLETED","Frontier","Frontier","1-708:1025:1110-1111:5248-5282",34000.2,34000.2,34000.2,43010.9,7.81043e-05,0,9010.73,,"None"
8,"COMPLETED","Aurora","Aurora","1-832:1025:1104-1105:1110-1111",34426.2,34426.2,34426.2,40210.2,7.81043e-05,0,5784,,"None"
9,"COMPLETED","Aurora","Aurora","833-1024:1026-1103:1106-1109:1112-1751:2049-2051:2352-2355:2358-2361",34516.2,34516.2,34516.2,38956.2,7.81043e-05,0,4440,,"None"
10,"COMPLETED","Frontier","Frontier","709-1024:1026-1109:1112-1570:2049-2051:2358-2361",36426.6,36426.6,36426.6,46402.8,7.81043e-05,0,9976.16,,"None"
11,"COMPLETED","Frontier","Perlmutter-Phase-2","1-523:542:1025",38596.7,38596.7,38596.7,54153.9,7.81043e-05,0,15557.1,,"None"
12,"COMPLETED","Andes","Aurora","833-1024:1026-1103:1106-1109:1112-1418:2049-2051:2352-2355:2358-2361",39238,39238,39238,46718,7.81043e-05,0,7480,,"None"
13,"COMPLETED","Perlmutter-Phase-1","Aurora","1-832:1025:1104-1105:1110-1111:1419-1445",41901.7,41901.7,41901.7,46437.7,7.81043e-05,0,4536,,"None"
14,"COMPLETED","Aurora","Perlmutter-Phase-2","524-541:543-1004:1110-1111",42246.1,42246.1,42246.1,57050.2,7.81043e-05,0,14804.1,,"None"
15,"COMPLETED","Perlmutter-Phase-2","Aurora","1446-2048:2052-2351:2356-2357:2362-3275:4097-4103:5082-5098",42281.7,42281.7,42281.7,46113.7,7.81043e-05,0,3832,,"None"
16,"COMPLETED","Andes","Frontier","1-391:542:5248-5282",44173.1,44173.1,44173.1,51703.5,7.81043e-05,0,7530.39,,"None"
17,"COMPLETED","Perlmutter-Phase-1","Frontier","392-541:543-708:1025:1110-1111:1571-2048:2052-2245:4097-4103",44194.6,44194.6,44194.6,52089.7,7.81043e-05,0,7895.11,,"None"
18,"COMPLETED","Frontier","Aurora","1446-2048:2052-2351:2356-2357:2362-2734:4097-4103:5082-5098",46349.1,46349.1,46349.1,50981.1,7.81043e-05,0,4632,,"None"
19,"COMPLETED","Frontier","Frontier","709-1024:1026-1109:1112-1570:2049-2051:2246-2907:5088-5096",46419.8,46419.8,46419.8,52330.4,7.81043e-05,0,5910.61,,"None"
20,"COMPLETED","Frontier","Perlmutter-Phase-1","1-432:542",46543.1,46543.1,46543.1,63906.5,7.81043e-05,0,17363.4,,"None"
21,"COMPLETED","Perlmutter-Phase-1","Aurora","1-543:1025:1104-1105:1110-1111",46623.7,46623.7,46623.7,53359.7,7.81043e-05,0,6736,,"None"
22,"COMPLETED","Frontier","Frontier","2908-3548",47363.3,47363.3,47363.3,54915.2,7.81043e-05,0,7551.85,,"None"
