JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Perlmutter-Phase-1","1-554:1025:1110-1111",0,15.836,15.836,14876.8,15.836,0,14861,"0.35:0.82:0.00:0.04:0.87:0.55","None"
2,"COMPLETED","Aurora","Aurora","1-1005:1025:1104-1105:1110-1111",3600,3614.5,3614.5,9454.5,14.5021,0,5840,"0.00:0.93:0.00:0.05:0.03:0.00","None"
3,"COMPLETED","Perlmutter-Phase-2","Aurora","1-771:1025:1104-1105:1110-1111",10800,10815.7,10815.7,16287.7,15.7321,0,5472,"0.00:0.82:0.00:0.04:0.67:0.58","None"
4,"COMPLETED","Aurora","Perlmutter-Phase-2","1-614:1025:1110-1111",18705.1,18722.3,18722.3,33544.8,17.2154,0,14822.4,"0.02:0.88:0.00:0.91:0.04:0.92","None"
5,"COMPLETED","Frontier","Frontier","1-815:1025:1110-1111:5248-5282",22217,22230.8,22230.8,31638.4,13.8084,0,9407.63,"0.00:0.91:0.00:0.93:0.04:0.00","None"
6,"COMPLETED","Aurora","Aurora","1-2316:2352-2355:2358-2361:4097-4103",28048.6,28063.2,28063.2,33655.2,14.5423,0,5592,"0.00:0.92:0.00:0.03:0.00:0.00","None"
7,"COMPLETED","Frontier","Frontier","1-708:1025:1110-1111:5248-5282",34000.2,34013.4,34013.4,43024.1,13.2567,0,9010.73,"0.00:0.04:0.00:0.93:0.04:0.00","None"
8,"COMPLETED","Aurora","Aurora","1-832:1025:1104-1105:1110-1111",34426.2,34440,34440,40224,13.8135,0,5784,"0.00:0.88:0.00:0.05:0.02:0.02","None"
9,"COMPLETED","Aurora","Aurora","833-1024:1026-1103:1106-1109:1112-1751:2049-2051:2352-2355:2358-2361",34516.2,34529.2,34529.2,38969.2,12.9996,0,4440,"0.00:0.93:0.00:0.05:0.04:0.00","None"
10,"COMPLETED","Frontier","Aurora","1752-2048:2052-2351:2356-2357:2362-2604:4097-4103:5082-5098",36426.6,36442.8,36442.8,43882.8,16.2157,0,7440,"0.00:0.88:0.00:0.82:0.06:0.00","None"
11,"COMPLETED","Frontier","Frontier","709-1024:1026-1109:1112-1229:2049-2051:2358-2361",38596.7,38614.7,38614.7,47700.5,17.9491,0,9085.82,"0.03:0.72:0.00:0.88:0.05:0.03","None"
12,"COMPLETED","Andes","Andes","1-592",39238,39253.3,39253.3,86003.3,15.3937,0,46750,"0.62:0.04:0.00:0.04:0.03:0.48","None"
13,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","1-861:1025:1110-1111",41901.7,41917.7,41917.7,52332,15.9929,0,10414.3,"0.00:0.78:0.00:0.03:0.03:0.87","None"
14,"COMPLETED","Aurora","Perlmutter-Phase-1","1-481:542",42246.1,42262.3,42262.3,59955,16.2321,0,17692.7,"0.02:0.82:0.00:0.05:0.88:0.55","None"
15,"COMPLETED","Perlmutter-Phase-2","Aurora","1-1751:2049-2051:2352-2355:2358-2361:2605-2685",42281.7,42297.3,42297.3,46129.3,15.5906,0,3832,"0.00:0.82:0.00:0.04:0.00:0.78","None"
16,"COMPLETED","Andes","Perlmutter-Phase-2","862-1024:1026-1109:1112-1284:2049-2051:2358-2361",44173.1,44187.9,44187.9,57081.8,14.756,0,12893.9,"0.28:0.04:0.00:0.05:0.04:0.42","None"
17,"COMPLETED","Perlmutter-Phase-1","Aurora","1752-2048:2052-2351:2356-2357:2362-2604:2686-2817:4097-4103:5082-5098",44194.6,44211.9,44211.9,50099.9,17.2522,0,5888,"0.00:0.82:0.00:0.04:0.03:0.04","None"
