JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Aurora","1-2346:2352-2355:2358-2361:4097-4103",0,1.09794,1.09794,5193.1,1.09794,0,5192,"0.00:0.68:0.00:0.68:0.00:0.67","None"
2,"COMPLETED","Aurora","Aurora","2347-2351:2356-2357:2362-3227:5082-5098",3600,3601.2,3601.2,11161.2,1.19731,0,7560,"0.00:0.75:0.00:0.65:0.58:0.00","None"
3,"COMPLETED","Perlmutter-Phase-2","Frontier","1-730:1025:1110-1111:5248-5282",10800,10801.1,10801.1,18867.8,1.09072,0,8066.75,"0.00:0.71:0.00:0.74:0.64:0.69","None"
4,"COMPLETED","Frontier","Aurora","1-1264:2049-2051:2352-2355:2358-2361",24830.1,24831.3,24831.3,29591.3,1.20237,0,4760,"0.00:0.72:0.00:0.72:0.66:0.00","None"
5,"COMPLETED","Frontier","Frontier","1-832:1025:1110-1111:5248-5282",25979.9,25981.2,25981.2,34219.6,1.33047,0,8238.38,"0.00:0.65:0.00:0.73:0.57:0.00","None"
6,"COMPLETED","Andes","Perlmutter-Phase-2","1-690:1025:1110-1111",26880.7,26881.6,26881.6,39830.6,0.951746,0,12949,"0.62:0.71:0.00:0.71:0.67:0.73","None"
7,"COMPLETED","Aurora","Frontier","833-1024:1026-1109:1112-1208:2049-2051:2358-2361",28048.6,28049.6,28049.6,36888.7,0.997758,0,8839.09,"0.00:0.74:0.00:0.76:0.70:0.00","None"
8,"COMPLETED","Perlmutter-Phase-1","Frontier","1209-2048:2052-2357:2362-2433:4097-4103:5088-5096",29766.7,29767.8,29767.8,34895.3,1.12536,0,5127.53,"0.00:0.70:0.00:0.72:0.61:0.66","None"
9,"COMPLETED","Frontier","Frontier","2434-3494",29959.9,29961.2,29961.2,35743.1,1.33483,0,5781.88,"0.00:0.69:0.00:0.72:0.57:0.00","None"
10,"COMPLETED","Aurora","Frontier","3495-3841",31824.2,31825.4,31825.4,42756.3,1.16574,0,10930.9,"0.66:0.71:0.00:0.74:0.67:0.71","None"
11,"COMPLETED","Aurora","Aurora","1-1097:1104-1105:1110-1111:2049-2051",32992.1,32993.1,32993.1,39889.1,1.00316,0,6896,"0.00:0.75:0.00:0.62:0.54:0.00","None"
12,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","691-1024:1026-1109:1112-1668:2049-2051:2358-2361",33017,33018.4,33018.4,49347,1.47721,0,16328.6,"0.00:0.70:0.00:0.69:0.65:0.70","None"
13,"COMPLETED","Frontier","Aurora","1098-1103:1106-1109:1112-2048:2052-2126:2352-2355:2358-2361:4097-4103",33668.3,33669.4,33669.4,39589.4,1.11572,0,5920,"0.00:0.73:0.00:0.72:0.68:0.00","None"
14,"COMPLETED","Aurora","Frontier","1-832:1025:1110-1111:3842-4096:4104-4366:5248-5282:8193-8206",34426.2,34427.1,34427.1,40112.4,0.910229,0,5685.34,"0.00:0.69:0.00:0.71:0.61:0.34","None"
15,"COMPLETED","Aurora","Frontier","4367-5087:5097-5154",34516.2,34517.4,34517.4,43142,1.24873,0,8624.55,"0.00:0.70:0.00:0.72:0.64:0.66","None"
16,"COMPLETED","Frontier","Frontier","1209-2048:2052-2291:4097-4103",36440.6,36441.6,36441.6,42566.7,0.987984,0,6125.15,"0.00:0.68:0.00:0.72:0.57:0.00","None"
17,"COMPLETED","Frontier","Aurora","2127-2351:2356-2357:2362-2634:5082-5098",36542.1,36543.3,36543.3,43023.3,1.17074,0,6480,"0.67:0.71:0.00:0.71:0.66:0.67","None"
18,"COMPLETED","Aurora","Frontier","833-1024:1026-1109:1112-1208:2049-2051:2292-2704:5088-5096",36994.6,36995.9,36995.9,45159.2,1.32214,0,8163.29,"0.00:0.73:0.00:0.75:0.67:0.00","None"
19,"COMPLETED","Frontier","Frontier","2705-3198",37047.6,37048.5,37048.5,44611.1,0.956993,0,7562.57,"0.00:0.70:0.00:0.73:0.62:0.00","None"
20,"COMPLETED","Frontier","Frontier","3199-3494:5155-5247:5283-7213",37104.5,37105.6,37105.6,44818.4,1.13609,0,7712.75,"0.00:0.66:0.00:0.67:0.00:0.00","None"
21,"COMPLETED","Frontier","Frontier","7214-7519",37703,37704.6,37704.6,51328,1.61775,0,13623.4,"0.66:0.71:0.00:0.72:0.68:0.69","None"
22,"COMPLETED","Frontier","Aurora","2635-3012",38178.4,38179.6,38179.6,46683.6,1.26216,0,8504,"0.00:0.73:0.00:0.73:0.70:0.00","None"
23,"COMPLETED","Frontier","Aurora","3013-4096:4104-4941:8193-8206",38745.4,38746.6,38746.6,42658.6,1.20092,0,3912,"0.00:0.70:0.00:0.63:0.00:0.00","None"
24,"COMPLETED","Frontier","Frontier","1-663:1025:1110-1111:5248-5282",40445.2,40446.2,40446.2,49575,1.03053,0,9128.72,"0.00:0.67:0.00:0.71:0.58:0.00","None"
25,"COMPLETED","Aurora","Frontier","664-832:3842-4096:4104-4278:8193-8206",40632.1,40633.4,40633.4,51070.8,1.3157,0,10437.4,"0.00:0.70:0.00:0.70:0.65:0.68","None"
26,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-1455",41532,41533.1,41533.1,58259.9,1.04938,0,16726.8,"0.00:0.63:0.00:0.57:0.63:0.00","None"
27,"COMPLETED","Frontier","Aurora","1-834:1025:1104-1105:1110-1111",41781.8,41782.9,41782.9,47854.9,1.06747,0,6072,"0.00:0.70:0.00:0.66:0.16:0.67","None"
28,"COMPLETED","Perlmutter-Phase-1","Aurora","835-1024:1026-1103:1106-1109:1112-1358:2049-2051:2352-2355:2358-2361",41901.7,41902.8,41902.8,49222.8,1.04137,0,7320,"0.00:0.73:0.00:0.70:0.34:0.00","None"
29,"COMPLETED","Andes","Aurora","1359-1935",42052.1,42052.9,42052.9,50332.9,0.81965,0,8280,"0.63:0.70:0.00:0.70:0.17:0.69","None"
30,"COMPLETED","Perlmutter-Phase-2","Aurora","1936-2048:2052-2126:4097-4103:4942-5081:5099-5983:10268-10302",42127.5,42128.4,42128.4,46136.4,0.88096,0,4008,"0.00:0.68:0.00:0.64:0.15:0.65","None"
