JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Aurora","1-2346:2352-2355:2358-2361:4097-4103",0,19.855,19.855,5211.86,19.855,0,5192,"0.00:0.78:0.00:0.05:0.00:0.04","None"
2,"COMPLETED","Aurora","Aurora","2347-2351:2356-2357:2362-3227:5082-5098",3600,3613.23,3613.23,11173.2,13.2255,0,7560,"0.00:0.95:0.00:0.05:0.04:0.00","None"
3,"COMPLETED","Perlmutter-Phase-2","Aurora","1-763:1025:1104-1105:1110-1111",10800,10816.9,10816.9,16832.9,16.9326,0,6016,"0.00:0.82:0.00:0.05:0.04:0.62","None"
4,"COMPLETED","Frontier","Aurora","1-1264:2049-2051:2352-2355:2358-2361",24830.1,24843.6,24843.6,29603.6,13.5221,0,4760,"0.00:0.87:0.00:0.05:0.82:0.00","None"
5,"COMPLETED","Frontier","Aurora","1265-2048:2052-2130:4097-4103",25979.9,25995.2,25995.2,32139.2,15.3386,0,6144,"0.00:0.88:0.00:0.72:0.04:0.00","None"
6,"COMPLETED","Andes","Andes","1-693",26880.7,26895.5,26895.5,62145.5,14.8186,0,35250,"0.68:0.04:0.00:0.04:0.02:0.58","None"
7,"COMPLETED","Aurora","Aurora","2131-2351:2356-2357:2362-2501:5082-5098",28048.6,28061.9,28061.9,34653.9,13.2788,0,6592,"0.00:0.91:0.00:0.08:0.88:0.00","None"
8,"COMPLETED","Perlmutter-Phase-1","Aurora","1-1223:2049-2051:2352-2355:2358-2361",29766.7,29781.6,29781.6,33605.6,14.9426,0,3824,"0.00:0.82:0.00:0.04:0.78:0.62","None"
9,"COMPLETED","Frontier","Aurora","1224-1264:2502-3521",29959.9,29974.3,29974.3,34286.3,14.4301,0,4312,"0.00:0.87:0.00:0.62:0.82:0.00","None"
10,"COMPLETED","Aurora","Aurora","3522-3868",31824.2,31839.7,31839.7,39991.7,15.4717,0,8152,"0.02:0.82:0.00:0.12:0.82:0.68","None"
11,"COMPLETED","Aurora","Aurora","1265-2048:2052-2130:3869-4103:8193-8198",32992.1,33008.5,33008.5,39904.5,16.3996,0,6896,"0.00:0.93:0.00:0.05:0.72:0.00","None"
12,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-979:1025:1110-1111",33017,33032.2,33032.2,49360.8,15.2344,0,16328.6,"0.00:0.88:0.00:0.04:0.82:0.93","None"
13,"COMPLETED","Frontier","Aurora","1-1030:1104-1105:1110-1111:2049-2051",33668.3,33682.3,33682.3,39602.3,14.0104,0,5920,"0.00:0.88:0.00:0.28:0.82:0.00","None"
14,"COMPLETED","Aurora","Aurora","1031-1103:1106-1109:1112-1264:2352-2355:2358-2361:2502-3521:4104-4239:8199-8206",34426.2,34441.6,34441.6,38681.6,15.4187,0,4240,"0.00:0.82:0.00:0.05:0.03:0.37","None"
15,"COMPLETED","Aurora","Aurora","4240-5018",34516.2,34530.4,34530.4,40962.4,14.2433,0,6432,"0.00:0.82:0.00:0.12:0.03:0.02","None"
16,"COMPLETED","Frontier","Aurora","2131-2351:2356-2357:2362-2501:5019-5707:10268-10302",36440.6,36455.1,36455.1,41023.1,14.4888,0,4568,"0.00:0.82:0.00:0.78:0.75:0.00","None"
17,"COMPLETED","Frontier","Aurora","5708-6224",36542.1,36558.9,36558.9,43038.9,16.8103,0,6480,"0.03:0.72:0.00:0.05:0.04:0.52","None"
18,"COMPLETED","Aurora","Aurora","6225-7022",36994.6,37010.9,37010.9,43098.9,16.317,0,6088,"0.00:0.82:0.00:0.04:0.04:0.00","None"
19,"COMPLETED","Frontier","Frontier","1-458:542:5248-5282",37047.6,37062.5,37062.5,44625,14.9023,0,7562.57,"0.00:0.82:0.00:0.93:0.78:0.00","None"
20,"COMPLETED","Frontier","Aurora","7023-8192:8207-9356",37104.5,37121.8,37121.8,42873.8,17.3165,0,5752,"0.00:0.82:0.00:0.62:0.00:0.00","None"
21,"COMPLETED","Frontier","Frontier","459-541:543-762:1025:1110-1111",37703,37719,37719,51342.4,16.0236,0,13623.4,"0.02:0.78:0.00:0.92:0.88:0.04","None"
22,"COMPLETED","Frontier","Frontier","763-1024:1026-1109:1112-1136:2049-2051:2358-2361",38178.4,38193.5,38193.5,49596.4,15.1765,0,11402.9,"0.00:0.85:0.00:0.92:0.82:0.00","None"
23,"COMPLETED","Frontier","Frontier","1137-2048:2052-2357:2362-3063:4097-4103:5088-5096",38745.4,38761.5,38761.5,44007.1,16.113,0,5245.53,"0.00:0.82:0.00:0.82:0.00:0.00","None"
24,"COMPLETED","Frontier","Frontier","3064-3764",40445.2,40460.7,40460.7,49589.5,15.5194,0,9128.72,"0.00:0.82:0.00:0.88:0.74:0.00","None"
25,"COMPLETED","Aurora","Aurora","1-608:1025:1104-1105:1110-1111",40632.1,40646.3,40646.3,48430.3,14.1917,0,7784,"0.00:0.82:0.00:0.05:0.82:0.02","None"
26,"COMPLETED","Perlmutter-Phase-1","Aurora","609-1024:1026-1103:1106-1109:1112-2053:2352-2355:2358-2361:4097-4103",41532,41546.5,41546.5,47642.5,14.422,0,6096,"0.00:0.81:0.00:0.05:0.05:0.00","None"
27,"COMPLETED","Frontier","Aurora","2054-2351:2356-2357:2362-2883:5082-5098",41781.8,41798.2,41798.2,47870.2,16.4036,0,6072,"0.00:0.72:0.00:0.05:0.04:0.52","None"
28,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-528:542:1025",41901.7,41917.1,41917.1,62002.4,15.3319,0,20085.4,"0.00:0.88:0.00:0.87:0.93:0.00","None"
29,"COMPLETED","Andes","Perlmutter-Phase-2","980-1024:1026-1109:1112-1552:2049-2051:2358-2361",42052.1,42067,42067,61077.2,14.9176,0,19010.2,"0.04:0.03:0.00:0.05:0.02:0.52","None"
30,"COMPLETED","Perlmutter-Phase-2","Aurora","2884-4096:4104-4131:8193-8206",42127.5,42143.5,42143.5,46151.5,16.0074,0,4008,"0.00:0.72:0.00:0.04:0.03:0.62","None"
31,"COMPLETED","Aurora","Aurora","4132-4891",42246.1,42261.7,42261.7,49389.7,15.6159,0,7128,"0.00:0.91:0.00:0.05:0.72:0.00","None"
32,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","1553-2048:2052-2357:2362-2518",42281.7,42297.4,42297.4,52877,15.7186,0,10579.6,"0.00:0.72:0.00:0.82:0.78:0.82","None"
33,"COMPLETED","Frontier","Aurora","4892-5081:5099-5412:10268-10302",43379.9,43394.9,43394.9,50082.9,14.9552,0,6688,"0.00:0.87:0.00:0.87:0.78:0.00","None"
34,"COMPLETED","Aurora","Aurora","5413-7222",44138,44154.2,44154.2,49730.2,16.1829,0,5576,"0.00:0.87:0.00:0.04:0.00:0.00","None"
35,"COMPLETED","Perlmutter-Phase-1","Aurora","7223-8192:8207-8328",44416.7,44434.7,44434.7,50970.7,18.0634,0,6536,"0.00:0.72:0.00:0.04:0.42:0.52","None"
36,"COMPLETED","Aurora","Aurora","8329-9014",44574.8,44588.6,44588.6,52748.6,13.7939,0,8160,"0.00:0.88:0.00:0.04:0.72:0.00","None"
37,"COMPLETED","Perlmutter-Phase-2","Aurora","609-1024:1026-1103:1106-1109:1112-2883:3550-4131:5082-5098:8193-8206:10441-10616",44800.2,44815.5,47870.2,52166.2,15.3343,3054.72,4296,"0.00:0.22:0.00:0.04:0.00:0.18","None"
