JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Aurora","1-48",0,0.0854592,0.0854592,1784.09,0.0854592,0,1784,"0.00:0.76:0.00:0.71:0.64:0.00","None"
2,"COMPLETED","Aurora","Aurora","1-251:258:536",3600,3600.09,3600.09,4200.09,0.0932483,0,600,"0.00:0.77:0.00:0.64:0.57:0.00","None"
3,"COMPLETED","Perlmutter-Phase-1","Aurora","1-210:258",10800,10800.1,10800.1,11328.1,0.0948297,0,528,"0.00:0.76:0.00:0.71:0.63:0.00","None"
4,"COMPLETED","Frontier","Aurora","1-104",12279,12279.1,12279.1,12647.1,0.103813,0,368,"0.57:0.75:0.61:0.70:0.63:0.65","None"
5,"COMPLETED","Andes","Aurora","1-221:258",13677.5,13677.6,13677.6,14109.6,0.0828374,0,432,"0.58:0.74:0.62:0.69:0.61:0.65","None"
6,"COMPLETED","Frontier","Aurora","1-321:536:542",17888.7,17888.8,17888.8,25048.8,0.0787559,0,7160,"0.58:0.74:0.00:0.69:0.61:0.64","None"
7,"COMPLETED","Aurora","Aurora","322-535:537-541:543-566:1025:1104-1105:1110-1111",18705.1,18705.2,18705.2,19905.2,0.0912548,0,1200,"0.00:0.76:0.00:0.65:0.55:0.00","None"
8,"COMPLETED","Frontier","Frontier","1-51:5248-5282",22074.5,22074.6,22074.6,22611,0.0919174,0,536.353,"0.00:0.68:0.00:0.71:0.59:0.00","None"
9,"COMPLETED","Andes","Aurora","322-399",22126.4,22126.5,22126.5,23870.5,0.101806,0,1744,"0.58:0.74:0.62:0.70:0.62:0.65","None"
10,"COMPLETED","Perlmutter-Phase-1","Aurora","400-535:537-541:543-571:1025:1104-1105:1110-1111",23298.5,23298.6,23298.6,24042.6,0.0989445,0,744,"0.00:0.68:0.00:0.65:0.63:0.00","None"
11,"COMPLETED","Frontier","Aurora","322-535:537-541:543-1178:2049-2051:2352-2355:2358-2361",24099.9,24100,24100,30172,0.0885681,0,6072,"0.00:0.74:0.00:0.70:0.58:0.64","None"
12,"COMPLETED","Frontier","Aurora","1179-2048:2052:4097-4103",24661.1,24661.2,24661.2,32453.2,0.101472,0,7792,"0.00:0.71:0.00:0.70:0.58:0.64","None"
13,"COMPLETED","Frontier","Frontier","1-76:5248-5282",25567.6,25567.7,25567.7,25975.4,0.0949055,0,407.628,"0.57:0.70:0.61:0.70:0.63:0.64","None"
14,"COMPLETED","Andes","Aurora","1-10",25649.1,25649.2,25649.2,26153.2,0.0956608,0,504,"0.60:0.69:0.65:0.69:0.62:0.65","None"
15,"COMPLETED","Aurora","Aurora","11-43",25817,25817.1,25817.1,26705.1,0.102877,0,888,"0.57:0.70:0.63:0.69:0.62:0.65","None"
16,"COMPLETED","Frontier","Frontier","5248-5254",26329.4,26329.5,26329.5,26758.6,0.0953336,0,429.082,"0.00:0.66:0.00:0.71:0.57:0.00","None"
17,"COMPLETED","Frontier","Frontier","1-804:1025:1110-1111:5248-5282",27258.5,27258.6,27258.6,33255.1,0.0959742,0,5996.42,"0.00:0.71:0.00:0.71:0.59:0.00","None"
18,"COMPLETED","Frontier","Aurora","1-321:536:542:2053-2197",27406.3,27406.4,27406.4,34814.4,0.0844124,0,7408,"0.54:0.70:0.00:0.67:0.61:0.65","None"
19,"COMPLETED","Frontier","Aurora","2198-2314",27584.8,27584.9,27584.9,28584.9,0.0909771,0,1000,"0.00:0.69:0.00:0.69:0.63:0.00","None"
20,"COMPLETED","Andes","Aurora","2315-2351:2356-2357:2362-2469:5082-5098",27901.2,27901.3,27901.3,28957.3,0.096456,0,1056,"0.56:0.68:0.59:0.67:0.63:0.65","None"
21,"COMPLETED","Aurora","Aurora","2470-3325",28048.6,28048.7,28048.7,33328.7,0.0906664,0,5280,"0.00:0.69:0.00:0.68:0.60:0.00","None"
22,"COMPLETED","Aurora","Aurora","3326-3394",28430.1,28430.2,28430.2,28958.2,0.0838021,0,528,"0.00:0.67:0.00:0.62:0.57:0.00","None"
23,"COMPLETED","Frontier","Frontier","805-865",28989.3,28989.4,28989.4,29397,0.105121,0,407.628,"0.00:0.62:0.00:0.68:0.56:0.00","None"
24,"COMPLETED","Perlmutter-Phase-2","Frontier","866-1024:1026-1109:1112-1267:2049-2051:2358-2361",29126.6,29126.7,29126.7,41065.9,0.0924578,0,11939.2,"0.54:0.67:0.00:0.67:0.62:0.64","None"
25,"COMPLETED","Crux","Aurora","2198-2205",29579.9,29580,29580,31068,0.103241,0,1488,"0.58:0.66:0.64:0.66:0.62:0.65","None"
26,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-250:258",29702.4,29702.5,29702.5,31392.7,0.103889,0,1690.24,"0.00:0.60:0.00:0.61:0.63:0.00","None"
27,"COMPLETED","Perlmutter-Phase-2","Aurora","2206-2311",29884.6,29884.7,29884.7,31412.7,0.0910331,0,1528,"0.60:0.66:0.64:0.65:0.56:0.64","None"
28,"COMPLETED","Frontier","Frontier","805-865:1268-1353",30315.9,30316,30316,32193.3,0.104877,0,1877.23,"0.00:0.65:0.00:0.67:0.54:0.00","None"
29,"COMPLETED","Aurora","Aurora","322-535:537-541:543-1178:2049-2051:2312-2324:2352-2355:2358-2361",30480.7,30480.8,30480.8,37352.8,0.0940144,0,6872,"0.00:0.70:0.00:0.60:0.49:0.00","None"
30,"COMPLETED","Frontier","Aurora","2325-2351:2356-2357:2362-2429:5082-5098",30554.6,30554.7,30554.7,30858.7,0.0890247,0,304,"0.57:0.66:0.61:0.66:0.58:0.64","None"
31,"COMPLETED","Frontier","Frontier","1354-1502",30573.2,30573.3,30573.3,31549.5,0.100561,0,976.162,"0.00:0.63:0.00:0.66:0.53:0.00","None"
32,"COMPLETED","Frontier","Aurora","2325-2329",30913.3,30913.4,30913.4,31553.4,0.0979099,0,640,"0.57:0.66:0.63:0.65:0.58:0.64","None"
