JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Aurora","1-48",0,14.1147,14.1147,1798.11,14.1147,0,1784,"0.00:0.95:0.00:0.88:0.05:0.00","None"
2,"COMPLETED","Aurora","Aurora","1-251:258:536",3600,3615.03,3615.03,4215.03,15.0344,0,600,"0.00:0.95:0.00:0.05:0.05:0.00","None"
3,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-210:258",10800,10815.4,10815.4,12264.1,15.3576,0,1448.78,"0.00:0.82:0.00:0.04:0.92:0.00","None"
4,"COMPLETED","Frontier","Perlmutter-Phase-1","1-104",12279,12296.6,12296.6,13306.4,17.5939,0,1009.76,"0.03:0.04:0.02:0.05:0.05:0.03","None"
5,"COMPLETED","Andes","Andes","1-221:258",13677.5,13692.2,13692.2,16392.2,14.7158,0,2700,"0.82:0.05:0.05:0.74:0.05:0.52","None"
6,"COMPLETED","Frontier","Andes","1-322:542",17888.7,17902.8,17902.8,62652.8,14.1281,0,44750,"0.68:0.05:0.00:0.18:0.04:0.62","None"
7,"COMPLETED","Aurora","Aurora","1-247:258",18705.1,18718.4,18718.4,19918.4,13.326,0,1200,"0.00:0.92:0.00:0.05:0.04:0.00","None"
8,"COMPLETED","Frontier","Frontier","1-51:5248-5282",22074.5,22087.9,22087.9,22624.3,13.3694,0,536.353,"0.00:0.91:0.00:0.95:0.04:0.00","None"
9,"COMPLETED","Andes","Aurora","1-78",22126.4,22141.1,22141.1,23885.1,14.6429,0,1744,"0.42:0.87:0.02:0.82:0.05:0.65","None"
10,"COMPLETED","Perlmutter-Phase-1","Aurora","79-251:258:536",23298.5,23316.6,23316.6,24060.6,18.0342,0,744,"0.00:0.88:0.00:0.72:0.08:0.00","None"
11,"COMPLETED","Frontier","Aurora","1-861:1025:1104-1105:1110-1111",24099.9,24115,24115,30187,15.0363,0,6072,"0.00:0.82:0.00:0.04:0.04:0.62","None"
12,"COMPLETED","Frontier","Perlmutter-Phase-1","1-875:1025:1110-1111",24661.1,24675.9,24675.9,46056.4,14.771,0,21380.5,"0.00:0.04:0.00:0.04:0.82:0.58","None"
13,"COMPLETED","Frontier","Frontier","1-76:5248-5282",25567.6,25584.1,25584.1,25991.7,16.458,0,407.628,"0.02:0.04:0.02:0.93:0.04:0.03","None"
14,"COMPLETED","Andes","Andes","323-332",25649.1,25663.8,25663.8,28813.8,14.6994,0,3150,"0.93:0.72:0.72:0.88:0.87:0.92","None"
15,"COMPLETED","Aurora","Frontier","77-109",25817,25835.4,25835.4,27026.1,18.4742,0,1190.7,"0.03:0.88:0.04:0.91:0.82:0.52","None"
16,"COMPLETED","Frontier","Frontier","5248-5254",26329.4,26343.8,26343.8,26772.9,14.3457,0,429.082,"0.00:0.91:0.00:0.97:0.78:0.00","None"
17,"COMPLETED","Frontier","Aurora","862-1024:1026-1103:1106-1109:1112-1697:2049-2051:2352-2355:2358-2361",27258.5,27272.5,27272.5,31744.5,13.9275,0,4472,"0.00:0.87:0.00:0.08:0.02:0.00","None"
18,"COMPLETED","Frontier","Frontier","1-432:542:5248-5282",27406.3,27422.9,27422.9,37356.1,16.5878,0,9933.25,"0.03:0.72:0.00:0.82:0.04:0.03","None"
19,"COMPLETED","Frontier","Frontier","433-541:543-547:1025:1110-1111",27584.8,27601.6,27601.6,28942.5,16.7865,0,1340.88,"0.00:0.88:0.00:0.93:0.78:0.00","None"
20,"COMPLETED","Andes","Frontier","548-711",27901.2,27918.8,27918.8,29334.8,17.57,0,1415.97,"0.38:0.04:0.02:0.87:0.04:0.02","None"
21,"COMPLETED","Aurora","Aurora","1698-2048:2052-2351:2356-2357:2362-2540:4097-4103:5082-5098",28048.6,28063.1,28063.1,33343.1,14.5192,0,5280,"0.00:0.93:0.00:0.88:0.03:0.00","None"
22,"COMPLETED","Aurora","Aurora","2541-2609",28430.1,28445.7,28445.7,28973.7,15.5516,0,528,"0.00:0.95:0.00:0.87:0.03:0.00","None"
23,"COMPLETED","Frontier","Aurora","2541-2601",28989.3,29004.8,29004.8,29308.8,15.5115,0,304,"0.00:0.91:0.00:0.88:0.82:0.00","None"
24,"COMPLETED","Perlmutter-Phase-2","Aurora","2602-3007",29126.6,29145.3,29145.3,38049.3,18.7027,0,8904,"0.03:0.82:0.00:0.32:0.04:0.65","None"
25,"COMPLETED","Crux","Perlmutter-Phase-2","1-8",29579.9,29597.4,29597.4,33013.7,17.4606,0,3416.33,"0.03:0.88:0.03:0.82:0.91:0.93","None"
26,"COMPLETED","Perlmutter-Phase-1","Aurora","2541-2601:3008-3197",29702.4,29717.1,29717.1,30333.1,14.6763,0,616,"0.00:0.88:0.00:0.18:0.82:0.00","None"
27,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","9-114",29884.6,29901.1,29901.1,33409.3,16.5689,0,3508.16,"0.52:0.78:0.05:0.04:0.72:0.91","None"
