JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier","1-131:258:5248-5282",0,1.24547,1.24547,1181.22,1.24547,0,1179.98,"0.68:0.71:0.63:0.74:0.69:0.72","None"
2,"COMPLETED","Aurora","Frontier","1-1050:1110-1111:2049-2051:5248-5282",3600,3601.23,3601.23,11346.2,1.227,0,7744.93,"0.00:0.71:0.00:0.71:0.62:0.68","None"
3,"COMPLETED","Frontier","Perlmutter-Phase-2","1-231:258",6240.12,6241.16,6241.16,8739.12,1.04479,0,2497.96,"0.71:0.71:0.66:0.72:0.68:0.72","None"
4,"COMPLETED","Frontier","Frontier","1051-1109:1112-1812:2358-2361",9595.93,9596.86,9596.86,18747,0.92935,0,9150.18,"0.00:0.70:0.00:0.73:0.61:0.00","None"
5,"COMPLETED","Andes","Perlmutter-Phase-2","1-165:258",9934.51,9935.83,9935.83,12121.5,1.3169,0,2185.71,"0.72:0.72:0.68:0.72:0.69:0.72","None"
6,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","166-257:259-1314:2049-2051:2358-2361",10800,10800.8,10800.8,25678.4,0.840749,0,14877.6,"0.00:0.70:0.00:0.70:0.65:0.71","None"
7,"COMPLETED","Andes","Perlmutter-Phase-2","1-165:258:1315-1364",13489.4,13490.4,13490.4,14666,1.07783,0,1175.51,"0.67:0.71:0.62:0.71:0.71:0.74","None"
8,"COMPLETED","Frontier","Frontier","1-15:5248-5282",14349.3,14350.1,14350.1,15379.9,0.858213,0,1029.8,"0.00:0.66:0.00:0.74:0.68:0.00","None"
9,"COMPLETED","Frontier","Frontier","16-518:542:1025",14499.9,14500.9,14500.9,23533.1,0.995196,0,9032.18,"0.00:0.74:0.00:0.74:0.71:0.00","None"
10,"COMPLETED","Aurora","Aurora","1-42",16098.5,16099.9,16099.9,16691.9,1.38615,0,592,"0.00:0.77:0.00:0.67:0.65:0.00","None"
11,"COMPLETED","Frontier","Frontier","1-15:519-532:5248-5282",17903.2,17904.3,17904.3,18440.7,1.13092,0,536.353,"0.00:0.69:0.00:0.75:0.63:0.00","None"
12,"COMPLETED","Frontier","Frontier","533-541:543-588:1110-1111",18078,18079,18079,19688,1.00774,0,1609.06,"0.00:0.68:0.00:0.74:0.64:0.00","None"
13,"COMPLETED","Crux","Frontier","1-15:519-532:589-670:5248-5282",18705.1,18706.1,18706.1,19639.4,1.05694,0,933.254,"0.69:0.71:0.64:0.74:0.69:0.72","None"
14,"COMPLETED","Andes","Perlmutter-Phase-2","1-165:258:1315-1380",20127.5,20128.5,20128.5,21248.9,1.07066,0,1120.41,"0.66:0.71:0.61:0.71:0.71:0.74","None"
15,"COMPLETED","Andes","Frontier","1-15:519-532:5248-5282",20141.6,20142.8,20142.8,20893.7,1.18532,0,750.894,"0.70:0.71:0.68:0.74:0.70:0.72","None"
16,"COMPLETED","Frontier","Frontier","533-541:543-737:1110-1111",20425,20425.9,20425.9,20790.6,0.848939,0,364.72,"0.00:0.73:0.00:0.76:0.71:0.00","None"
17,"COMPLETED","Frontier","Frontier","738-927",20562.6,20563.9,20563.9,20960.8,1.29454,0,396.901,"0.00:0.68:0.00:0.74:0.62:0.00","None"
18,"COMPLETED","Frontier","Frontier","5248-5261",21112.4,21113.8,21113.8,21896.8,1.3555,0,783.075,"0.00:0.70:0.00:0.74:0.67:0.00","None"
19,"COMPLETED","Frontier","Frontier","1-15:519-540:5262-5282",21856.5,21857.8,21857.8,22254.7,1.23318,0,396.901,"0.00:0.70:0.00:0.75:0.66:0.00","None"
