JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Aurora","1-71",0,0.0545071,0.0545071,1536.05,0.0545071,0,1536,"0.65:0.85:0.76:0.80:0.69:0.73","None"
2,"COMPLETED","Frontier","Aurora","72-160:258",0,0.0550031,0.0550031,1568.06,0.0550031,0,1568,"0.00:0.88:0.00:0.82:0.69:0.00","None"
3,"COMPLETED","Frontier","Aurora","1-48",1994.13,1994.14,1994.14,2466.14,0.000530104,0,472,"0.00:0.88:0.00:0.82:0.69:0.00","None"
4,"COMPLETED","Frontier","Aurora","1-12",3417.47,3417.47,3417.47,4433.47,0.000500104,0,1016,"0.00:0.88:0.00:0.81:0.70:0.00","None"
5,"COMPLETED","Crux","Aurora","13-191:258",3600,3600,3600,5144,0.000486104,0,1544,"0.61:0.84:0.71:0.81:0.68:0.72","None"
6,"COMPLETED","Aurora","Aurora","192-257:259-309:536:542",3600,3600,3600,4096,0.000865104,0,496,"0.00:0.87:0.00:0.81:0.74:0.00","None"
7,"COMPLETED","Aurora","Aurora","192-257:259-284:536:542",4110.78,4110.79,4110.79,4382.79,0.000450104,0,272,"0.00:0.87:0.00:0.82:0.74:0.00","None"
8,"COMPLETED","Aurora","Aurora","1-12:192-232",4599.44,4599.46,4599.46,5207.46,0.0184791,0,608,"0.62:0.84:0.72:0.82:0.69:0.72","None"
9,"COMPLETED","Andes","Aurora","1-154:258",5732.81,5732.81,5732.81,6692.81,0.000493104,0,960,"0.61:0.84:0.72:0.82:0.68:0.72","None"
10,"COMPLETED","Frontier","Aurora","1-14",8074.81,8074.81,8074.81,8530.81,0.000572104,0,456,"0.61:0.84:0.71:0.81:0.68:0.71","None"
11,"COMPLETED","Aurora","Aurora","15-48",8311.18,8311.18,8311.18,9791.18,0.000519104,0,1480,"0.62:0.85:0.72:0.82:0.69:0.72","None"
12,"COMPLETED","Frontier","Aurora","1-14:49-260:536:542",8879.2,8879.2,8879.2,9695.2,0.000495104,0,816,"0.00:0.87:0.00:0.82:0.69:0.00","None"
13,"COMPLETED","Frontier","Aurora","261-436",8909.75,8909.75,8909.75,9285.75,0.000468104,0,376,"0.00:0.87:0.00:0.84:0.71:0.00","None"
14,"COMPLETED","Frontier","Aurora","437-455",8967.02,8967.02,8967.02,9575.02,0.0076071,0,608,"0.00:0.86:0.00:0.81:0.74:0.00","None"
15,"COMPLETED","Frontier","Aurora","456-535:1025:1104",9040.38,9040.38,9040.38,9784.38,0.000538104,0,744,"0.00:0.86:0.00:0.82:0.68:0.00","None"
16,"COMPLETED","Frontier","Aurora","261-379",9689.76,9689.78,9689.78,11497.8,0.0215291,0,1808,"0.00:0.86:0.00:0.82:0.69:0.00","None"
17,"COMPLETED","Aurora","Aurora","1-230:258",9840.12,9840.12,9840.12,10992.1,0.000518104,0,1152,"0.61:0.84:0.72:0.82:0.68:0.72","None"
18,"COMPLETED","Aurora","Aurora","231-257:259-260:380-520:536:542:1025",9867.68,9867.68,9867.68,10227.7,0.000482104,0,360,"0.62:0.84:0.72:0.80:0.71:0.76","None"
19,"COMPLETED","Aurora","Aurora","231-257:259-260:380-441:536:542",10775.5,10775.5,10775.5,11319.5,0.000456104,0,544,"0.00:0.86:0.00:0.84:0.71:0.00","None"
20,"COMPLETED","Perlmutter-Phase-1","Aurora","442-535:537-541:543-560:1025:1104-1105:1110-1111",10800,10800,10800,11200,0.000516104,0,400,"0.61:0.83:0.71:0.82:0.68:0.72","None"
21,"COMPLETED","Perlmutter-Phase-1","Aurora","561-629",10800,10800,10800,11208,0.000933104,0,408,"0.00:0.86:0.00:0.83:0.71:0.00","None"
22,"COMPLETED","Frontier","Aurora","630-712",10903.3,10903.3,10903.3,11839.3,0.000497104,0,936,"0.00:0.86:0.00:0.84:0.72:0.00","None"
23,"COMPLETED","Frontier","Aurora","1-229:258",11239.6,11239.6,11239.6,12303.6,0.000500104,0,1064,"0.61:0.84:0.72:0.82:0.68:0.72","None"
24,"COMPLETED","Perlmutter-Phase-2","Aurora","230-257:259-260:380-561:1025:1104-1105:1110-1111",11439.1,11439.1,11439.1,12215.1,0.000517104,0,776,"0.62:0.84:0.72:0.82:0.68:0.72","None"
25,"COMPLETED","Frontier","Aurora","261-357",11627.4,11627.4,11627.4,13179.4,0.000509104,0,1552,"0.00:0.86:0.00:0.84:0.71:0.00","None"
26,"COMPLETED","Frontier","Aurora","358-379:562-629:713-724",11715.2,11715.2,11715.2,13227.2,0.000583104,0,1512,"0.00:0.86:0.00:0.84:0.71:0.00","None"
27,"COMPLETED","Perlmutter-Phase-2","Aurora","630-712:725-874",11992.9,11992.9,11992.9,12520.9,0.0214831,0,528,"0.61:0.83:0.71:0.82:0.68:0.72","None"
28,"COMPLETED","Crux","Aurora","875-1024:1026-1084:2049-2051",12056,12056,12056,13536,0.000626104,0,1480,"0.65:0.83:0.76:0.79:0.68:0.73","None"
29,"COMPLETED","Aurora","Aurora","1085-1103:1106-1109:1112-1155:2352-2355:2358-2361",12097.1,12097.1,12097.1,13513.1,0.000464104,0,1416,"0.00:0.85:0.00:0.82:0.74:0.00","None"
30,"COMPLETED","Frontier","Aurora","1156-1350",12153.5,12153.5,12153.5,12561.5,0.000479104,0,408,"0.00:0.85:0.00:0.82:0.74:0.00","None"
31,"COMPLETED","Aurora","Aurora","1-180:258",12322.7,12322.7,12322.7,12730.7,0.0017061,0,408,"0.65:0.83:0.76:0.79:0.68:0.73","None"
32,"COMPLETED","Perlmutter-Phase-1","Aurora","181-257:259-260:380-512:536:542",12714.4,12714.4,12714.4,13226.4,0.000587104,0,512,"0.00:0.85:0.00:0.80:0.71:0.00","None"
33,"COMPLETED","Frontier","Aurora","1-30",12971.4,12971.4,12971.4,13715.4,0.000524104,0,744,"0.00:0.85:0.00:0.81:0.68:0.00","None"
34,"COMPLETED","Andes","Aurora","31-180:258:513-535:537-539:1025:1104-1105",13175.6,13175.6,13175.6,13551.6,0.000572104,0,376,"0.65:0.83:0.76:0.79:0.68:0.73","None"
35,"COMPLETED","Aurora","Aurora","261-354",13195.9,13195.9,13195.9,13643.9,0.0035311,0,448,"0.00:0.88:0.00:0.80:0.69:0.00","None"
36,"COMPLETED","Crux","Aurora","181-257:259-260:355-387:536:542",13386.9,13386.9,13386.9,14674.9,0.000509104,0,1288,"0.61:0.83:0.72:0.82:0.68:0.72","None"
37,"COMPLETED","Aurora","Aurora","388-512:540-541:543-621:1110-1111",13534.5,13534.5,13534.5,13854.5,0.000475104,0,320,"0.00:0.86:0.00:0.81:0.74:0.00","None"
38,"COMPLETED","Frontier","Aurora","31-180:258:513-525:1025",13611.4,13611.4,13611.4,15491.4,0.000533104,0,1880,"0.00:0.86:0.00:0.82:0.70:0.00","None"
39,"COMPLETED","Crux","Aurora","1-30:261-263",13805.4,13805.4,13805.4,14309.4,0.000506104,0,504,"0.61:0.83:0.72:0.82:0.68:0.72","None"
40,"COMPLETED","Andes","Aurora","264-354:388-512:526-531",13944.7,13944.7,13944.7,14304.7,0.000507104,0,360,"0.61:0.84:0.72:0.82:0.68:0.72","None"
41,"COMPLETED","Aurora","Aurora","532-535:537-541:543-767:1104-1105:1110-1111",13957.4,13957.4,13957.4,15349.4,0.000538104,0,1392,"0.00:0.86:0.00:0.84:0.71:0.00","None"
42,"COMPLETED","Perlmutter-Phase-2","Aurora","768-851",13996.9,13996.9,13996.9,14940.9,0.000460104,0,944,"0.61:0.82:0.72:0.79:0.71:0.76","None"
43,"COMPLETED","Aurora","Aurora","1-30:261-354:388-512:526-531:852",14374.4,14374.4,14374.4,14910.4,0.0034811,0,536,"0.00:0.86:0.00:0.82:0.74:0.00","None"
44,"COMPLETED","Perlmutter-Phase-2","Aurora","853-917",14404.7,14404.7,14404.7,14700.7,0.000475104,0,296,"0.66:0.83:0.76:0.80:0.69:0.73","None"
45,"COMPLETED","Aurora","Aurora","918-954",14439.3,14439.3,14439.3,15575.3,0.000503104,0,1136,"0.00:0.85:0.00:0.84:0.72:0.00","None"
46,"COMPLETED","Andes","Aurora","955-1024:1026-1103:1106-1109:1112-1126:2049-2051:2352-2355:2358-2361",14628.3,14628.3,14628.3,15732.3,0.000604104,0,1104,"0.61:0.82:0.71:0.81:0.68:0.72","None"
47,"COMPLETED","Frontier","Aurora","181-257:259-260:355-387:536:542:853-880",14720.4,14720.4,14720.4,15576.4,0.0121031,0,856,"0.00:0.85:0.00:0.81:0.73:0.00","None"
